net_gain,phase,amplitude_lc,frequency_lc
4.0,0.0,5.4864923799442183e-14,0.0
4.0,0.07953399123012135,9.045336711370909e-13,0.0
4.0,0.1590679824602427,1.609405929867463e-13,0.0
4.0,0.23860197369036407,9.240791601499713e-14,0.0
4.0,0.3181359649204854,2.695398310188096e-13,0.0
4.0,0.39766995615060674,1.53172553180999e-13,0.0
4.0,0.47720394738072813,6.517913953614111e-13,0.0
4.0,0.5567379386108494,4.500552170575361e-14,0.0
4.0,0.6362719298409708,7.081121909102663e-14,0.0
4.0,0.7158059210710922,7.332558001408316e-13,0.0
4.0,0.7953399123012135,7.811976383204971e-14,0.0
4.0,0.8748739035313349,1.3980126608938486e-13,0.0
4.0,0.9544078947614563,1.269638286632258e-13,0.0
4.0,1.0339418859915777,8.457138912724318e-14,0.0
4.0,1.1134758772216988,4.587997329277262e-13,0.0
4.0,1.1930098684518202,2.321034516490013e-13,0.0
4.0,1.2725438596819416,3.417089351289356e-13,0.0
4.0,1.352077850912063,5.054490840445692e-13,0.0
4.0,1.4316118421421844,1.4884980397097154e-13,0.0
4.0,1.5111458333723056,8.593666679289466e-13,0.0
4.0,1.590679824602427,9.63753499818552e-13,0.0
4.0,1.6702138158325484,6.101591736524393e-13,0.0
4.0,1.7497478070626697,2.267048035657243e-15,0.0
4.0,1.8292817982927911,2.435322792043884e-14,0.0
4.0,1.9088157895229125,6.298611220924323e-16,0.0
4.0,1.9883497807530337,5.979403642803451e-14,0.0
4.0,2.0678837719831553,2.411877209243049e-15,0.0
4.0,2.1474177632132765,1.8324119233816417e-13,0.0
4.0,2.2269517544433977,5.754175212626025e-16,0.0
4.0,2.3064857456735193,1.880761088306093e-13,0.0
4.0,2.3860197369036404,7.175609550133333e-14,0.0
4.0,2.465553728133762,5.674853202453689e-13,0.0
4.0,2.5450877193638832,1.8734757001173063e-13,0.0
4.0,2.6246217105940044,5.5142287582535936e-14,0.0
4.0,2.704155701824126,5.1814769459352924e-14,0.0
