Frequency,Power_dB
5975000000.0,-37.38728343702793
5975220440.881763,-37.325795383621866
5975440881.763527,-37.26407795065593
5975661322.64529,-37.20232380985668
5975881763.527054,-37.140413980623805
5976102204.408817,-37.078365092534455
5976322645.290581,-37.016186686378276
5976543086.172345,-36.95385967955821
5976763527.054109,-36.89140576365381
5976983967.935872,-36.82880961347581
5977204408.817636,-36.76607724635241
5977424849.699399,-36.70321569343021
5977645290.581162,-36.6402208165418
5977865731.462926,-36.577092893233726
5978086172.344689,-36.51383073781035
5978306613.226453,-36.45043850440419
5978527054.108216,-36.38691301169662
5978747494.98998,-36.323256418955935
5978967935.871743,-36.259476959745825
5979188376.753507,-36.19557558751539
5979408817.63527,-36.13153996164142
5979629258.517035,-36.06737855110924
5979849699.398798,-36.003093308202864
5980070140.280561,-35.93868758493461
5980290581.162325,-35.87415938264661
5980511022.044088,-35.80951012695816
5980731462.925852,-35.74474268080192
5980951903.807615,-35.679858401179956
5981172344.689379,-35.61485846759551
5981392785.571142,-35.54976246492434
5981613226.452906,-35.48450853090681
5981833667.334669,-35.41915980904335
5982054108.216433,-35.353727883056465
5982274549.098196,-35.28817724792381
5982494989.9799595,-35.22250363222666
5982715430.861724,-35.15685564490997
5982935871.743487,-35.091005233980155
5983156312.625251,-35.02505383843169
5983376753.507014,-34.9588789795294
5983597194.388778,-34.892724017068005
5983817635.270541,-34.826479963676945
5984038076.152305,-34.76012433779191
5984258517.034068,-34.69346680532942
5984478957.915832,-34.626952874673734
5984699398.797595,-34.56040266138123
5984919839.6793585,-34.49393576820434
5985140280.561122,-34.427201598237076
5985360721.442885,-34.36037792010141
5985581162.324649,-34.29347797725664
5985801603.206413,-34.2265270140868
5986022044.088177,-34.15951350619355
5986242484.96994,-34.09241736327071
5986462925.851704,-34.02527216013952
5986683366.733467,-33.958056246812035
5986903807.615231,-33.89080974234736
5987124248.496994,-33.82351508892782
5987344689.378757,-33.75617908986207
5987565130.260521,-33.68880258492376
5987785571.142284,-33.621374368841245
5988006012.024048,-33.55391968295284
5988226452.905811,-33.486448349515356
5988446893.787575,-33.41894234738046
5988667334.669338,-33.351422133895895
5988887775.551103,-33.28387569019921
5989108216.432866,-33.2163351856119
5989328657.31463,-33.14878951533733
5989549098.196393,-33.081232287876915
5989769539.078156,-33.01368378379045
5989989979.95992,-32.946144321894806
5990210420.841683,-32.87862016678832
5990430861.723447,-32.811106719762705
5990651302.60521,-32.743618833061646
5990871743.486974,-32.67616862733324
5991092184.368737,-32.608754219120925
5991312625.250501,-32.54137876520851
5991533066.132264,-32.474053842112255
5991753507.014028,-32.406784610881715
5991973947.895792,-32.33957172190682
5992194388.777555,-32.27241601217287
5992414829.659319,-32.20534324748583
5992635270.541082,-32.13833827053074
5992855711.422846,-32.07143460518541
5993076152.304609,-32.004613218372896
5993296593.186373,-31.937891863854276
5993517034.068136,-31.871280944082542
5993737474.9499,-31.804774086421837
5993957915.831663,-31.738394970047224
5994178356.713427,-31.672142915598933
5994398797.59519,-31.606023565774663
5994619238.4769535,-31.540045359666102
5994839679.358717,-31.47421751969887
5995060120.240481,-31.408545215850275
5995280561.122245,-31.343041059102895
5995501002.004008,-31.277715938615778
5995721442.885772,-31.212566732947515
5995941883.767535,-31.1476116397115
5996162324.649299,-31.08285285236807
5996382765.531062,-31.018302318374474
5996603206.412826,-30.953968093694115
5996823647.294589,-30.889855070808387
5997044088.1763525,-30.825976753662722
5997264529.058116,-30.762340167698724
5997484969.939879,-30.6989544983064
5997705410.821643,-30.635864278797158
5997925851.703407,-30.572908513800066
5998146292.585171,-30.510442923801847
5998366733.466934,-30.44800100343359
5998587174.348698,-30.386072907725364
5998807615.230461,-30.324386153483886
5999028056.112225,-30.26300850710581
5999248496.993988,-30.201946373218092
5999468937.8757515,-30.141221752942926
5999689378.757515,-30.080830460016415
5999909819.639278,-30.020798843252976
6000130260.521042,-29.961128222132928
6000350701.402805,-29.90182096384872
6000571142.284569,-29.842890582679296
6000791583.166332,-29.784353722968447
6001012024.048097,-29.726213376257284
6001232464.92986,-29.668474386125283
6001452905.811624,-29.611156744016867
6001673346.693387,-29.554255455103217
6001893787.5751505,-29.497787023736777
6002114228.456914,-29.441765446129352
6002334669.338677,-29.386203610108346
6002555110.220441,-29.33109362664208
6002775551.102204,-29.276450565696102
6002995991.983968,-29.22228392476427
6003216432.865731,-29.168610256141875
6003436873.747495,-29.11542577705682
6003657314.629258,-29.06273708762909
6003877755.511022,-29.010568202917938
6004098196.392786,-28.958891190082667
6004318637.2745495,-28.9077632811872
6004539078.156313,-28.857164090570535
6004759519.038076,-28.807100236072372
6004979959.91984,-28.757587075822357
6005200400.801603,-28.708622236224876
6005420841.683367,-28.66021109761231
6005641282.56513,-28.61237353508588
6005861723.446894,-28.565101247540554
6006082164.328657,-28.51841072014234
6006302605.210421,-28.472300809374943
6006523046.092184,-28.42677968551233
6006743486.973948,-28.38185325927168
6006963927.855711,-28.337521849212166
6007184368.737475,-28.29379354455334
6007404809.619239,-28.250669312609837
6007625250.501002,-28.20886018726773
6007845691.382766,-28.165970290731778
6008066132.264529,-28.12493028710263
6008286573.146293,-28.084342886577183
6008507014.028056,-28.04430061457601
6008727454.90982,-28.0049011426959
6008947895.791583,-27.966096068157896
6009168336.6733465,-27.9280289617164
6009388777.55511,-27.890415452397946
6009609218.436873,-27.853518255469083
6009829659.318637,-27.817259024976615
6010050100.2004,-27.781613744160765
6010270541.082165,-27.746618236531894
6010490981.963928,-27.712253796045218
6010711422.845692,-27.678514140290304
6010931863.727455,-27.6454054992939
6011152304.609219,-27.612923112605813
6011372745.490982,-27.581073148676666
6011593186.3727455,-27.549842156482214
6011813627.254509,-27.519241279321108
6012034068.136272,-27.489268486649138
6012254509.018036,-27.459903702638
6012474949.899799,-27.43115558342283
6012695390.781563,-27.40301027291232
6012915831.663326,-27.375501914300166
6013136272.54509,-27.34857391284943
6013356713.426854,-27.322256488593226
6013577154.308618,-27.296539720573932
6013797595.190381,-27.271407042657245
6014018036.0721445,-27.246861909408572
6014238476.953908,-27.222864012987095
6014458917.835671,-27.199523560432155
6014679358.717435,-27.176749172259136
6014899799.599198,-27.15447420699455
6015120240.480962,-27.132792881540794
6015340681.362725,-27.111669157917298
6015561122.244489,-27.091094622529432
6015781563.126252,-27.07106565890787
6016002004.008016,-27.051569810196277
6016222444.889779,-27.03261668196791
6016442885.7715435,-27.014177346182386
6016663326.653307,-26.996259206768357
6016883767.53507,-26.978858919073517
6017104208.416834,-26.961956770681006
6017324649.298597,-26.945558143945064
6017545090.180361,-26.92965166044953
6017765531.062124,-26.914227136069044
6017985971.943888,-26.89931079999876
6018206412.825651,-26.884816745030903
6018426853.707415,-26.8708364810906
6018647294.589178,-26.85726808143243
6018867735.470942,-26.844175054919106
6019088176.352705,-26.831527971896747
6019308617.234468,-26.81932288566899
6019529058.116233,-26.807565063711422
6019749498.997996,-26.796197725976413
6019969939.87976,-26.785259861249486
6020190380.761523,-26.774749207263696
6020410821.643287,-26.764645928013884
6020631262.52505,-26.754945606205425
6020851703.406814,-26.74562723763063
6021072144.288577,-26.73670732139093
6021292585.170341,-26.728167794781974
6021513026.052104,-26.720011268057185
6021733466.933867,-26.712221052178975
6021953907.815631,-26.704854955861407
6022174348.697394,-26.697852230877075
6022394789.579159,-26.691058866750588
6022615230.460922,-26.68471832881343
6022835671.342686,-26.678723253044495
6023056112.224449,-26.673073502368176
6023276553.106213,-26.667759816388937
6023496993.987976,-26.662786880941454
6023717434.86974,-26.658136569561293
6023937875.751503,-26.65383463042005
6024158316.633266,-26.64984563489388
6024378757.51503,-26.64618164661168
6024599198.396793,-26.642834533233206
6024819639.278557,-26.63980526796437
6025040080.16032,-26.637090138505442
6025260521.042084,-26.63468741814284
6025480961.923848,-26.632594842286828
6025701402.805612,-26.63080973382344
6025921843.687375,-26.62933172351913
6026142284.569139,-26.628153950722094
6026362725.450902,-26.627290586721124
6026583166.332665,-26.626725762896662
6026803607.214429,-26.626463797454775
6027024048.096192,-26.626504402181055
6027244488.977956,-26.626847507849888
6027464929.859719,-26.62749322956566
6027685370.741483,-26.628442042180254
6027905811.623246,-26.629698043251587
6028126252.50501,-26.63125118512714
6028346693.386773,-26.633113625493472
6028567134.2685375,-26.635283509605124
6028787575.150301,-26.63776133264352
6029008016.032064,-26.640550458076447
6029228456.913828,-26.643650480749947
6029448897.795591,-26.64706640186737
6029669338.677355,-26.6507997397757
6029889779.559118,-26.65485306331837
6030110220.440882,-26.6592285307609
6030330661.322645,-26.663924949839327
6030551102.204409,-26.668962110819585
6030771543.086172,-26.674327414421384
6030991983.967936,-26.68003003862833
6031212424.849699,-26.686072857932494
6031432865.7314625,-26.6924593029471
6031653306.613227,-26.699209272938006
6031873747.49499,-26.706291101184746
6032094188.376754,-26.713694242228442
6032314629.258517,-26.721527226254295
6032535070.140281,-26.72973245455259
6032755511.022044,-26.738290906651244
6032975951.903808,-26.74723325604561
6033196392.785571,-26.756556796483302
6033416833.667335,-26.766273010416235
6033637274.549098,-26.776380926561593
6033857715.430861,-26.786898301126513
6034078156.312625,-26.79782330193717
6034298597.194388,-26.809155216566516
6034519038.076152,-26.82091492505034
6034739478.957916,-26.833100546849394
6034959919.83968,-26.845720306385495
6035180360.721443,-26.858780096121365
6035400801.603207,-26.872271119758047
6035621242.48497,-26.88625833021505
6035841683.366734,-26.9006811824405
6036062124.248497,-26.915564774135476
6036282565.13026,-26.930916802786683
6036503006.012024,-26.94677570275732
6036723446.893787,-26.963106916219523
6036943887.775551,-26.979932530183305
6037164328.657314,-26.99725797769935
6037384769.539078,-27.015076670984193
6037605210.420841,-27.033438745677508
6037825651.302606,-27.05230414626623
6038046092.184369,-27.07170151505742
6038266533.066133,-27.091626392151838
6038486973.947896,-27.112091222700656
6038707414.829659,-27.13310321957364
6038927855.711423,-27.1546654612088
6039148296.593186,-27.17678684098682
6039368737.47495,-27.199468639954524
6039589178.356713,-27.222714450591738
6039809619.238477,-27.246551548637186
6040030060.12024,-27.270944274406972
6040250501.002004,-27.29593341097236
6040470941.883767,-27.32151074723295
6040691382.765532,-27.347675716986586
6040911823.647295,-27.374445153199375
6041132264.529058,-27.401815351078376
6041352705.410822,-27.429794793185195
6041573146.292585,-27.458381661693558
6041793587.174349,-27.48757902199103
6042014028.056112,-27.51739241768422
6042234468.937876,-27.54782265480724
6042454909.819639,-27.578873295722943
6042675350.701403,-27.610560767495322
6042895791.583166,-27.642863920209223
6043116232.46493,-27.675793636794523
6043336673.346693,-27.7093650070789
6043557114.2284565,-27.7435519957088
6043777555.110221,-27.778375876567125
6043997995.991984,-27.8138296641622
6044218436.873748,-27.850015764359306
6044438877.755511,-27.886640936606504
6044659318.637275,-27.92399658845096
6044879759.519038,-27.96197907834273
6045100200.400802,-28.000581233965548
6045320641.282565,-28.039831153184693
6045541082.164329,-28.07971131788168
6045761523.046092,-28.120161456725143
6045981963.9278555,-28.16130732107311
6046202404.809619,-28.203108839023614
6046422845.691382,-28.246068528270733
6046643286.573146,-28.28833927668542
