Frequency,Power_dB
5975000000.0,-31.19956588391605
5975220440.881763,-31.119876234563797
5975440881.763527,-31.03989021480325
5975661322.64529,-30.95960706246082
5975881763.527054,-30.87902838393684
5976102204.408817,-30.798153166993927
5976322645.290581,-30.71698226265685
5976543086.172345,-30.635516326186234
5976763527.054109,-30.55375606515726
5976983967.935872,-30.471701961775295
5977204408.817636,-30.38935589306729
5977424849.699399,-30.306717385009712
5977645290.581162,-30.223789333642628
5977865731.462926,-30.140572054158092
5978086172.344689,-30.057066804778273
5978306613.226453,-29.973276063726225
5978527054.108216,-29.889201525531668
5978747494.98998,-29.804845022320087
5978967935.871743,-29.72020840652152
5979188376.753507,-29.635294593311002
5979408817.63527,-29.550106006986624
5979629258.517035,-29.46464570648631
5979849699.398798,-29.378916774504155
5980070140.280561,-29.292922361374984
5980290581.162325,-29.20666588701434
5980511022.044088,-29.120152206816314
5980731462.925852,-29.033384081108913
5980951903.807615,-28.9463665512677
5981172344.689379,-28.859103724016123
5981392785.571142,-28.77160120678652
5981613226.452906,-28.683864374768305
5981833667.334669,-28.595898867312727
5982054108.216433,-28.507709903736107
5982274549.098196,-28.41930439827634
5982494989.9799595,-28.33068915121551
5982715430.861724,-28.24187132304182
5982935871.743487,-28.152857696898728
5983156312.625251,-28.063657148626
5983376753.507014,-27.97427782404774
5983597194.388778,-27.88472775929265
5983817635.270541,-27.795016837768202
5984038076.152305,-27.705155229310996
5984258517.034068,-27.61515257211527
5984478957.915832,-27.525019520200587
5984699398.797595,-27.434767683936492
5984919839.6793585,-27.34440897977356
5985140280.561122,-27.25395562721115
5985360721.442885,-27.16342055790362
5985581162.324649,-27.072817802737234
5985801603.206413,-26.982161684846147
5986022044.088177,-26.8914675581199
5986242484.96994,-26.800749520465075
5986462925.851704,-26.71002492759476
5986683366.733467,-26.619310442131223
5986903807.615231,-26.528624000019875
5987124248.496994,-26.43798320591791
5987344689.378757,-26.347408116604143
5987565130.260521,-26.256917952220782
5987785571.142284,-26.166534233391793
5988006012.024048,-26.076278176579343
5988226452.905811,-25.986170547366513
5988446893.787575,-25.89623685440486
5988667334.669338,-25.80650379036308
5988887775.551103,-25.716983249346654
5989108216.432866,-25.627748811639613
5989328657.31463,-25.538755568905415
5989549098.196393,-25.450022902683955
5989769539.078156,-25.361658745307537
5989989979.95992,-25.273652287401333
5990210420.841683,-25.186030616848115
5990430861.723447,-25.098829563800805
5990651302.60521,-25.012071240532734
5990871743.486974,-24.92580851568944
5991092184.368737,-24.84005482543509
5991312625.250501,-24.75485151578866
5991533066.132264,-24.67022903597409
5991753507.014028,-24.586225420207278
5991973947.895792,-24.502874271685315
5992194388.777555,-24.42022718440205
5992414829.659319,-24.338260162594608
5992635270.541082,-24.25714131799716
5992855711.422846,-24.176781103644984
5993076152.304609,-24.096943411903446
5993296593.186373,-24.01866120960299
5993517034.068136,-23.94095576085587
5993737474.9499,-23.864219526387927
5993957915.831663,-23.78847409025036
5994178356.713427,-23.71377832849256
5994398797.59519,-23.640171531341608
5994619238.4769535,-23.567676163633557
5994839679.358717,-23.496346585796076
5995060120.240481,-23.42622251666362
5995280561.122245,-23.357333483458973
5995501002.004008,-23.289726922505537
5995721442.885772,-23.223439896252515
5995941883.767535,-23.158501582796234
5996162324.649299,-23.094955250010578
5996382765.531062,-23.032833614586565
5996603206.412826,-22.97217330828299
5996823647.294589,-22.913003439306934
5997044088.1763525,-22.855346493702733
5997264529.058116,-22.799292780667344
5997484969.939879,-22.74476779733807
5997705410.821643,-22.69186721784031
5997925851.703407,-22.640608316332944
5998146292.585171,-22.59101136828445
5998366733.466934,-22.543080614886236
5998587174.348698,-22.49686768749396
5998807615.230461,-22.45236093837356
5999028056.112225,-22.40958080158955
5999248496.993988,-22.36856110061845
5999468937.8757515,-22.32928903100067
5999689378.757515,-22.29178075998569
5999909819.639278,-22.256042370828624
6000130260.521042,-22.222086385993748
6000350701.402805,-22.189901035705752
6000571142.284569,-22.159421774273753
6000791583.166332,-22.130794407011017
6001012024.048097,-22.103898875202987
6001232464.92986,-22.078750738234163
6001452905.811624,-22.055344496084686
6001673346.693387,-22.033665369919085
6001893787.5751505,-22.01368967937981
6002114228.456914,-21.99537303621259
6002334669.338677,-21.978763645702628
6002555110.220441,-21.963804756587706
6002775551.102204,-21.9504954017236
6002995991.983968,-21.938757375185027
6003216432.865731,-21.92858378629215
6003436873.747495,-21.919948488677164
6003657314.629258,-21.91282449447489
6003877755.511022,-21.907172706303577
6004098196.392786,-21.902962213869998
6004318637.2745495,-21.900157015533104
6004539078.156313,-21.898719742381815
6004759519.038076,-21.898613166780777
6004979959.91984,-21.89979919286597
6005200400.801603,-21.902236872014953
6005420841.683367,-21.905887749148377
6005641282.56513,-21.910712525262575
6005861723.446894,-21.916665094288007
6006082164.328657,-21.923711430945644
6006302605.210421,-21.931806916089442
6006523046.092184,-21.940909418687866
6006743486.973948,-21.95098191538147
6006963927.855711,-21.96197454859869
6007184368.737475,-21.973852322610853
6007404809.619239,-21.98657156465724
6007625250.501002,-22.00009956084017
6007845691.382766,-22.014383691619663
6008066132.264529,-22.029391874297346
6008286573.146293,-22.045096329520305
6008507014.028056,-22.061418879908246
6008727454.90982,-22.07835789957442
6008947895.791583,-22.095846137658953
6009168336.6733465,-22.113879045145488
6009388777.55511,-22.13240440544336
6009609218.436873,-22.151379166691825
6009829659.318637,-22.1707890623383
6010050100.2004,-22.190583818413415
6010270541.082165,-22.210739476119045
6010490981.963928,-22.23121484327369
6010711422.845692,-22.251983455160342
6010931863.727455,-22.273013445858552
6011152304.609219,-22.294282568194355
6011372745.490982,-22.315753883891333
6011593186.3727455,-22.337451739636535
6011813627.254509,-22.359244616251893
6012034068.136272,-22.381157519948545
6012254509.018036,-22.403012020147486
6012474949.899799,-22.425084763443365
6012695390.781563,-22.447364727113012
6012915831.663326,-22.469510323251214
6013136272.54509,-22.491493649752087
6013356713.426854,-22.513618866204332
6013577154.308618,-22.535703085771587
