Frequency,Power_dB
5975000000.0,-45.90072488911194
5975220440.881763,-45.83984817621638
5975440881.763527,-45.77879718188608
5975661322.64529,-45.717575042925034
5975881763.527054,-45.656173702634575
5976102204.408817,-45.59459645411657
5976322645.290581,-45.53284440548056
5976543086.172345,-45.470912224488785
5976763527.054109,-45.40880438569623
5976983967.935872,-45.346516302509784
5977204408.817636,-45.28405054095249
5977424849.699399,-45.22140108292659
5977645290.581162,-45.158571647749056
5977865731.462926,-45.09556272636971
5978086172.344689,-45.032370635429146
5978306613.226453,-44.968996423947544
5978527054.108216,-44.90543518735751
5978747494.98998,-44.84169458379478
5978967935.871743,-44.777772233397215
5979188376.753507,-44.713651220041356
5979408817.63527,-44.64935004050169
5979629258.517035,-44.58486671190599
5979849699.398798,-44.52019408085138
5980070140.280561,-44.45532041805647
5980290581.162325,-44.39028118832849
5980511022.044088,-44.32504039281112
5980731462.925852,-44.2596021815193
5980951903.807615,-44.193992846491454
5981172344.689379,-44.12818030661134
5981392785.571142,-44.0620824260956
5981613226.452906,-43.99595566060427
5981833667.334669,-43.929582990677204
5982054108.216433,-43.86298627323396
5982274549.098196,-43.79621545270551
5982494989.9799595,-43.729247155564906
5982715430.861724,-43.662074364549156
5982935871.743487,-43.59469743262645
5983156312.625251,-43.527172417294835
5983376753.507014,-43.45940980399928
5983597194.388778,-43.39142189376999
5983817635.270541,-43.32326719131578
5984038076.152305,-43.25491273931097
5984258517.034068,-43.186357321223895
5984478957.915832,-43.11760316995307
5984699398.797595,-43.04864306362488
5984919839.6793585,-42.97949563205404
5985140280.561122,-42.910132472600836
5985360721.442885,-42.84057257954082
5985581162.324649,-42.77081061553497
5985801603.206413,-42.700842813337545
5986022044.088177,-42.630677750989776
5986242484.96994,-42.56030570715157
5986462925.851704,-42.48973123618842
5986683366.733467,-42.41894666858454
5986903807.615231,-42.34796035352154
5987124248.496994,-42.276766864614956
5987344689.378757,-42.20533964433375
5987565130.260521,-42.13370205256284
5987785571.142284,-42.06195718882648
5988006012.024048,-41.98993827896675
5988226452.905811,-41.91771337416158
5988446893.787575,-41.845292048197464
5988667334.669338,-41.77265003393691
5988887775.551103,-41.699805184461795
5989108216.432866,-41.626751723819595
5989328657.31463,-41.553492908025504
5989549098.196393,-41.4800202503031
5989769539.078156,-41.406343880976564
5989989979.95992,-41.332459925376085
5990210420.841683,-41.2583624316249
5990430861.723447,-41.184058101171985
5990651302.60521,-41.109546143082014
5990871743.486974,-41.034825951993824
5991092184.368737,-40.95989429858611
5991312625.250501,-40.884760125357374
5991533066.132264,-40.80940617149726
5991753507.014028,-40.73386118914755
5991973947.895792,-40.658105318668106
5992194388.777555,-40.58217807937304
5992414829.659319,-40.50594873338548
5992635270.541082,-40.429561877689665
5992855711.422846,-40.35296302497167
5993076152.304609,-40.276172170698516
5993296593.186373,-40.19916765750109
5993517034.068136,-40.121958188035904
5993737474.9499,-40.044538890379414
5993957915.831663,-39.96692457665999
5994178356.713427,-39.88903883361681
5994398797.59519,-39.811065334209246
5994619238.4769535,-39.732818294073596
5994839679.358717,-39.65439546777252
5995060120.240481,-39.575775827356566
5995280561.122245,-39.49690702066164
5995501002.004008,-39.41785788322521
5995721442.885772,-39.33862085562063
5995941883.767535,-39.259054422157305
5996162324.649299,-39.17954890568453
5996382765.531062,-39.09973495840323
5996603206.412826,-39.019695104976094
5996823647.294589,-38.93966765494932
5997044088.1763525,-38.859069962579014
5997264529.058116,-38.77846978005644
5997484969.939879,-38.697783363307096
5997705410.821643,-38.61669232773205
5997925851.703407,-38.53550217254916
5998146292.585171,-38.45418747279402
5998366733.466934,-38.372679458850754
5998587174.348698,-38.29095844339213
5998807615.230461,-38.208941470809464
5999028056.112225,-38.1271192571663
5999248496.993988,-38.04473302397645
5999468937.8757515,-37.96203930991797
5999689378.757515,-37.87977397885963
5999909819.639278,-37.796994670943334
6000130260.521042,-37.71408223413182
6000350701.402805,-37.631024630984186
6000571142.284569,-37.5477337303214
6000791583.166332,-37.464375782017214
6001012024.048097,-37.38083149946351
6001232464.92986,-37.29713586126111
6001452905.811624,-37.213294735633
6001673346.693387,-37.129306388992006
6001893787.5751505,-37.04518446473183
6002114228.456914,-36.960912148471806
6002334669.338677,-36.87653318514593
6002555110.220441,-36.79201159194291
6002775551.102204,-36.707366152540175
6002995991.983968,-36.62260430759892
6003216432.865731,-36.537727339703565
6003436873.747495,-36.45274126228193
6003657314.629258,-36.367649737785186
6003877755.511022,-36.28245880130899
6004098196.392786,-36.19716726198243
6004318637.2745495,-36.1118054819549
6004539078.156313,-36.02634383715754
6004759519.038076,-35.94080909506165
6004979959.91984,-35.85520363553309
6005200400.801603,-35.76953394676772
6005420841.683367,-35.68380416764042
6005641282.56513,-35.59802571121702
6005861723.446894,-35.51220198489088
6006082164.328657,-35.42634219105258
6006302605.210421,-35.34045019897491
6006523046.092184,-35.25452203540189
6006743486.973948,-35.16862092583847
6006963927.855711,-35.082690313948646
6007184368.737475,-34.996762862300656
6007404809.619239,-34.910856693332434
6007625250.501002,-34.824961737586676
6007845691.382766,-34.73910572327864
6008066132.264529,-34.653296650642304
6008286573.146293,-34.56751366239273
6008507014.028056,-34.48182700170598
6008727454.90982,-34.3962019088641
6008947895.791583,-34.31065649010809
6009168336.6733465,-34.22521604680273
6009388777.55511,-34.13988074468105
6009609218.436873,-34.05466507525355
6009829659.318637,-33.96958627267884
6010050100.2004,-33.8846565072416
6010270541.082165,-33.79988508275207
6010490981.963928,-33.715292696470584
6010711422.845692,-33.63088732886645
6010931863.727455,-33.54668904294755
6011152304.609219,-33.46271504696125
6011372745.490982,-33.37897503310621
6011593186.3727455,-33.2954904868449
6011813627.254509,-33.21227812918054
6012034068.136272,-33.12934969459875
6012254509.018036,-33.04672771919114
6012474949.899799,-32.96443196925988
6012695390.781563,-32.88247805590232
6012915831.663326,-32.8008904682622
6013136272.54509,-32.71967957360005
6013356713.426854,-32.638882954773564
6013577154.308618,-32.558505657480936
6013797595.190381,-32.478578704490985
6014018036.0721445,-32.39911579531818
6014238476.953908,-32.3201468323205
6014458917.835671,-32.24169669597289
6014679358.717435,-32.163778596855536
6014899799.599198,-32.08643394072653
6015120240.480962,-32.00967391196727
6015340681.362725,-31.93353330687907
6015561122.244489,-31.858037413127825
6015781563.126252,-31.783194748176513
6016002004.008016,-31.70905756004742
6016222444.889779,-31.635644382932483
6016442885.7715435,-31.56298367002931
6016663326.653307,-31.491104299277943
6016883767.53507,-31.420036125336708
6017104208.416834,-31.349810720947275
6017324649.298597,-31.280462035039704
6017545090.180361,-31.212002729210866
6017765531.062124,-31.14448252961232
6017985971.943888,-31.07792867000873
6018206412.825651,-31.01239095973775
6018426853.707415,-30.94786887347336
