Frequency,Power_dB
5975000000.0,-39.42861706851173
5975220440.881763,-39.36444535288794
5975440881.763527,-39.300066122371604
5975661322.64529,-39.235465538046114
5975881763.527054,-39.1706532399682
5976102204.408817,-39.10561891961966
5976322645.290581,-39.040367175631275
5976543086.172345,-38.9748947588115
5976763527.054109,-38.90919881522534
5976983967.935872,-38.84328363092514
5977204408.817636,-38.777139275377905
5977424849.699399,-38.71077530540077
5977645290.581162,-38.64417810876064
5977865731.462926,-38.577357464808344
5978086172.344689,-38.51030241010504
5978306613.226453,-38.44301693918959
5978527054.108216,-38.37549831991868
5978747494.98998,-38.30774144731339
5978967935.871743,-38.23975301392318
5979188376.753507,-38.171520752055926
5979408817.63527,-38.103055303161184
5979629258.517035,-38.03434466446281
5979849699.398798,-37.965394487886186
5980070140.280561,-37.896200940738765
5980290581.162325,-37.82675882777178
5980511022.044088,-37.7570745019663
5980731462.925852,-37.68713516147001
5980951903.807615,-37.616950062904465
5981172344.689379,-37.54650914853448
5981392785.571142,-37.47581393721683
5981613226.452906,-37.40486606373507
5981833667.334669,-37.33365574269635
5982054108.216433,-37.2621916425947
5982274549.098196,-37.19046300970646
5982494989.9799595,-37.11847350013747
5982715430.861724,-37.0462222231708
5982935871.743487,-36.97369975622654
5983156312.625251,-36.900915162650335
5983376753.507014,-36.82785644658952
5983597194.388778,-36.754526023946156
5983817635.270541,-36.68092482222099
5984038076.152305,-36.607042051466564
5984258517.034068,-36.532886359273476
5984478957.915832,-36.45844913019084
5984699398.797595,-36.383728016091894
5984919839.6793585,-36.30872871722674
5985140280.561122,-36.23343905762286
5985360721.442885,-36.15786379631514
5985581162.324649,-36.08200197743113
5985801603.206413,-36.005843079238616
5986022044.088177,-35.929394383395376
5986242484.96994,-35.852649634741425
5986462925.851704,-35.7756021558062
5986683366.733467,-35.698258778980886
5986903807.615231,-35.620610719322286
5987124248.496994,-35.54265413954546
5987344689.378757,-35.4643948049267
5987565130.260521,-35.38582365752771
5987785571.142284,-35.30693743198806
5988006012.024048,-35.22774174511221
5988226452.905811,-35.14822779528838
5988446893.787575,-35.06839122187883
5988667334.669338,-34.98823741475685
5988887775.551103,-34.90775923398631
5989108216.432866,-34.82695031458631
5989328657.31463,-34.74581499181161
5989549098.196393,-34.66434926674583
5989769539.078156,-34.582544436283996
5989989979.95992,-34.5004024502348
5990210420.841683,-34.41792350344875
5990430861.723447,-34.335099262317826
5990651302.60521,-34.25192604967121
5990871743.486974,-34.16840661770286
5991092184.368737,-34.084537261836076
5991312625.250501,-34.00030987272319
5991533066.132264,-33.91572344967489
5991753507.014028,-33.830779762723836
