Gain [dB],Phase [rad],Amplitude [dBm]
3.4356,0.0,-45.26161193847656
3.4356,0.08000235947387664,-45.41682434082031
3.4356,0.1590046894543298,-45.28578186035156
3.4356,0.23900704892820643,-45.52143096923828
3.4356,0.3180093789086596,-45.5683822631836
3.4356,0.3980117383825363,-45.46753692626953
3.4356,0.4770140683629894,-45.514915466308594
3.4356,0.5570164278368661,-45.452056884765625
3.4356,0.6360187578173192,-45.380409240722656
3.4356,0.7160211172911958,-45.47199249267578
3.4356,0.7950234472716491,-45.475685119628906
3.4356,0.8750258067455255,-45.458740234375
3.4356,0.9540281367259787,-45.44080352783203
3.4356,1.0340304961998557,-45.46066284179688
3.4356,1.1130328261803086,-45.47443389892578
3.4356,1.1930351856541854,-45.49429321289063
3.4356,1.2730375451280618,-45.57307434082031
3.4356,1.3520398751085152,-45.47306060791016
3.4356,1.4320422345823915,-45.3687744140625
3.4356,1.5110445645628447,-45.51068115234375
3.4356,1.5910469240367215,-45.500732421875
3.4356,1.6700492540171747,-45.52993774414063
3.4356,1.750051613491051,-45.40366363525391
3.4356,1.8290539434715043,-45.61933898925781
3.4356,1.909056302945381,-45.29878234863281
3.4356,1.9880586329258343,-45.48822021484375
3.4356,2.0680609923997113,-45.46489715576172
3.4356,2.147063322380164,-45.53411102294922
3.4356,2.2270656818540404,-45.543853759765625
3.4356,2.306068011834494,-45.44085693359375
3.4356,2.386070371308371,-45.44518280029297
3.4356,2.466072730782247,-45.36750793457031
3.4356,2.5450750607627,-45.53025817871094
3.4356,2.6250774202365768,-45.55192565917969
3.4356,2.7040797502170304,-45.40792846679688
3.4356,2.7840821096909063,-45.46247100830078
3.4356,2.86308443967136,-45.537017822265625
3.4356,2.9430867991452363,-45.52886199951172
3.4356,3.0220891291256895,-45.38142395019531
3.4356,3.1020914885995663,-45.58112335205078
3.4356,3.18109381858002,-45.60057067871094
3.4356,3.2610961780538963,-45.43695831298828
3.4356,3.3400985080343495,-45.482269287109375
3.4356,3.420100867508226,-45.52819061279297
3.4356,3.499103197488679,-45.5028076171875
3.4356,3.5791055569625563,-45.31298065185547
3.4356,3.6591079164364317,-45.45762634277344
3.4356,3.738110246416886,-45.434837341308594
3.4356,3.818112605890762,-45.480224609375
3.4356,3.8971149358712154,-45.552772521972656
3.4356,3.9771172953450917,-45.46098327636719
3.4356,4.056119625325545,-45.45157623291016
3.4356,4.136121984799423,-45.523414611816406
3.4356,4.2151243147798745,-45.436798095703125
3.4356,4.295126674253751,-45.45156097412109
3.4356,4.374129004234204,-45.549072265625
3.4356,4.454131363708081,-45.48271179199219
3.4356,4.5331336936885345,-45.40192413330078
3.4356,4.613136053162412,-45.52935028076172
3.4356,4.693138412636288,-45.41452026367188
3.4356,4.772140742616742,-45.54246520996094
3.4356,4.852143102090618,-45.39783477783203
3.4356,4.931145432071071,-45.38298797607422
3.4356,5.011147791544948,-45.44847106933594
3.4356,5.0901501215254,-45.4510498046875
3.4356,5.170152480999278,-45.561561584472656
3.4356,5.2491548109797295,-45.60760498046875
3.4356,5.329157170453607,-45.489295959472656
3.4356,5.408159500434061,-45.49105072021485
3.4356,5.488161859907938,-45.547889709472656
3.4356,5.56716418988839,-45.54174041748047
3.4356,5.647166549362267,-45.62883758544922
3.4356,5.72616887934272,-45.475868225097656
3.4356,5.806171238816597,-45.53987121582031
3.4356,5.886173598290473,-45.5884017944336
3.4356,5.965175928270926,-45.4798583984375
3.4356,6.045178287744803,-45.37596893310547
3.4356,6.124180617725256,-45.32609558105469
3.4356,6.204182977199133,-45.57335662841797
3.4356,6.283185307179586,-45.51251983642578
3.5661,0.0,-45.49964141845703
3.5661,0.08000235947387664,-45.45658874511719
3.5661,0.1590046894543298,-45.39620208740234
3.5661,0.23900704892820643,-45.41088104248047
3.5661,0.3180093789086596,-45.484954833984375
3.5661,0.3980117383825363,-45.45533752441406
3.5661,0.4770140683629894,-45.3149642944336
3.5661,0.5570164278368661,-45.587440490722656
3.5661,0.6360187578173192,-45.46407318115234
3.5661,0.7160211172911958,-45.57749938964844
3.5661,0.7950234472716491,-45.38441467285156
3.5661,0.8750258067455255,-45.519287109375
3.5661,0.9540281367259787,-45.58481597900391
3.5661,1.0340304961998557,-45.64473724365234
3.5661,1.1130328261803086,-45.44408416748047
3.5661,1.1930351856541854,-45.457298278808594
3.5661,1.2730375451280618,-45.478118896484375
3.5661,1.3520398751085152,-45.54607391357422
3.5661,1.4320422345823915,-45.49571990966797
3.5661,1.5110445645628447,-45.39980316162109
3.5661,1.5910469240367215,-45.58528137207031
3.5661,1.6700492540171747,-45.466827392578125
3.5661,1.750051613491051,-45.447113037109375
3.5661,1.8290539434715043,-45.46025085449219
3.5661,1.909056302945381,-45.594871520996094
3.5661,1.9880586329258343,-45.54106903076172
3.5661,2.0680609923997113,-45.52710723876953
3.5661,2.147063322380164,-45.49073791503906
3.5661,2.2270656818540404,-45.35053253173828
3.5661,2.306068011834494,-45.505767822265625
3.5661,2.386070371308371,-45.54749298095703
3.5661,2.466072730782247,-45.407859802246094
3.5661,2.5450750607627,-45.44581604003906
3.5661,2.6250774202365768,-45.53949737548828
3.5661,2.7040797502170304,-45.44132995605469
3.5661,2.7840821096909063,-45.394805908203125
3.5661,2.86308443967136,-45.51311492919922
3.5661,2.9430867991452363,-45.53357696533203
3.5661,3.0220891291256895,-45.52696228027344
3.5661,3.1020914885995663,-45.46475982666016
3.5661,3.18109381858002,-45.53266143798828
3.5661,3.2610961780538963,-45.60167694091797
3.5661,3.3400985080343495,-45.610328674316406
3.5661,3.420100867508226,-45.37320709228516
3.5661,3.499103197488679,-45.57001495361328
3.5661,3.5791055569625563,-45.52989196777344
3.5661,3.6591079164364317,-45.493141174316406
3.5661,3.738110246416886,-45.45066833496094
3.5661,3.818112605890762,-45.55953979492188
3.5661,3.8971149358712154,-45.43112182617188
3.5661,3.9771172953450917,-45.57354736328125
3.5661,4.056119625325545,-45.49143981933594
3.5661,4.136121984799423,-45.40643310546875
3.5661,4.2151243147798745,-45.44544219970703
3.5661,4.295126674253751,-45.625282287597656
3.5661,4.374129004234204,-45.49497985839844
3.5661,4.454131363708081,-45.57366943359375
3.5661,4.5331336936885345,-45.364845275878906
3.5661,4.613136053162412,-45.48938751220703
3.5661,4.693138412636288,-45.42619323730469
3.5661,4.772140742616742,-45.55998229980469
3.5661,4.852143102090618,-45.41462707519531
3.5661,4.931145432071071,-45.41696166992188
3.5661,5.011147791544948,-45.51384735107422
3.5661,5.0901501215254,-45.433387756347656
3.5661,5.170152480999278,-45.60420989990234
3.5661,5.2491548109797295,-45.53614044189453
3.5661,5.329157170453607,-45.5469970703125
3.5661,5.408159500434061,-45.499267578125
3.5661,5.488161859907938,-45.56704711914063
3.5661,5.56716418988839,-45.45088195800781
3.5661,5.647166549362267,-45.47242736816406
3.5661,5.72616887934272,-45.51170349121094
3.5661,5.806171238816597,-45.39777374267578
3.5661,5.886173598290473,-45.3402099609375
3.5661,5.965175928270926,-45.51836395263672
3.5661,6.045178287744803,-45.56048583984375
3.5661,6.124180617725256,-45.37169647216797
3.5661,6.204182977199133,-45.60222625732422
3.5661,6.283185307179586,-45.42121124267578
3.6966,0.0,-45.48755645751953
3.6966,0.08000235947387664,-45.600921630859375
3.6966,0.1590046894543298,-45.545501708984375
3.6966,0.23900704892820643,-45.50202941894531
3.6966,0.3180093789086596,-45.48992919921875
3.6966,0.3980117383825363,-45.4154052734375
3.6966,0.4770140683629894,-45.51544189453125
3.6966,0.5570164278368661,-45.37651062011719
3.6966,0.6360187578173192,-45.31172180175781
3.6966,0.7160211172911958,-45.40232849121094
3.6966,0.7950234472716491,-45.47532653808594
3.6966,0.8750258067455255,-45.492431640625
3.6966,0.9540281367259787,-45.56166076660156
3.6966,1.0340304961998557,-45.38311004638672
3.6966,1.1130328261803086,-45.308929443359375
3.6966,1.1930351856541854,-45.54318237304688
3.6966,1.2730375451280618,-45.50038909912109
3.6966,1.3520398751085152,-45.5128173828125
3.6966,1.4320422345823915,-45.47908020019531
3.6966,1.5110445645628447,-45.593971252441406
3.6966,1.5910469240367215,-45.61228942871094
3.6966,1.6700492540171747,-45.49681854248047
3.6966,1.750051613491051,-45.54477691650391
3.6966,1.8290539434715043,-45.49652099609375
3.6966,1.909056302945381,-45.58932495117188
3.6966,1.9880586329258343,-45.543983459472656
3.6966,2.0680609923997113,-45.41571807861328
3.6966,2.147063322380164,-45.49235534667969
3.6966,2.2270656818540404,-45.40825653076172
3.6966,2.306068011834494,-45.54728698730469
3.6966,2.386070371308371,-45.51776123046875
3.6966,2.466072730782247,-45.3896713256836
3.6966,2.5450750607627,-45.49407958984375
3.6966,2.6250774202365768,-45.36544036865234
3.6966,2.7040797502170304,-45.44385528564453
3.6966,2.7840821096909063,-45.53230285644531
3.6966,2.86308443967136,-45.55400085449219
3.6966,2.9430867991452363,-45.577293395996094
3.6966,3.0220891291256895,-45.53186798095703
3.6966,3.1020914885995663,-45.55403900146485
3.6966,3.18109381858002,-45.58118438720703
3.6966,3.2610961780538963,-45.5957260131836
3.6966,3.3400985080343495,-45.53080749511719
3.6966,3.420100867508226,-45.405494689941406
3.6966,3.499103197488679,-45.60259246826172
3.6966,3.5791055569625563,-45.46868133544922
3.6966,3.6591079164364317,-45.32856750488281
3.6966,3.738110246416886,-45.5311279296875
3.6966,3.818112605890762,-45.47946166992188
3.6966,3.8971149358712154,-45.59405517578125
3.6966,3.9771172953450917,-45.50524139404297
3.6966,4.056119625325545,-45.51397705078125
3.6966,4.136121984799423,-45.53425598144531
3.6966,4.2151243147798745,-45.68226623535156
3.6966,4.295126674253751,-45.3494873046875
3.6966,4.374129004234204,-45.441650390625
3.6966,4.454131363708081,-45.65254211425781
3.6966,4.5331336936885345,-45.57732391357422
3.6966,4.613136053162412,-45.48430633544922
3.6966,4.693138412636288,-45.28063201904297
3.6966,4.772140742616742,-45.50530242919922
3.6966,4.852143102090618,-45.40153503417969
3.6966,4.931145432071071,-45.615516662597656
3.6966,5.011147791544948,-45.508392333984375
3.6966,5.0901501215254,-45.39722442626953
3.6966,5.170152480999278,-45.488014221191406
3.6966,5.2491548109797295,-45.60301971435547
3.6966,5.329157170453607,-45.49210357666016
3.6966,5.408159500434061,-45.34239196777344
3.6966,5.488161859907938,-45.60367584228516
3.6966,5.56716418988839,-45.556739807128906
3.6966,5.647166549362267,-45.60338592529297
3.6966,5.72616887934272,-45.214599609375
3.6966,5.806171238816597,-45.54786682128906
3.6966,5.886173598290473,-45.51597595214844
3.6966,5.965175928270926,-45.58099365234375
3.6966,6.045178287744803,-45.49082946777344
3.6966,6.124180617725256,-45.586708068847656
3.6966,6.204182977199133,-45.43800354003906
3.6966,6.283185307179586,-45.45906829833984
3.8271,0.0,-45.53726196289063
3.8271,0.08000235947387664,-45.36628723144531
3.8271,0.1590046894543298,-45.37631988525391
3.8271,0.23900704892820643,-45.35516357421875
3.8271,0.3180093789086596,-45.54840087890625
3.8271,0.3980117383825363,-45.3520736694336
3.8271,0.4770140683629894,-45.494720458984375
3.8271,0.5570164278368661,-45.38321685791016
3.8271,0.6360187578173192,-45.47187805175781
3.8271,0.7160211172911958,-45.4500732421875
3.8271,0.7950234472716491,-45.48457336425781
3.8271,0.8750258067455255,-45.51779174804688
3.8271,0.9540281367259787,-45.59806823730469
3.8271,1.0340304961998557,-45.51361083984375
3.8271,1.1130328261803086,-45.52677154541016
3.8271,1.1930351856541854,-45.44203186035156
3.8271,1.2730375451280618,-45.52671051025391
3.8271,1.3520398751085152,-45.449005126953125
