Frequency,Transmission
5935000000.0,-52.70844052694773
5937020202.020202,-52.3435597848131
5939040404.040404,-51.97099935571121
5941060606.060606,-51.590442206530724
5943080808.080808,-51.20155229579997
5945101010.10101,-50.80397316839283
5947121212.121212,-50.3973264168898
5949141414.141414,-49.98121003572018
5951161616.161616,-49.555196650531784
5953181818.181818,-49.118831624013026
5955202020.202021,-48.67163103588946
5957222222.222222,-48.21307954720111
5959242424.242424,-47.742628160212874
5961262626.262627,-47.25969189873024
5963282828.282828,-46.76364744854523
5965303030.30303,-46.253830819759074
5967323232.323233,-45.72953512402857
5969343434.343434,-45.190008604132714
5971363636.363636,-44.634453116037
5973383838.383839,-44.06202335244846
5975404040.40404,-43.4718272224639
5977424242.424242,-42.862927979608685
5979444444.444445,-42.23434894191761
5981464646.464646,-41.58508200298991
5983484848.484848,-40.91410163425404
5985505050.505051,-40.22038678339031
5987525252.525252,-39.50295405781371
5989545454.545455,-38.760906940225894
5991565656.565657,-37.99350762197457
5993585858.585858,-37.20028045000679
5995606060.606061,-36.3811589681437
5997626262.626263,-35.536691847094446
5999646464.646464,-34.66832581052503
6001666666.666667,-33.77878394138201
6003686868.686869,-32.872551243026734
6005707070.70707,-31.95645831703642
6007727272.727273,-31.040306859178905
6009747474.747475,-30.137395273038067
6011767676.767676,-29.264680210185276
6013787878.787879,-28.442194320980143
6015808080.808081,-27.691352063644665
6017828282.828283,-27.032086439960487
6019848484.848485,-26.47942472855962
6021868686.868687,-26.040810492674517
6023888888.888889,-25.715559344165023
6025909090.909091,-25.49694676384471
6027929292.929293,-25.37610788574176
6029949494.949495,-25.346154774874236
6031969696.969697,-25.405054773074426
6033989898.989899,-25.55644050244431
6036010101.010101,-25.808150410454253
6038030303.030303,-26.168872864349026
6040050505.050505,-26.64392088045566
6042070707.070707,-27.231712319560607
6044090909.090909,-27.922420818710386
6046111111.111111,-28.69924961587315
6048131313.131313,-29.541485234807936
6050151515.151515,-30.427867743285653
6052171717.171717,-31.339141076252616
6054191919.191919,-32.25939602953072
6056212121.212121,-33.17639294321933
6058232323.232324,-34.08125891069879
6060252525.252525,-34.96791170698958
6062272727.272727,-35.83243646156656
6064292929.29293,-36.67252750446539
6066313131.313131,-37.4870344472367
6068333333.333333,-38.27561339265257
6070353535.353536,-39.03846842372697
6072373737.373737,-39.77616461162995
6074393939.393939,-40.48949511553707
6076414141.414142,-41.17938804733687
6078434343.434343,-41.8468420433921
6080454545.454545,-42.49288231099211
6082474747.474748,-43.11853115346832
6084494949.494949,-43.72478868073388
6086515151.515152,-44.312620615393286
6088535353.535354,-44.88295103827048
6090555555.555555,-45.43665852970931
6092575757.575758,-45.974574625557985
6094595959.59596,-46.49748382666702
6096616161.616161,-47.00612462791538
6098636363.636364,-47.50119119337637
6100656565.656566,-47.98333541777957
6102676767.676767,-48.45316919469359
6104696969.69697,-48.91126676858767
6106717171.717172,-49.35816708801049
6108737373.737373,-49.79437610538046
6110757575.757576,-50.220368988739416
6112777777.777778,-50.63659222472431
6114797979.797979,-51.043465601663044
6116818181.818182,-51.44138406832731
6118838383.838384,-51.830719468366865
6120858585.858586,-52.21182215341145
6122878787.878788,-52.585022479706886
6124898989.89899,-52.95063219429002
6126919191.919192,-53.30894571729768
6128939393.939394,-53.66024132726458
6130959595.959596,-54.00478225612676
6132979797.979798,-54.34281770085025
6135000000.0,-54.674583757685085
