Frequency,Transmission
5935000000.0,-40.89519870920749
5937020202.020202,-40.46916774774527
5939040404.040404,-40.03100010635816
5941060606.060606,-39.57992630712183
5943080808.080808,-39.11509786632246
5945101010.10101,-38.635575900312
5947121212.121212,-38.140317595442504
5949141414.141414,-37.62816005252957
5951161616.161616,-37.09780087524359
5953181818.181818,-36.54777469710425
5955202020.202021,-35.97642459873019
5957222222.222222,-35.381867053588834
5959242424.242424,-34.76194860954199
5961262626.262627,-34.114191934702276
5963282828.282828,-33.43572806847567
5965303030.30303,-32.72321064886625
5967323232.323233,-31.972706442540506
5969343434.343434,-31.179554587927562
5971363636.363636,-30.33818452551234
5973383838.383839,-29.441879798848625
5975404040.40404,-28.482472622456243
5977424242.424242,-27.449955241731175
5979444444.444445,-26.332007532330927
5981464646.464646,-25.1134923057186
5983484848.484848,-23.776138738459515
5985505050.505051,-22.29915778116763
5987525252.525252,-20.663139880000845
5989545454.545455,-18.86442116724868
5991565656.565657,-16.960008039202805
5993585858.585858,-15.180222855560007
5995606060.606061,-14.055422957276818
5997626262.626263,-14.101698701291994
5999646464.646464,-15.115737129507938
6001666666.666667,-16.48408269529279
6003686868.686869,-17.8284456300057
6005707070.70707,-19.022752391293682
6007727272.727273,-20.047962532596042
6009747474.747475,-20.917491229059813
6011767676.767676,-21.65119356845608
6013787878.787879,-22.267612645247908
6015808080.808081,-22.78216981971228
6017828282.828283,-23.20714450571043
6019848484.848485,-23.552107503103002
6021868686.868687,-23.82439404856671
6023888888.888889,-24.02950213575189
6025909090.909091,-24.171396513122566
6027929292.929293,-24.25272585964769
6029949494.949495,-24.27496545249076
6031969696.969697,-24.238495480464273
6033989898.989899,-24.142621072583765
6036010101.010101,-23.98553564236981
6038030303.030303,-23.764224634224085
6040050505.050505,-23.474302336989588
6042070707.070707,-23.109770658888863
6044090909.090909,-22.66268784111002
6046111111.111111,-22.122744044543033
6048131313.131313,-21.476780594807153
6050151515.151515,-20.708423003444608
6052171717.171717,-19.79841386486115
6054191919.191919,-18.72751043530437
6056212121.212121,-17.487691093268527
6058232323.232324,-16.118214702067007
6060252525.252525,-14.802007687489976
6062272727.272727,-14.010342905643345
6064292929.29293,-14.32628995307315
6066313131.313131,-15.713593305815419
6068333333.333333,-17.57333623194809
6070353535.353536,-19.462877934901343
6072373737.373737,-21.2188732511709
6074393939.393939,-22.809889311823646
6076414141.414142,-24.246869944954675
6078434343.434343,-25.55042104217754
6080454545.454545,-26.740779803015258
6082474747.474748,-27.83530176455595
6084494949.494949,-28.848254413129567
6086515151.515152,-29.791231037643982
6088535353.535354,-30.673657607259592
6090555555.555555,-31.503242543089307
6092575757.575758,-32.28634005002686
6094595959.59596,-33.02823375139499
6096616161.616161,-33.73335562162529
6098636363.636364,-34.40545481405544
6100656565.656566,-35.0477283785511
6102676767.676767,-35.66292313374092
6104696969.69697,-36.25341567134307
6106717171.717172,-36.82127570033093
6108737373.737373,-37.3683166136034
6110757575.757576,-37.89613618131987
6112777777.777778,-38.406149554753306
6114797979.797979,-38.89961623429865
6116818181.818182,-39.37766226255956
6118838383.838384,-39.841298612058694
6120858585.858586,-40.291436516732986
6122878787.878788,-40.728900333939684
6124898989.89899,-41.15443839578661
6126919191.919192,-41.56873221407515
6128939393.939394,-41.972404328663934
6130959595.959596,-42.36602503167603
6132979797.979798,-42.75011815505975
6135000000.0,-43.12516607368888
