Frequency,Transmission
6012000000.0,-33.41482889039621
6012353535.353536,-33.260267756754814
6012707070.70707,-33.105533869032286
6013060606.060606,-32.950673070994625
6013414141.414142,-32.79573475186048
6013767676.767676,-32.64077208936431
6014121212.121212,-32.485842306354456
6014474747.474748,-32.331006940927054
6014828282.828282,-32.176332129900615
6015181818.181818,-32.0218889052202
6015535353.535354,-31.8677535026074
6015888888.888889,-31.714007681434644
6016242424.242424,-31.560739054433398
6016595959.59596,-31.408041425385242
6016949494.949495,-31.2560151324384
6017303030.30303,-31.104767394083993
6017656565.656566,-30.954412654165957
6018010101.010101,-30.805072921544685
6018363636.363636,-30.656878099189655
6018717171.717172,-30.509966296574895
6019070707.070707,-30.36448411826882
6019424242.424242,-30.220586920558425
6019777777.777778,-30.078439026878712
6020131313.131313,-29.93821389172352
6020484848.484848,-29.800094201630344
6020838383.838384,-29.66427190083246
6021191919.191919,-29.53094812827991
6021545454.545455,-29.400333052011376
6021898989.89899,-29.272645586419173
6022252525.252525,-29.148112977827232
6022606060.606061,-29.026970244129217
6022959595.959596,-28.909459455063732
6023313131.313131,-28.795828841170078
6023666666.666667,-28.686331721623112
6024020202.020202,-28.58122524405909
6024373737.373737,-28.480768933242317
6024727272.727273,-28.385223049965056
6025080808.080808,-28.29484676688407
6025434343.434343,-28.209896174004413
6025787878.787879,-28.130622133046835
6026141414.141414,-28.057268006762314
6026494949.494949,-27.9900672961245
6026848484.848485,-27.92924122487897
6027202020.202021,-27.874996316786635
6027555555.555555,-27.8275220156885
6027909090.909091,-27.786988401831053
6028262626.262627,-27.75354405940459
6028616161.616161,-27.72731414967228
6028969696.969697,-27.70839874126019
6029323232.323233,-27.696871444089965
6029676767.676767,-27.692778386183974
6030030303.030303,-27.69613756342349
6030383838.383839,-27.70693858168513
6030737373.737373,-27.7251427991377
6031090909.090909,-27.750683864438265
6031444444.444445,-27.783468634740032
6031797979.797979,-27.82337844642405
6032151515.151515,-27.870270701825575
6032505050.505051,-27.92398072738044
6032858585.858586,-27.98432385287927
6033212121.212121,-28.05109765802908
6033565656.565657,-28.124084331307913
6033919191.919192,-28.20305308701529
6034272727.272727,-28.287762589245688
6034626262.626263,-28.37796333589923
6034979797.979798,-28.473399961429557
6035333333.333333,-28.573813423424298
6035686868.686869,-28.678943044914178
6036040404.040404,-28.7885283911801
6036393939.393939,-28.902310966478375
6036747474.747475,-29.020035722271892
6037101010.10101,-29.1414523740858
6037454545.454545,-29.266316528893704
6037808080.808081,-29.394390628902862
6038161616.161616,-29.525444720763694
6038515151.515152,-29.659257061613793
6038868686.868687,-29.79561457501044
6039222222.222222,-29.93431317082875
6039575757.575758,-30.075157943655526
6039929292.929293,-30.21796326422652
6040282828.282828,-30.36255277808373
6040636363.636364,-30.50875932498733
6040989898.989899,-30.656424791782264
6041343434.343434,-30.805399910429053
6041696969.69697,-30.955544011848026
6042050505.050505,-31.106724745145044
6042404040.40404,-31.25881777068922
6042757575.757576,-31.411706434457827
6043111111.111111,-31.56528143007381
6043464646.464646,-31.719440454016343
6043818181.818182,-31.874087858626936
6044171717.171718,-32.02913430676788
6044525252.525252,-32.18449643127855
6044878787.878788,-32.34009650177092
6045232323.232324,-32.495862100752774
6045585858.585858,-32.6517258106138
6045939393.939394,-32.80762491259462
6046292929.29293,-32.963501098516836
6046646464.646464,-33.119300195775054
6047000000.0,-33.2749719058404
