Frequency,Transmission
6012000000.0,-25.65353328170663
6012353535.353536,-25.46276643264345
6012707070.70707,-25.269051317918418
6013060606.060606,-25.07226880636008
6013414141.414142,-24.87229284431382
6013767676.767676,-24.668989964023382
6014121212.121212,-24.462218752148637
6014474747.474748,-24.25182927517075
6014828282.828282,-24.0376624582685
6015181818.181818,-23.819549414149677
6015535353.535354,-23.597310718278223
6015888888.888889,-23.37075562697826
6016242424.242424,-23.1396812351254
6016595959.59596,-22.903871570542286
6016949494.949495,-22.66309662296932
6017303030.30303,-22.417111306623035
6017656565.656566,-22.16565435715846
6018010101.010101,-21.90844716647433
6018363636.363636,-21.64519256260038
6018717171.717172,-21.375573547380466
6019070707.070707,-21.09925201240268
6019424242.424242,-20.815867464528313
6019777777.777778,-20.52503580769075
6020131313.131313,-20.22634824909362
6020484848.484848,-19.91937042788991
6020838383.838384,-19.603641906341913
6021191919.191919,-19.278676222020593
6021545454.545455,-18.943961781448376
6021898989.89899,-18.59896399016046
6022252525.252525,-18.243129174463174
6022606060.606061,-17.875891074606752
6022959595.959596,-17.496681002930977
6023313131.313131,-17.10494319856432
6023666666.666667,-16.700157518783158
6024020202.020202,-16.281872445922893
6024373737.373737,-15.849752529933241
6024727272.727273,-15.403645905876019
6025080808.080808,-14.94367947603795
6025434343.434343,-14.470391695346795
6025787878.787879,-13.98491539123745
6026141414.141414,-13.489224937100648
6026494949.494949,-12.986461655327691
6026848484.848485,-12.481345085413345
6027202020.202021,-11.980659609170011
6027555555.555555,-11.493766877411783
6027909090.909091,-11.033025281872032
6028262626.262627,-25.0
6028616161.616161,-25.0
6028969696.969697,-25.0
6029323232.323233,8.066522380640126
6029676767.676767,8.38538990771844
6030030303.030303,8.238786243404672
6030383838.383839,-25.0
6030737373.737373,-25.0
6031090909.090909,-25.0
6031444444.444445,-25.0
6031797979.797979,-25.0
6032151515.151515,-25.0
6032505050.505051,-12.340366084739088
6032858585.858586,-12.84590265694144
6033212121.212121,-13.350843825723757
6033565656.565657,-13.84991533349772
6033919191.919192,-14.339557773846288
6034272727.272727,-14.817490794294876
6034626262.626263,-15.282362698716241
6034979797.979798,-15.73348156416326
6035333333.333333,-16.17061501494667
6035686868.686869,-16.593844109031135
6036040404.040404,-17.003458234074028
6036393939.393939,-17.39988033495253
6036747474.747475,-17.783614227666433
6037101010.10101,-18.15520783207884
6037454545.454545,-18.515227798745876
6037808080.808081,-18.8642422499132
6038161616.161616,-19.20280927464963
6038515151.515152,-19.531469487592595
6038868686.868687,-19.85074144353455
6039222222.222222,-20.161119046426663
6039575757.575758,-20.463070339089704
6039929292.929293,-20.757037236962006
6040282828.282828,-21.043435895642965
6040636363.636364,-21.32265749236195
6040989898.989899,-21.59506926614514
6041343434.343434,-21.861015707664407
6041696969.69697,-22.120819822838854
6042050505.050505,-22.374784417947964
6042404040.40404,-22.623193370907295
6042757575.757576,-22.866312865419495
6043111111.111111,-23.104392573344697
6043464646.464646,-23.337666776302044
6043818181.818182,-23.566355423042836
6044171717.171718,-23.790665119524334
6044525252.525252,-24.01079005379689
6044878787.878788,-24.22691285660261
6045232323.232324,-24.439205400689985
6045585858.585858,-24.647829542011756
6045939393.939394,-24.852937806264848
6046292929.29293,-25.05467402432855
6046646464.646464,-25.253173920152825
6047000000.0,-25.448565654537965
