Frequency,Power_dB
5975000000.0,-37.63184738892477
5975110110.11011,-37.60126351474973
5975220220.220221,-37.57064166157983
5975330330.33033,-37.53998388558168
5975440440.44044,-37.509293617612414
5975550550.55055,-37.47856836828683
5975660660.660661,-37.447808733179656
5975770770.770771,-37.41701148662703
5975880880.880881,-37.38618455443215
5975990990.990991,-37.355323579547075
5976101101.101101,-37.32442631299672
5976211211.211211,-37.29350284735696
5976321321.3213215,-37.262540495266535
5976431431.431432,-37.23154901875975
5976541541.541541,-37.200520998925356
5976651651.651651,-37.16945888021935
5976761761.761762,-37.13836403667446
5976871871.871872,-37.107234299142235
5976981981.981982,-37.07607180437016
5977092092.0920925,-37.04487696970824
5977202202.202202,-37.01364266039981
5977312312.312312,-36.982390493722576
5977422422.422422,-36.95108748134952
5977532532.532533,-36.91975774409539
5977642642.642643,-36.88839792858755
5977752752.752752,-36.857002987612105
5977862862.862863,-36.82557874179096
5977972972.972973,-36.79411904248704
5978083083.083083,-36.76262848787745
5978193193.193193,-36.73110768321213
5978303303.303304,-36.69955816269896
5978413413.413413,-36.66797581992665
5978523523.523523,-36.636357342397304
5978633633.633634,-36.60470672663118
5978743743.743744,-36.57302465839872
5978853853.853854,-36.54131154970693
5978963963.9639635,-36.50956644933426
5979074074.074074,-36.47779045360288
5979184184.184184,-36.44597415620191
5979294294.294294,-36.4141427403293
5979404404.404405,-36.382276166086214
5979514514.514515,-36.35037600196176
5979624624.624624,-36.318445920659414
5979734734.734735,-36.286485339522685
5979844844.844845,-36.25449425261296
5979954954.954955,-36.22247284857801
5980065065.065065,-36.19042223809916
5980175175.175175,-36.15833778909136
5980285285.285285,-36.12624383843044
5980395395.395395,-36.0940832869925
5980505505.505506,-36.061856678735154
5980615615.615616,-36.0297135501953
5980725725.725726,-35.99747947119303
5980835835.835835,-35.965233136091484
5980945945.945946,-35.93294838647354
5981056056.056056,-35.90063956237154
5981166166.166166,-35.86829468936318
5981276276.276277,-35.835915618500024
5981386386.386386,-35.803520042733055
5981496496.496496,-35.77109062375277
5981606606.6066065,-35.738735574530565
5981716716.716717,-35.70609549849006
5981826826.826827,-35.673564957446445
5981936936.936937,-35.64110705890383
5982047047.047047,-35.608701757958116
5982157157.157157,-35.57587128112439
5982267267.267267,-35.54342015739695
5982377377.3773775,-35.51074732647132
5982487487.487488,-35.47807072313975
5982597597.597597,-35.44537972552786
5982707707.707707,-35.41266312196798
5982817817.817818,-35.37992924020641
5982927927.927928,-35.347160181428464
5983038038.038038,-35.31436967213186
5983148148.148149,-35.28155319315552
5983258258.258258,-35.24872467848695
5983368368.368368,-35.21587505657058
5983478478.478478,-35.18300044473622
5983588588.588589,-35.15009158738641
5983698698.698699,-35.11716268153104
5983808808.808809,-35.08422031758718
5983918918.918919,-35.05124052640724
5984029029.029029,-35.01824302160816
5984139139.139139,-34.985233303708426
5984249249.249249,-34.95218730136092
5984359359.35936,-34.919137405174666
5984469469.469469,-34.88603681105931
5984579579.579579,-34.8529493689926
5984689689.68969,-34.819832061495546
5984799799.7998,-34.78669105151427
5984909909.90991,-34.75353803524311
5985020020.0200205,-34.720334943883216
5985130130.13013,-34.68714934911988
5985240240.24024,-34.65394704313043
5985350350.35035,-34.620700035711536
5985460460.460461,-34.5874535441971
5985570570.570571,-34.554179602844286
5985680680.68068,-34.520896479311446
5985790790.790791,-34.48760283677821
5985900900.900901,-34.45428403708766
5986011011.011011,-34.4209447953138
5986121121.121121,-34.3875921521859
5986231231.231232,-34.354230581220264
5986341341.341341,-34.320855246514114
5986451451.451451,-34.287465384065456
5986561561.561562,-34.254042058334534
5986671671.671672,-34.220636045445275
5986781781.781782,-34.18720110496069
5986891891.8918915,-34.153776968809254
5987002002.002002,-34.12030194363746
5987112112.112112,-34.08682398379436
5987222222.222222,-34.053338747733534
5987332332.332333,-34.01986202907506
5987442442.442443,-33.98635457126989
5987552552.552552,-33.95285455555736
5987662662.6626625,-33.91933148494889
5987772772.772773,-33.88579409103179
5987882882.882883,-33.85227156959058
5987992992.992993,-33.81872441819319
5988103103.103103,-33.78516673356639
5988213213.213213,-33.75160154975654
5988323323.323323,-33.71804962564086
5988433433.433434,-33.68446743726501
5988543543.543544,-33.65088615595273
5988653653.653654,-33.61731496608399
5988763763.763763,-33.58372674810666
5988873873.873874,-33.55014090470242
5988983983.983984,-33.51653291151852
5989094094.094094,-33.482947087166835
5989204204.204205,-33.44935658471606
5989314314.314314,-33.41575384242802
5989424424.424424,-33.382158076902186
5989534534.534534,-33.348561269481394
5989644644.644645,-33.31496417674809
5989754754.754755,-33.281359725913326
5989864864.864865,-33.24776015383202
5989974974.974975,-33.21416916021181
5990085085.085085,-33.18057825083283
5990195195.195195,-33.14699005585999
5990305305.3053055,-33.113407164920275
5990415415.415416,-33.07981801209678
5990525525.525525,-33.04625531326339
5990635635.635635,-33.012676036558744
5990745745.745746,-32.979109992295264
5990855855.855856,-32.94555373088559
5990965965.965966,-32.912009618035576
5991076076.0760765,-32.878479107133856
5991186186.186186,-32.844958711671275
5991296296.296296,-32.81143064413291
5991406406.406406,-32.77792206227201
5991516516.516517,-32.744423864982714
5991626626.626627,-32.710939925295136
5991736736.736736,-32.67747058011728
5991846846.846847,-32.644021319912
5991956956.956957,-32.610570041768355
5992067067.067067,-32.57714259536669
5992177177.177177,-32.543730720544104
5992287287.287288,-32.5103300422959
5992397397.397397,-32.47695224318151
5992507507.507507,-32.44358864311988
5992617617.617618,-32.4102553015394
5992727727.727728,-32.37693596540197
5992837837.837838,-32.34362750751988
5992947947.9479475,-32.310347188262355
5993058058.058058,-32.277092429406345
5993168168.168168,-32.24385928355246
5993278278.278278,-32.21064940923233
5993388388.388389,-32.177460291691666
5993498498.498499,-32.14429995147278
5993608608.608608,-32.11116948123613
5993718718.718719,-32.078061329078494
5993828828.828829,-32.04498539610551
5993938938.938939,-32.01193354785535
5994049049.049049,-31.97891759787511
5994159159.159159,-31.945923087579374
5994269269.269269,-31.91296683072934
5994379379.379379,-31.880038424067585
5994489489.48949,-31.84714887242508
5994599599.5996,-31.81429158276191
5994709709.70971,-31.78147003438948
5994819819.819819,-31.748682972038125
5994929929.92993,-31.715934105848078
5995040040.04004,-31.683222332197182
5995150150.15015,-31.65054925918396
5995260260.260261,-31.617919979864837
5995370370.37037,-31.58533006764594
5995480480.48048,-31.552779848394593
5995590590.5905905,-31.52027423738418
5995700700.700701,-31.48781034273742
5995810810.810811,-31.455391243289625
5995920920.920921,-31.423022256225195
5996031031.031031,-31.390695916667404
5996141141.141141,-31.35841651557147
5996251251.251251,-31.326188673638633
5996361361.3613615,-31.294011869144683
5996471471.471472,-31.26188443187275
5996581581.581581,-31.229809291874282
5996691691.691691,-31.197786568402456
5996801801.801802,-31.165818708028432
5996911911.911912,-31.133901737387717
5997022022.022022,-31.10204851813046
5997132132.132133,-31.07023730471957
5997242242.242242,-31.038505145942665
5997352352.352352,-31.006821142511228
5997462462.462462,-30.97519403737345
5997572572.572573,-30.94362356740178
5997682682.682683,-30.912168407075086
5997792792.792792,-30.880745099360034
5997902902.902903,-30.849372103076675
5998013013.013013,-30.818023957272295
5998123123.123123,-30.786784857371345
5998233233.233233,-30.755614421011927
5998343343.343344,-30.7245113227819
5998453453.453453,-30.69348107685373
5998563563.563563,-30.662518505034583
5998673673.673674,-30.631629842694714
5998783783.783784,-30.600812863204595
5998893893.893894,-30.570070944170453
5999004004.0040045,-30.53940579948255
5999114114.114114,-30.508819164478098
5999224224.224224,-30.478305303624253
5999334334.334334,-30.447880057447342
5999444444.444445,-30.417527906304116
5999554554.554555,-30.38725884110584
5999664664.664664,-30.357071970099526
5999774774.774775,-30.326962594083014
5999884884.884885,-30.29693641648271
5999994994.994995,-30.267006468653854
6000105105.105105,-30.237165907731395
6000215215.215216,-30.20739987281995
6000325325.325325,-30.177726705800083
6000435435.435435,-30.14814122551254
6000545545.545546,-30.11865877714544
6000655655.655656,-30.089254760905135
6000765765.765766,-30.05995812272179
6000875875.875875,-30.030744732817695
6000985985.985986,-30.001628008534325
6001096096.096096,-29.97260742677109
6001206206.206206,-29.94369456174588
6001316316.316317,-29.914877350943797
6001426426.426427,-29.88615033068158
6001536536.536536,-29.85752849309698
6001646646.6466465,-29.829016042596464
6001756756.756757,-29.800596942124812
6001866866.866867,-29.772295940362817
6001976976.976977,-29.744093143288822
6002087087.087087,-29.71599571471215
6002197197.197197,-29.688006294658734
6002307307.307307,-29.660127508923196
6002417417.417418,-29.632364590973488
6002527527.527528,-29.604695740830394
6002637637.637638,-29.57715364011093
6002747747.747747,-29.54971721012341
6002857857.857858,-29.522395124947998
6002967967.967968,-29.49519221224466
6003078078.078078,-29.468099530929422
6003188188.188189,-29.441132881666725
6003298298.298298,-29.414262878870773
6003408408.408408,-29.387545183447372
6003518518.518518,-29.360929427222672
6003628628.628629,-29.33443431300666
6003738738.738739,-29.308060429866913
6003848848.848849,-29.2818163902474
6003958958.958959,-29.25568621086714
6004069069.069069,-29.229685863687934
6004179179.179179,-29.20381109542906
6004289289.289289,-29.17806374961941
6004399399.3994,-29.152446276821564
6004509509.509509,-29.12695696011552
6004619619.619619,-29.10159549494786
6004729729.72973,-29.07636304367798
6004839839.83984,-29.051267303391768
6004949949.94995,-29.026295751653223
6005060060.0600605,-29.001462519890396
6005170170.17017,-28.97675674232712
6005280280.28028,-28.95218734367988
6005390390.39039,-28.927756037146878
6005500500.500501,-28.90346749037672
6005610610.610611,-28.879308187320788
6005720720.72072,-28.855285005836805
6005830830.830831,-28.831404388448256
6005940940.940941,-28.807657345418313
6006051051.051051,-28.784053892725517
6006161161.161161,-28.760597224239405
6006271271.271272,-28.737285030482155
6006381381.381381,-28.71409371624069
6006491491.491491,-28.691075674150845
6006601601.601602,-28.668171029314927
6006711711.711712,-28.6454137376029
6006821821.821822,-28.622783526920145
6006931931.9319315,-28.60053820251978
6007042042.042042,-28.578065716118914
6007152152.152152,-28.555482951366187
6007262262.262262,-28.533772424400006
6007372372.372373,-28.512010936523147
6007482482.482483,-28.490270074611786
6007592592.592592,-28.468660746666174
6007702702.7027025,-28.447251843436405
6007812812.812813,-28.425965508273592
6007922922.922923,-28.40483406322089
6008033033.033033,-28.383874340489513
6008143143.143143,-28.363027212117238
6008253253.253253,-28.342350820528182
6008363363.363363,-28.321929754302992
6008473473.473474,-28.301480806190924
6008583583.583584,-28.281229615395915
6008693693.693694,-28.261160108289843
6008803803.803803,-28.241248757807007
6008913913.913914,-28.221474414595832
6009024024.024024,-28.201866574892918
6009134134.134134,-28.182405687094764
6009244244.244245,-28.16310879130971
6009354354.354354,-28.14395298589973
6009464464.464464,-28.125043475363697
6009574574.574574,-28.106123120740165
6009684684.684685,-28.08743154619325
6009794794.794795,-28.068896241215555
6009904904.904905,-28.05051623719035
6010015015.015015,-28.032297878478886
6010125125.125125,-28.014220375439635
6010235235.235235,-27.996314048878176
6010345345.3453455,-27.978539467292023
6010455455.455456,-27.960941957368426
6010565565.565565,-27.9434878184412
6010675675.675675,-27.926194748613334
6010785785.785786,-27.909047785919014
6010895895.895896,-27.89208494709019
6011006006.006006,-27.87523639349906
6011116116.116117,-27.8585628224793
6011226226.226226,-27.84204500676077
6011336336.336336,-27.825668498916365
6011446446.446446,-27.80945916377182
6011556556.556557,-27.793396680583946
6011666666.666667,-27.777490198876038
6011776776.776776,-27.761737413554464
6011886886.886887,-27.746120581200998
6011996996.996997,-27.730691378370977
6012107107.107107,-27.715472977595553
6012217217.217217,-27.700254973429644
6012327327.327328,-27.68526515414122
6012437437.437437,-27.670426310827196
6012547547.547547,-27.65574119169517
6012657657.657658,-27.641216503173297
6012767767.767768,-27.62682590291395
6012877877.877878,-27.61263367058143
6012987987.9879875,-27.59851458761525
6013098098.098098,-27.584579493426986
6013208208.208208,-27.57079310663486
6013318318.318318,-27.557161442278684
6013428428.428429,-27.54366905255103
6013538538.538539,-27.530336813104164
6013648648.648648,-27.517151602048777
6013758758.758759,-27.504105402745793
6013868868.868869,-27.491206565981116
6013978978.978979,-27.478460633305623
6014089089.089089,-27.46587825784242
6014199199.1992,-27.45339561944664
6014309309.309309,-27.44108074015091
6014419419.419419,-27.428908948430326
6014529529.52953,-27.41688057762606
6014639639.63964,-27.404995361687945
6014749749.74975,-27.39325268681185
6014859859.859859,-27.3816515002866
6014969969.96997,-27.370186380347974
6015080080.08008,-27.358871630003485
6015190190.19019,-27.347689570161073
6015300300.300301,-27.336648569927597
6015410410.410411,-27.32574800205586
6015520520.52052,-27.31498124146971
6015630630.6306305,-27.304355378059512
6015740740.740741,-27.2938621652348
6015850850.850851,-27.283505521325637
6015960960.960961,-27.273285185315586
6016071071.071071,-27.26319990340798
6016181181.181181,-27.25324514116398
6016291291.291291,-27.243428244865598
6016401401.4014015,-27.23373788451147
6016511511.511512,-27.224186284002585
6016621621.621622,-27.214757115295278
6016731731.731731,-27.20546278400002
6016841841.841842,-27.19629704869427
6016951951.951952,-27.18725970414777
6017062062.062062,-27.17835023464781
6017172172.172173,-27.16956539559652
6017282282.282282,-27.160908725252916
6017392392.392392,-27.1523784639217
6017502502.502502,-27.143971896697025
6017612612.612613,-27.135669003701764
