Frequency,Power_dB
5975000000.0,-28.35526063860773
5975110110.11011,-28.307379333434177
5975220220.220221,-28.259369412882705
5975330330.33033,-28.21123087905241
5975440440.44044,-28.162964026449217
5975550550.55055,-28.114566291442806
5975660660.660661,-28.066039640216125
5975770770.770771,-28.0173847490218
5975880880.880881,-27.968597529184308
5975990990.990991,-27.919680235287892
5976101101.101101,-27.870633360046455
5976211211.211211,-27.821455104712136
5976321321.3213215,-27.77214560192619
5976431431.431432,-27.72270514675411
5976541541.541541,-27.673132729854558
5976651651.651651,-27.623429393962468
5976761761.761762,-27.573593835318647
5976871871.871872,-27.52362587534465
5976981981.981982,-27.473526686725464
5977092092.0920925,-27.423294735195654
5977202202.202202,-27.37293048951897
5977312312.312312,-27.322433798953142
5977422422.422422,-27.271805186402325
5977532532.532533,-27.221043430968123
5977642642.642643,-27.170148503702634
5977752752.752752,-27.119123070031385
5977862862.862863,-27.06796267856896
5977972972.972973,-27.016671052390933
5978083083.083083,-26.965246702030015
5978193193.193193,-26.913690427784147
5978303303.303304,-26.86200025532944
5978413413.413413,-26.810179726587258
5978523523.523523,-26.758225970742984
5978633633.633634,-26.706140730381698
5978743743.743744,-26.653922879933766
5978853853.853854,-26.601575334771574
5978963963.9639635,-26.549095228566244
5979074074.074074,-26.496483554713485
5979184184.184184,-26.44374310712344
5979294294.294294,-26.390871181394516
5979404404.404405,-26.337869242590443
5979514514.514515,-26.284737995522136
5979624624.624624,-26.231477609329076
5979734734.734735,-26.178089154501542
5979844844.844845,-26.124571975942175
5979954954.954955,-26.0709268059435
5980065065.065065,-26.017155899426655
5980175175.175175,-25.963258707361845
5980285285.285285,-25.909234514185286
5980395395.395395,-25.85508577486813
5980505505.505506,-25.800814025892123
5980615615.615616,-25.746418692861127
5980725725.725726,-25.69189983301098
5980835835.835835,-25.637259541712382
5980945945.945946,-25.582499758266138
5981056056.056056,-25.527620359547534
5981166166.166166,-25.47262146846382
5981276276.276277,-25.417505194749012
5981386386.386386,-25.362273218366
5981496496.496496,-25.306926497803197
5981606606.6066065,-25.251465710795614
5981716716.716717,-25.19589263924815
5981826826.826827,-25.140209129893528
5981936936.936937,-25.084416219421144
5982047047.047047,-25.028514665605883
5982157157.157157,-24.972506951326267
5982267267.267267,-24.91639559059105
5982377377.3773775,-24.860181991105115
5982487487.487488,-24.80386724310484
5982597597.597597,-24.747453077357697
5982707707.707707,-24.690942076269636
5982817817.817818,-24.634336927826666
5982927927.927928,-24.577639292207095
5983038038.038038,-24.52085074555476
5983148148.148149,-24.463974145166752
5983258258.258258,-24.407012689340533
5983368368.368368,-24.349968881460356
5983478478.478478,-24.292844830362064
5983588588.588589,-24.235642802052055
5983698698.698699,-24.178366280017052
5983808808.808809,-24.12101876363441
5983918918.918919,-24.063603106928312
5984029029.029029,-24.006121997191123
5984139139.139139,-23.948578393523583
5984249249.249249,-23.890976446791676
5984359359.35936,-23.833320047231183
5984469469.469469,-23.775612777076375
5984579579.579579,-23.717857712867875
5984689689.68969,-23.66005878970644
5984799799.7998,-23.60222049043685
5984909909.90991,-23.54434758653354
5985020020.0200205,-23.486444100236888
