Frequency,Power_dB
5975000000.0,-46.404578290563336
5975110110.11011,-46.374239264224414
5975220220.220221,-46.34385516976846
5975330330.33033,-46.313433897476344
5975440440.44044,-46.282967368906625
5975550550.55055,-46.25245289061583
5975660660.660661,-46.22189953259986
5975770770.770771,-46.19130560930199
5975880880.880881,-46.16066559525599
5975990990.990991,-46.12998363201042
5976101101.101101,-46.099254825976914
5976211211.211211,-46.068487949438335
5976321321.3213215,-46.0376720846012
5976431431.431432,-46.006818310352855
5976541541.541541,-45.975918918936884
5976651651.651651,-45.944973945258155
5976761761.761762,-45.913986664170224
5976871871.871872,-45.88295349185526
5976981981.981982,-45.851879625930266
5977092092.0920925,-45.82075989477448
5977202202.202202,-45.78959845988186
5977312312.312312,-45.75839004823975
5977422422.422422,-45.7271394911232
5977532532.532533,-45.69584462993525
5977642642.642643,-45.664502706214336
5977752752.752752,-45.633098135771064
5977862862.862863,-45.60168636299163
5977972972.972973,-45.57021255675541
5978083083.083083,-45.53869451257154
5978193193.193193,-45.507144463822684
5978303303.303304,-45.47552598153399
5978413413.413413,-45.44386736821734
5978523523.523523,-45.41217189044853
5978633633.633634,-45.38042682959005
5978743743.743744,-45.348638175308
5978853853.853854,-45.316804846357016
5978963963.9639635,-45.28493627564626
5979074074.074074,-45.25300039637365
5979184184.184184,-45.22103026080218
5979294294.294294,-45.18901728547587
5979404404.404405,-45.15695846236005
5979514514.514515,-45.12485749220512
5979624624.624624,-45.09269839325812
5979734734.734735,-45.060501946854004
5979844844.844845,-45.028264443909904
5979954954.954955,-44.99596174013402
5980065065.065065,-44.96363020172549
5980175175.175175,-44.931250068691654
5980285285.285285,-44.898817853765564
5980395395.395395,-44.866343143404904
5980505505.505506,-44.83381799962635
5980615615.615616,-44.80125952608353
5980725725.725726,-44.768627541999365
5980835835.835835,-44.73598134404598
5980945945.945946,-44.703278332699824
5981056056.056056,-44.67053591470339
5981166166.166166,-44.63772407611239
5981276276.276277,-44.6048759627013
5981386386.386386,-44.572397639047125
5981496496.496496,-44.539098913237396
5981606606.6066065,-44.50598400532937
5981716716.716717,-44.47301984664881
5981826826.826827,-44.439930557151115
5981936936.936937,-44.40681711116656
5982047047.047047,-44.37360941582622
5982157157.157157,-44.34039150422254
5982267267.267267,-44.30712174136531
5982377377.3773775,-44.27380056650283
5982487487.487488,-44.24042826726378
5982597597.597597,-44.20701575533759
5982707707.707707,-44.173555114852064
5982817817.817818,-44.14004479094311
5982927927.927928,-44.10648298826453
5983038038.038038,-44.0728794544535
5983148148.148149,-44.03922522630569
5983258258.258258,-44.00552912599801
5983368368.368368,-43.971769456075236
5983478478.478478,-43.93797790369932
5983588588.588589,-43.904131883476595
5983698698.698699,-43.870227210382566
5983808808.808809,-43.83629313715407
5983918918.918919,-43.8023002800625
5984029029.029029,-43.768269039676596
5984139139.139139,-43.73417328881145
5984249249.249249,-43.70005182332436
5984359359.35936,-43.665848168734115
5984469469.469469,-43.63161764258663
5984579579.579579,-43.59732760196178
5984689689.68969,-43.56300637686397
5984799799.7998,-43.528620392175384
5984909909.90991,-43.49419043064941
5985020020.0200205,-43.459710218743595
5985130130.13013,-43.425186608329454
5985240240.24024,-43.39061115683141
5985350350.35035,-43.35598828144248
5985460460.460461,-43.32131685134662
5985570570.570571,-43.28658272032982
5985680680.68068,-43.251816498760604
5985790790.790791,-43.21699728795976
5985900900.900901,-43.182118272034856
5986011011.011011,-43.14720526078962
5986121121.121121,-43.112236712991916
5986231231.231232,-43.077216355141445
5986341341.341341,-43.04214322506138
5986451451.451451,-43.00703009142494
5986561561.561562,-42.97186390922626
5986671671.671672,-42.936649276990806
5986781781.781782,-42.90138165278867
5986891891.8918915,-42.86606444784644
5987002002.002002,-42.830700323953295
5987112112.112112,-42.79528838784255
5987222222.222222,-42.75981915892673
5987332332.332333,-42.72432911657235
5987442442.442443,-42.68874069708504
5987552552.552552,-42.65314578577906
5987662662.6626625,-42.61745811341355
5987772772.772773,-42.58175060058669
5987882882.882883,-42.545984332299156
5987992992.992993,-42.51016743435869
5988103103.103103,-42.47430940778118
5988213213.213213,-42.43839108369673
5988323323.323323,-42.402425999532795
5988433433.433434,-42.36642183463057
5988543543.543544,-42.33035620010135
5988653653.653654,-42.294240443139586
5988763763.763763,-42.25808354683227
5988873873.873874,-42.22186792194174
5988983983.983984,-42.18560165387201
5989094094.094094,-42.14929081760363
5989204204.204205,-42.112921641010956
5989314314.314314,-42.07650673106697
5989424424.424424,-42.04005073188179
5989534534.534534,-42.003535187748625
5989644644.644645,-41.96698013410089
5989754754.754755,-41.930358819961086
5989864864.864865,-41.89371554084248
5989974974.974975,-41.85700230325675
5990085085.085085,-41.820226935591165
5990195195.195195,-41.78341182168006
5990305305.3053055,-41.74654730194703
5990415415.415416,-41.70963416227393
5990525525.525525,-41.672671257646584
5990635635.635635,-41.63565819121986
5990745745.745746,-41.59859532894038
5990855855.855856,-41.56148263944746
5990965965.965966,-41.52431953359712
5991076076.0760765,-41.48711244059862
5991186186.186186,-41.449787003049664
5991296296.296296,-41.41253263781658
5991406406.406406,-41.375170644808605
5991516516.516517,-41.33776115631315
5991626626.626627,-41.300299345018715
5991736736.736736,-41.262788247552876
5991846846.846847,-41.22522356592596
5991956956.956957,-41.18761017377852
5992067067.067067,-41.14995466216013
5992177177.177177,-41.11230368569022
5992287287.287288,-41.07448006374807
5992397397.397397,-41.036676183561525
5992507507.507507,-40.99881900672999
5992617617.617618,-40.96091372203735
5992727727.727728,-40.92295567069539
5992837837.837838,-40.88495142157362
5992947947.9479475,-40.846903838552194
5993058058.058058,-40.80880136380898
5993168168.168168,-40.77065001296786
5993278278.278278,-40.73245018044075
5993388388.388389,-40.694201663126165
5993498498.498499,-40.655905175796335
5993608608.608608,-40.61756090457273
5993718718.718719,-40.579152566127746
5993828828.828829,-40.54075083708133
5993938938.938939,-40.50221865681438
5994049049.049049,-40.46367131583408
5994159159.159159,-40.42508340865564
5994269269.269269,-40.386427050534934
5994379379.379379,-40.34775384226627
5994489489.48949,-40.309108647297165
5994599599.5996,-40.27026585806084
5994709709.70971,-40.231416216464325
5994819819.819819,-40.192546421371574
5994929929.92993,-40.153652923322596
5995040040.04004,-40.1146497230408
5995150150.15015,-40.07565903696511
5995260260.260261,-40.03655844869523
5995370370.37037,-39.99746691312674
5995480480.48048,-39.958352136182285
5995590590.5905905,-39.91908734003998
5995700700.700701,-39.87984174995604
5995810810.810811,-39.840537233314606
5995920920.920921,-39.80132873615014
5996031031.031031,-39.76178914851113
5996141141.141141,-39.722369467395765
5996251251.251251,-39.682858053751985
5996361361.3613615,-39.64336604254346
5996471471.471472,-39.60379894724119
5996581581.581581,-39.56416864653772
5996691691.691691,-39.52457782877492
