Frequency,Power_dB
5975000000.0,-39.93654077635081
5975110110.11011,-39.89390126603698
5975220220.220221,-39.59847848236447
5975330330.33033,-39.28314853069794
5975440440.44044,-39.15635266789303
5975550550.55055,-39.27481639038338
5975660660.660661,-39.52691870822392
5975770770.770771,-39.67627278752063
5975880880.880881,-39.54329612495512
5975990990.990991,-39.175423721650034
5976101101.101101,-38.813268067820005
5976211211.211211,-38.64608884279153
5976321321.3213215,-38.716145249602675
5976431431.431432,-38.86795875271123
5976541541.541541,-39.11450616734844
5976651651.651651,-38.96328493753835
5976761761.761762,-38.571537832237496
5976871871.871872,-38.24451298736898
5976981981.981982,-38.106037190983415
5977092092.0920925,-38.20389290126553
5977202202.202202,-38.44099753836889
5977312312.312312,-38.61562781070616
5977422422.422422,-38.55892214905418
5977532532.532533,-38.30095298561973
5977642642.642643,-38.035933791273806
5977752752.752752,-37.94479655548052
5977862862.862863,-38.101813238159124
5977972972.972973,-38.38757293501024
5978083083.083083,-38.63454547681914
5978193193.193193,-38.6481548030651
5978303303.303304,-38.441849942968474
5978413413.413413,-38.18161624539586
5978523523.523523,-38.09622911501438
5978633633.633634,-38.25971395300985
5978743743.743744,-38.56253817346389
5978853853.853854,-38.79267866605629
5978963963.9639635,-38.770098474758
5979074074.074074,-38.51060651436026
5979184184.184184,-38.196957702216054
5979294294.294294,-38.055121846314236
5979404404.404405,-38.1449954767277
5979514514.514515,-38.37765303534657
5979624624.624624,-38.54131311412334
5979734734.734735,-38.449682642395885
5979844844.844845,-38.1232969717249
5979954954.954955,-37.77623191997911
5980065065.065065,-37.52707188440597
5980175175.175175,-37.59148736701063
5980285285.285285,-37.77534403133318
5980395395.395395,-37.91137094411445
5980505505.505506,-37.82600990800512
5980615615.615616,-37.52718825517219
5980725725.725726,-37.1938635474466
5980835835.835835,-37.00955594301399
5980945945.945946,-37.05063734255063
5981056056.056056,-37.251445169877485
5981166166.166166,-37.439306818346694
5981276276.276277,-37.45277466410852
5981386386.386386,-37.23206506687825
5981496496.496496,-36.94909222785542
5981606606.6066065,-36.813425449732605
5981716716.716717,-36.88462567597058
5981826826.826827,-37.136989881287136
5981936936.936937,-37.39978056672388
5982047047.047047,-37.48242791213666
5982157157.157157,-37.327190575786574
5982267267.267267,-37.07354121200416
5982377377.3773775,-36.95531254829156
5982487487.487488,-36.992640814956246
5982597597.597597,-37.238266919558626
5982707707.707707,-37.511652894588565
5982817817.817818,-37.5984960018567
5982927927.927928,-37.42632449945947
5983038038.038038,-37.12397157562319
5983148148.148149,-36.905995252138865
5983258258.258258,-36.89036711591099
5983368368.368368,-37.068206876083536
5983478478.478478,-37.277932307130854
5983588588.588589,-37.31481715100007
5983698698.698699,-37.095159726429074
5983808808.808809,-36.7414378990013
5983918918.918919,-36.45944010165741
5984029029.029029,-36.37305908925575
5984139139.139139,-36.48797235049025
5984249249.249249,-36.66034348636694
5984359359.35936,-36.70324361968184
5984469469.469469,-36.517104993644395
5984579579.579579,-36.19245378310234
5984689689.68969,-35.91292757787362
5984799799.7998,-35.81834415069133
5984909909.90991,-35.92436628670532
5985020020.0200205,-36.12842101065716
5985130130.13013,-36.254708854287486
5985240240.24024,-36.136839116372514
5985350350.35035,-35.91806892597158
5985460460.460461,-35.67775415232728
5985570570.570571,-35.59334777754292
5985680680.68068,-35.71117886612974
5985790790.790791,-35.96620526039905
5985900900.900901,-36.17971694641331
5986011011.011011,-36.19660236819615
5986121121.121121,-36.04802176714108
5986231231.231232,-35.76530397645149
5986341341.341341,-35.66142645141656
5986451451.451451,-35.75460103264791
5986561561.561562,-36.00710220624964
5986671671.671672,-36.237037812452684
5986781781.781782,-36.28293134046446
5986891891.8918915,-36.06735740623449
5987002002.002002,-35.81066050995075
5987112112.112112,-35.61938496603942
5987222222.222222,-35.618376542014474
5987332332.332333,-35.78663655987222
5987442442.442443,-35.95478442986912
5987552552.552552,-36.00780657641559
5987662662.6626625,-35.80027311421941
5987772772.772773,-35.46685183181273
5987882882.882883,-35.19291900857425
5987992992.992993,-35.10379513129399
5988103103.103103,-35.18923706815794
5988213213.213213,-35.3471789379266
5988323323.323323,-35.43383818914893
5988433433.433434,-35.25624368772037
5988543543.543544,-34.959649146839084
5988653653.653654,-34.667869646480625
5988763763.763763,-34.52994831675093
5988873873.873874,-34.58451947766049
5988983983.983984,-34.74707932980367
5989094094.094094,-34.893998524737654
5989204204.204205,-34.877722259455496
5989314314.314314,-34.694911967257994
5989424424.424424,-34.43697004336521
5989534534.534534,-34.27554643802833
5989644644.644645,-34.278817565201976
5989754754.754755,-34.44074073930361
5989864864.864865,-34.65847496994782
5989974974.974975,-34.79255085576018
5990085085.085085,-34.75602516593237
5990195195.195195,-34.598348077156416
5990305305.3053055,-34.531413846748066
5990415415.415416,-34.38947872078643
5990525525.525525,-34.30473231667858
5990635635.635635,-34.44067725901394
5990745745.745746,-34.70739892728187
5990855855.855856,-34.89636754224888
5990965965.965966,-34.837304728794635
5991076076.0760765,-34.575589474414556
5991186186.186186,-34.31987337655771
5991296296.296296,-34.24343389875989
5991406406.406406,-34.37302900383912
5991516516.516517,-34.57935540640409
5991626626.626627,-34.64876683810155
5991736736.736736,-34.46369877982288
5991846846.846847,-34.1283337474311
5991956956.956957,-33.853037602036906
5992067067.067067,-33.77477083580324
5992177177.177177,-33.88394000040333
5992287287.287288,-34.035389022370794
5992397397.397397,-34.035831352869494
5992507507.507507,-33.812685150229306
5992617617.617618,-33.48887131032183
5992727727.727728,-33.25533474875051
5992837837.837838,-33.22175008967547
5992947947.9479475,-33.36327996282932
5993058058.058058,-33.535251735802646
5993168168.168168,-33.55945758535893
5993278278.278278,-33.378934175208066
5993388388.388389,-33.115684009380644
5993498498.498499,-32.94932827359717
5993608608.608608,-32.980638503252564
5993718718.718719,-33.18057867397713
5993828828.828829,-33.40253553562383
5993938938.938939,-33.46767285428683
5994049049.049049,-33.32147430006269
5994159159.159159,-33.09008530648468
5994269269.269269,-32.955417636897664
5994379379.379379,-33.016470110712945
5994489489.48949,-33.237544812723
5994599599.5996,-33.461857269460054
5994709709.70971,-33.505301366075805
5994819819.819819,-33.323009114132695
5994929929.92993,-33.0560935092477
5995040040.04004,-32.890496586514246
5995150150.15015,-32.90160243418587
5995260260.260261,-32.86050574888378
5995370370.37037,-32.960939563418634
5995480480.48048,-33.175956087317545
5995590590.5905905,-33.39369738178686
5995700700.700701,-33.46601794110387
5995810810.810811,-33.20889208853312
5995920920.920921,-32.72066750853376
5996031031.031031,-32.237529486232944
5996141141.141141,-32.167010433591734
5996251251.251251,-32.284252356397616
5996361361.3613615,-32.47162373436317
5996471471.471472,-32.55547348830264
5996581581.581581,-32.39415847987087
5996691691.691691,-32.0947484768455
5996801801.801802,-31.820123254192865
5996911911.911912,-31.69940751628375
5997022022.022022,-31.762663874512995
5997132132.132133,-31.908647641892756
5997242242.242242,-31.970454832020422
5997352352.352352,-31.842112096828046
5997462462.462462,-31.57570433031453
5997572572.572573,-31.434978744834048
5997682682.682683,-31.365402082963236
5997792792.792792,-31.407696538768157
5997902902.902903,-31.57147598429796
5998013013.013013,-31.75324984618608
5998123123.123123,-31.801422953821195
5998233233.233233,-31.712981183547413
5998343343.343344,-31.52317577350172
5998453453.453453,-31.33440055176471
5998563563.563563,-31.281237547752582
5998673673.673674,-31.309604641238415
5998783783.783784,-31.564591545741443
5998893893.893894,-31.65339876176057
5999004004.0040045,-31.726407339175054
5999114114.114114,-31.53870016625661
5999224224.224224,-31.41135423822086
5999334334.334334,-31.164066254958115
5999444444.444445,-31.085912482023033
5999554554.554555,-31.097725569025613
5999664664.664664,-31.389111801436
5999774774.774775,-31.387399605611286
5999884884.884885,-31.296691508853904
5999994994.994995,-31.188223036407663
6000105105.105105,-30.973739179645946
6000215215.215216,-30.693865166934472
6000325325.325325,-30.614466105060288
6000435435.435435,-30.76446889062072
6000545545.545546,-30.791526594576922
6000655655.655656,-30.81192588468309
6000765765.765766,-30.790660459396058
6000875875.875875,-30.633378321050238
6000985985.985986,-30.251738295199672
6001096096.096096,-30.00399511028435
6001206206.206206,-29.814179090982222
6001316316.316317,-29.952711778345105
6001426426.426427,-30.011985428420928
6001536536.536536,-30.133384790173928
6001646646.6466465,-30.077756586171787
6001756756.756757,-30.035444011768668
6001866866.866867,-29.758946123118584
6001976976.976977,-29.620664523394794
6002087087.087087,-29.462821771387304
6002197197.197197,-29.580485116432357
6002307307.307307,-29.761830788433343
6002417417.417418,-29.995616795441393
6002527527.527528,-29.918318354220034
6002637637.637638,-29.73710013788871
6002747747.747747,-29.52103451696462
6002857857.857858,-29.50814344429088
6002967967.967968,-29.19559118658774
6003078078.078078,-29.552898200620945
6003188188.188189,-29.72705607836101
6003298298.298298,-29.91413110528579
6003408408.408408,-29.67788562221243
6003518518.518518,-29.486005623915588
6003628628.628629,-29.397208963127937
6003738738.738739,-29.23359675214334
6003848848.848849,-29.35996487138987
6003958958.958959,-29.702684113174804
6004069069.069069,-29.773769454723237
6004179179.179179,-29.651904456527795
6004289289.289289,-29.368169531786698
6004399399.3994,-29.00268029494935
6004509509.509509,-28.956839123894298
6004619619.619619,-28.992200682893753
6004729729.72973,-28.98436831761856
6004839839.83984,-28.988569682939982
6004949949.94995,-30.199704115480017
6005060060.0600605,-30.098860958752056
6005170170.17017,-29.010359272271337
6005280280.28028,-27.822445995227937
6005390390.39039,-27.728835372876034
6005500500.500501,-28.023992044422066
6005610610.610611,-27.93592524547438
6005720720.72072,-27.951034353932947
6005830830.830831,-27.87753931681938
6005940940.940941,-27.971844308646823
6006051051.051051,-28.00046184137659
6006161161.161161,-27.949259002914822
6006271271.271272,-27.64312266299791
6006381381.381381,-27.65761086766564
6006491491.491491,-27.334444534013926
6006601601.601602,-27.113517064024542
6006711711.711712,-26.932458976247005
6006821821.821822,-26.997792015051886
6006931931.9319315,-27.124113217439117
6007042042.042042,-27.088635201522628
6007152152.152152,-27.21005222348603
6007262262.262262,-26.123938031787475
6007372372.372373,-26.795614245754436
6007482482.482483,-26.409702727873466
6007592592.592592,-26.4212938318164
6007702702.7027025,-26.54519523711386
6007812812.812813,-26.888501768374546
6007922922.922923,-27.042643767985687
6008033033.033033,-26.958672511978
6008143143.143143,-26.59134838609571
6008253253.253253,-26.568559446794552
6008363363.363363,-26.542811331382268
6008473473.473474,-26.723239203024384
6008583583.583584,-26.26808595030881
6008693693.693694,-26.328478641848285
6008803803.803803,-26.62865764601493
6008913913.913914,-26.119601246225066
6009024024.024024,-26.052906713102516
6009134134.134134,-26.037373073224117
6009244244.244245,-25.939321921385634
6009354354.354354,-25.87557417952594
6009464464.464464,-26.42086949943223
6009574574.574574,-26.215008390577225
6009684684.684685,-26.56692747763156
6009794794.794795,-26.2557195175064
6009904904.904905,-26.176510801448963
6010015015.015015,-25.180804866751608
6010125125.125125,-25.83310763679301
6010235235.235235,-25.84462055840781
6010345345.3453455,-25.916970646297422
6010455455.455456,-25.000824483960187
6010565565.565565,-26.410905605831374
6010675675.675675,-25.793603841464723
6010785785.785786,-25.03719453182778
6010895895.895896,-25.250813531374206
6011006006.006006,-25.328663475857063
6011116116.116117,-24.927400893190168
6011226226.226226,-25.024253059967172
6011336336.336336,-25.264386574082735
6011446446.446446,-25.261658191646916
6011556556.556557,-24.93194839970721
6011666666.666667,-24.50401849216427
6011776776.776776,-24.96089300062409
6011886886.886887,-24.617846976156805
6011996996.996997,-25.11930242804386
6012107107.107107,-24.69687712986989
6012217217.217217,-25.1058335592746
6012327327.327328,-24.63050959714019
6012437437.437437,-24.55456981966806
6012547547.547547,-24.7310465800754
6012657657.657658,-24.170637435781842
6012767767.767768,-24.194351459769514
6012877877.877878,-24.3090949610186
6012987987.9879875,-23.859624804809528
6013098098.098098,-23.89662345965413
6013208208.208208,-24.18985589455447
6013318318.318318,-24.02439744595639
6013428428.428429,-23.78084669591832
6013538538.538539,-24.139167000792348
6013648648.648648,-24.172397518059057
6013758758.758759,-23.813522085023166
6013868868.868869,-23.85771277794548
6013978978.978979,-24.139744983817593
6014089089.089089,-23.928771743613694
6014199199.1992,-23.518177385061357
6014309309.309309,-23.53232659057464
6014419419.419419,-23.704420168986843
6014529529.52953,-23.447605919415757
6014639639.63964,-23.012261725350065
6014749749.74975,-22.9530899057999
6014859859.859859,-23.140398500914202
6014969969.96997,-23.042584389296145
6015080080.08008,-22.656875015128165
6015190190.19019,-22.503910120354732
6015300300.300301,-22.70551615917207
6015410410.410411,-22.85527425343262
6015520520.52052,-22.635716686852717
6015630630.6306305,-22.36694398552708
6015740740.740741,-22.42597892722884
6015850850.850851,-22.70703538978899
6015960960.960961,-22.76120847765143
6016071071.071071,-22.47388733218135
6016181181.181181,-22.248256302931786
6016291291.291291,-22.346794716064842
6016401401.4014015,-22.568047961663787
6016511511.511512,-22.50920653716024
6016621621.621622,-22.129452168702677
6016731731.731731,-21.852817421785844
6016841841.841842,-21.904445634138263
6016951951.951952,-22.040161319779088
6017062062.062062,-21.903550869400036
6017172172.172173,-21.501678524087282
6017282282.282282,-21.195523180847815
6017392392.392392,-21.18945720472267
