Gain [dB],Phase [rads.],Amplitude [dBm],frequency_lc
4.0,0.0,8.742777223846701e-14,-1900759.9050000578
4.0,0.07953399123012135,5.143094192869337e-13,-2037771.202500062
4.0,0.1590679824602427,4.449829895457065e-13,-2179132.0650000665
4.0,0.23860197369036407,1.3057638626752163e-13,-2321580.318750071
4.0,0.3181359649204854,1.0739077069039879e-13,-2462941.181250075
4.0,0.39766995615060674,3.6342879525660837e-13,-2611913.7825000794
4.0,0.47720394738072813,1.2471183181087087e-13,-2765235.9487500843
4.0,0.5567379386108494,1.9140316903843103e-13,-2925082.462500089
4.0,0.6362719298409708,9.484472048877777e-14,-3055569.412500093
4.0,0.7158059210710922,5.502364714913441e-13,-3221940.273750098
4.0,0.7953399123012135,3.437291607887147e-13,-3394835.4825001033
4.0,0.8748739035313349,2.260170306986186e-14,-3569905.473750109
4.0,0.9544078947614563,1.6687633475453143e-13,-3753674.5950001143
4.0,1.0339418859915777,9.661449654843269e-14,-3934181.5425001197
4.0,1.1134758772216988,5.2586760252629117e-14,-4111426.316250125
4.0,1.1930098684518202,1.4777197709805842e-13,-4316943.2625001315
4.0,1.2725438596819416,2.4154695316468545e-14,4195155.4425001275
4.0,1.352077850912063,6.376533668062284e-14,3986376.3225001213
4.0,1.4316118421421844,2.6597496327641602e-14,3785208.941250115
4.0,1.5111458333723056,1.504611553479942e-15,3581866.777500109
4.0,1.590679824602427,9.296985578274533e-14,3373087.6575001027
4.0,1.6702138158325484,1.0584947726941545e-14,3166483.320000096
4.0,1.7497478070626697,3.033973680665934e-14,2955529.41750009
4.0,1.8292817982927911,1.6799674814449124e-13,2744575.5150000835
4.0,1.9088157895229125,1.2638795770583895e-13,2536883.786250077
4.0,1.9883497807530337,5.37308261774669e-13,2327017.2750000707
4.0,2.0678837719831553,1.0894886270274959e-13,2118238.1550000645
4.0,2.1474177632132765,2.3889832732994773e-13,1900759.9050000578
4.0,2.2269517544433977,2.1042137365642267e-13,1691980.7850000516
4.0,2.3064857456735193,4.851135206725856e-15,1484289.056250045
4.0,2.3860197369036404,1.1355882237470744e-12,1279859.5012500389
4.0,2.465553728133762,6.732464399175618e-14,1079779.5112500328
4.0,2.5450877193638832,1.3773222453012571e-14,881874.3037500269
4.0,2.6246217105940044,9.419081848167466e-15,689406.052500021
4.0,2.704155701824126,1.643312758963913e-14,505636.9312500154
4.0,2.783689693054247,5.885029994527617e-14,314256.0712500096
4.0,2.863223684284369,5.406644979662252e-14,131574.341250004
4.0,2.94275767551449,9.325329847703211e-14,-41320.86750000126
4.0,3.022291666744611,4.642574624398755e-14,683969.0962500208
4.0,3.1018256579747328,3.602277029006574e-14,-374062.5900000114
4.0,3.181359649204854,1.0179000531078274e-12,374062.5900000114
4.0,3.2608936404349755,4.359798111382046e-14,214216.07625000653
4.0,3.3404276316650967,2.445140262960076e-14,41320.86750000126
4.0,3.419961622895218,1.2620863239423721e-14,-131574.341250004
4.0,3.4994956141253395,1.115589903945258e-12,-314256.0712500096
4.0,3.5790296053554607,3.013204430343655e-14,-505636.9312500154
4.0,3.6585635965855823,2.739116557408897e-14,-689406.052500021
4.0,3.7380975878157034,4.279301065758762e-14,-881874.3037500269
4.0,3.817631579045825,7.187361340514755e-14,-1079779.5112500328
4.0,3.8971655702759462,3.5958792460529545e-14,-1279859.5012500389
4.0,3.9766995615060674,1.6873415463103407e-13,-1484289.056250045
4.0,4.056233552736189,9.268803139182395e-15,-1793108.1712500546
4.0,4.135767543966311,3.2155352756286818e-15,-1900759.9050000578
4.0,4.215301535196431,2.215898682258557e-14,-2118238.1550000645
4.0,4.294835526426553,8.017795941295189e-15,-2327017.2750000707
4.0,4.374369517656675,4.0546531197173235e-14,-2536883.786250077
4.0,4.453903508886795,5.301248950588126e-14,-2744575.5150000835
4.0,4.533437500116917,2.9209537775852186e-15,-2955529.41750009
4.0,4.6129714913470385,7.239963394968899e-13,-3166483.320000096
4.0,4.692505482577159,1.0238006747285703e-13,-3373087.6575001027
4.0,4.772039473807281,6.571344157646815e-13,-3581866.777500109
4.0,4.8515734650374025,1.048295533121979e-14,-3785208.941250115
4.0,4.931107456267524,3.6655972111443034e-14,-3986376.3225001213
4.0,5.010641447497645,2.0603450169238422e-14,-4195155.4425001275
4.0,5.0901754387277665,4.49775925313599e-14,4316943.2625001315
4.0,5.169709429957888,2.3951919096820196e-13,4111426.316250125
4.0,5.249243421188009,4.2282843212578517e-14,3934181.5425001197
4.0,5.32877741241813,5.798605189013704e-14,3753674.5950001143
4.0,5.408311403648252,4.167168832635592e-13,3569905.473750109
4.0,5.487845394878374,1.0011571955650916e-13,3394835.4825001033
4.0,5.567379386108494,1.7672362636438604e-12,3221940.273750098
4.0,5.646913377338616,5.265902845746541e-14,3055569.412500093
4.0,5.726447368568738,6.609857904501979e-14,2925082.462500089
4.0,5.805981359798858,1.3991180880226745e-14,2765235.9487500843
4.0,5.88551535102898,7.909309291641558e-14,2611913.7825000794
4.0,5.9650493422591016,3.0366631492115043e-14,2462941.181250075
4.0,6.044583333489222,6.055441354639047e-14,2321580.318750071
4.0,6.124117324719344,8.118112203638521e-13,2179132.0650000665
4.0,6.2036513159494655,9.211030977117112e-14,2037771.202500062
4.0,6.283185307179586,8.742777223570596e-14,-1900759.9050000578
4.055696202531646,0.0,1.0874480676664474e-12,-1864875.9937500567
4.055696202531646,0.07953399123012135,1.9736902437576305e-13,-2002974.6825000609
4.055696202531646,0.1590679824602427,6.194272348275245e-14,-2144335.545000065
4.055696202531646,0.23860197369036407,3.646028241463869e-13,-2290045.9725000695
4.055696202531646,0.3181359649204854,3.736120949512842e-13,-2429232.052500074
4.055696202531646,0.39766995615060674,1.7258955376505089e-13,-2580379.4362500785
4.055696202531646,0.47720394738072813,1.279972246773246e-13,-2734788.9937500833
4.055696202531646,0.5567379386108494,1.5197420059635718e-14,-2890285.942500088
4.055696202531646,0.6362719298409708,1.484624180581711e-13,-3056656.803750093
4.055696202531646,0.7158059210710922,9.220629029523206e-15,-3191493.318750097
4.055696202531646,0.7953399123012135,1.6550517279386565e-13,-3362213.7450001026
4.055696202531646,0.8748739035313349,2.3551677744948347e-14,-3541633.3012501076
4.055696202531646,0.9544078947614563,2.2593610198391347e-13,-3721052.857500113
4.055696202531646,1.0339418859915777,1.6075304507203766e-13,-3900472.4137501186
4.055696202531646,1.1134758772216988,8.403923729849288e-13,-4084241.5350001245
4.055696202531646,1.1930098684518202,3.2644282228591017e-15,-4290845.872500131
4.055696202531646,1.2725438596819416,4.665803216881838e-13,4221252.832500128
4.055696202531646,1.352077850912063,1.8202519335752376e-12,4014648.495000122
4.055696202531646,1.4316118421421844,7.766646709258959e-15,3809131.548750116
4.055696202531646,1.5111458333723056,1.4359895045693165e-13,3602527.2112501096
4.055696202531646,1.590679824602427,3.785843995780028e-14,3394835.4825001033
4.055696202531646,1.6702138158325484,7.027957230326147e-16,3187143.753750097
4.055696202531646,1.7497478070626697,1.0865805701319342e-12,2975102.4600000908
4.055696202531646,1.8292817982927911,7.074702582952544e-14,2763061.166250084
4.055696202531646,1.9088157895229125,1.1661001822089242e-14,2555369.4375000778
4.055696202531646,1.9883497807530337,3.8130740173780204e-14,2345502.9262500713
4.055696202531646,2.0678837719831553,9.419692540216919e-14,2130199.458750065
4.055696202531646,2.1474177632132765,1.876269159283248e-13,1917070.7737500584
4.055696202531646,2.2269517544433977,4.6052278142355425e-14,1705029.480000052
