Frequency,Power_dB
5975000000.0,-37.38728343702793
5975110110.11011,-37.35659339414647
5975220220.220221,-37.32585769709273
5975330330.33033,-37.29507905074328
5975440440.44044,-37.26419696315391
5975550550.55055,-37.233370950911265
5975660660.660661,-37.20250783176253
5975770770.770771,-37.17159431806945
5975880880.880881,-37.140662146909435
5975990990.990991,-37.10968534071492
5976101101.101101,-37.0786749446477
5976211211.211211,-37.04763674346876
5976321321.3213215,-37.016556775482655
5976431431.431432,-36.985445160291604
5976541541.541541,-36.95429528054403
5976651651.651651,-36.92311756916615
5976761761.761762,-36.89190616314531
5976871871.871872,-36.86065864020024
5976981981.981982,-36.82937470984753
5977092092.0920925,-36.79805595522582
5977202202.202202,-36.766707435900074
5977312312.312312,-36.73532255708069
5977422422.422422,-36.70390988087253
5977532532.532533,-36.672457886286324
5977642642.642643,-36.64097972387529
5977752752.752752,-36.60946450453861
5977862862.862863,-36.577917260891695
5977972972.972973,-36.54634004282758
5978083083.083083,-36.514719392277556
5978193193.193193,-36.48307051977832
5978303303.303304,-36.45138918985003
5978413413.413413,-36.41967555832208
5978523523.523523,-36.3879291130018
5978633633.633634,-36.35614939175423
5978743743.743744,-36.324344048374456
5978853853.853854,-36.29250128006049
5978963963.9639635,-36.26062818992571
5979074074.074074,-36.22872946558748
5979184184.184184,-36.196792314469775
5979294294.294294,-36.16482341042868
5979404404.404405,-36.13282313941825
5979514514.514515,-36.100791870268566
5979624624.624624,-36.06872940515791
5979734734.734735,-36.0366358547914
5979844844.844845,-36.00451174716035
5979954954.954955,-35.9723569610581
5980065065.065065,-35.94017141370226
5980175175.175175,-35.907956321296126
5980285285.285285,-35.87570974053803
5980395395.395395,-35.843434882664994
5980505505.505506,-35.811129396105784
5980615615.615616,-35.778794475292884
5980725725.725726,-35.7464300332594
5980835835.835835,-35.71403633356729
5980945945.945946,-35.681613696854626
5981056056.056056,-35.64916195802191
5981166166.166166,-35.616681842876034
5981276276.276277,-35.58417321363176
5981386386.386386,-35.55163808938727
5981496496.496496,-35.51906576321366
5981606606.6066065,-35.486468450458815
5981716716.716717,-35.453853977538174
5981826826.826827,-35.42119390981517
5981936936.936937,-35.38852376670272
5982047047.047047,-35.355821363784855
5982157157.157157,-35.32309957083038
5982267267.267267,-35.29033991355797
5982377377.3773775,-35.25755952120372
5982487487.487488,-35.22473531317121
5982597597.597597,-35.191939372163176
5982707707.707707,-35.15916066863089
5982817817.817818,-35.12628319593895
5982927927.927928,-35.09338001890265
5983038038.038038,-35.06045152240121
5983148148.148149,-35.02749811161486
5983258258.258258,-34.99438401560295
5983368368.368368,-34.96138158012306
5983478478.478478,-34.928355885591316
5983588588.588589,-34.89530150098476
5983698698.698699,-34.862230961306025
5983808808.808809,-34.82912376062097
5983918918.918919,-34.796012370203925
5984029029.029029,-34.76285127498727
5984139139.139139,-34.72945167138971
5984249249.249249,-34.69641754121247
5984359359.35936,-34.663049940332286
5984469469.469469,-34.629817616081155
5984579579.579579,-34.59656454556773
5984689689.68969,-34.56329164746927
5984799799.7998,-34.530278171679555
5984909909.90991,-34.49695657242978
5985020020.0200205,-34.46361414114203
5985130130.13013,-34.430271083165366
5985240240.24024,-34.39690262534178
5985350350.35035,-34.36351793914366
5985460460.460461,-34.330131080590775
5985570570.570571,-34.29670581238105
5985680680.68068,-34.26327302363579
5985790790.790791,-34.22981288926826
5985900900.900901,-34.19634858286295
5986011011.011011,-34.16283685110096
5986121121.121121,-34.12936885202686
5986231231.231232,-34.095851368169406
5986341341.341341,-34.062325845714696
5986451451.451451,-34.02877768009513
5986561561.561562,-33.995208346983574
5986671671.671672,-33.961636945822136
5986781781.781782,-33.9280597927055
5986891891.8918915,-33.8944509808957
5987002002.002002,-33.86084903320507
5987112112.112112,-33.82723495072473
5987222222.222222,-33.79359639982596
5987332332.332333,-33.75996163481106
5987442442.442443,-33.72629748870092
5987552552.552552,-33.6926488454917
5987662662.6626625,-33.65896354318647
5987772772.772773,-33.62529182118952
5987882882.882883,-33.591600139038036
5987992992.992993,-33.55790613803752
5988103103.103103,-33.524209725442155
5988213213.213213,-33.49050090217496
5988323323.323323,-33.45678279942948
5988433433.433434,-33.423064780840484
5988543543.543544,-33.3893378887183
5988653653.653654,-33.35561484075047
5988763763.763763,-33.321879553938565
5988873873.873874,-33.2881414244129
5988983983.983984,-33.25440947233759
5989094094.094094,-33.22066380073302
5989204204.204205,-33.186932194556874
5989314314.314314,-33.15317716818732
5989424424.424424,-33.119434368459714
5989534534.534534,-33.085705893442814
5989644644.644645,-33.05194134750944
5989754754.754755,-33.01820314821412
5989864864.864865,-32.9844749972633
5989974974.974975,-32.95073219594427
5990085085.085085,-32.91701184813618
5990195195.195195,-32.88327115399957
5990305305.3053055,-32.849555228100485
5990415415.415416,-32.81583733982568
5990525525.525525,-32.78213627801492
5990635635.635635,-32.748421263550505
5990745745.745746,-32.71472640515731
5990855855.855856,-32.68104186807665
5990965965.965966,-32.64735318321378
5991076076.0760765,-32.613673594260334
5991186186.186186,-32.580023570436616
5991296296.296296,-32.54637747238526
5991406406.406406,-32.51272910997799
5991516516.516517,-32.479110496464756
5991626626.626627,-32.44549383371219
5991736736.736736,-32.41189148948823
5991846846.846847,-32.37830885222955
5991956956.956957,-32.344751430416274
5992067067.067067,-32.311194780892414
5992177177.177177,-32.27765838194862
5992287287.287288,-32.24414134018615
5992397397.397397,-32.21064700717358
5992507507.507507,-32.17716449298193
5992617617.617618,-32.143706775602624
5992727727.727728,-32.11027027088788
5992837837.837838,-32.07685644488571
5992947947.9479475,-32.04346321438506
5993058058.058058,-32.010099835698504
5993168168.168168,-31.976755288281552
5993278278.278278,-31.943429523225085
5993388388.388389,-31.91013452912287
5993498498.498499,-31.876874567534472
5993608608.608608,-31.843633103380576
5993718718.718719,-31.810425717713898
5993828828.828829,-31.777255057049928
5993938938.938939,-31.744103937100846
5994049049.049049,-31.710984849555203
5994159159.159159,-31.677904637023275
5994269269.269269,-31.64485565635991
5994379379.379379,-31.61183592449241
5994489489.48949,-31.578861242074197
5994599599.5996,-31.545911554836756
5994709709.70971,-31.513006915931854
5994819819.819819,-31.48014293456285
5994929929.92993,-31.447309102944736
5995040040.04004,-31.414523520012388
5995150150.15015,-31.381773843650222
5995260260.260261,-31.34907141361115
5995370370.37037,-31.316408770076606
5995480480.48048,-31.283788716075726
5995590590.5905905,-31.251215832735696
5995700700.700701,-31.218689664745717
5995810810.810811,-31.186212502128363
5995920920.920921,-31.15377844368279
5996031031.031031,-31.121399387064358
5996141141.141141,-31.08906696283347
5996251251.251251,-31.05678911676747
5996361361.3613615,-31.02456074358657
5996471471.471472,-30.992388208101858
5996581581.581581,-30.96026733618224
5996691691.691691,-30.928204929902485
5996801801.801802,-30.896197879556475
5996911911.911912,-30.864249924617766
5997022022.022022,-30.8323602282409
5997132132.132133,-30.8005314437872
5997242242.242242,-30.76876312630447
5997352352.352352,-30.73705642343257
5997462462.462462,-30.70541471678191
5997572572.572573,-30.673836094908594
5997682682.682683,-30.642359441398767
5997792792.792792,-30.610891154293746
5997902902.902903,-30.579441062847145
5998013013.013013,-30.54812458887882
5998123123.123123,-30.517002492836617
5998233233.233233,-30.485841364090085
5998343343.343344,-30.454641909204312
5998453453.453453,-30.423635475896624
5998563563.563563,-30.392699447439625
5998673673.673674,-30.361834058307764
5998783783.783784,-30.33104623133974
