Frequency,Power_dB
5975000000.0,-35.085542032052615
5975110110.11011,-35.05235730322006
5975220220.220221,-35.01912898084308
5975330330.33033,-34.98585713042813
5975440440.44044,-34.952542039148085
5975550550.55055,-34.919183162012175
5975660660.660661,-34.88578144208816
5975770770.770771,-34.852335985594124
5975880880.880881,-34.81884770212635
5975990990.990991,-34.78531620101914
5976101101.101101,-34.75174142882055
5976211211.211211,-34.71812413944569
5976321321.3213215,-34.684463877111824
5976431431.431432,-34.65076044757319
5976541541.541541,-34.617014649700096
5976651651.651651,-34.5832263736105
5976761761.761762,-34.54939531418631
5976871871.871872,-34.51552206385975
5976981981.981982,-34.481606775374274
5977092092.0920925,-34.44764898331263
5977202202.202202,-34.41364918931178
5977312312.312312,-34.37960738478894
5977422422.422422,-34.345523733446925
5977532532.532533,-34.31139754772866
5977642642.642643,-34.27723077203308
5977752752.752752,-34.2430232948748
5977862862.862863,-34.20877265008758
5977972972.972973,-34.174482674334925
5978083083.083083,-34.14015091115836
5978193193.193193,-34.1057780297366
5978303303.303304,-34.07136401776776
5978413413.413413,-34.03691008378587
5978523523.523523,-34.00238552576906
5978633633.633634,-33.96791329824744
5978743743.743744,-33.93330556755259
5978853853.853854,-33.89869106869496
5978963963.9639635,-33.864035967326444
5979074074.074074,-33.829341632164414
5979184184.184184,-33.794607642976274
5979294294.294294,-33.75983487052552
5979404404.404405,-33.72502281823684
5979514514.514515,-33.69017213338505
5979624624.624624,-33.65528286995052
5979734734.734735,-33.62033165403963
5979844844.844845,-33.58536326283959
5979954954.954955,-33.55038532343783
5980065065.065065,-33.51534347479411
5980175175.175175,-33.48026457151591
5980285285.285285,-33.44514832350248
5980395395.395395,-33.40999458735152
5980505505.505506,-33.374804349945286
5980615615.615616,-33.339577923907164
5980725725.725726,-33.304314796867004
5980835835.835835,-33.269015489031936
5980945945.945946,-33.23368092780512
5981056056.056056,-33.19831076231007
5981166166.166166,-33.16290517747493
5981276276.276277,-33.12746500621995
5981386386.386386,-33.09199012652787
5981496496.496496,-33.05648101472171
5981606606.6066065,-33.02093764182462
5981716716.716717,-32.9853610960525
5981826826.826827,-32.94975059724081
5981936936.936937,-32.914107528777436
5982047047.047047,-32.87843146279111
5982157157.157157,-32.84272354388632
5982267267.267267,-32.806982967650555
5982377377.3773775,-32.77121111341075
5982487487.487488,-32.73540798135989
5982597597.597597,-32.69957347534824
5982707707.707707,-32.6637087013632
5982817817.817818,-32.627814443260796
5982927927.927928,-32.59188990013254
5983038038.038038,-32.555935692603164
5983148148.148149,-32.51995276718117
5983258258.258258,-32.48394115391501
5983368368.368368,-32.44790174406694
5983478478.478478,-32.41183448695231
5983588588.588589,-32.37573943002876
5983698698.698699,-32.33961846952258
5983808808.808809,-32.30347059027385
5983918918.918919,-32.267296889585566
5984029029.029029,-32.231097695673824
5984139139.139139,-32.19487404220867
5984249249.249249,-32.15862539644097
5984359359.35936,-32.12235290426757
5984469469.469469,-32.08605693608415
5984579579.579579,-32.04973819714386
5984689689.68969,-32.01339715333277
5984799799.7998,-31.977031006901726
5984909909.90991,-31.940649185279575
5985020020.0200205,-31.90424398011583
5985130130.13013,-31.86781854180233
5985240240.24024,-31.831373467064864
5985350350.35035,-31.79490903334952
5985460460.460461,-31.758425206519796
5985570570.570571,-31.721924463193652
5985680680.68068,-31.685406878888983
5985790790.790791,-31.648866924734634
5985900900.900901,-31.612322208652785
5986011011.011011,-31.57575512023893
5986121121.121121,-31.539179745813783
5986231231.231232,-31.502576219920442
5986341341.341341,-31.465974200406784
5986451451.451451,-31.429349322620723
5986561561.561562,-31.392719536709848
5986671671.671672,-31.35607704566798
5986781781.781782,-31.319424667531294
5986891891.8918915,-31.28275563230872
5987002002.002002,-31.246081585894913
5987112112.112112,-31.209399767097132
5987222222.222222,-31.17271071270728
5987332332.332333,-31.1360175781373
5987442442.442443,-31.0993116268193
5987552552.552552,-31.062606755902323
5987662662.6626625,-31.025906981669415
5987772772.772773,-30.989233152316032
5987882882.882883,-30.952520242383898
5987992992.992993,-30.915667155693065
5988103103.103103,-30.879088364321312
5988213213.213213,-30.842214310160905
5988323323.323323,-30.805488892625817
5988433433.433434,-30.768765247179353
5988543543.543544,-30.732044475650298
5988653653.653654,-30.69532733366379
5988763763.763763,-30.658807426659422
5988873873.873874,-30.621907553644064
5988983983.983984,-30.585206926603206
5989094094.094094,-30.548722055237995
5989204204.204205,-30.512041617018262
5989314314.314314,-30.47515316317466
5989424424.424424,-30.438487975105843
5989534534.534534,-30.40183406789577
5989644644.644645,-30.365419662230437
5989754754.754755,-30.32856452610445
5989864864.864865,-30.29195110777769
5989974974.974975,-30.255353036174753
5990085085.085085,-30.219007827112122
5990195195.195195,-30.182445730556168
5990305305.3053055,-30.145902202961388
5990415415.415416,-30.10937852183973
5990525525.525525,-30.072635041629397
5990635635.635635,-30.036153661797613
5990745745.745746,-29.999937192874768
5990855855.855856,-29.96326246641538
5990965965.965966,-29.92685486050113
5991076076.0760765,-29.890474410956777
5991186186.186186,-29.854122157497535
5991296296.296296,-29.818039128153742
5991406406.406406,-29.78174616902067
