Frequency,Power_dB
5975000000.0,-44.966858281243105
5975110110.11011,-44.93620942931129
5975220220.220221,-44.90551717101239
5975330330.33033,-44.874784426395166
5975440440.44044,-44.844000881369524
5975550550.55055,-44.81317224060088
5975660660.660661,-44.7822988265233
5975770770.770771,-44.75138072397172
5975880880.880881,-44.720418258172415
5975990990.990991,-44.689409828472876
5976101101.101101,-44.65835671853543
5976211211.211211,-44.62725899479298
5976321321.3213215,-44.59611064069192
5976431431.431432,-44.56491962398505
5976541541.541541,-44.53368448187689
5976651651.651651,-44.502398278801834
5976761761.761762,-44.471068204905535
5976871871.871872,-44.43969164153681
5976981981.981982,-44.40827083353494
5977092092.0920925,-44.37680015336633
5977202202.202202,-44.34528552863553
5977312312.312312,-44.313723636605516
5977422422.422422,-44.282115626992024
5977532532.532533,-44.25045814738607
5977642642.642643,-44.218754678803776
5977752752.752752,-44.18700498211281
5977862862.862863,-44.155209558440845
5977972972.972973,-44.123365799031404
5978083083.083083,-44.091472000113185
5978193193.193193,-44.05954443219018
5978303303.303304,-44.02755409700964
5978413413.413413,-43.99551125710164
5978523523.523523,-43.96343067329292
5978633633.633634,-43.9313020354997
5978743743.743744,-43.89910412259293
5978853853.853854,-43.86690218030141
5978963963.9639635,-43.834630325479054
5979074074.074074,-43.80230586227941
5979184184.184184,-43.76993375164743
5979294294.294294,-43.73751207386698
5979404404.404405,-43.705045697156095
5979514514.514515,-43.67252493403481
5979624624.624624,-43.639965374265955
5979734734.734735,-43.60735103569138
5979844844.844845,-43.57469247632427
5979954954.954955,-43.54197895206164
5980065065.065065,-43.50922402222888
5980175175.175175,-43.47641112014978
5980285285.285285,-43.44355707810162
5980395395.395395,-43.41064066498065
5980505505.505506,-43.3776850393227
5980615615.615616,-43.344681299962474
5980725725.725726,-43.31161633134042
5980835835.835835,-43.27851785090817
5980945945.945946,-43.24535470881153
5981056056.056056,-43.21217480124295
5981166166.166166,-43.17888855637392
5981276276.276277,-43.14557877003557
5981386386.386386,-43.11234857879553
5981496496.496496,-43.07887917173056
5981606606.6066065,-43.04534679411729
5981716716.716717,-43.01184216120143
5981826826.826827,-42.97831564141994
5981936936.936937,-42.94468690457258
5982047047.047047,-42.9110394907229
5982157157.157157,-42.877313310477405
5982267267.267267,-42.84355907030029
5982377377.3773775,-42.80974695235159
5982487487.487488,-42.77587708173935
5982597597.597597,-42.74196365401535
5982707707.707707,-42.707996064313136
5982817817.817818,-42.673973790305865
5982927927.927928,-42.639906197816686
5983038038.038038,-42.605775357848216
5983148148.148149,-42.57160461736902
5983258258.258258,-42.53732599349675
5983368368.368368,-42.503109544941395
5983478478.478478,-42.46878406716729
5983588588.588589,-42.43439494596072
5983698698.698699,-42.3999615012051
5983808808.808809,-42.36546946868499
5983918918.918919,-42.33093804970041
5984029029.029029,-42.296358113920704
5984139139.139139,-42.261711486404764
5984249249.249249,-42.22700842493589
5984359359.35936,-42.19225715205587
5984469469.469469,-42.15745783819092
5984579579.579579,-42.12260677991836
5984689689.68969,-42.08771524900767
5984799799.7998,-42.05273799756503
5984909909.90991,-42.017725228001254
5985020020.0200205,-41.982658973821415
5985130130.13013,-41.94754091854031
5985240240.24024,-41.91237009849934
5985350350.35035,-41.87713805019354
5985460460.460461,-41.8418590931127
5985570570.570571,-41.80652146823056
5985680680.68068,-41.77113537153252
5985790790.790791,-41.735693585965805
5985900900.900901,-41.700200620371305
5986011011.011011,-41.66465009488442
5986121121.121121,-41.62904403594443
5986231231.231232,-41.59338771308393
5986341341.341341,-41.55767048277313
