Frequency,Power_dB
5975000000.0,-39.42861706851173
5975110110.11011,-39.39658988004814
5975220220.220221,-39.36450962089839
5975330330.33033,-39.33237827877184
5975440440.44044,-39.30019463018215
5975550550.55055,-39.26795559777905
5975660660.660661,-39.23566072774746
5975770770.770771,-39.20331222614004
5975880880.880881,-39.17091169180809
5975990990.990991,-39.138457525043066
5976101101.101101,-39.10594695373922
5976211211.211211,-39.073379850594534
5976321321.3213215,-39.04075859805994
5976431431.431432,-39.008084554344464
5976541541.541541,-38.975355803346886
5976651651.651651,-38.942569706654396
5976761761.761762,-38.90972650094943
5976871871.871872,-38.876828617711624
5976981981.981982,-38.843877262000376
5977092092.0920925,-38.81087016190011
5977202202.202202,-38.7778049328609
5977312312.312312,-38.74468200360627
5977422422.422422,-38.7115036607468
5977532532.532533,-38.67827081758536
5977642642.642643,-38.64498138668863
5977752752.752752,-38.61163279964546
5977862862.862863,-38.578225603715055
5977972972.972973,-38.54476211392304
5978083083.083083,-38.51124306035483
5978193193.193193,-38.47766636705555
5978303303.303304,-38.44402965076293
5978413413.413413,-38.41033325724844
5978523523.523523,-38.37657918886201
5978633633.633634,-38.34276876563726
5978743743.743744,-38.308899825304906
5978853853.853854,-38.27496999143034
5978963963.9639635,-38.24097940886435
5979074074.074074,-38.20693005284801
5979184184.184184,-38.172823174227645
5979294294.294294,-38.13865730678438
5979404404.404405,-38.104429949777014
5979514514.514515,-38.070140632259694
5979624624.624624,-38.035791322908295
5979734734.734735,-38.001383738761604
5979844844.844845,-37.96691658987349
5979954954.954955,-37.93238733190017
5980065065.065065,-37.89779520588172
5980175175.175175,-37.86314159412464
5980285285.285285,-37.828428464523626
5980395395.395395,-37.793655307054806
5980505505.505506,-37.75881949815884
5980615615.615616,-37.72391974992499
5980725725.725726,-37.688956907898344
5980835835.835835,-37.65393289732894
5980945945.945946,-37.61884813472088
5981056056.056056,-37.5837004402393
5981166166.166166,-37.548487655010376
5981276276.276277,-37.51321013550606
5981386386.386386,-37.4778696309523
5981496496.496496,-37.44246713497168
5981606606.6066065,-37.407001574777155
5981716716.716717,-37.37147050416911
5981826826.826827,-37.335873042144684
5981936936.936937,-37.30021051628498
5982047047.047047,-37.264484696925166
5982157157.157157,-37.2286953658969
5982267267.267267,-37.19284052461933
5982377377.3773775,-37.156918304747705
5982487487.487488,-37.12092906942169
5982597597.597597,-37.084874627236516
5982707707.707707,-37.04875583562456
5982817817.817818,-37.01257156828366
5982927927.927928,-36.97631977331348
5983038038.038038,-36.93999933092505
5983148148.148149,-36.90361127630946
5983258258.258258,-36.86715726609269
5983368368.368368,-36.830637467201356
5983478478.478478,-36.79405022333975
5983588588.588589,-36.75739351901184
5983698698.698699,-36.72066705367982
5983808808.808809,-36.683872047782074
5983918918.918919,-36.64700984833512
5984029029.029029,-36.61008014801551
5984139139.139139,-36.573080956960325
5984249249.249249,-36.536010768244
5984359359.35936,-36.49886937145405
5984469469.469469,-36.46165825933936
5984579579.579579,-36.42437831704282
5984689689.68969,-36.387029184496214
5984799799.7998,-36.34960898270546
5984909909.90991,-36.31211609978631
5985020020.0200205,-36.274550756461736
5985130130.13013,-36.23691412111202
5985240240.24024,-36.19920714638877
5985350350.35035,-36.161429348586665
5985460460.460461,-36.123579127247254
5985570570.570571,-36.08565487357575
5985680680.68068,-36.04765659809145
5985790790.790791,-36.00958524849456
5985900900.900901,-35.97144180123665
5986011011.011011,-35.93322619954921
5986121121.121121,-35.894937113055235
5986231231.231232,-35.85657265986511
5986341341.341341,-35.81813253959933
5986451451.451451,-35.77961734752313
5986561561.561562,-35.74102801692641
5986671671.671672,-35.70236494602182
5986781781.781782,-35.66362723332658
5986891891.8918915,-35.624813225084395
5987002002.002002,-35.58592190773497
5987112112.112112,-35.54695310874433
5987222222.222222,-35.50790781255145
5987332332.332333,-35.46878670434171
5987442442.442443,-35.42958960926444
5987552552.552552,-35.39031528463258
5987662662.6626625,-35.3509623349474
5987772772.772773,-35.311529994011806
5987882882.882883,-35.27201844916357
5987992992.992993,-35.23242839688993
5988103103.103103,-35.19276041213216
5988213213.213213,-35.153014049278326
5988323323.323323,-35.113188248646836
5988433433.433434,-35.07328183408549
5988543543.543544,-35.03329385723232
5988653653.653654,-34.993224480041235
5988763763.763763,-34.95307426088283
5988873873.873874,-34.91284367787475
5988983983.983984,-34.872532586234314
5989094094.094094,-34.83214020902878
5989204204.204205,-34.7916652410767
5989314314.314314,-34.75110686481631
5989424424.424424,-34.71046460039845
5989534534.534534,-34.66973880949948
5989644644.644645,-34.62892992912653
5989754754.754755,-34.58803810712024
5989864864.864865,-34.54706303425718
5989974974.974975,-34.50600387447324
5990085085.085085,-34.46485941340822
5990195195.195195,-34.4236287850631
5990305305.3053055,-34.38231197462818
5990415415.415416,-34.340908995217504
5990525525.525525,-34.29941993754099
5990635635.635635,-34.25784492428684
5990745745.745746,-34.21618372641275
5990855855.855856,-34.17443591611729
5990965965.965966,-34.13260033729483
5991076076.0760765,-34.090676041202784
5991186186.186186,-34.048662506317754
5991296296.296296,-34.006559715876875
5991406406.406406,-33.964367445521134
5991516516.516517,-33.92208588102028
5991626626.626627,-33.87971808470987
5991736736.736736,-33.837258775103756
5991846846.846847,-33.79470414727339
5991956956.956957,-33.75206238764909
5992067067.067067,-33.709327046086486
5992177177.177177,-33.66649884412608
5992287287.287288,-33.62358159472731
5992397397.397397,-33.58056803615658
5992507507.507507,-33.53746701894587
5992617617.617618,-33.494265646130515
5992727727.727728,-33.45096860039633
5992837837.837838,-33.40758828261313
5992947947.9479475,-33.364102835895565
5993058058.058058,-33.320528847291236
5993168168.168168,-33.276854180065115
5993278278.278278,-33.233081795229026
5993388388.388389,-33.189222826647665
5993498498.498499,-33.145277330174885
5993608608.608608,-33.101197888251804
5993718718.718719,-33.057051637696766
5993828828.828829,-33.01278538171056
5993938938.938939,-32.96846704272418
5994049049.049049,-32.92403792839479
5994159159.159159,-32.87943702606668
5994269269.269269,-32.8347760130293
5994379379.379379,-32.790017636713245
5994489489.48949,-32.7450849987829
5994599599.5996,-32.700287827435666
5994709709.70971,-32.655153454312256
5994819819.819819,-32.61001510653162
5994929929.92993,-32.564569333746356
5995040040.04004,-32.519472037178865
5995150150.15015,-32.47372273222881
5995260260.260261,-32.42842795034494
5995370370.37037,-32.382609445712944
5995480480.48048,-32.33682087099304
5995590590.5905905,-32.29094449608185
5995700700.700701,-32.24495309659674
5995810810.810811,-32.19882329016765
5995920920.920921,-32.15263074928937
5996031031.031031,-32.10633321918944
5996141141.141141,-32.0598842204577
5996251251.251251,-32.013305310917545
5996361361.3613615,-31.966630203892585
5996471471.471472,-31.919901176509775
5996581581.581581,-31.873024441516726
5996691691.691691,-31.826086978869995
5996801801.801802,-31.778930964981242
5996911911.911912,-31.73172248653075
5997022022.022022,-31.68439903840366
5997132132.132133,-31.636960159571537
5997242242.242242,-31.589406196441217
5997352352.352352,-31.54173709157321
5997462462.462462,-31.493778410651636
5997572572.572573,-31.446049735878617
5997682682.682683,-31.398031504987586
5997792792.792792,-31.34989428785326
5997902902.902903,-31.301638622942455
5998013013.013013,-31.25326401200857
5998123123.123123,-31.204769050658157
5998233233.233233,-31.156270711873333
5998343343.343344,-31.107417890853824
5998453453.453453,-31.05855932243412
5998563563.563563,-31.009577728679673
5998673673.673674,-30.960473570082442
5998783783.783784,-30.911244934237402
5998893893.893894,-30.86189128271151
5999004004.0040045,-30.81241268388696
5999114114.114114,-30.76280751766408
5999224224.224224,-30.7130751950706
5999334334.334334,-30.66302549583901
5999444444.444445,-30.613226659135215
5999554554.554555,-30.56310923455215
5999664664.664664,-30.512945143438387
5999774774.774775,-30.462481864298113
5999884884.884885,-30.41193156336579
5999994994.994995,-30.361336396470776
6000105105.105105,-30.310552742467955
6000215215.215216,-30.259646534445174
6000325325.325325,-30.20859447793542
6000435435.435435,-30.157420546838225
6000545545.545546,-30.106101126410877
6000655655.655656,-30.054604586219412
6000765765.765766,-30.003041059991077
6000875875.875875,-29.951307459651417
6000985985.985986,-29.899439458350173
6001096096.096096,-29.847416428839857
6001206206.206206,-29.79525791667748
6001316316.316317,-29.74295627261852
6001426426.426427,-29.690510254343216
6001536536.536536,-29.63791853304314
6001646646.6466465,-29.585181141613262
6001756756.756757,-29.53229808878543
6001866866.866867,-29.479263853343774
6001976976.976977,-29.426081713491712
6002087087.087087,-29.372749261497255
6002197197.197197,-29.31926520896424
6002307307.307307,-29.265628914259665
6002417417.417418,-29.21183910714391
6002527527.527528,-29.157894932735104
6002637637.637638,-29.10379431622445
6002747747.747747,-29.049537028335067
6002857857.857858,-28.99512207720045
6002967967.967968,-28.940547666235865
6003078078.078078,-28.885812213642097
6003188188.188189,-28.830915456940005
6003298298.298298,-28.77587793855298
6003408408.408408,-28.72063209834549
6003518518.518518,-28.665243140258568
6003628628.628629,-28.609687339388188
6003738738.738739,-28.55396404192075
6003848848.848849,-28.498070232719087
6003958958.958959,-28.44200630079851
6004069069.069069,-28.385745426429466
6004179179.179179,-28.329362582999558
6004289289.289289,-28.272777464828856
6004399399.3994,-28.216016861365603
6004509509.509509,-28.159077919348753
6004619619.619619,-28.101961909189967
6004729729.72973,-28.04466436591894
6004839839.83984,-27.987183053395768
6004949949.94995,-27.92952268611242
6005060060.0600605,-27.871670519727417
6005170170.17017,-27.81363428199137
6005280280.28028,-27.75540995258921
6005390390.39039,-27.696994559204413
6005500500.500501,-27.638388465070463
6005610610.610611,-27.57958905006455
6005720720.72072,-27.520591553557374
6005830830.830831,-27.46140053078993
6005940940.940941,-27.402008651710105
6006051051.051051,-27.342416655787474
6006161161.161161,-27.282622966191383
6006271271.271272,-27.222624882415623
6006381381.381381,-27.162418897224427
6006491491.491491,-27.101917579542672
6006601601.601602,-27.041384043864866
6006711711.711712,-26.980547086846187
6006821821.821822,-26.919495166470853
6006931931.9319315,-26.85823078839951
6007042042.042042,-26.796743400851916
6007152152.152152,-26.735043316892558
6007262262.262262,-26.673133677595928
6007372372.372373,-26.610963927730836
6007482482.482483,-26.54857603152108
6007592592.592592,-26.485968948655696
6007702702.7027025,-26.423115014643216
6007812812.812813,-26.36005258556098
6007922922.922923,-26.29675790773372
6008033033.033033,-26.233184642930425
6008143143.143143,-26.169391450164092
6008253253.253253,-26.10530075096218
6008363363.363363,-26.041064905617056
6008473473.473474,-25.97652818897047
6008583583.583584,-25.911745741417924
6008693693.693694,-25.846699107071203
6008803803.803803,-25.781400272078265
6008913913.913914,-25.71583581958592
6009024024.024024,-25.650010873043882
6009134134.134134,-25.583918276889946
6009244244.244245,-25.517555004666846
6009354354.354354,-25.45092023048693
6009464464.464464,-25.384011611970962
6009574574.574574,-25.316812265972672
6009684684.684685,-25.24934395130262
6009794794.794795,-25.18158416792076
6009904904.904905,-25.113535313369546
6010015015.015015,-25.04519379927062
6010125125.125125,-24.97655559555446
6010235235.235235,-24.907618513013475
6010345345.3453455,-24.838373616477213
6010455455.455456,-24.768826008578337
6010565565.565565,-24.698961846484494
6010675675.675675,-24.628783686100405
6010785785.785786,-24.55828942901085
6010895895.895896,-24.487490313841377
6011006006.006006,-24.416321483082378
6011116116.116117,-24.344843961389707
6011226226.226226,-24.273028568832245
6011336336.336336,-24.200838175837404
6011446446.446446,-24.12837112838573
6011556556.556557,-24.05552044848355
6011666666.666667,-23.982314428342598
6011776776.776776,-23.90874704418566
6011886886.886887,-23.83481484901607
6011996996.996997,-23.760519211522194
6012107107.107107,-23.685844675125978
6012217217.217217,-23.610789973757377
6012327327.327328,-23.535349824463097
6012437437.437437,-23.459522620191684
6012547547.547547,-23.383295708662146
6012657657.657658,-23.306665612359943
6012767767.767768,-23.229631374580634
6012877877.877878,-23.15218547295523
6012987987.9879875,-23.074300638164182
6013098098.098098,-22.99601274138523
6013208208.208208,-22.917285753824174
6013318318.318318,-22.838123399182777
6013428428.428429,-22.758472667636184
6013538538.538539,-22.6784363273415
6013648648.648648,-22.5979109822064
