Frequency,Power_dB
5975000000.0,-36.71275340209553
5975220440.881763,-36.64995846261469
5975440881.763527,-36.587015578162564
5975661322.64529,-36.523924356703404
5975881763.527054,-36.46068624095717
5976102204.408817,-36.397310901490954
5976322645.290581,-36.33376692958221
5976543086.172345,-36.270091201129034
5976763527.054109,-36.20626822652257
5976983967.935872,-36.14229956776347
5977204408.817636,-36.07819220306229
5977424849.699399,-36.01393922413648
5977645290.581162,-35.94953960098452
5977865731.462926,-35.88500350951551
5978086172.344689,-35.820282584060365
5978306613.226453,-35.75543992975163
5978527054.108216,-35.69046100407785
5978747494.98998,-35.625588272790395
5978967935.871743,-35.56009484694734
5979188376.753507,-35.49470648068508
5979408817.63527,-35.42934361334392
5979629258.517035,-35.36373484011284
5979849699.398798,-35.297977190812674
5980070140.280561,-35.23208765561152
5980290581.162325,-35.166072002352294
5980511022.044088,-35.09992692815803
5980731462.925852,-35.033655524951925
5980951903.807615,-34.967260570310216
5981172344.689379,-34.90073802847009
5981392785.571142,-34.83411335760306
5981613226.452906,-34.76735725051965
5981833667.334669,-34.70047257554688
5982054108.216433,-34.63348364296236
5982274549.098196,-34.566384577725174
5982494989.9799595,-34.49916718496536
5982715430.861724,-34.431855379506004
5982935871.743487,-34.36445837024516
5983156312.625251,-34.296901911007424
5983376753.507014,-34.22927720120528
5983597194.388778,-34.16154718291264
5983817635.270541,-34.09372045158963
5984038076.152305,-34.02580057700449
5984258517.034068,-33.95778944174453
5984478957.915832,-33.88969027998685
5984699398.797595,-33.82146350281695
5984919839.6793585,-33.753232856611994
5985140280.561122,-33.68490211497557
5985360721.442885,-33.61648396344889
5985581162.324649,-33.5479710875269
5985801603.206413,-33.47941912768795
5986022044.088177,-33.4107839849889
5986242484.96994,-33.34209818023155
5986462925.851704,-33.27335280887675
5986683366.733467,-33.20455581570003
5986903807.615231,-33.13567605045115
5987124248.496994,-33.066813337088135
5987344689.378757,-32.9978779622347
5987565130.260521,-32.92889691666034
5987785571.142284,-32.85989553809618
5988006012.024048,-32.79085903192279
5988226452.905811,-32.72180069551872
5988446893.787575,-32.652725700579765
5988667334.669338,-32.58363451643271
5988887775.551103,-32.514545084699265
5989108216.432866,-32.445434052130835
5989328657.31463,-32.376330054914035
5989549098.196393,-32.30724649761896
5989769539.078156,-32.23816029407135
5989989979.95992,-32.16910292688064
5990210420.841683,-32.10007518084747
5990430861.723447,-32.03107438862561
5990651302.60521,-31.962101651821243
5990871743.486974,-31.89318171118181
5991092184.368737,-31.824309004923393
5991312625.250501,-31.7554884158844
5991533066.132264,-31.686746012765468
