Frequency,Power_dB
5975000000.0,-26.026781138510337
5975220440.881763,-25.91218500772672
5975440881.763527,-25.79671662945615
5975661322.64529,-25.680365640714854
5975881763.527054,-25.563121237259722
5976102204.408817,-25.444973799052022
5976322645.290581,-25.32591523340288
5976543086.172345,-25.205935859339938
5976763527.054109,-25.08502433022882
5976983967.935872,-24.96317068970186
5977204408.817636,-24.840368000419588
5977424849.699399,-24.71660854469144
5977645290.581162,-24.591882176478506
5977865731.462926,-24.466178991566913
5978086172.344689,-24.33949363468878
5978306613.226453,-24.21182055370447
5978527054.108216,-24.083150475669143
5978747494.98998,-23.953475957825738
5978967935.871743,-23.82279582761663
5979188376.753507,-23.691103734529726
5979408817.63527,-23.55839408167097
5979629258.517035,-23.42466647475429
5979849699.398798,-23.289918086047436
5980070140.280561,-23.154150001844158
5980290581.162325,-23.017360514032546
5980511022.044088,-22.87955250137572
5980731462.925852,-22.740733314456527
5980951903.807615,-22.600903425509927
5981172344.689379,-22.46007361942474
5981392785.571142,-22.31825294660365
5981613226.452906,-22.175454532155584
5981833667.334669,-22.03169120872299
5982054108.216433,-21.88698051405357
5982274549.098196,-21.7413470675368
5982494989.9799595,-21.594810547933953
5982715430.861724,-21.447399157467395
5982935871.743487,-21.299147771164755
5983156312.625251,-21.1500918978237
5983376753.507014,-21.000270928028577
5983597194.388778,-20.849731294597845
5983817635.270541,-20.69852614231634
5984038076.152305,-20.546714249156153
5984258517.034068,-20.394359155321986
5984478957.915832,-20.241533197730767
5984699398.797595,-20.08831665765092
5984919839.6793585,-19.934795309690394
5985140280.561122,-19.78106703671682
5985360721.442885,-19.627238363202324
5985581162.324649,-19.47342528847588
5985801603.206413,-19.319753484314575
5986022044.088177,-19.166360989530958
5986242484.96994,-19.013396737176805
5986462925.851704,-18.861024033740023
5986683366.733467,-18.709416953319703
5986903807.615231,-18.558763296214558
5987124248.496994,-18.40926520197891
5987344689.378757,-18.261138054526228
5987565130.260521,-18.114611056429773
5987785571.142284,-17.969927974304184
5988006012.024048,-17.827346755945356
5988226452.905811,-17.68713873068829
5988446893.787575,-17.549585442422384
5988667334.669338,-17.41498503169305
5988887775.551103,-17.283642994824064
5989108216.432866,-17.15587392335577
5989328657.31463,-17.032003335179475
5989549098.196393,-16.912358447546964
5989769539.078156,-16.797269264842285
5989989979.95992,-16.68706935845678
5990210420.841683,-16.58208290638793
5990430861.723447,-16.482636854931272
5990651302.60521,-16.389036025501113
5990871743.486974,-16.30158010315636
5991092184.368737,-16.220545861741982
5991312625.250501,-16.146191132310427
5991533066.132264,-16.078746224804767
5991753507.014028,-16.01841268831498
5991973947.895792,-15.965359483880619
5992194388.777555,-15.919720628363834
5992414829.659319,-15.881591190821169
5992635270.541082,-15.851028435611347
5992855711.422846,-15.828050584703362
5993076152.304609,-15.812631909566342
5993296593.186373,-15.804707716275288
5993517034.068136,-15.804176237291891
5993737474.9499,-15.810896574726968
5993957915.831663,-15.824693738273929
5994178356.713427,-15.845358958743951
5994398797.59519,-15.872658166326204
5994619238.4769535,-15.906328059844483
5994839679.358717,-15.946087377450993
5995060120.240481,-15.991634236708087
5995280561.122245,-16.04266034564654
5995501002.004008,-16.09883318359435
5995721442.885772,-16.159829415183715
5995941883.767535,-16.225317153704324
5996162324.649299,-16.29496069296728
5996382765.531062,-16.368434439711706
5996603206.412826,-16.445412302482737
5996823647.294589,-16.525582674871792
5997044088.1763525,-16.608636424896837
5997264529.058116,-16.694278346277542
5997484969.939879,-16.782227813309724
5997705410.821643,-16.87221451626192
5997925851.703407,-16.96398040192289
5998146292.585171,-17.057282987627936
5998366733.466934,-17.151895252861557
5998587174.348698,-17.247601661882037
5998807615.230461,-17.344203729665978
5999028056.112225,-17.44151040933346
5999248496.993988,-17.539351580333758
5999468937.8757515,-17.637563950136403
5999689378.757515,-17.736001044161547
5999909819.639278,-17.834522628349
6000130260.521042,-17.933005521577677
6000350701.402805,-18.031333066816487
6000571142.284569,-18.129399647334623
6000791583.166332,-18.227107978280365
6001012024.048097,-18.324371923325266
6001232464.92986,-18.4211120113698
6001452905.811624,-18.517255641490834
6001673346.693387,-18.61273737857229
6001893787.5751505,-18.70749908030981
6002114228.456914,-18.801489720055457
6002334669.338677,-18.894662492971122
6002555110.220441,-18.986974408565587
6002775551.102204,-19.078390157215367
6002995991.983968,-19.16887645307697
6003216432.865731,-19.25840380100957
6003436873.747495,-19.346949932889416
6003657314.629258,-19.434490577545816
6003877755.511022,-19.521009553810174
6004098196.392786,-19.606490913251335
6004318637.2745495,-19.69092078211078
6004539078.156313,-19.77428974905027
6004759519.038076,-19.85658861091199
6004979959.91984,-19.937809809660443
6005200400.801603,-20.017948893331045
6005420841.683367,-20.09700324750483
6005641282.56513,-20.174971319011725
6005861723.446894,-20.25185206372793
6006082164.328657,-20.327645605507918
6006302605.210421,-20.40235339103718
6006523046.092184,-20.475978160676497
6006743486.973948,-20.548524602987683
6006963927.855711,-20.6199949976084
6007184368.737475,-20.69039454669909
6007404809.619239,-20.759729821034085
6007625250.501002,-20.828005959248223
6007845691.382766,-20.89522814810013
6008066132.264529,-20.96140525564583
6008286573.146293,-21.026542755678307
6008507014.028056,-21.090648661851326
6008727454.90982,-21.153731605479692
6008947895.791583,-21.21579736604236
6009168336.6733465,-21.276856023316242
6009388777.55511,-21.3369145630324
6009609218.436873,-21.395981252047626
6009829659.318637,-21.454065698884655
6010050100.2004,-21.51117442312789
6010270541.082165,-21.567317976736078
6010490981.963928,-21.622503651348843
6010711422.845692,-21.676740583277983
6010931863.727455,-21.730037468392226
6011152304.609219,-21.782400917527568
6011372745.490982,-21.833842840970952
6011593186.3727455,-21.884367989906927
6011813627.254509,-21.933987240681247
6012034068.136272,-21.982708236560896
6012254509.018036,-22.030538100215928
6012474949.899799,-22.077486553692708
6012695390.781563,-22.12356042252712
6012915831.663326,-22.168767960218467
6013136272.54509,-22.21311787227306
6013356713.426854,-22.25661601912772
6013577154.308618,-22.299271693008116
6013797595.190381,-22.34109148786508
6014018036.0721445,-22.38208264842642
6014238476.953908,-22.422252640414868
6014458917.835671,-22.46160891538161
6014679358.717435,-22.50015687744566
6014899799.599198,-22.537905521933403
6015120240.480962,-22.574860288315193
6015340681.362725,-22.611026874763127
6015561122.244489,-22.646413966766154
6015781563.126252,-22.68102567436049
6016002004.008016,-22.714869132632494
6016222444.889779,-22.747950236852404
6016442885.7715435,-22.78027531741803
6016663326.653307,-22.81184868524111
6016883767.53507,-22.842677447572
6017104208.416834,-22.872766379880133
6017324649.298597,-22.902120732101217
6017545090.180361,-22.930745483007783
6017765531.062124,-22.958646874408004
6017985971.943888,-22.98582847202934
6018206412.825651,-23.012295414744955
6018426853.707415,-23.038052817038334
6018647294.589178,-23.06310483728918
6018867735.470942,-23.087455981813243
6019088176.352705,-23.11111019082007
6019308617.234468,-23.134072171756358
6019529058.116233,-23.15634575884183
6019749498.997996,-23.177934244219912
6019969939.87976,-23.19884215983582
6020190380.761523,-23.219073147963634
6020410821.643287,-23.238629960374134
6020631262.52505,-23.257516590144377
6020851703.406814,-23.27573635821856
6021072144.288577,-23.293292008350413
6021292585.170341,-23.31018680747426
6021513026.052104,-23.32642394287368
6021733466.933867,-23.342005701962847
6021953907.815631,-23.356934951327574
6022174348.697394,-23.3712144455844
6022394789.579159,-23.384846278327238
6022615230.460922,-23.39783300278968
6022835671.342686,-23.410176710628974
6023056112.224449,-23.421879764766793
6023276553.106213,-23.432943845582045
6023496993.987976,-23.443371001312684
6023717434.86974,-23.45316319215076
6023937875.751503,-23.462321461319306
6024158316.633266,-23.470847838357344
6024378757.51503,-23.478743731665936
6024599198.396793,-23.48601051217105
6024819639.278557,-23.492649269153823
6025040080.16032,-23.498660935097917
6025260521.042084,-23.504047625037067
6025480961.923848,-23.508807415779188
6025701402.805612,-23.51294417189991
6025921843.687375,-23.516457261836194
6026142284.569139,-23.519347536186352
6026362725.450902,-23.521615044273744
6026583166.332665,-23.523260803179767
6026803607.214429,-23.524284207302664
6027024048.096192,-23.52468607481267
6027244488.977956,-23.52446573782597
6027464929.859719,-23.52362461240741
6027685370.741483,-23.522161058444723
6027905811.623246,-23.520075437596894
6028126252.50501,-23.517367408895055
6028346693.386773,-23.514035748976795
6028567134.2685375,-23.510080561651314
6028787575.150301,-23.505501246826498
6029008016.032064,-23.50029657445903
6029228456.913828,-23.494465915845765
6029448897.795591,-23.488007878994452
6029669338.677355,-23.480921749733447
6029889779.559118,-23.473206265289548
6030110220.440882,-23.464858992483897
6030330661.322645,-23.455880751949785
6030551102.204409,-23.446268075106147
6030771543.086172,-23.436019837856037
6030991983.967936,-23.425133978397014
6031212424.849699,-23.413609234022267
6031432865.7314625,-23.4014427174873
6031653306.613227,-23.388633291587126
6031873747.49499,-23.375177997664636
6032094188.376754,-23.36107480020614
6032314629.258517,-23.346320954704616
6032535070.140281,-23.330914350446086
6032755511.022044,-23.31485165649414
6032975951.903808,-23.298130622050365
6033196392.785571,-23.28074761371976
6033416833.667335,-23.262700763177335
6033637274.549098,-23.24398551078785
6033857715.430861,-23.224599741045935
6034078156.312625,-23.204539331365922
6034298597.194388,-23.18380071810403
6034519038.076152,-23.162380697135596
6034739478.957916,-23.14027503185676
6034959919.83968,-23.11748014378398
6035180360.721443,-23.0939915493396
6035400801.603207,-23.069805928799447
6035621242.48497,-23.044918098967116
6035841683.366734,-23.019323665795362
6036062124.248497,-22.99301903428666
6036282565.13026,-22.96599862186413
