Frequency,Power_dB
5975000000.0,-45.433984809886724
5975220440.881763,-45.37285108362332
5975440881.763527,-45.31153888972128
5975661322.64529,-45.250045783858056
5975881763.527054,-45.18837896550065
5976102204.408817,-45.126529733071834
5976322645.290581,-45.06450178154364
5976543086.172345,-45.00229098913137
5976763527.054109,-44.93990088158826
5976983967.935872,-44.877329045107274
5977204408.817636,-44.8145732862595
5977424849.699399,-44.75163630427855
5977645290.581162,-44.688510896327614
5977865731.462926,-44.62520435108159
5978086172.344689,-44.5617099623921
5978306613.226453,-44.49803589051098
5978527054.108216,-44.43416071729352
5978747494.98998,-44.370104501638764
5978967935.871743,-44.30586745998835
5979188376.753507,-44.24142866602057
5979408817.63527,-44.176803778262354
5979629258.517035,-44.11199383390772
5979849699.398798,-44.04697996474357
5980070140.280561,-43.98178680789981
5980290581.162325,-43.916388695119394
5980511022.044088,-43.85081473142057
5980731462.925852,-43.78503957579491
5980951903.807615,-43.71905468034092
5981172344.689379,-43.65287345296464
5981392785.571142,-43.58655750423166
5981613226.452906,-43.51993907013063
5981833667.334669,-43.45320879918597
5982054108.216433,-43.386238333306494
5982274549.098196,-43.319073658193886
5982494989.9799595,-43.251710943150655
5982715430.861724,-43.184168525030785
5982935871.743487,-43.11639004761213
5983156312.625251,-43.04844206345868
5983376753.507014,-42.98028198329254
5983597194.388778,-42.91190607156274
5983817635.270541,-42.84333155882619
5984038076.152305,-42.774558634176685
5984258517.034068,-42.705580428783264
5984478957.915832,-42.63634066928991
5984699398.797595,-42.56699843459744
5984919839.6793585,-42.49740245484949
5985140280.561122,-42.42759269522628
5985360721.442885,-42.35758388241108
5985581162.324649,-42.287360806187905
5985801603.206413,-42.21692982240887
5986022044.088177,-42.14628438665851
5986242484.96994,-42.07543634958277
5986462925.851704,-42.00437287139839
5986683366.733467,-41.933109656052366
5986903807.615231,-41.86161549289565
5987124248.496994,-41.78991923125584
5987344689.378757,-41.71800959367451
5987565130.260521,-41.64588733576686
5987785571.142284,-41.573554588778634
5988006012.024048,-41.50099823492707
5988226452.905811,-41.42823036248697
5988446893.787575,-41.35526167280189
5988667334.669338,-41.282065200233944
5988887775.551103,-41.20865583925959
5989108216.432866,-41.13503027118939
5989328657.31463,-41.06119360000716
5989549098.196393,-40.98713702436784
5989769539.078156,-40.91286601332021
5989989979.95992,-40.8383214196638
5990210420.841683,-40.76366605753874
5990430861.723447,-40.68874012997827
5990651302.60521,-40.61359804534665
5990871743.486974,-40.53823842771118
5991092184.368737,-40.46265465059892
5991312625.250501,-40.386863988659144
5991533066.132264,-40.31084733626574
5991753507.014028,-40.23462182032348
5991973947.895792,-40.15816185406058
5992194388.777555,-40.081510413497966
5992414829.659319,-40.004622002677266
5992635270.541082,-39.92751605362467
5992855711.422846,-39.85019184151112
5993076152.304609,-39.77266108319475
5993296593.186373,-39.69490726427834
5993517034.068136,-39.61693661938439
5993737474.9499,-39.53874770808474
5993957915.831663,-39.46033046326423
5994178356.713427,-39.381760480760676
5994398797.59519,-39.302894942692305
5994619238.4769535,-39.223847291713994
5994839679.358717,-39.144552911218
5995060120.240481,-39.065067888315866
5995280561.122245,-38.98537153462571
5995501002.004008,-38.90546549241867
5995721442.885772,-38.82533856107503
5995941883.767535,-38.7449213747623
5996162324.649299,-38.66446048566348
5996382765.531062,-38.58373348320751
5996603206.412826,-38.502732659528974
5996823647.294589,-38.421650469274354
5997044088.1763525,-38.34019472214035
5997264529.058116,-38.25861617355655
5997484969.939879,-38.17688651629217
5997705410.821643,-38.094817273680604
5997925851.703407,-38.01261907641384
5998146292.585171,-37.93023140175178
5998366733.466934,-37.847631752389546
5998587174.348698,-37.764861472297724
5998807615.230461,-37.6818518776156
5999028056.112225,-37.598832772574696
5999248496.993988,-37.51530243216922
5999468937.8757515,-37.43142130791453
5999689378.757515,-37.34799736097328
5999909819.639278,-37.2640804304708
6000130260.521042,-37.17992349232098
6000350701.402805,-37.095628295492034
6000571142.284569,-37.01110576707451
6000791583.166332,-36.926482863602146
6001012024.048097,-36.84165227696607
6001232464.92986,-36.75665586876934
6001452905.811624,-36.67147890439476
6001673346.693387,-36.586144323531784
6001893787.5751505,-36.50064884995784
6002114228.456914,-36.41498482264902
6002334669.338677,-36.32918962374457
6002555110.220441,-36.243227942033215
6002775551.102204,-36.15712264872866
