Frequency,Power_dB
5975000000.0,-39.62361092767614
5975220440.881763,-39.83755603449299
5975440881.763527,-39.76114062378484
5975661322.64529,-39.69276336831538
5975881763.527054,-39.6478521017623
5976102204.408817,-39.603097456603095
5976322645.290581,-39.56015043185617
5976543086.172345,-39.54009808428654
5976763527.054109,-39.474278885365436
5976983967.935872,-39.415669065251066
5977204408.817636,-39.34258846522199
5977424849.699399,-39.27769367810819
5977645290.581162,-39.206732907282344
5977865731.462926,-39.14637264621574
5978086172.344689,-39.099737720096655
5978306613.226453,-39.11247234196203
5978527054.108216,-39.148453624870115
5978747494.98998,-39.25096055158656
5978967935.871743,-39.39327749958116
5979188376.753507,-39.549927656419854
5979408817.63527,-39.61472529026278
5979629258.517035,-39.354949122963575
5979849699.398798,-38.99207832365428
5980070140.280561,-39.417828507418776
5980290581.162325,-38.70387875703368
5980511022.044088,-38.71173973646266
5980731462.925852,-38.0555248065435
5980951903.807615,-37.74533787397415
5981172344.689379,-37.76362743441557
5981392785.571142,-38.046442843495015
5981613226.452906,-38.35080857450153
5981833667.334669,-38.43644626599033
5982054108.216433,-38.147543045529375
5982274549.098196,-37.66568651875245
5982494989.9799595,-37.27200404473021
5982715430.861724,-37.18349021978986
5982935871.743487,-37.3930707247052
5983156312.625251,-37.782009626738045
5983376753.507014,-38.145531311998795
5983597194.388778,-38.2209492232183
5983817635.270541,-38.04122801772306
5984038076.152305,-37.67835758790487
5984258517.034068,-37.356081678665504
5984478957.915832,-37.17356246571978
5984699398.797595,-37.05102819924451
5984919839.6793585,-37.369894472321576
5985140280.561122,-38.00521399401008
5985360721.442885,-37.44978303533264
5985581162.324649,-38.7671494033719
5985801603.206413,-35.991246937058236
5986022044.088177,-37.25578596794173
5986242484.96994,-37.09023475484439
5986462925.851704,-36.34769165645511
5986683366.733467,-38.09965920987575
5986903807.615231,-38.78537604558146
5987124248.496994,-37.51342750797589
5987344689.378757,-37.764523721004934
5987565130.260521,-37.93894852287741
5987785571.142284,-35.77269562758414
5988006012.024048,-36.49953954798954
5988226452.905811,-37.34229718381704
5988446893.787575,-35.32116214271086
5988667334.669338,-36.015417323052006
5988887775.551103,-35.465193543408986
5989108216.432866,-36.54600637351808
5989328657.31463,-37.00083118168983
5989549098.196393,-36.838370928489766
5989769539.078156,-35.374304345728405
5989989979.95992,-34.84129167671574
5990210420.841683,-35.38907619207863
5990430861.723447,-35.24885887072175
5990651302.60521,-35.761847668274214
5990871743.486974,-34.252652164418606
5991092184.368737,-34.87113623038647
5991312625.250501,-35.09538577206047
5991533066.132264,-34.83599652227349
5991753507.014028,-35.19358256865215
5991973947.895792,-34.74358561094613
5992194388.777555,-36.84915320190338
5992414829.659319,-35.077887808729656
5992635270.541082,-34.466457794828244
5992855711.422846,-28.12318079122268
5993076152.304609,-26.633945369423174
5993296593.186373,-24.616868713142395
5993517034.068136,-27.193506906744283
5993737474.9499,-27.774850719707956
5993957915.831663,-33.27384046310268
5994178356.713427,-33.37165090569763
5994398797.59519,-33.29393957785221
5994619238.4769535,-34.109874008316595
5994839679.358717,-34.14751635200025
5995060120.240481,-33.66323777367634
5995280561.122245,-33.04017239970137
5995501002.004008,-34.0027069801167
5995721442.885772,-33.29379235963151
5995941883.767535,-33.49039305030403
5996162324.649299,-33.49753600083345
5996382765.531062,-33.40167824701677
5996603206.412826,-33.54866649231609
5996823647.294589,-32.82524641407824
5997044088.1763525,-32.91737651950589
5997264529.058116,-33.27310282101533
5997484969.939879,-33.22220441356042
5997705410.821643,-32.93742031635024
5997925851.703407,-32.81558058601512
5998146292.585171,-32.37174653883285
5998366733.466934,-32.32329832371888
5998587174.348698,-32.99499922085065
5998807615.230461,-33.45910258991477
5999028056.112225,-32.387775866979005
5999248496.993988,-31.843386403737227
5999468937.8757515,-32.32286235742306
5999689378.757515,-31.625145291915224
5999909819.639278,-32.10043921162445
6000130260.521042,-32.72568063631374
6000350701.402805,-32.00894020173016
6000571142.284569,-32.74594859437045
6000791583.166332,-31.762516269384705
6001012024.048097,-31.580614476566012
6001232464.92986,-31.437668469595003
6001452905.811624,-30.923428120383505
6001673346.693387,-31.59640789444999
6001893787.5751505,-31.0488115948433
6002114228.456914,-32.11567605144164
6002334669.338677,-31.27043623385309
6002555110.220441,-32.11209776160162
6002775551.102204,-30.88243545093342
6002995991.983968,-31.42374652291379
6003216432.865731,-30.214553345322123
6003436873.747495,-30.864128489034464
6003657314.629258,-29.931337319474032
6003877755.511022,-30.86396925455388
6004098196.392786,-30.156407959451627
6004318637.2745495,-31.183488660327725
6004539078.156313,-30.44777714745821
6004759519.038076,-31.12236578694059
6004979959.91984,-30.27013896515485
6005200400.801603,-30.38285264258981
6005420841.683367,-29.819213204702812
6005641282.56513,-29.50004744736482
6005861723.446894,-29.641611350686368
6006082164.328657,-29.030790111229464
6006302605.210421,-29.87012303744759
6006523046.092184,-29.131378430382178
6006743486.973948,-30.13495618430683
6006963927.855711,-29.43979045643539
6007184368.737475,-29.953753724691488
6007404809.619239,-29.521967987716096
6007625250.501002,-29.080756071418882
6007845691.382766,-29.256403170819773
6008066132.264529,-28.201883278487294
6008286573.146293,-28.80517607162318
6008507014.028056,-27.940719744902054
6008727454.90982,-28.341372838675348
6008947895.791583,-28.390032377337484
6009168336.6733465,-28.107387234350924
6009388777.55511,-28.987960975849262
6009609218.436873,-28.131927682592412
6009829659.318637,-28.869228304451426
6010050100.2004,-28.154417249264547
6010270541.082165,-27.914710034361725
6010490981.963928,-27.985898344862974
6010711422.845692,-26.945258998407915
6010931863.727455,-27.522775886876268
6011152304.609219,-26.681913223793465
6011372745.490982,-26.91341826114501
6011593186.3727455,-27.136455540990845
6011813627.254509,-26.63977103615268
6012034068.136272,-27.613000415347322
6012254509.018036,-26.800043143433676
6012474949.899799,-27.351199928937575
6012695390.781563,-26.96060466452768
6012915831.663326,-26.41135000085682
6013136272.54509,-26.707147744603972
6013356713.426854,-25.520023745769848
6013577154.308618,-26.054802410370627
6013797595.190381,-25.20697252969925
6014018036.0721445,-25.438592442140056
6014238476.953908,-25.508661580990847
6014458917.835671,-25.22359574954025
6014679358.717435,-25.997498838912925
6014899799.599198,-25.197551391181612
6015120240.480962,-26.025508889484634
6015340681.362725,-24.778552085632214
6015561122.244489,-25.317912427766593
6015781563.126252,-23.958476195540356
6016002004.008016,-24.48937060315488
6016222444.889779,-23.425420410825318
6016442885.7715435,-24.134753659198637
6016663326.653307,-23.876873666520922
6016883767.53507,-23.768327734232557
6017104208.416834,-24.457064530939547
6017324649.298597,-23.848572245283066
6017545090.180361,-22.80594572718585
6017765531.062124,-22.467042181674273
6017985971.943888,-23.246594021975326
6018206412.825651,-22.23846408616852
6018426853.707415,-21.421128628455925
6018647294.589178,-20.375196335750488
6018867735.470942,-19.77227613464202
6019088176.352705,-20.045308468471426
6019308617.234468,-20.686114594690736
6019529058.116233,-19.31390964051272
6019749498.997996,-20.429496505405254
6019969939.87976,-19.604552623439844
6020190380.761523,-18.322438939475916
6020410821.643287,-19.365340226954864
6020631262.52505,-20.65207663376625
6020851703.406814,-19.841003434805266
6021072144.288577,-19.733731539904944
6021292585.170341,-20.26525954803855
6021513026.052104,-19.142829788843095
6021733466.933867,-18.747393856667756
6021953907.815631,-18.607872607231073
6022174348.697394,-18.5921708374676
6022394789.579159,-17.909033359287747
6022615230.460922,-16.75250848317205
6022835671.342686,-16.085689881719254
6023056112.224449,-16.194010374853775
6023276553.106213,-15.632112657895206
6023496993.987976,-14.338221197820069
6023717434.86974,-14.125742683796744
6023937875.751503,-14.20328141848178
6024158316.633266,-12.937468375225059
6024378757.51503,-12.454665239252776
6024599198.396793,-12.705932028544744
6024819639.278557,-11.31699162712885
6025040080.16032,-10.436383749761617
6025260521.042084,-10.329647003425166
6025480961.923848,-8.291848912971524
6025701402.805612,-6.795986186739107
6025921843.687375,-5.7685662135156335
6026142284.569139,-2.6656864275669676
6026362725.450902,-0.24390240741037417
6026583166.332665,3.413776629479649
6026803607.214429,9.903455626307384
6027024048.096192,30.175363057925765
6027244488.977956,8.490073072421005
6027464929.859719,2.235654259651831
6027685370.741483,-0.7244277764064719
6027905811.623246,-3.314104091950057
6028126252.50501,-6.172283956037312
6028346693.386773,-7.0101020779984395
6028567134.2685375,-8.740519587679515
6028787575.150301,-10.514292998838727
6029008016.032064,-10.520458957340637
6029228456.913828,-11.635123567366492
6029448897.795591,-12.796133845215117
6029669338.677355,-12.475437937398148
6029889779.559118,-13.18029962826138
6030110220.440882,-14.323942076622444
6030330661.322645,-14.116995462368834
6030551102.204409,-14.530841560938406
6030771543.086172,-15.842608046016586
6030991983.967936,-16.191695971209086
6031212424.849699,-16.14171939714518
6031432865.7314625,-16.9653253619854
6031653306.613227,-18.111769864805247
6031873747.49499,-18.548973821762672
6032094188.376754,-18.488604558680315
6032314629.258517,-18.616912973849757
6032535070.140281,-18.90304478301409
6032755511.022044,-19.25406265215497
6032975951.903808,-20.024723060148688
6033196392.785571,-19.348258240981195
6033416833.667335,-21.65419443680981
6033637274.549098,-19.362922885630056
6033857715.430861,-18.686619050948686
6034078156.312625,-19.827073730107976
6034298597.194388,-19.575259884783875
6034519038.076152,-19.357730726485265
6034739478.957916,-20.177261342944263
6034959919.83968,-20.429171752703617
6035180360.721443,-19.91884025813618
6035400801.603207,-20.02546808177074
6035621242.48497,-21.827908948754057
6035841683.366734,-23.138417429700695
6036062124.248497,-22.580780372184925
6036282565.13026,-22.109992570169467
6036503006.012024,-22.579840474825133
6036723446.893787,-23.550368862751753
6036943887.775551,-24.57456386182895
6037164328.657314,-24.09690089609296
6037384769.539078,-23.59171418549522
6037605210.420841,-24.27928162005812
6037825651.302606,-23.456489851117084
6038046092.184369,-24.521556192060665
6038266533.066133,-24.117171431770615
6038486973.947896,-25.348732032451736
6038707414.829659,-24.904981260095454
6038927855.711423,-26.053578516243803
6039148296.593186,-25.20034274989274
6039368737.47495,-26.094263280128025
6039589178.356713,-25.099341929015836
6039809619.238477,-25.70872860000251
6040030060.12024,-25.272901818532
6040250501.002004,-25.429355003245327
6040470941.883767,-25.993237709333968
6040691382.765532,-25.637019893226395
6040911823.647295,-26.872728513831476
6041132264.529058,-26.36060922021337
6041352705.410822,-27.237365980642494
6041573146.292585,-27.190093085563653
6041793587.174349,-26.959942702210867
6042014028.056112,-27.562214087198882
6042234468.937876,-26.594538341024844
6042454909.819639,-27.299406287431097
6042675350.701403,-26.76291603627803
