Gain [dB],Phase [rad],Amplitude [dBm],Frequency [Hz]
3.0,0.0,-43.239383697509766,5959400000.0
3.0,0.07900232998045317,-42.45832443237305,5959400000.0
3.0,0.1570046304674829,-42.668601989746094,5959400000.0
3.0,0.23600696044793606,-42.52486038208008,5959400000.0
3.0,0.3140092609349658,-42.6490592956543,5959400000.0
3.0,0.393011590915419,-43.11823272705078,5959400000.0
3.0,0.4710138914024486,-42.8856201171875,5959400000.0
3.0,0.550016221382902,-42.69732284545898,5959400000.0
3.0,0.6280185218699316,-43.08245468139648,5959400000.0
3.0,0.7070208518503847,-43.06013870239258,5959400000.0
3.0,0.7850231523374145,-43.1207389831543,5959400000.0
3.0,0.8640254823178676,-43.10321807861328,5959400000.0
3.0,0.9420277828048972,-42.850128173828125,5959400000.0
3.0,1.0210301127853505,-42.99224472045898,5959400000.0
3.0,1.100032442765804,-42.64530944824219,5959400000.0
3.0,1.1780347432528333,-42.78541946411133,5959400000.0
3.0,1.2570370732332865,-43.19663619995117,5959400000.0
3.0,1.3350393737203163,-43.07086944580078,5959400000.0
3.0,1.4140417037007693,-43.161895751953125,5959400000.0
3.0,1.4920440041877991,-42.38925552368164,5959400000.0
3.0,1.5710463341682523,-42.53946304321289,5959400000.0
3.0,1.649048634655282,-42.85405731201172,5959400000.0
3.0,1.7280509646357352,-43.51972961425781,5959400000.0
3.0,1.8060532651227648,-42.853271484375,5959400000.0
3.0,1.885055595103218,-42.745361328125,5959400000.0
3.0,1.963057895590248,-43.06756210327149,5959400000.0
3.0,2.042060225570701,-43.97536849975586,5959400000.0
3.0,2.121062555551154,-42.4619140625,5959400000.0
3.0,2.199064856038184,-43.089088439941406,5959400000.0
3.0,2.278067186018637,-43.02892303466797,5959400000.0
3.0,2.3560694865056666,-43.21282958984375,5959400000.0
3.0,2.4350718164861203,-43.019927978515625,5959400000.0
3.0,2.5130741169731494,-42.93900680541992,5959400000.0
3.0,2.592076446953603,-43.06426239013672,5959400000.0
3.0,2.6700787474406327,-43.1107177734375,5959400000.0
3.0,2.749081077421086,-43.162742614746094,5959400000.0
3.0,2.8270833779081155,-43.12659454345703,5959400000.0
3.0,2.9060857078885687,-43.0692138671875,5959400000.0
3.0,2.9850880378690214,-42.78180313110352,5959400000.0
3.0,3.0630903383560515,-43.026466369628906,5959400000.0
3.0,3.1420926683365047,-43.56023788452149,5959400000.0
3.0,3.2200949688235347,-43.015846252441406,5959400000.0
3.0,3.299097298803987,-43.399044036865234,5959400000.0
3.0,3.377099599291017,-43.07004165649414,5959400000.0
3.0,3.4561019292714703,-43.43860626220703,5959400000.0
3.0,3.5341042297585,-43.22705841064453,5959400000.0
3.0,3.6131065597389536,-43.39684677124024,5959400000.0
3.0,3.6911088602259827,-42.69504928588867,5959400000.0
3.0,3.770111190206436,-42.97796249389648,5959400000.0
3.0,3.848113490693466,-42.84855651855469,5959400000.0
3.0,3.927115820673919,-43.07086944580078,5959400000.0
3.0,4.006118150654372,-43.00443649291992,5959400000.0
3.0,4.084120451141402,-42.96957778930664,5959400000.0
3.0,4.163122781121856,-43.04779052734375,5959400000.0
3.0,4.241125081608884,-42.733924865722656,5959400000.0
3.0,4.320127411589338,-43.007694244384766,5959400000.0
3.0,4.398129712076368,-43.3350715637207,5959400000.0
3.0,4.477132042056821,-42.802040100097656,5959400000.0
3.0,4.555134342543851,-42.61425018310547,5959400000.0
3.0,4.634136672524304,-42.63408660888672,5959400000.0
3.0,4.712138973011333,-42.88958358764648,5959400000.0
3.0,4.791141302991787,-42.71099472045898,5959400000.0
3.0,4.8691436034788165,-43.38972854614258,5959400000.0
3.0,4.94814593345927,-42.54897689819336,5959400000.0
3.0,5.027148263439723,-43.73482131958008,5959400000.0
3.0,5.1051505639267525,-43.10488510131836,5959400000.0
3.0,5.184152893907206,-42.86490249633789,5959400000.0
3.0,5.262155194394235,-43.37729263305664,5959400000.0
3.0,5.3411575243746885,-43.0428581237793,5959400000.0
3.0,5.419159824861718,-43.65846633911133,5959400000.0
3.0,5.498162154842172,-42.63296890258789,5959400000.0
3.0,5.576164455329201,-43.33844757080078,5959400000.0
3.0,5.655166785309655,-42.68520736694336,5959400000.0
3.0,5.733169085796684,-42.7985954284668,5959400000.0
3.0,5.812171415777137,-42.99342727661133,5959400000.0
3.0,5.890173716264167,-43.37818145751953,5959400000.0
3.0,5.969176046244621,-43.18474197387695,5959400000.0
3.0,6.048178376225073,-43.46056365966797,5959400000.0
3.0,6.126180676712103,-42.95426559448242,5959400000.0
3.0,6.205183006692557,-43.47323989868164,5959400000.0
3.0,6.283185307179586,-42.6678466796875,5959400000.0
3.1117,0.0,-42.44327545166016,5959400000.0
3.1117,0.07900232998045317,-42.75995635986328,5959400000.0
3.1117,0.1570046304674829,-43.2557373046875,5959400000.0
3.1117,0.23600696044793606,-42.84752655029297,5959400000.0
3.1117,0.3140092609349658,-42.578392028808594,5959400000.0
3.1117,0.393011590915419,-43.000370025634766,5959400000.0
3.1117,0.4710138914024486,-43.09905624389648,5959400000.0
3.1117,0.550016221382902,-43.24516296386719,5959400000.0
3.1117,0.6280185218699316,-43.20174407958984,5959400000.0
3.1117,0.7070208518503847,-43.3746337890625,5959400000.0
3.1117,0.7850231523374145,-43.1098861694336,5959400000.0
3.1117,0.8640254823178676,-42.801700592041016,5959400000.0
3.1117,0.9420277828048972,-43.30781555175781,5959400000.0
3.1117,1.0210301127853505,-42.884037017822266,5959400000.0
3.1117,1.100032442765804,-43.82471466064453,5959400000.0
3.1117,1.1780347432528333,-43.60300064086914,5959400000.0
3.1117,1.2570370732332865,-43.19021987915039,5959400000.0
3.1117,1.3350393737203163,-42.98251724243164,5959400000.0
3.1117,1.4140417037007693,-42.93833923339844,5959400000.0
3.1117,1.4920440041877991,-42.76919555664063,5959400000.0
3.1117,1.5710463341682523,-43.38084411621094,5959400000.0
3.1117,1.649048634655282,-43.56857299804688,5959400000.0
3.1117,1.7280509646357352,-42.93339920043945,5959400000.0
3.1117,1.8060532651227648,-42.58892059326172,5959400000.0
3.1117,1.885055595103218,-42.48062896728516,5959400000.0
3.1117,1.963057895590248,-42.87059783935547,5959400000.0
3.1117,2.042060225570701,-43.54546356201172,5959400000.0
3.1117,2.121062555551154,-43.39061737060547,5959400000.0
3.1117,2.199064856038184,-43.05107879638672,5959400000.0
3.1117,2.278067186018637,-42.93740463256836,5959400000.0
3.1117,2.3560694865056666,-43.148414611816406,5959400000.0
3.1117,2.4350718164861203,-43.13078308105469,5959400000.0
3.1117,2.5130741169731494,-43.26869201660156,5959400000.0
3.1117,2.592076446953603,-42.96635055541992,5959400000.0
3.1117,2.6700787474406327,-43.30430221557617,5959400000.0
3.1117,2.749081077421086,-43.162742614746094,5959400000.0
3.1117,2.8270833779081155,-43.00118255615234,5959400000.0
3.1117,2.9060857078885687,-42.99711608886719,5959400000.0
3.1117,2.9850880378690214,-42.8808708190918,5959400000.0
3.1117,3.0630903383560515,-43.32177734375,5959400000.0
3.1117,3.1420926683365047,-43.145050048828125,5959400000.0
3.1117,3.2200949688235347,-42.74689483642578,5959400000.0
3.1117,3.299097298803987,-43.42544937133789,5959400000.0
3.1117,3.377099599291017,-42.66634368896485,5959400000.0
3.1117,3.4561019292714703,-42.912628173828125,5959400000.0
3.1117,3.5341042297585,-43.371089935302734,5959400000.0
3.1117,3.6131065597389536,-43.09407043457031,5959400000.0
3.1117,3.6911088602259827,-43.12826919555664,5959400000.0
3.1117,3.770111190206436,-42.586517333984375,5959400000.0
3.1117,3.848113490693466,-42.853271484375,5959400000.0
3.1117,3.927115820673919,-42.78928756713867,5959400000.0
3.1117,4.006118150654372,-43.18595886230469,5959400000.0
3.1117,4.084120451141402,-43.02156066894531,5959400000.0
3.1117,4.163122781121856,-43.40130615234375,5959400000.0
3.1117,4.241125081608884,-42.78387069702149,5959400000.0
3.1117,4.320127411589338,-43.29820251464844,5959400000.0
3.1117,4.398129712076368,-42.81414794921875,5959400000.0
3.1117,4.477132042056821,-42.948638916015625,5959400000.0
3.1117,4.555134342543851,-42.91585540771485,5959400000.0
3.1117,4.634136672524304,-42.66257858276367,5959400000.0
3.1117,4.712138973011333,-42.88314437866211,5959400000.0
3.1117,4.791141302991787,-42.7985954284668,5959400000.0
3.1117,4.8691436034788165,-42.8808708190918,5959400000.0
3.1117,4.94814593345927,-43.62172317504883,5959400000.0
3.1117,5.027148263439723,-42.654781341552734,5959400000.0
3.1117,5.1051505639267525,-42.943172454833984,5959400000.0
3.1117,5.184152893907206,-42.64381408691406,5959400000.0
3.1117,5.262155194394235,-43.0327377319336,5959400000.0
3.1117,5.3411575243746885,-43.29384994506836,5959400000.0
3.1117,5.419159824861718,-43.05931091308594,5959400000.0
3.1117,5.498162154842172,-43.178810119628906,5959400000.0
3.1117,5.576164455329201,-43.07086944580078,5959400000.0
3.1117,5.655166785309655,-42.31710052490234,5959400000.0
3.1117,5.733169085796684,-42.89751434326172,5959400000.0
3.1117,5.812171415777137,-43.183048248291016,5959400000.0
3.1117,5.890173716264167,-42.9470329284668,5959400000.0
3.1117,5.969176046244621,-42.94881439208984,5959400000.0
3.1117,6.048178376225073,-42.65656661987305,5959400000.0
3.1117,6.126180676712103,-42.7985954284668,5959400000.0
3.1117,6.205183006692557,-42.99711608886719,5959400000.0
3.1117,6.283185307179586,-42.60007858276367,5959400000.0
3.2233,0.0,-43.05354690551758,5959400000.0
3.2233,0.07900232998045317,-43.44161987304688,5959400000.0
3.2233,0.1570046304674829,-42.654781341552734,5959400000.0
3.2233,0.23600696044793606,-43.16020965576172,5959400000.0
3.2233,0.3140092609349658,-43.07334899902344,5959400000.0
3.2233,0.393011590915419,-43.19238662719727,5959400000.0
3.2233,0.4710138914024486,-43.38972854614258,5959400000.0
3.2233,0.550016221382902,-42.90785217285156,5959400000.0
3.2233,0.6280185218699316,-42.9470329284668,5959400000.0
3.2233,0.7070208518503847,-43.093238830566406,5959400000.0
3.2233,0.7850231523374145,-43.1391716003418,5959400000.0
3.2233,0.8640254823178676,-42.89434051513672,5959400000.0
3.2233,0.9420277828048972,-42.564395904541016,5959400000.0
3.2233,1.0210301127853505,-43.02862548828125,5959400000.0
3.2233,1.100032442765804,-43.2557373046875,5959400000.0
3.2233,1.1780347432528333,-43.084110260009766,5959400000.0
3.2233,1.2570370732332865,-42.97390365600586,5959400000.0
3.2233,1.3350393737203163,-43.41559600830078,5959400000.0
3.2233,1.4140417037007693,-42.58503723144531,5959400000.0
3.2233,1.4920440041877991,-42.54751205444336,5959400000.0
3.2233,1.5710463341682523,-43.07572937011719,5959400000.0
3.2233,1.649048634655282,-43.52247619628906,5959400000.0
3.2233,1.7280509646357352,-43.10655212402344,5959400000.0
3.2233,1.8060532651227648,-43.35165023803711,5959400000.0
3.2233,1.885055595103218,-42.83650207519531,5959400000.0
3.2233,1.963057895590248,-42.69050216674805,5959400000.0
3.2233,2.042060225570701,-43.21282958984375,5959400000.0
3.2233,2.121062555551154,-43.35517883300781,5959400000.0
3.2233,2.199064856038184,-43.02156066894531,5959400000.0
3.2233,2.278067186018637,-43.0915412902832,5959400000.0
3.2233,2.3560694865056666,-42.9954948425293,5959400000.0
3.2233,2.4350718164861203,-43.21197891235352,5959400000.0
3.2233,2.5130741169731494,-42.48857116699219,5959400000.0
3.2233,2.592076446953603,-42.75534057617188,5959400000.0
3.2233,2.6700787474406327,-43.24970626831055,5959400000.0
3.2233,2.749081077421086,-43.26091384887695,5959400000.0
3.2233,2.8270833779081155,-43.01421356201172,5959400000.0
3.2233,2.9060857078885687,-42.99386978149414,5959400000.0
3.2233,2.9850880378690214,-43.20344924926758,5959400000.0
3.2233,3.0630903383560515,-42.99711608886719,5959400000.0
3.2233,3.1420926683365047,-42.89827346801758,5959400000.0
3.2233,3.2200949688235347,-42.95689392089844,5959400000.0
3.2233,3.299097298803987,-43.47306823730469,5959400000.0
3.2233,3.377099599291017,-42.83131790161133,5959400000.0
3.2233,3.4561019292714703,-43.41738510131836,5959400000.0
3.2233,3.5341042297585,-43.39546585083008,5959400000.0
3.2233,3.6131065597389536,-42.92619705200195,5959400000.0
3.2233,3.6911088602259827,-42.68671798706055,5959400000.0
3.2233,3.770111190206436,-43.72521209716797,5959400000.0
3.2233,3.848113490693466,-43.00932312011719,5959400000.0
3.2233,3.927115820673919,-43.21282958984375,5959400000.0
3.2233,4.006118150654372,-43.19408416748047,5959400000.0
3.2233,4.084120451141402,-42.79814147949219,5959400000.0
3.2233,4.163122781121856,-43.32002639770508,5959400000.0
3.2233,4.241125081608884,-42.45401763916016,5959400000.0
3.2233,4.320127411589338,-43.37939834594727,5959400000.0
3.2233,4.398129712076368,-43.2607421875,5959400000.0
3.2233,4.477132042056821,-43.08659744262695,5959400000.0
3.2233,4.555134342543851,-43.17542266845703,5959400000.0
3.2233,4.634136672524304,-42.96473693847656,5959400000.0
3.2233,4.712138973011333,-43.52064514160156,5959400000.0
3.2233,4.791141302991787,-43.105716705322266,5959400000.0
3.2233,4.8691436034788165,-43.27561950683594,5959400000.0
3.2233,4.94814593345927,-42.6640853881836,5959400000.0
3.2233,5.027148263439723,-42.82038116455078,5959400000.0
3.2233,5.1051505639267525,-43.01829528808594,5959400000.0
3.2233,5.184152893907206,-42.67991638183594,5959400000.0
3.2233,5.262155194394235,-43.51606369018555,5959400000.0
3.2233,5.3411575243746885,-42.76226425170898,5959400000.0
3.2233,5.419159824861718,-43.21197891235352,5959400000.0
3.2233,5.498162154842172,-43.32966613769531,5959400000.0
3.2233,5.576164455329201,-43.02156066894531,5959400000.0
3.2233,5.655166785309655,-42.92859649658203,5959400000.0
3.2233,5.733169085796684,-42.97119522094727,5959400000.0
3.2233,5.812171415777137,-42.70871353149414,5959400000.0
3.2233,5.890173716264167,-43.05437088012695,5959400000.0
3.2233,5.969176046244621,-42.73540496826172,5959400000.0
3.2233,6.048178376225073,-42.87849807739258,5959400000.0
3.2233,6.126180676712103,-43.75510025024414,5959400000.0
3.2233,6.205183006692557,-42.7408447265625,5959400000.0
3.2233,6.283185307179586,-43.25659942626953,5959400000.0
3.335,0.0,-42.77923202514648,5959400000.0
3.335,0.07900232998045317,-42.98772430419922,5959400000.0
3.335,0.1570046304674829,-42.997928619384766,5959400000.0
3.335,0.23600696044793606,-42.759185791015625,5959400000.0
3.335,0.3140092609349658,-43.159366607666016,5959400000.0
3.335,0.393011590915419,-43.4218635559082,5959400000.0
3.335,0.4710138914024486,-43.35606002807617,5959400000.0
3.335,0.550016221382902,-42.57396697998047,5959400000.0
3.335,0.6280185218699316,-42.73999786376953,5959400000.0
3.335,0.7070208518503847,-43.39457321166992,5959400000.0
3.335,0.7850231523374145,-43.07334899902344,5959400000.0
3.335,0.8640254823178676,-42.91024017333984,5959400000.0
3.335,0.9420277828048972,-43.06673812866211,5959400000.0
3.335,1.0210301127853505,-43.10905075073242,5959400000.0
3.335,1.100032442765804,-42.46982192993164,5959400000.0
3.335,1.1780347432528333,-42.81492614746094,5959400000.0
3.335,1.2570370732332865,-43.07157516479492,5959400000.0
3.335,1.3350393737203163,-43.46237182617188,5959400000.0
3.335,1.4140417037007693,-42.88166427612305,5959400000.0
3.335,1.4920440041877991,-42.87059783935547,5959400000.0
3.335,1.5710463341682523,-43.23766708374024,5959400000.0
3.335,1.649048634655282,-42.85248565673828,5959400000.0
3.335,1.7280509646357352,-43.34284210205078,5959400000.0
3.335,1.8060532651227648,-43.42544937133789,5959400000.0
3.335,1.885055595103218,-43.03219604492188,5959400000.0
3.335,1.963057895590248,-43.107383728027344,5959400000.0
3.335,2.042060225570701,-43.48322296142578,5959400000.0
3.335,2.121062555551154,-42.46263122558594,5959400000.0
3.335,2.199064856038184,-42.75457382202149,5959400000.0
3.335,2.278067186018637,-42.76226425170898,5959400000.0
3.335,2.3560694865056666,-43.08659744262695,5959400000.0
3.335,2.4350718164861203,-43.65563201904297,5959400000.0
3.335,2.5130741169731494,-43.11238861083984,5959400000.0
3.335,2.592076446953603,-42.93820571899414,5959400000.0
3.335,2.6700787474406327,-42.98899841308594,5959400000.0
3.335,2.749081077421086,-43.40665817260742,5959400000.0
3.335,2.8270833779081155,-43.312156677246094,5959400000.0
3.335,2.9060857078885687,-43.102386474609375,5959400000.0
3.335,2.9850880378690214,-43.03219604492188,5959400000.0
3.335,3.0630903383560515,-42.899898529052734,5959400000.0
3.335,3.1420926683365047,-43.14001083374024,5959400000.0
3.335,3.2200949688235347,-42.79781723022461,5959400000.0
3.335,3.299097298803987,-43.39239501953125,5959400000.0
3.335,3.377099599291017,-43.4004135131836,5959400000.0
3.335,3.4561019292714703,-42.92539978027344,5959400000.0
3.335,3.5341042297585,-42.91501998901367,5959400000.0
3.335,3.6131065597389536,-43.14925765991211,5959400000.0
3.335,3.6911088602259827,-43.078311920166016,5959400000.0
3.335,3.770111190206436,-43.1391716003418,5959400000.0
3.335,3.848113490693466,-42.8808708190918,5959400000.0
3.335,3.927115820673919,-42.77228164672852,5959400000.0
3.335,4.006118150654372,-43.08079528808594,5959400000.0
3.335,4.084120451141402,-43.31477737426758,5959400000.0
