Frequency,Power_dB
5975000000.0,-35.67374615616208
5975110110.11011,-35.64127325806483
5975220220.220221,-35.60875948193623
5975330330.33033,-35.57620497116079
5975440440.44044,-35.54360923647356
5975550550.55055,-35.51097312371924
5975660660.660661,-35.478296206067895
5975770770.770771,-35.445578300471354
5975880880.880881,-35.41282024699987
5975990990.990991,-35.38002143173658
5976101101.101101,-35.34718250133673
5976211211.211211,-35.31430293098805
5976321321.3213215,-35.28138341214017
5976431431.431432,-35.24842318618143
5976541541.541541,-35.215423466118864
5976651651.651651,-35.18238290884592
5976761761.761762,-35.14930297598087
5976871871.871872,-35.11618304505505
5976981981.981982,-35.08302361532343
5977092092.0920925,-35.04982456573059
5977202202.202202,-35.01658591790098
5977312312.312312,-34.98330768292881
5977422422.422422,-34.94999003880173
5977532532.532533,-34.916633814083696
5977642642.642643,-34.88323774332912
5977752752.752752,-34.849802992004896
5977862862.862863,-34.81632942582607
5977972972.972973,-34.7828172934078
5978083083.083083,-34.74926682359859
5978193193.193193,-34.715677549477604
5978303303.303304,-34.68205025458239
5978413413.413413,-34.64838451275229
5978523523.523523,-34.61468064375019
5978633633.633634,-34.580939627153555
5978743743.743744,-34.54716038857967
5978853853.853854,-34.51334377225305
5978963963.9639635,-34.479489711551494
5979074074.074074,-34.445598417409556
5979184184.184184,-34.41167001670631
5979294294.294294,-34.37770492559041
5979404404.404405,-34.34370340591019
5979514514.514515,-34.309664438787294
5979624624.624624,-34.27559002841936
5979734734.734735,-34.24147910666372
5979844844.844845,-34.20733222865964
5979954954.954955,-34.17315014146142
5980065065.065065,-34.13893189835409
5980175175.175175,-34.10467879511202
5980285285.285285,-34.07039024297602
5980395395.395395,-34.03606702424523
5980505505.505506,-34.001708984025896
5980615615.615616,-33.96731665383669
5980725725.725726,-33.932890029327645
5980835835.835835,-33.89842952399316
5980945945.945946,-33.86393554804195
5981056056.056056,-33.82943568837383
5981166166.166166,-33.79482219105774
5981276276.276277,-33.760252922772494
5981386386.386386,-33.725626555275056
5981496496.496496,-33.69096760081813
5981606606.6066065,-33.65627260814398
5981716716.716717,-33.62154602020797
5981826826.826827,-33.586797273731776
