Frequency,Power_dB
5975000000.0,-31.67971235670447
5975110110.11011,-31.640976720808034
5975220220.220221,-31.60217322171492
5975330330.33033,-31.563300723234633
5975440440.44044,-31.524360295262028
5975550550.55055,-31.485351239898705
5975660660.660661,-31.4462740418807
5975770770.770771,-31.407128479380837
5975880880.880881,-31.367914621441486
5975990990.990991,-31.32863294870325
5976101101.101101,-31.289282719677303
5976211211.211211,-31.249864854174007
5976321321.3213215,-31.21037891165561
5976431431.431432,-31.170824813671175
5976541541.541541,-31.13120376355505
5976651651.651651,-31.0915136646409
5976761761.761762,-31.05175757013413
5976871871.871872,-31.01193279373122
5976981981.981982,-30.972041229134952
5977092092.0920925,-30.932082118149623
5977202202.202202,-30.8920566328841
5977312312.312312,-30.851962918399323
5977422422.422422,-30.81180374976998
5977532532.532533,-30.771577118736303
5977642642.642643,-30.73128408410139
5977752752.752752,-30.69092494795055
5977862862.862863,-30.650499736165962
5977972972.972973,-30.610008550760952
5978083083.083083,-30.56945087820918
5978193193.193193,-30.52882904630564
5978303303.303304,-30.488140874600028
5978413413.413413,-30.44738825553626
5978523523.523523,-30.406569760183537
5978633633.633634,-30.365687892633574
5978743743.743744,-30.32474116623475
5978853853.853854,-30.2837305044119
5978963963.9639635,-30.242656007450286
5979074074.074074,-30.201517538178813
5979184184.184184,-30.160316735393366
5979294294.294294,-30.11905223938848
5979404404.404405,-30.077726251467695
5979514514.514515,-30.036337229595027
5979624624.624624,-29.99488663367299
5979734734.734735,-29.953374312814404
5979844844.844845,-29.911800636537443
5979954954.954955,-29.870167106634
5980065065.065065,-29.8284723727728
5980175175.175175,-29.786718776497764
5980285285.285285,-29.744904601344757
5980395395.395395,-29.703032247358472
5980505505.505506,-29.661101223735535
5980615615.615616,-29.619111417054015
5980725725.725726,-29.57706483806757
5980835835.835835,-29.53496018800324
5980945945.945946,-29.492799716510646
5981056056.056056,-29.45058291798872
5981166166.166166,-29.408310548197093
5981276276.276277,-29.3659838121225
5981386386.386386,-29.32360190581211
5981496496.496496,-29.281167176396963
5981606606.6066065,-29.23867862351792
5981716716.716717,-29.196137920790157
5981826826.826827,-29.15354557098805
5981936936.936937,-29.11090143383273
5982047047.047047,-29.068207650722194
5982157157.157157,-29.0254632316024
5982267267.267267,-28.982670349215468
5982377377.3773775,-28.93982901493176
5982487487.487488,-28.896939869673574
5982597597.597597,-28.854004770500524
5982707707.707707,-28.81102296711701
5982817817.817818,-28.767997110382375
5982927927.927928,-28.724926412722482
5983038038.038038,-28.681812752374867
5983148148.148149,-28.638656419836096
5983258258.258258,-28.59545823365206
5983368368.368368,-28.552220367802377
5983478478.478478,-28.508942386754804
5983588588.588589,-28.46562629871257
5983698698.698699,-28.422271688300697
5983808808.808809,-28.378881996473964
5983918918.918919,-28.33545553638593
5984029029.029029,-28.29199584955984
5984139139.139139,-28.248502127481473
5984249249.249249,-28.204977064735814
5984359359.35936,-28.161420274830242
5984469469.469469,-28.11783502996687
5984579579.579579,-28.07421980444527
5984689689.68969,-28.030578791406484
5984799799.7998,-27.986911240792978
5984909909.90991,-27.943219614588635
5985020020.0200205,-27.89950429493871
5985130130.13013,-27.855767128176367
5985240240.24024,-27.81200996510482
5985350350.35035,-27.768233249326563
5985460460.460461,-27.724439264346117
5985570570.570571,-27.680629421428222
5985680680.68068,-27.636804917929524
5985790790.790791,-27.592967602561714
5985900900.900901,-27.54911962272513
5986011011.011011,-27.50526082939536
5986121121.121121,-27.461394809939115
5986231231.231232,-27.417522796355357
5986341341.341341,-27.37364610598125
5986451451.451451,-27.32976616271283
5986561561.561562,-27.28588528855896
5986671671.671672,-27.24200539412478
5986781781.781782,-27.19812850877807
5986891891.8918915,-27.154256677875885
5987002002.002002,-27.110390954763957
5987112112.112112,-27.066534430341108
5987222222.222222,-27.022688334341183
5987332332.332333,-26.97885502626398
5987442442.442443,-26.93503642721285
5987552552.552552,-26.89123522038802
5987662662.6626625,-26.847453344485984
5987772772.772773,-26.80369253305767
5987882882.882883,-26.75995553344933
5987992992.992993,-26.71624499368722
5988103103.103103,-26.672562274176457
5988213213.213213,-26.62891045701069
5988323323.323323,-26.585245774492535
5988433433.433434,-26.54166046119299
5988543543.543544,-26.498166044250553
5988653653.653654,-26.454713435190115
5988763763.763763,-26.41125315231725
5988873873.873874,-26.36773830751828
5988983983.983984,-26.32439962318253
5989094094.094094,-26.281089248504912
5989204204.204205,-26.237850817094184
5989314314.314314,-26.19464701817455
5989424424.424424,-26.1515022434832
5989534534.534534,-26.108427051974616
5989644644.644645,-26.065424885607868
5989754754.754755,-26.02247587784393
5989864864.864865,-25.979597890038647
5989974974.974975,-25.936806410699802
5990085085.085085,-25.89408047810595
5990195195.195195,-25.851442119890784
5990305305.3053055,-25.80888617419813
5990415415.415416,-25.76643228113945
5990525525.525525,-25.72403464727735
5990635635.635635,-25.681754948561434
5990745745.745746,-25.639574311842004
5990855855.855856,-25.597501179416696
5990965965.965966,-25.55552739062599
5991076076.0760765,-25.513662875193035
5991186186.186186,-25.471901021885365
5991296296.296296,-25.43026030730843
5991406406.406406,-25.38873775590922
5991516516.516517,-25.347335614066402
5991626626.626627,-25.306061767748467
5991736736.736736,-25.26492216597685
5991846846.846847,-25.223837854889894
5991956956.956957,-25.183043450808256
5992067067.067067,-25.142308628911785
5992177177.177177,-25.10172449668432
5992287287.287288,-25.061283118975403
5992397397.397397,-25.021004689058792
5992507507.507507,-24.980878039162846
5992617617.617618,-24.940919395833376
5992727727.727728,-24.90111402201677
5992837837.837838,-24.861529931437218
5992947947.9479475,-24.822076859413365
5993058058.058058,-24.782703837970033
5993168168.168168,-24.743605396491517
5993278278.278278,-24.7046942949994
5993388388.388389,-24.6660740355183
5993498498.498499,-24.627547714462075
5993608608.608608,-24.589166867293926
5993718718.718719,-24.5510450911072
5993828828.828829,-24.513131017613517
5993938938.938939,-24.475420517231363
5994049049.049049,-24.43792045247492
5994159159.159159,-24.40065800356861
5994269269.269269,-24.363611537558214
5994379379.379379,-24.326793602462217
5994489489.48949,-24.29020676688853
5994599599.5996,-24.25384925702079
5994709709.70971,-24.217749578375987
5994819819.819819,-24.181878409808775
5994929929.92993,-24.146278868314674
5995040040.04004,-24.110914097716304
5995150150.15015,-24.0758160733601
5995260260.260261,-24.04097293844736
5995370370.37037,-24.006410252334057
5995480480.48048,-23.9721084553304
5995590590.5905905,-23.93808109906179
5995700700.700701,-23.904338163201245
5995810810.810811,-23.870880600512862
5995920920.920921,-23.837704689593693
5996031031.031031,-23.804823290619098
5996141141.141141,-23.772237731026962
5996251251.251251,-23.739952027083852
5996361361.3613615,-23.70797011745082
5996471471.471472,-23.67629557181162
5996581581.581581,-23.644933381269198
5996691691.691691,-23.613886043182283
5996801801.801802,-23.583158067618093
5996911911.911912,-23.552752214783922
5997022022.022022,-23.52267454751029
5997132132.132133,-23.49292668861517
5997242242.242242,-23.46351040283892
5997352352.352352,-23.434434827668547
5997462462.462462,-23.405694856864628
5997572572.572573,-23.377299384322008
5997682682.682683,-23.34925832756855
5997792792.792792,-23.321564956849947
5997902902.902903,-23.294219934961504
5998013013.013013,-23.267236316068974
5998123123.123123,-23.24060744737139
5998233233.233233,-23.214344002767213
5998343343.343344,-23.188440684083538
5998453453.453453,-23.162909495197106
5998563563.563563,-23.137748091951153
5998673673.673674,-23.112923109300958
5998783783.783784,-23.088503756141023
5998893893.893894,-23.064548496987186
5999004004.0040045,-23.04080131104415
5999114114.114114,-23.017522007582812
5999224224.224224,-22.994626561222944
5999334334.334334,-22.972218272505565
5999444444.444445,-22.95004492059615
5999554554.554555,-22.92831283195433
5999664664.664664,-22.9069736283029
5999774774.774775,-22.886014545971072
5999884884.884885,-22.865454264439705
5999994994.994995,-22.845284570047617
6000105105.105105,-22.825516194418213
6000215215.215216,-22.806135879837925
6000325325.325325,-22.78715570691225
6000435435.435435,-22.768573850411983
6000545545.545546,-22.750382266785095
6000655655.655656,-22.732594986334007
6000765765.765766,-22.71520913684298
6000875875.875875,-22.698230669535576
6000985985.985986,-22.681615208427026
6001096096.096096,-22.665411239476548
6001206206.206206,-22.649614522871985
6001316316.316317,-22.634215118903008
6001426426.426427,-22.61920815031501
6001536536.536536,-22.60459710273519
6001646646.6466465,-22.590379045650934
6001756756.756757,-22.57656336958715
6001866866.866867,-22.563133431537324
6001976976.976977,-22.550104962076524
6002087087.087087,-22.537459115389247
6002197197.197197,-22.525206610821506
6002307307.307307,-22.513341555712508
6002417417.417418,-22.501860924850376
6002527527.527528,-22.490766234801967
6002637637.637638,-22.480054635274335
6002747747.747747,-22.46972410831785
6002857857.857858,-22.459772498308332
6002967967.967968,-22.450197596417077
6003078078.078078,-22.44099718882829
6003188188.188189,-22.4321687834873
6003298298.298298,-22.423709631510498
6003408408.408408,-22.415617806703317
6003518518.518518,-22.407892585619543
6003628628.628629,-22.400523111209758
6003738738.738739,-22.393512482686447
6003848848.848849,-22.3868468411957
6003958958.958959,-22.380561250887894
6004069069.069069,-22.374610835718357
6004179179.179179,-22.369011594085855
6004289289.289289,-22.363747851369887
6004399399.3994,-22.3588257999549
6004509509.509509,-22.354240541388883
6004619619.619619,-22.349989248051912
6004729729.72973,-22.34606662352477
6004839839.83984,-22.342468326363587
6004949949.94995,-22.33919052662187
6005060060.0600605,-22.336231041506068
6005170170.17017,-22.33358294044863
6005280280.28028,-22.331246159212206
6005390390.39039,-22.32921415169578
6005500500.500501,-22.32748351633387
6005610610.610611,-22.3260516476184
6005720720.72072,-22.324912251497892
6005830830.830831,-22.324063043170483
6005940940.940941,-22.323498607062895
6006051051.051051,-22.323214860882167
6006161161.161161,-22.32320744328733
6006271271.271272,-22.323472518806675
6006381381.381381,-22.324005168329286
6006491491.491491,-22.32480191432873
6006601601.601602,-22.325857405861747
6006711711.711712,-22.327167097125837
6006821821.821822,-22.328726861152113
6006931931.9319315,-22.330533622844982
6007042042.042042,-22.332581648475013
6007152152.152152,-22.334866669695472
6007262262.262262,-22.337382565568774
6007372372.372373,-22.3401283758662
6007482482.482483,-22.343095406028553
6007592592.592592,-22.34628241634431
6007702702.7027025,-22.349684249832478
6007812812.812813,-22.353295937988804
6007922922.922923,-22.357112493101155
6008033033.033033,-22.361130843396815
6008143143.143143,-22.365344845765236
6008253253.253253,-22.36975245602744
6008363363.363363,-22.37434734702162
6008473473.473474,-22.379127109795206
6008583583.583584,-22.384083643406143
6008693693.693694,-22.38921507237034
6008803803.803803,-22.394518199656375
6008913913.913914,-22.399986472303873
6009024024.024024,-22.405613683896647
6009134134.134134,-22.411401807285962
6009244244.244245,-22.417341171432277
6009354354.354354,-22.423429785041492
6009464464.464464,-22.429663572552478
6009574574.574574,-22.43604302842777
6009684684.684685,-22.442514618819807
6009794794.794795,-22.449146562514095
6009904904.904905,-22.456005085715525
6010015015.015015,-22.462800145154837
6010125125.125125,-22.469919218491754
6010235235.235235,-22.47705161589407
6010345345.3453455,-22.484295822017458
6010455455.455456,-22.491647845006327
6010565565.565565,-22.499104020042317
6010675675.675675,-22.506660537959313
6010785785.785786,-22.51417497499793
6010895895.895896,-22.52205908300723
6011006006.006006,-22.529893843839197
