Frequency,Power_dB
5975000000.0,-44.49949091238156
5975110110.11011,-44.468709835789596
5975220220.220221,-44.437885249288854
5975330330.33033,-44.40701063612093
5975440440.44044,-44.37609435154677
5975550550.55055,-44.34513031431739
5975660660.660661,-44.31412205297464
5975770770.770771,-44.283061343116
5975880880.880881,-44.25196013463528
5975990990.990991,-44.22081462622914
5976101101.101101,-44.18961861790072
5976211211.211211,-44.15837739221752
5976321321.3213215,-44.12708724800203
5976431431.431432,-44.09575384351059
5976541541.541541,-44.06436958378444
5976651651.651651,-44.032971260075655
5976761761.761762,-44.00146265988154
5976871871.871872,-43.96994091827423
5976981981.981982,-43.938373651806074
5977092092.0920925,-43.90675273679716
5977202202.202202,-43.87508832303267
5977312312.312312,-43.8433771354689
5977422422.422422,-43.811612316559774
5977532532.532533,-43.77980857658662
5977642642.642643,-43.74795261566021
5977752752.752752,-43.716051073737674
5977862862.862863,-43.68409665600731
5977972972.972973,-43.65209575603144
5978083083.083083,-43.62004650105777
5978193193.193193,-43.58795234543912
5978303303.303304,-43.555812374939805
5978413413.413413,-43.52361160207573
5978523523.523523,-43.49136632242556
5978633633.633634,-43.45907775890451
5978743743.743744,-43.42672741993172
5978853853.853854,-43.394348572316616
5978963963.9639635,-43.361914292218955
5979074074.074074,-43.32942455859583
5979184184.184184,-43.296887487090686
5979294294.294294,-43.264300806090645
5979404404.404405,-43.2316608287358
5979514514.514515,-43.19897749390887
5979624624.624624,-43.16624162880555
5979734734.734735,-43.133458577653585
5979844844.844845,-43.100624239654636
5979954954.954955,-43.06773003808277
5980065065.065065,-43.034799004386755
5980175175.175175,-43.00181460180005
5980285285.285285,-42.968776309678006
5980395395.395395,-42.93569021272671
5980505505.505506,-42.90255567222874
5980615615.615616,-42.869375237783956
5980725725.725726,-42.83612882036965
5980835835.835835,-42.80283345335488
5980945945.945946,-42.76949591105242
5981056056.056056,-42.73611630361728
5981166166.166166,-42.70267416933669
5981276276.276277,-42.66917652428275
5981386386.386386,-42.635628659396886
5981496496.496496,-42.60142463563659
5981606606.6066065,-42.56837661361399
5981716716.716717,-42.53465973509995
5981826826.826827,-42.50092273773576
5981936936.936937,-42.46710655019842
5982047047.047047,-42.433273379593174
5982157157.157157,-42.39935254085256
5982267267.267267,-42.36539877130568
5982377377.3773775,-42.3313836405671
5982487487.487488,-42.29732235954759
5982597597.597597,-42.263195032480425
5982707707.707707,-42.22902891701369
5982817817.817818,-42.1948049429639
5982927927.927928,-42.16052213928782
5983038038.038038,-42.12619922378589
5983148148.148149,-42.09181017624037
5983258258.258258,-42.05732761907092
5983368368.368368,-42.02288012919371
5983478478.478478,-41.988338580117116
5983588588.588589,-41.9537460867121
5983698698.698699,-41.91909834649728
5983808808.808809,-41.884419486433245
5983918918.918919,-41.84964202058863
5984029029.029029,-41.81482394843212
5984139139.139139,-41.779955825872975
5984249249.249249,-41.74504008677691
5984359359.35936,-41.71006220648498
5984469469.469469,-41.67504072300187
5984579579.579579,-41.639960147578364
5984689689.68969,-41.60482317916431
5984799799.7998,-41.569628308648504
5984909909.90991,-41.53438136563166
5985020020.0200205,-41.499079205321294
5985130130.13013,-41.46372596066563
5985240240.24024,-41.428317386784954
5985350350.35035,-41.39285122058719
5985460460.460461,-41.35733880569313
5985570570.570571,-41.32172842236905
5985680680.68068,-41.2861214891922
5985790790.790791,-41.25043678758283
5985900900.900901,-41.214696886085804
5986011011.011011,-41.17889666243099
5986121121.121121,-41.14304645527503
5986231231.231232,-41.10712761366352
5986341341.341341,-41.07116801997209
5986451451.451451,-41.035141034659745
5986561561.561562,-40.99907227600977
5986671671.671672,-40.962928141357054
5986781781.781782,-40.92674510299588
5986891891.8918915,-40.89045551256521
5987002002.002002,-40.85419005829242
5987112112.112112,-40.817831390644415
5987222222.222222,-40.78141076007864
5987332332.332333,-40.74493904474885
5987442442.442443,-40.708407487426186
5987552552.552552,-40.67181630802058
5987662662.6626625,-40.635176867248504
5987772772.772773,-40.598417843315474
5987882882.882883,-40.56171193344308
