Frequency,Power_dB
5975000000.0,-38.98708818077827
5975110110.11011,-38.955031422370524
5975220220.220221,-38.92291583804409
5975330330.33033,-38.890743104248614
5975440440.44044,-38.858521564843414
5975550550.55055,-38.82624982646635
5975660660.660661,-38.79391911433666
5975770770.770771,-38.76152995653267
5975880880.880881,-38.72909091379711
5975990990.990991,-38.69660212391399
5976101101.101101,-38.66405487442617
5976211211.211211,-38.631448087358194
5976321321.3213215,-38.598789669489705
5976431431.431432,-38.56608184739375
5976541541.541541,-38.53331614582035
5976651651.651651,-38.50048921956525
5976761761.761762,-38.46760893059137
5976871871.871872,-38.43467850562409
5976981981.981982,-38.40169071375368
5977092092.0920925,-38.36864035973345
5977202202.202202,-38.335533677768126
5977312312.312312,-38.30237698146293
5977422422.422422,-38.26916251028979
5977532532.532533,-38.23588421422781
5977642642.642643,-38.202548658472224
5977752752.752752,-38.169161846971235
5977862862.862863,-38.13571774148717
5977972972.972973,-38.10220939564117
5978083083.083083,-38.068642312550665
5978193193.193193,-38.03502350110699
5978303303.303304,-38.00134791651077
5978413413.413413,-37.96760773111865
5978523523.523523,-37.9338074827176
5978633633.633634,-37.8999549995835
5978743743.743744,-37.86604577172528
5978853853.853854,-37.832071324471954
5978963963.9639635,-37.79803535738009
5979074074.074074,-37.7639460200172
5979184184.184184,-37.72979940579927
5979294294.294294,-37.69558680632906
5979404404.404405,-37.661310950426895
5979514514.514515,-37.62698020866614
5979624624.624624,-37.59259185637187
5979734734.734735,-37.55813659921036
5979844844.844845,-37.52361662803193
5979954954.954955,-37.48904085657114
5980065065.065065,-37.45440695742896
5980175175.175175,-37.41970570322512
5980285285.285285,-37.38493888710143
5980395395.395395,-37.35011551467511
5980505505.505506,-37.315233930628196
5980615615.615616,-37.28028470069398
5980725725.725726,-37.24526910452694
5980835835.835835,-37.21019637645425
5980945945.945946,-37.17506498426498
5981056056.056056,-37.13986510479502
5981166166.166166,-37.10459792968173
5981276276.276277,-37.0692726212346
5981386386.386386,-37.033887606118995
5981496496.496496,-36.998433098313356
5981606606.6066065,-36.96290998906673
5981716716.716717,-36.92732736635131
5981826826.826827,-36.891684016826446
5981936936.936937,-36.85596978216145
5982047047.047047,-36.82018588794716
5982157157.157157,-36.784341686665826
5982267267.267267,-36.74843559147436
5982377377.3773775,-36.71245787763861
5982487487.487488,-36.67640988778862
5982597597.597597,-36.64030106671093
5982707707.707707,-36.60412980329275
5982817817.817818,-36.56788601223039
5982927927.927928,-36.53157168472718
5983038038.038038,-36.49519625783056
5983148148.148149,-36.45875729096953
5983258258.258258,-36.42224480201128
5983368368.368368,-36.38566114286286
5983478478.478478,-36.34901567198979
5983588588.588589,-36.31230501432482
5983698698.698699,-36.27551929120105
5983808808.808809,-36.23866159202939
5983918918.918919,-36.20174110491756
5984029029.029029,-36.1647533253135
5984139139.139139,-36.127688974788896
5984249249.249249,-36.090551949090695
5984359359.35936,-36.05335123722311
5984469469.469469,-36.01608170953304
5984579579.579579,-35.978734268144535
5984689689.68969,-35.941314247186284
5984799799.7998,-35.90382997677226
5984909909.90991,-35.866275400976306
5985020020.0200205,-35.82864206966221
5985130130.13013,-35.79093648818943
5985240240.24024,-35.75316617176537
5985350350.35035,-35.71532365231752
5985460460.460461,-35.677401447641074
5985570570.570571,-35.63940701626201
5985680680.68068,-35.60134673675631
5985790790.790791,-35.56321172348915
5985900900.900901,-35.524995750290785
5986011011.011011,-35.4867074369682
5986121121.121121,-35.448351367001976
5986231231.231232,-35.40991787035796
5986341341.341341,-35.37140253249487
5986451451.451451,-35.33281427359253
5986561561.561562,-35.29415676317734
5986671671.671672,-35.25541927307421
5986781781.781782,-35.21659939722552
5986891891.8918915,-35.17770743133168
5987002002.002002,-35.13874440901925
5987112112.112112,-35.099699286908674
5987222222.222222,-35.06057204855966
5987332332.332333,-35.02137330257044
5987442442.442443,-34.982101361617595
5987552552.552552,-34.94274524443223
5987662662.6626625,-34.903307372541434
5987772772.772773,-34.863797882709534
5987882882.882883,-34.824212205286415
5987992992.992993,-34.784540045828706
5988103103.103103,-34.74478634547401
5988213213.213213,-34.70495986312919
5988323323.323323,-34.66505358423865
5988433433.433434,-34.62505881167817
5988543543.543544,-34.584983008650894
5988653653.653654,-34.544833040061505
5988763763.763763,-34.504599706764594
5988873873.873874,-34.464276698040166
5988983983.983984,-34.423873761873494
5989094094.094094,-34.3833951005693
5989204204.204205,-34.34282986716168
5989314314.314314,-34.30217519352996
5989424424.424424,-34.26144170571408
5989534534.534534,-34.22063020521048
5989644644.644645,-34.179729199735576
5989754754.754755,-34.13873918697041
5989864864.864865,-34.09767086701996
5989974974.974975,-34.05652105569919
5990085085.085085,-34.015278688324486
5990195195.195195,-33.97394788410722
5990305305.3053055,-33.9325381239488
5990415415.415416,-33.8910423667315
5990525525.525525,-33.849451446316
5990635635.635635,-33.807773074913754
5990745745.745746,-33.766013933449734
5990855855.855856,-33.72416438688945
5990965965.965966,-33.682218623294006
5991076076.0760765,-33.64018678204787
5991186186.186186,-33.59807209279977
5991296296.296296,-33.55586309409453
5991406406.406406,-33.51355815127967
5991516516.516517,-33.47116854667517
5991626626.626627,-33.428693074652465
5991736736.736736,-33.3861198042139
5991846846.846847,-33.34345179088183
5991956956.956957,-33.30069958432149
5992067067.067067,-33.25785655208645
5992177177.177177,-33.21491302760839
5992287287.287288,-33.171876179369136
5992397397.397397,-33.12875325917287
5992507507.507507,-33.085534176957516
5992617617.617618,-33.04221257226952
5992727727.727728,-32.99879907215481
5992837837.837838,-32.95529616509157
5992947947.9479475,-32.91169202968688
5993058058.058058,-32.86798546516597
5993168168.168168,-32.82418819662035
