Gain [dB],Phase [rads.],Amplitude [dBm],Frequency [Hz],Flag
4.0,0.0,19079842348227.41,0.0,0
4.0,0.07953399123012135,19096040519330.52,0.0,0
4.0,0.1590679824602427,19145043375698.69,0.0,0
4.0,0.23860197369036407,19228622801841.414,0.0,0
4.0,0.3181359649204854,19340081567705.305,0.0,0
4.0,0.39766995615060674,19491946071258.438,0.0,0
4.0,0.47720394738072813,19675014520146.89,0.0,0
4.0,0.5567379386108494,19893168576975.6,0.0,0
4.0,0.6362719298409708,20167233635854.63,0.0,0
4.0,0.7158059210710922,20459746494931.92,0.0,0
4.0,0.7953399123012135,20813803380976.53,0.0,0
4.0,0.8748739035313349,21212202592188.28,0.0,0
4.0,0.9544078947614563,21664314827120.715,0.0,0
4.0,1.0339418859915777,22171442374351.734,0.0,0
4.0,1.1134758772216988,22742040449039.164,0.0,0
4.0,1.1930098684518202,23409051753870.645,0.0,0
4.0,1.2725438596819416,24156415151760.926,0.0,0
4.0,1.352077850912063,24968282586615.684,0.0,0
4.0,1.4316118421421844,25912314907107.46,0.0,0
4.0,1.5111458333723056,27018987033544.156,0.0,0
4.0,1.590679824602427,28240196055087.637,0.0,0
4.0,1.6702138158325484,29672312828032.99,0.0,0
4.0,1.7497478070626697,31321906921943.168,0.0,0
4.0,1.8292817982927911,33254055792016.105,0.0,0
4.0,1.9088157895229125,35536776113398.85,0.0,0
4.0,1.9883497807530337,38314946612141.07,0.0,0
4.0,2.0678837719831553,41591834102249.125,0.0,0
4.0,2.1474177632132765,45693353098527.37,0.0,0
4.0,2.2269517544433977,50681495657934.84,0.0,0
4.0,2.3064857456735193,57119082807453.63,0.0,0
4.0,2.3860197369036404,65411980655721.945,0.0,0
4.0,2.465553728133762,76552468573639.17,0.0,0
4.0,2.5450877193638832,91492868407047.39,0.0,0
4.0,2.6246217105940044,112610036335071.67,0.0,0
4.0,2.704155701824126,143378118032867.5,0.0,0
4.0,2.783689693054247,177685281107000.94,0.0,0
4.0,2.863223684284369,201881175499951.47,0.0,0
4.0,2.94275767551449,219140943889695.6,0.0,0
4.0,3.022291666744611,231018357402888.3,0.0,0
4.0,3.1018256579747328,236544449741118.56,0.0,0
4.0,3.181359649204854,236545989939577.66,0.0,0
4.0,3.2608936404349755,231066073159841.2,0.0,0
4.0,3.3404276316650967,219391657628923.84,0.0,0
4.0,3.419961622895218,201668218379572.97,0.0,0
4.0,3.4994956141253395,177640014939446.0,0.0,0
4.0,3.5790296053554607,143363054038030.7,0.0,0
4.0,3.6585635965855823,112585516025600.28,0.0,0
4.0,3.7380975878157034,91473476977313.83,0.0,0
4.0,3.817631579045825,76441692803966.98,0.0,0
4.0,3.8971655702759462,65422318451963.44,0.0,0
4.0,3.9766995615060674,57112950807790.09,0.0,0
4.0,4.056233552736189,50701655362582.66,0.0,0
4.0,4.135767543966311,45653461595494.086,0.0,0
4.0,4.215301535196431,41599030122987.73,0.0,0
4.0,4.294835526426553,38275602819706.78,0.0,0
4.0,4.374369517656675,35542580770429.11,0.0,0
4.0,4.453903508886795,33288362440693.363,0.0,0
4.0,4.533437500116917,31317409893630.676,0.0,0
4.0,4.6129714913470385,29685307912706.3,0.0,0
4.0,4.692505482577159,28243831389684.83,0.0,0
4.0,4.772039473807281,26999992842357.3,0.0,0
4.0,4.8515734650374025,25918950053339.406,0.0,0
4.0,4.931107456267524,25003010827828.355,0.0,0
4.0,5.010641447497645,24127778654049.246,0.0,0
4.0,5.0901754387277665,23396431298513.758,0.0,0
4.0,5.169709429957888,22754147658894.152,0.0,0
4.0,5.249243421188009,22158985188670.25,0.0,0
4.0,5.32877741241813,21653103978603.152,0.0,0
4.0,5.408311403648252,21213557895912.71,0.0,0
4.0,5.487845394878374,20809696951852.117,0.0,0
4.0,5.567379386108494,20460978240070.83,0.0,0
4.0,5.646913377338616,20161943098521.46,0.0,0
4.0,5.726447368568738,19897170345930.76,0.0,0
4.0,5.805981359798858,19672408711133.855,0.0,0
