Gain [dB],Phase [rads.],Amplitude [dBm],Frequency [Hz],Flag
4.0,0.0,5.4864923799442183e-14,0.0,0.0
4.0,0.07953399123012135,5.5384460478130404e-14,0.0,0.0
4.0,0.1590679824602427,8.117634732867911e-14,0.0,0.0
4.0,0.23860197369036407,2.9273196596385393e-13,0.0,0.0
4.0,0.3181359649204854,2.9922002641784374e-13,0.0,0.0
4.0,0.39766995615060674,2.9304278458750456e-13,0.0,0.0
4.0,0.47720394738072813,3.0828921739291857e-13,0.0,0.0
4.0,0.5567379386108494,2.3454745357316303e-12,0.0,0.0
4.0,0.6362719298409708,8.728079681164894e-14,0.0,0.0
4.0,0.7158059210710922,4.240652628289421e-14,0.0,0.0
4.0,0.7953399123012135,2.7304930087841414e-13,0.0,0.0
4.0,0.8748739035313349,1.073413889657269e-12,0.0,0.0
4.0,0.9544078947614563,1.5308244154022379e-13,0.0,0.0
4.0,1.0339418859915777,8.873614133179205e-14,0.0,0.0
4.0,1.1134758772216988,6.098339266336696e-13,0.0,0.0
4.0,1.1930098684518202,8.882878950657344e-14,0.0,0.0
4.0,1.2725438596819416,1.1595602737131383e-13,0.0,0.0
4.0,1.352077850912063,1.217510830967093e-13,0.0,0.0
4.0,1.4316118421421844,8.989844098329319e-14,0.0,0.0
4.0,1.5111458333723056,3.6767900573587033e-13,0.0,0.0
4.0,1.590679824602427,8.315847782172639e-14,0.0,0.0
4.0,1.6702138158325484,5.4559997628196694e-14,0.0,0.0
4.0,1.7497478070626697,3.686415532204412e-14,0.0,0.0
4.0,1.8292817982927911,2.868660896728904e-13,0.0,0.0
4.0,1.9088157895229125,1.7798999153946415e-13,0.0,0.0
4.0,1.9883497807530337,2.31529760388454e-13,0.0,0.0
4.0,2.0678837719831553,3.6681196082504e-14,0.0,0.0
4.0,2.1474177632132765,1.935703464799397e-14,0.0,0.0
4.0,2.2269517544433977,1.0273999846416192e-15,0.0,0.0
4.0,2.3064857456735193,3.10394085541768e-15,0.0,0.0
4.0,2.3860197369036404,1.0213674579034769e-13,0.0,0.0
4.0,2.465553728133762,2.7031284291658325e-14,0.0,0.0
4.0,2.5450877193638832,9.577704857131548e-16,0.0,0.0
4.0,2.6246217105940044,4.76084801905855e-14,0.0,0.0
4.0,2.704155701824126,3.433711111691634e-14,0.0,0.0
4.0,2.783689693054247,2.4396438092253745e-14,0.0,0.0
