FFT Frequency [Hz],FFT Magnitude
-27329122.900623407,-77.91858857833637
-27322290.61989825,-77.91769471455562
-27315458.339173097,-77.91635873271188
-27308626.058447942,-77.91605684727763
-27301793.777722783,-77.91365729762032
-27294961.496997632,-77.91445040673662
-27288129.216272473,-77.93290427530734
-27281296.935547315,-77.91194422429493
-27274464.654822163,-77.913322567192
-27267632.374097005,-77.91080625934167
-27260800.09337185,-77.90967123767498
-27253967.812646694,-77.90841741959439
-27247135.53192154,-77.9074266489634
-27240303.25119638,-77.9062729720711
-27233470.97047123,-77.90481467455707
-27226638.68974607,-77.9046335948771
-27219806.409020912,-77.90174858526615
-27212974.12829576,-77.90243268984452
-27206141.8475706,-77.9047968380619
-27199309.566845447,-77.90015158926724
-27192477.286120296,-77.8987947712522
-27185645.005395137,-77.89769613766056
-27178812.724669978,-77.89605631952372
-27171980.443944827,-77.89465533920854
-27165148.163219668,-77.89324567208672
-27158315.88249451,-77.89130625332963
-27151483.601769358,-77.88922048118499
-27144651.321044203,-77.88206761061903
-27137819.040319044,-77.83710892444824
-27130986.759593893,-77.90585198315095
-27124154.478868734,-77.89585286904439
-27117322.198143575,-77.89274343952374
-27110489.917418424,-77.89034257771577
-27103657.636693265,-77.88879523662763
-27096825.35596811,-77.88728499104366
-27089993.075242955,-77.88617623756082
-27083160.7945178,-77.884584759649
-27076328.51379264,-77.8836557026527
-27069496.233067483,-77.88086462936167
-27062663.95234233,-77.88449713313307
-27055831.671617173,-77.88381870324972
-27048999.390892018,-77.88053823763558
-27042167.110166863,-77.88037347834215
-27035334.829441708,-77.87982663746475
-27028502.54871655,-77.88005516285497
-27021670.267991398,-77.88036956285501
-27014837.98726624,-77.88190020573441
-27008005.70654108,-77.88468418749632
-27001173.42581593,-77.89056276305907
-26994341.14509077,-77.91086439037221
-26987508.864365615,-78.00629003670609
-26980676.583640464,-77.74764481912173
-26973844.302915305,-77.82787651131864
-26967012.022190146,-77.83369880258923
-26960179.741464995,-77.8405970770989
-26953347.460739836,-77.84528802369272
-26946515.18001468,-77.84869712299309
-26939682.899289526,-77.85168187257459
-26932850.61856437,-77.8559712861035
-26926018.337839212,-77.86169862976807
-26919186.05711406,-77.87543665347022
-26912353.776388902,-77.91126579979631
-26905521.495663743,-78.10866938316161
-26898689.214938592,-77.60349098844443
-26891856.934213433,-77.73731576035169
-26885024.65348828,-77.7667198009274
