set_back_attenuation_db,measured_attenuation_db
0.0,-3.512003719406493
1.0,-4.624643047353011
2.0,-5.634351297963008
3.0,-6.619552351767602
4.0,-7.618600100717977
5.0,-8.60390772444007
6.0,-9.63211317070006
7.0,-10.639969335416223
8.0,-11.889619107487611
9.0,-12.936492499605578
10.0,-13.874274935097477
11.0,-14.844163436749184
12.0,-16.00463985965819
13.0,-16.99966306838656
14.0,-17.976348135480976
15.0,-18.969302909350787
16.0,-20.185814854134332
17.0,-21.2179774365936
18.0,-22.30970378432228
19.0,-23.336543786257025
20.0,-24.266601896889263
