set_back_attenuation_db,measured_attenuation_db
0.0,-5.2205939941775625
1.0,-6.322496461799773
2.0,-7.334211463916759
3.0,-8.337775206294204
4.0,-9.3678246146126
5.0,-10.376136218454684
6.0,-11.402360404629428
7.0,-12.418740751688505
8.0,-13.657618067050898
9.0,-14.67439973354528
10.0,-15.592083361108926
11.0,-16.54890417627604
12.0,-17.717204323049728
13.0,-18.704163198666706
14.0,-19.69480809364488
15.0,-20.66208981335609
16.0,-21.90358253136867
17.0,-22.944289638970588
18.0,-24.026285202358267
19.0,-25.05243824859529
20.0,-25.986949609794863
