Frequency,Transmission
5935000000.0,-56.313779314173274
5937020202.020202,-55.95328144804587
5939040404.040404,-55.58537650579866
5941060606.060606,-55.20976985407428
5943080808.080808,-54.826150115274515
5945101010.10101,-54.43418801325754
5947121212.121212,-54.03353513466
5949141414.141414,-53.62382263798979
5951161616.161616,-53.204659825993275
5953181818.181818,-52.77563268586049
5955202020.202021,-52.336302357898845
5957222222.222222,-51.88620351396386
5959242424.242424,-51.424842709845734
5961262626.262627,-50.95169671561798
5963282828.282828,-50.4662108672194
5965303030.30303,-49.967797496219546
5967323232.323233,-49.45583451891201
5969343434.343434,-48.9296642990438
5971363636.363636,-48.38859294395509
5973383838.383839,-47.83189025622276
5975404040.40404,-47.2587906483054
5977424242.424242,-46.668495444765135
5979444444.444445,-46.06017715710189
5981464646.464646,-45.432986535944366
5983484848.484848,-44.78606350564587
5985505050.505051,-44.1185534953673
5987525252.525252,-43.4296312345255
5989545454.545455,-42.71853482309021
5991565656.565657,-41.98461386774699
5993585858.585858,-41.22739673803663
5995606060.606061,-40.4466835591125
5997626262.626263,-39.64267335820764
5999646464.646464,-38.81613558118643
6001666666.666667,-37.96863739606094
6003686868.686869,-37.102837548306496
6005707070.70707,-36.22285270076031
6007727272.727273,-35.334689373521954
6009747474.747475,-34.446708623462385
6011767676.767676,-33.57004677085107
6013787878.787879,-32.71885518874372
6015808080.808081,-31.910163730593965
6017828282.828283,-31.163162629616743
6019848484.848485,-30.497806109457628
6021868686.868687,-29.932907298497582
6023888888.888889,-29.48423369314915
6025909090.909091,-29.163279244772205
6027929292.929293,-28.977138372129588
6029949494.949495,-28.92929173327928
6031969696.969697,-29.020557060225663
6033989898.989899,-29.24941290972879
6036010101.010101,-29.61143312823274
6038030303.030303,-30.098291940309252
6040050505.050505,-30.697184910963983
6042070707.070707,-31.391287532550855
6044090909.090909,-32.161244565631854
6046111111.111111,-32.98714357414446
6048131313.131313,-33.850309823494285
6050151515.151515,-34.73450776836948
6052171717.171717,-35.62647184376053
6054191919.191919,-36.51591094615128
6056212121.212121,-37.39519791842652
6058232323.232324,-38.25892476141732
6060252525.252525,-39.103441894878685
6062272727.272727,-39.926443412031134
6064292929.29293,-40.72662193246315
6066313131.313131,-41.503395089671756
6068333333.333333,-42.25669568688842
6070353535.353536,-42.98681426322346
6072373737.373737,-43.69428288405985
6074393939.393939,-44.37979043798122
6076414141.414142,-45.04412156340302
6078434343.434343,-45.68811307339159
6080454545.454545,-46.31262322389075
6082474747.474748,-46.91851034766018
6084494949.494949,-47.50661828229993
6086515151.515152,-48.077766703346754
6088535353.535354,-48.63274498283025
6090555555.555555,-49.17230855383358
6092575757.575758,-49.697177076190286
6094595959.59596,-50.208033833524404
6096616161.616161,-50.70552600183358
6098636363.636364,-51.19026549949795
6100656565.656566,-51.662830218534516
6102676767.676767,-52.12376549208773
6104696969.69697,-52.573585696316115
6106717171.717172,-53.01277590315155
6108737373.737373,-53.441793558403496
6110757575.757576,-53.86107011565646
6112777777.777778,-54.27101262832282
6114797979.797979,-54.67200527440616
6116818181.818182,-55.064410806714136
6118838383.838384,-55.448571923871356
6120858585.858586,-55.824812560549844
6122878787.878788,-56.19343909746311
6124898989.89899,-56.554741493133065
6126919191.919192,-56.90899434038336
6128939393.939394,-57.25645785111503
6130959595.959596,-57.597378773253624
6132979797.979798,-57.9319912439023
6135000000.0,-58.26051758275868
