Frequency,Transmission
5935000000.0,-42.79176163339326
5937020202.020202,-42.38546964779323
5939040404.040404,-41.968608756718936
5941060606.060606,-41.540585530558936
5943080808.080808,-41.10075362478841
5945101010.10101,-40.648407258358496
5947121212.121212,-40.1827736701856
5949141414.141414,-39.70300436109227
5951161616.161616,-39.2081648882305
5953181818.181818,-38.69722293033405
5955202020.202021,-38.16903427928863
5957222222.222222,-37.62232634177493
5959242424.242424,-37.05567864721067
5961262626.262627,-36.467499757909685
5963282828.282828,-35.855999867236875
5965303030.30303,-35.21915826278594
5967323232.323233,-34.554684750648704
5969343434.343434,-33.85997414111304
5971363636.363636,-33.13205310573278
5973383838.383839,-32.367519377358065
5975404040.40404,-31.562474882821647
5977424242.424242,-30.712458007432986
5979444444.444445,-29.81238793117962
5981464646.464646,-28.85655031858426
5983484848.484848,-27.83868801042418
5985505050.505051,-26.752332681107525
5987525252.525252,-25.591665280793585
5989545454.545455,-24.35350680707497
5991565656.565657,-23.041653961619453
5993585858.585858,-21.675783522018484
5995606060.606061,-20.30791166472058
5997626262.626263,-19.045849590913303
5999646464.646464,-18.06414428527002
6001666666.666667,-17.55072244617616
6003686868.686869,-17.576904192917585
6005707070.70707,-18.031850683479004
6007727272.727273,-18.71945274540842
6009747474.747475,-19.477579749496392
6011767676.767676,-20.2117060659197
6013787878.787879,-20.877526822446868
6015808080.808081,-21.458417650330016
6017828282.828283,-21.95090222329626
6019848484.848485,-22.357021169019518
6021868686.868687,-22.680652825552023
6023888888.888889,-22.925819492085637
6025909090.909091,-23.095938854996717
6027929292.929293,-23.193510908438277
6029949494.949495,-23.21999782552905
6031969696.969697,-23.17578414545187
6033989898.989899,-23.060169413038977
6036010101.010101,-22.871382511003013
6038030303.030303,-22.606637827077357
6040050505.050505,-22.262295915598564
6042070707.070707,-21.83427008697041
6044090909.090909,-21.318980699634743
6046111111.111111,-20.715487311701143
6048131313.131313,-20.030065821744216
6050151515.151515,-19.28552623896067
6052171717.171717,-18.538239143878773
6054191919.191919,-17.90172728732007
6056212121.212121,-17.555381498597885
6058232323.232324,-17.685443795539413
6060252525.252525,-18.353490971279655
6062272727.272727,-19.440700972803228
6064292929.29293,-20.751782723582206
6066313131.313131,-22.130171687507044
6068333333.333333,-23.486731473733613
6070353535.353536,-24.781099740858707
6072373737.373737,-25.999539865210636
6074393939.393939,-27.1409508213152
6076414141.414142,-28.209592851717552
6078434343.434343,-29.21161343454323
6080454545.454545,-30.153476864257954
6082474747.474748,-31.04130187292214
6084494949.494949,-31.88062105040381
6086515151.515152,-32.67633056167657
6088535353.535354,-33.43272106980802
6090555555.555555,-34.153538984021424
6092575757.575758,-34.84205482276856
6094595959.59596,-35.501128634844775
6096616161.616161,-36.13326863328944
6098636363.636364,-36.7406820694727
6100656565.656566,-37.325318638126404
6102676767.676767,-37.888907196817584
6104696969.69697,-38.4329867149632
6106717171.717172,-38.958932338139846
6108737373.737373,-39.46797736024011
6110757575.757576,-39.96123178502928
6112777777.777778,-40.439698050655444
6114797979.797979,-40.90428439400291
6116818181.818182,-41.35581624886399
6118838383.838384,-41.79504600245786
6120858585.858586,-42.22266137741953
6122878787.878788,-42.639292659292245
6124898989.89899,-43.0455189510303
6126919191.919192,-43.441873604778436
6128939393.939394,-43.828848955298625
6130959595.959596,-44.206900458756934
6132979797.979798,-44.576450323277854
6135000000.0,-44.937890703671755
