Frequency,Transmission
6012000000.0,-31.372492317336558
6012353535.353536,-31.207839265428873
6012707070.70707,-31.042486759252768
6013060606.060606,-30.876459704878727
6013414141.414142,-30.709786285423235
6013767676.767676,-30.542498293370727
6014121212.121212,-30.374631493722895
6014474747.474748,-30.20622602022801
6014828282.828282,-30.03732680694577
6015181818.181818,-29.86798405738662
6015535353.535354,-29.69825375337888
6015888888.888889,-29.528198205646113
6016242424.242424,-29.357886647844033
6016595959.59596,-29.187395875431967
6016949494.949495,-29.016810930267248
6017303030.30303,-28.846225831129154
6017656565.656566,-28.675744349527356
6018010101.010101,-28.50548082905037
6018363636.363636,-28.3355610451244
6018717171.717172,-28.166123100378407
6019070707.070707,-27.99731834876897
6019424242.424242,-27.82931233916939
6019777777.777778,-27.662285766274714
6020131313.131313,-27.4964354133566
6020484848.484848,-27.331975067610337
6020838383.838384,-27.169136384621815
6021191919.191919,-27.008169673852642
6021545454.545455,-26.84934457208496
6021898989.89899,-26.69295056666246
6022252525.252525,-26.539297325260506
6022606060.606061,-26.38871478414537
6022959595.959596,-26.241552942753785
6023313131.313131,-26.098181309438722
6023666666.666667,-25.958987941879826
6024020202.020202,-25.824378026545027
6024373737.373737,-25.694771945382215
6024727272.727273,-25.57060278520892
6025080808.080808,-25.452313256611056
6025434343.434343,-25.340352004983956
6025787878.787879,-25.235169316767717
6026141414.141414,-25.13721224874103
6026494949.494949,-25.04691923682116
6026848484.848485,-24.964714271985173
6027202020.202021,-24.891000762997628
6027555555.555555,-24.826155236451953
6027909090.909091,-24.77052105164308
6028262626.262627,-24.72440232833212
6028616161.616161,-24.688058296955944
6028969696.969697,-24.661698281189253
6029323232.323233,-24.645477510623294
6029676767.676767,-24.639493936390586
6030030303.030303,-24.643786185741234
6030383838.383839,-24.65833274496307
6030737373.737373,-24.68305240680543
6031090909.090909,-24.71780596261455
6031444444.444445,-24.76239906492536
6031797979.797979,-24.816586137327903
6032151515.151515,-24.88007516844796
6032505050.505051,-24.952533198297132
6032858585.858586,-25.033592289325874
6033212121.212121,-25.1228557712774
6033565656.565657,-25.219904557353267
6033919191.919192,-25.324303347324147
6034272727.272727,-25.43560655861753
6034626262.626263,-25.553363856378184
6034979797.979798,-25.677125185445824
6035333333.333333,-25.806445238838023
6035686868.686869,-25.94088732680129
6036040404.040404,-26.080026636507142
6036393939.393939,-26.223452894234796
6036747474.747475,-26.370772459040474
6037101010.10101,-26.521609889546035
6037454545.454545,-26.675609033924232
6037808080.808081,-26.832433697899035
6038161616.161616,-26.99176794725959
6038515151.515152,-27.153316100648304
6038868686.868687,-27.31680246579905
6039222222.222222,-27.48197086857826
6039575757.575758,-27.64858401954048
6039929292.929293,-27.816422757692273
6040282828.282828,-27.985285206009884
6040636363.636364,-28.154985868242804
6040989898.989899,-28.325354691814383
6041343434.343434,-28.49623611726721
6041696969.69697,-28.667488130787
6042050505.050505,-28.838981332897887
6042404040.40404,-29.010598033413075
6042757575.757576,-29.182231380165454
6043111111.111111,-29.35378452690054
6043464646.464646,-29.525169843914398
6043818181.818182,-29.69630817355838
6044171717.171718,-29.867128131569302
6044525252.525252,-30.037565454238084
6044878787.878788,-30.20756239072162
6045232323.232324,-30.37706713924458
6045585858.585858,-30.546033325554653
6045939393.939394,-30.714419521701274
6046292929.29293,-30.88218880302609
6046646464.646464,-31.049308341159012
6047000000.0,-31.21574903075826
