Frequency,Transmission
6012000000.0,-25.80228319737509
6012353535.353536,-25.663777943664655
6012707070.70707,-25.52454219154577
6013060606.060606,-25.384595323746517
6013414141.414142,-25.243959985268283
6013767676.767676,-25.10266240741278
6014121212.121212,-24.960732758556063
6014474747.474748,-24.81820884599383
6014828282.828282,-24.675119910558585
6015181818.181818,-24.531520294430237
6015535353.535354,-24.38745543028962
6015888888.888889,-24.24298628408355
6016242424.242424,-24.098168766140795
6016595959.59596,-23.95307736671355
6016949494.949495,-23.807788968357137
6017303030.30303,-23.6623899963272
6017656565.656566,-23.5169763670076
6018010101.010101,-23.371652505026617
6018363636.363636,-23.226535405924942
6018717171.717172,-23.081752015947295
6019070707.070707,-22.93744164342759
6019424242.424242,-22.793756358399733
6019777777.777778,-22.650861712602378
6020131313.131313,-22.50893743002311
6020484848.484848,-22.36817805015334
6020838383.838384,-22.22879350303021
6021191919.191919,-22.091009591884045
6021545454.545455,-21.955068355887875
6021898989.89899,-21.82122828229047
6022252525.252525,-21.68976433423729
6022606060.606061,-21.560967758515783
6022959595.959596,-21.435145632531636
6023313131.313131,-21.31262012039373
6023666666.666667,-21.19372738637452
6024020202.020202,-21.07881614458989
6024373737.373737,-25.0
6024727272.727273,-25.0
6025080808.080808,-25.0
6025434343.434343,-25.0
6025787878.787879,-25.0
6026141414.141414,-25.0
6026494949.494949,-25.0
6026848484.848485,-25.0
6027202020.202021,-25.0
6027555555.555555,-25.0
6027909090.909091,-25.0
6028262626.262627,-25.0
6028616161.616161,-25.0
6028969696.969697,-25.0
6029323232.323233,-25.0
6029676767.676767,13.286507723882844
6030030303.030303,13.435181078378351
6030383838.383839,-25.0
6030737373.737373,-25.0
6031090909.090909,-25.0
6031444444.444445,-25.0
6031797979.797979,-25.0
6032151515.151515,-25.0
6032505050.505051,-25.0
6032858585.858586,-25.0
6033212121.212121,-25.0
6033565656.565657,-25.0
6033919191.919192,-25.0
6034272727.272727,-25.0
6034626262.626263,-25.0
6034979797.979798,-25.0
6035333333.333333,-25.0
6035686868.686869,-21.172978577785297
6036040404.040404,-21.2915368525111
6036393939.393939,-21.41381441825971
6036747474.747475,-21.53949166800294
6037101010.10101,-21.668235300817393
6037454545.454545,-21.799733646196575
6037808080.808081,-21.93369140521828
6038161616.161616,-22.069826555745493
6038515151.515152,-22.207877875649096
6038868686.868687,-22.34759771758022
6039222222.222222,-22.48875547673262
6039575757.575758,-22.63113654326996
6039929292.929293,-22.77454185199324
6040282828.282828,-22.918787331859335
6040636363.636364,-23.063703280506395
6040989898.989899,-23.20913368566687
6041343434.343434,-23.35493551218019
6041696969.69697,-23.500977970359806
6042050505.050505,-23.647141778771882
6042404040.40404,-23.793318432037395
6042757575.757576,-23.939409482116012
6043111111.111111,-24.085325839548474
6043464646.464646,-24.230987100435513
6043818181.818182,-24.37632090032448
6044171717.171718,-24.5212615982092
6044525252.525252,-24.665752943039266
6044878787.878788,-24.80974163358264
6045232323.232324,-24.953182044979478
6045585858.585858,-25.096033467947564
6045939393.939394,-25.238259908809802
6046292929.29293,-25.379830054892672
6046646464.646464,-25.520716528969672
6047000000.0,-25.66089564198237
