Gain [dB],Phase [rad],Amplitude [dBm],Frequency [Hz]
3.4356,0.0,-45.26161193847656,6026927609.511889
3.4356,0.08000235947387664,-45.41682434082031,6053961401.752191
3.4356,0.1590046894543298,-45.28578186035156,6026927609.511889
3.4356,0.23900704892820643,-45.52143096923828,5975663529.411765
3.4356,0.3180093789086596,-45.5683822631836,5981871289.111389
3.4356,0.3980117383825363,-45.46753692626953,6059568410.513142
3.4356,0.4770140683629894,-45.514915466308594,6057165406.758448
3.4356,0.5570164278368661,-45.452056884765625,6086201702.12766
3.4356,0.6360187578173192,-45.380409240722656,6064774918.648311
3.4356,0.7160211172911958,-45.47199249267578,6043548385.481853
3.4356,0.7950234472716491,-45.475685119628906,6014912590.738423
3.4356,0.8750258067455255,-45.458740234375,6025125356.695869
3.4356,0.9540281367259787,-45.44080352783203,6030331864.831038
3.4356,1.0340304961998557,-45.46066284179688,6009505832.290363
3.4356,1.1130328261803086,-45.47443389892578,6071783679.5995
3.4356,1.1930351856541854,-45.49429321289063,6029530863.579474
3.4356,1.2730375451280618,-45.57307434082031,6008104080.100125
3.4356,1.3520398751085152,-45.47306060791016,6055363153.942428
3.4356,1.4320422345823915,-45.3687744140625,6025525857.321652
3.4356,1.5110445645628447,-45.51068115234375,5958241752.190238
3.4356,1.5910469240367215,-45.500732421875,6063973917.396746
3.4356,1.6700492540171747,-45.52993774414063,6085400700.876095
3.4356,1.750051613491051,-45.40366363525391,6037140375.4693365
3.4356,1.8290539434715043,-45.61933898925781,6016114092.615769
3.4356,1.909056302945381,-45.29878234863281,6003898823.529411
3.4356,1.9880586329258343,-45.48822021484375,5980870037.546934
3.4356,2.0680609923997113,-45.46489715576172,6063973917.396746
3.4356,2.147063322380164,-45.53411102294922,6085801201.501878
3.4356,2.2270656818540404,-45.543853759765625,6012509586.983729
3.4356,2.306068011834494,-45.44085693359375,5965851264.0801
3.4356,2.386070371308371,-45.44518280029297,6019718598.247809
3.4356,2.466072730782247,-45.36750793457031,6063973917.396746
3.4356,2.5450750607627,-45.53025817871094,6085600951.188986
3.4356,2.6250774202365768,-45.55192565917969,6054962653.316646
3.4356,2.7040797502170304,-45.40792846679688,6024324355.444305
3.4356,2.7840821096909063,-45.46247100830078,6060769912.390488
3.4356,2.86308443967136,-45.537017822265625,6085400700.876095
3.4356,2.9430867991452363,-45.52886199951172,6064574668.33542
3.4356,3.0220891291256895,-45.38142395019531,6051958898.62328
3.4356,3.1020914885995663,-45.58112335205078,6095813717.146433
3.4356,3.18109381858002,-45.60057067871094,6012910087.609512
3.4356,3.2610961780538963,-45.43695831298828,6090406958.698373
3.4356,3.3400985080343495,-45.482269287109375,6015513341.677096
3.4356,3.420100867508226,-45.52819061279297,6074987684.605757
3.4356,3.499103197488679,-45.5028076171875,6001495819.774718
3.4356,3.5791055569625563,-45.31298065185547,6057165406.758448
3.4356,3.6591079164364317,-45.45762634277344,6020119098.873592
3.4356,3.738110246416886,-45.434837341308594,6045550888.610764
3.4356,3.818112605890762,-45.480224609375,5987478297.87234
3.4356,3.8971149358712154,-45.552772521972656,6058967659.574468
3.4356,3.9771172953450917,-45.46098327636719,6071783679.5995
3.4356,4.056119625325545,-45.45157623291016,6049956395.494368
3.4356,4.136121984799423,-45.523414611816406,6027328110.137672
3.4356,4.2151243147798745,-45.436798095703125,6007102828.535669
3.4356,4.295126674253751,-45.45156097412109,6062972665.832291
3.4356,4.374129004234204,-45.549072265625,6021120350.438047
3.4356,4.454131363708081,-45.48271179199219,5975663529.411765
3.4356,4.5331336936885345,-45.40192413330078,6003097822.277847
3.4356,4.613136053162412,-45.52935028076172,6064374418.022528
3.4356,4.693138412636288,-45.41452026367188,6063973917.396746
3.4356,4.772140742616742,-45.54246520996094,6051358147.684606
3.4356,4.852143102090618,-45.39783477783203,6005500826.03254
3.4356,4.931145432071071,-45.38298797607422,5998492065.081351
3.4356,5.011147791544948,-45.44847106933594,5975863779.724656
3.4356,5.0901501215254,-45.4510498046875,6034336871.088861
3.4356,5.170152480999278,-45.561561584472656,6058967659.574468
3.4356,5.2491548109797295,-45.60760498046875,5997090312.891114
3.4356,5.329157170453607,-45.489295959472656,6005500826.03254
3.4356,5.408159500434061,-45.49105072021485,6057165406.758448
3.4356,5.488161859907938,-45.547889709472656,6025726107.634543
3.4356,5.56716418988839,-45.54174041748047,6038341877.346684
3.4356,5.647166549362267,-45.62883758544922,6051558397.997497
3.4356,5.72616887934272,-45.475868225097656,6024124105.131414
3.4356,5.806171238816597,-45.53987121582031,6025325607.008761
3.4356,5.886173598290473,-45.5884017944336,6012709837.29662
3.4356,5.965175928270926,-45.4798583984375,6009305581.977472
3.4356,6.045178287744803,-45.37596893310547,6005500826.03254
3.4356,6.124180617725256,-45.32609558105469,6064174167.709637
3.4356,6.204182977199133,-45.57335662841797,6023723604.505632
3.4356,6.283185307179586,-45.51251983642578,6038742377.9724655
3.5661,0.0,-45.49964141845703,6044149136.420526
3.5661,0.08000235947387664,-45.45658874511719,6048154142.678348
3.5661,0.1590046894543298,-45.39620208740234,6085801201.501878
3.5661,0.23900704892820643,-45.41088104248047,6026527108.886107
3.5661,0.3180093789086596,-45.484954833984375,5964850012.515645
3.5661,0.3980117383825363,-45.45533752441406,6037340625.782228
3.5661,0.4770140683629894,-45.3149642944336,6026927609.511889
3.5661,0.5570164278368661,-45.587440490722656,6064174167.709637
3.5661,0.6360187578173192,-45.46407318115234,6007703579.474343
3.5661,0.7160211172911958,-45.57749938964844,6045350638.297873
3.5661,0.7950234472716491,-45.38441467285156,6005500826.03254
3.5661,0.8750258067455255,-45.519287109375,5969455769.71214
3.5661,0.9540281367259787,-45.58481597900391,6039943879.8498125
3.5661,1.0340304961998557,-45.64473724365234,6023523354.192741
3.5661,1.1130328261803086,-45.44408416748047,5959243003.754693
3.5661,1.1930351856541854,-45.457298278808594,6064174167.709637
3.5661,1.2730375451280618,-45.478118896484375,6015112841.051314
3.5661,1.3520398751085152,-45.54607391357422,6027728610.763454
3.5661,1.4320422345823915,-45.49571990966797,6032134117.6470585
3.5661,1.5110445645628447,-45.39980316162109,5995087809.762203
3.5661,1.5910469240367215,-45.58528137207031,6003097822.277847
3.5661,1.6700492540171747,-45.466827392578125,6017515844.806007
3.5661,1.750051613491051,-45.447113037109375,6064574668.33542
3.5661,1.8290539434715043,-45.46025085449219,6029931364.205256
3.5661,1.909056302945381,-45.594871520996094,5965450763.454318
3.5661,1.9880586329258343,-45.54106903076172,6026927609.511889
3.5661,2.0680609923997113,-45.52710723876953,6056764906.132666
3.5661,2.147063322380164,-45.49073791503906,5979067784.730914
3.5661,2.2270656818540404,-45.35053253173828,6072184180.225282
3.5661,2.306068011834494,-45.505767822265625,6063973917.396746
3.5661,2.386070371308371,-45.54749298095703,5989881301.627034
3.5661,2.466072730782247,-45.407859802246094,6056364405.506884
3.5661,2.5450750607627,-45.44581604003906,5996089061.326658
