set_back_attenuation_db,measured_attenuation_db
0.0,-2.3617222332420766
1.0,-3.4629614478561663
2.0,-4.474329201016147
3.0,-5.465862154220133
4.0,-6.458444915039102
5.0,-7.435283299574422
6.0,-8.437656281380896
7.0,-9.439331178446396
8.0,-10.698962570346083
9.0,-11.736412728860373
10.0,-12.691805275855764
11.0,-13.67392338321013
12.0,-14.853888717777266
13.0,-15.850607335201708
14.0,-16.826537600665816
15.0,-17.80381687097804
16.0,-19.0347625178141
17.0,-20.05061084668785
18.0,-21.15741774646819
19.0,-22.174617580663075
20.0,-23.085651497341715
