index,frequency_Hz,trace_corrected_dBm
0,5955000000.0,-54.122657775878906
1,5955028490.02849,-54.58722686767578
2,5955056980.05698,-54.549461364746094
3,5955085470.08547,-54.227325439453125
4,5955113960.11396,-54.024574279785156
5,5955142450.14245,-53.910484313964844
6,5955170940.17094,-54.02873992919922
7,5955199430.19943,-54.22069549560547
8,5955227920.227921,-55.01579284667969
9,5955256410.256411,-54.69798278808594
10,5955284900.284901,-54.17418670654297
11,5955313390.313391,-53.800987243652344
12,5955341880.341881,-53.7459716796875
13,5955370370.37037,-53.89591979980469
14,5955398860.39886,-54.06892395019531
15,5955427350.42735,-55.02099609375
16,5955455840.45584,-55.05302429199219
17,5955484330.48433,-54.470481872558594
18,5955512820.51282,-53.96143341064453
19,5955541310.54131,-53.796104431152344
20,5955569800.5698,-54.02879333496094
21,5955598290.59829,-53.987464904785156
22,5955626780.6267805,-55.218719482421875
23,5955655270.655271,-55.143463134765625
24,5955683760.683761,-54.80622863769531
25,5955712250.712251,-54.37708282470703
26,5955740740.740741,-54.13037109375
27,5955769230.769231,-53.90080261230469
28,5955797720.797721,-53.827247619628906
29,5955826210.826211,-54.552398681640625
30,5955854700.854701,-54.79840087890625
31,5955883190.883191,-54.24586486816406
32,5955911680.911681,-53.65318298339844
33,5955940170.940171,-53.584800720214844
34,5955968660.968661,-53.68895721435547
35,5955997150.997151,-53.75244140625
36,5956025641.025641,-54.870933532714844
37,5956054131.0541315,-54.87110900878906
38,5956082621.082621,-54.430320739746094
39,5956111111.111111,-54.01410675048828
40,5956139601.139601,-53.77655792236328
41,5956168091.168091,-53.712974548339844
42,5956196581.196581,-53.59197235107422
43,5956225071.225071,-54.464111328125
44,5956253561.253561,-54.54407501220703
45,5956282051.282051,-54.06529998779297
46,5956310541.310541,-53.73346710205078
47,5956339031.339031,-53.76075744628906
48,5956367521.367521,-53.815879821777344
49,5956396011.396011,-53.98088073730469
50,5956424501.424501,-54.20622253417969
51,5956452991.4529915,-54.64924621582031
52,5956481481.481482,-54.613128662109375
53,5956509971.509972,-54.3565673828125
54,5956538461.538462,-54.16583251953125
55,5956566951.566952,-54.10697937011719
56,5956595441.595442,-54.03422546386719
57,5956623931.623932,-54.01097869873047
58,5956652421.652422,-54.386573791503906
59,5956680911.680912,-54.04985809326172
60,5956709401.709402,-53.680259704589844
61,5956737891.737892,-53.59654998779297
62,5956766381.766382,-53.83893585205078
63,5956794871.794871,-53.871002197265625
64,5956823361.823361,-54.922630310058594
65,5956851851.851851,-54.793174743652344
66,5956880341.880342,-54.03059387207031
67,5956908831.908832,-53.71824645996094
68,5956937321.937322,-53.74492645263672
69,5956965811.965812,-53.73346710205078
70,5956994301.994302,-53.76746368408203
71,5957022792.022792,-54.33390808105469
72,5957051282.051282,-54.28459930419922
73,5957079772.079772,-53.870460510253906
74,5957108262.108262,-53.70745086669922
75,5957136752.136752,-53.70201110839844
76,5957165242.165242,-53.95594024658203
77,5957193732.193732,-54.270118713378906
78,5957222222.222222,-54.135231018066406
79,5957250712.250712,-54.329444885253906
80,5957279202.279202,-54.119102478027344
81,5957307692.307693,-53.98297882080078
82,5957336182.336183,-53.80821990966797
83,5957364672.364673,-53.696075439453125
84,5957393162.393163,-53.72492980957031
85,5957421652.421653,-54.93329620361328
86,5957450142.450143,-54.762237548828125
87,5957478632.478633,-54.19591522216797
88,5957507122.507122,-54.08734893798828
89,5957535612.535612,-53.894874572753906
90,5957564102.564102,-53.947669982910156
91,5957592592.592592,-53.8570556640625
92,5957621082.621082,-55.28936767578125
93,5957649572.649572,-54.99229431152344
94,5957678062.678062,-54.24896240234375
95,5957706552.7065525,-53.706382751464844
96,5957735042.735043,-53.78440856933594
97,5957763532.763533,-54.144126892089844
98,5957792022.792023,-54.324981689453125
99,5957820512.820513,-54.23255920410156
100,5957849002.849003,-54.43434143066406
101,5957877492.877493,-54.14563751220703
102,5957905982.905983,-53.61774444580078
103,5957934472.934473,-53.78978729248047
104,5957962962.962963,-53.93859100341797
105,5957991452.991453,-53.892601013183594
106,5958019943.019943,-54.85291290283203
107,5958048433.048433,-54.95454406738281
108,5958076923.076923,-54.334259033203125
109,5958105413.105413,-54.211570739746094
110,5958133903.1339035,-54.00322723388672
111,5958162393.162394,-54.222373962402344
112,5958190883.190884,-54.29967498779297
113,5958219373.219373,-54.469635009765625
114,5958247863.247863,-54.59569549560547
115,5958276353.276353,-54.05682373046875
116,5958304843.304843,-53.72169494628906
117,5958333333.333333,-53.775901794433594
118,5958361823.361823,-54.12861633300781
