index,frequency_Hz,trace_corrected_dBm
0,5955000000.0,-50.62689208984375
1,5955028490.02849,-50.467628479003906
2,5955056980.05698,-51.424346923828125
3,5955085470.08547,-52.53398132324219
4,5955113960.11396,-53.04817199707031
5,5955142450.14245,-53.2735595703125
6,5955170940.17094,-53.45074462890625
7,5955199430.19943,-53.8443603515625
8,5955227920.227921,-54.20857238769531
9,5955256410.256411,-54.211822509765625
10,5955284900.284901,-53.555824279785156
11,5955313390.313391,-52.93506622314453
12,5955341880.341881,-52.91007995605469
13,5955370370.37037,-53.18379211425781
14,5955398860.39886,-53.13544464111328
15,5955427350.42735,-53.856788635253906
16,5955455840.45584,-53.50025939941406
17,5955484330.48433,-52.74846649169922
18,5955512820.51282,-52.34197998046875
19,5955541310.54131,-52.35804748535156
20,5955569800.5698,-52.7147216796875
21,5955598290.59829,-53.271018981933594
22,5955626780.6267805,-54.076438903808594
23,5955655270.655271,-53.79107666015625
24,5955683760.683761,-53.270538330078125
25,5955712250.712251,-52.697601318359375
26,5955740740.740741,-52.545814514160156
27,5955769230.769231,-52.5306396484375
28,5955797720.797721,-52.566871643066406
29,5955826210.826211,-53.76746368408203
30,5955854700.854701,-53.65095520019531
31,5955883190.883191,-53.11711883544922
32,5955911680.911681,-52.590576171875
33,5955940170.940171,-52.30108642578125
34,5955968660.968661,-52.57568359375
35,5955997150.997151,-52.75262451171875
36,5956025641.025641,-53.01786804199219
37,5956054131.0541315,-52.88262939453125
38,5956082621.082621,-52.27845764160156
39,5956111111.111111,-51.894615173339844
40,5956139601.139601,-52.09309387207031
41,5956168091.168091,-52.103553771972656
42,5956196581.196581,-52.09465789794922
43,5956225071.225071,-53.61524200439453
44,5956253561.253561,-53.564483642578125
45,5956282051.282051,-52.907752990722656
46,5956310541.310541,-52.24321746826172
47,5956339031.339031,-52.28667449951172
48,5956367521.367521,-52.592857360839844
49,5956396011.396011,-52.67906951904297
50,5956424501.424501,-53.46520233154297
51,5956452991.4529915,-53.47071838378906
52,5956481481.481482,-53.195655822753906
53,5956509971.509972,-52.93815612792969
54,5956538461.538462,-52.86259460449219
55,5956566951.566952,-52.77528381347656
56,5956595441.595442,-52.529685974121094
57,5956623931.623932,-53.079612731933594
58,5956652421.652422,-52.984947204589844
59,5956680911.680912,-52.596717834472656
60,5956709401.709402,-52.309959411621094
61,5956737891.737892,-52.3575439453125
62,5956766381.766382,-52.60210418701172
63,5956794871.794871,-52.552764892578125
64,5956823361.823361,-52.91429901123047
65,5956851851.851851,-52.94752502441406
66,5956880341.880342,-52.39037322998047
67,5956908831.908832,-51.77539825439453
68,5956937321.937322,-51.735877990722656
69,5956965811.965812,-51.76207733154297
70,5956994301.994302,-51.902488708496094
71,5957022792.022792,-53.54487609863281
72,5957051282.051282,-53.27849578857422
73,5957079772.079772,-52.79917907714844
74,5957108262.108262,-52.55780029296875
75,5957136752.136752,-52.41759490966797
76,5957165242.165242,-52.509422302246094
77,5957193732.193732,-52.69456481933594
78,5957222222.222222,-52.196929931640625
79,5957250712.250712,-51.931182861328125
80,5957279202.279202,-51.22113800048828
81,5957307692.307693,-50.76234436035156
82,5957336182.336183,-50.94012451171875
83,5957364672.364673,-51.08136749267578
84,5957393162.393163,-51.26720428466797
85,5957421652.421653,-52.98619842529297
86,5957450142.450143,-53.03955841064453
87,5957478632.478633,-52.55027770996094
88,5957507122.507122,-51.628257751464844
89,5957535612.535612,-51.39158630371094
90,5957564102.564102,-51.73609161376953
91,5957592592.592592,-52.116737365722656
92,5957621082.621082,-51.472320556640625
93,5957649572.649572,-51.41658020019531
94,5957678062.678062,-50.933685302734375
95,5957706552.7065525,-50.773956298828125
96,5957735042.735043,-51.13499450683594
97,5957763532.763533,-51.407432556152344
98,5957792022.792023,-51.701263427734375
99,5957820512.820513,-52.58904266357422
100,5957849002.849003,-52.32725524902344
101,5957877492.877493,-51.991554260253906
102,5957905982.905983,-51.680877685546875
103,5957934472.934473,-51.84111785888672
104,5957962962.962963,-52.091033935546875
105,5957991452.991453,-51.87255096435547
106,5958019943.019943,-52.229515075683594
107,5958048433.048433,-52.13517761230469
108,5958076923.076923,-51.42279052734375
109,5958105413.105413,-50.697120666503906
110,5958133903.1339035,-50.78961181640625
111,5958162393.162394,-51.045440673828125
112,5958190883.190884,-51.26155090332031
113,5958219373.219373,-52.34355926513672
114,5958247863.247863,-52.07281494140625
115,5958276353.276353,-51.61775207519531
116,5958304843.304843,-51.32405090332031
117,5958333333.333333,-51.05859375
118,5958361823.361823,-51.20654296875
119,5958390313.390313,-51.277992248535156
120,5958418803.418803,-51.93115997314453
121,5958447293.447293,-51.55365753173828
122,5958475783.475783,-50.80601501464844
123,5958504273.504273,-50.175025939941406
124,5958532763.5327635,-49.969078063964844
125,5958561253.561254,-50.19593811035156
126,5958589743.589744,-50.50096893310547
127,5958618233.618234,-51.88926696777344
128,5958646723.646724,-51.173736572265625
129,5958675213.675214,-50.467430114746094
130,5958703703.703704,-49.971519470214844
131,5958732193.732194,-49.85346221923828
