index,frequency_Hz,trace_corrected_dBm
0,5955000000.0,-52.474945068359375
1,5955028490.02849,-53.00599670410156
2,5955056980.05698,-53.500885009765625
3,5955085470.08547,-53.885780334472656
4,5955113960.11396,-53.892578125
5,5955142450.14245,-53.657493591308594
6,5955170940.17094,-53.92884063720703
7,5955199430.19943,-53.835731506347656
8,5955227920.227921,-54.11396026611328
9,5955256410.256411,-54.434120178222656
10,5955284900.284901,-54.229164123535156
11,5955313390.313391,-54.194358825683594
12,5955341880.341881,-53.89568328857422
13,5955370370.37037,-53.62042999267578
14,5955398860.39886,-53.657005310058594
15,5955427350.42735,-54.135498046875
16,5955455840.45584,-54.33485412597656
17,5955484330.48433,-53.84759521484375
18,5955512820.51282,-53.36182403564453
19,5955541310.54131,-53.210716247558594
20,5955569800.5698,-53.60424041748047
21,5955598290.59829,-53.84447479248047
22,5955626780.6267805,-54.12956237792969
23,5955655270.655271,-54.361846923828125
24,5955683760.683761,-54.03819274902344
25,5955712250.712251,-53.81697082519531
26,5955740740.740741,-53.613792419433594
27,5955769230.769231,-53.50403594970703
28,5955797720.797721,-53.70012664794922
29,5955826210.826211,-54.5556640625
30,5955854700.854701,-54.876502990722656
31,5955883190.883191,-54.456153869628906
32,5955911680.911681,-53.942710876464844
33,5955940170.940171,-53.7725830078125
34,5955968660.968661,-53.68531799316406
35,5955997150.997151,-53.64454650878906
36,5956025641.025641,-54.340667724609375
37,5956054131.0541315,-54.485572814941406
38,5956082621.082621,-53.97809600830078
39,5956111111.111111,-53.779701232910156
40,5956139601.139601,-53.570655822753906
41,5956168091.168091,-53.72460174560547
42,5956196581.196581,-53.7230224609375
43,5956225071.225071,-54.329010009765625
44,5956253561.253561,-54.22105407714844
45,5956282051.282051,-53.672691345214844
46,5956310541.310541,-53.21361541748047
47,5956339031.339031,-53.28980255126953
48,5956367521.367521,-53.690582275390625
49,5956396011.396011,-53.787803649902344
50,5956424501.424501,-54.369041442871094
51,5956452991.4529915,-54.38671112060547
52,5956481481.481482,-53.96995544433594
53,5956509971.509972,-53.428794860839844
54,5956538461.538462,-53.29150390625
55,5956566951.566952,-53.35231018066406
56,5956595441.595442,-53.440582275390625
57,5956623931.623932,-54.44770050048828
58,5956652421.652422,-54.40532684326172
59,5956680911.680912,-53.972450256347656
60,5956709401.709402,-53.53199005126953
61,5956737891.737892,-53.634368896484375
62,5956766381.766382,-53.82227325439453
63,5956794871.794871,-53.82818603515625
64,5956823361.823361,-54.112945556640625
65,5956851851.851851,-54.20152282714844
66,5956880341.880342,-53.63603210449219
67,5956908831.908832,-53.127899169921875
68,5956937321.937322,-52.946022033691406
69,5956965811.965812,-53.28473663330078
70,5956994301.994302,-53.474998474121094
71,5957022792.022792,-53.94184875488281
72,5957051282.051282,-53.97156524658203
73,5957079772.079772,-53.64025115966797
74,5957108262.108262,-53.25786590576172
75,5957136752.136752,-53.118896484375
76,5957165242.165242,-53.105567932128906
77,5957193732.193732,-53.14215850830078
78,5957222222.222222,-53.88740539550781
79,5957250712.250712,-53.79444122314453
80,5957279202.279202,-53.38878631591797
81,5957307692.307693,-53.1837158203125
82,5957336182.336183,-53.1292724609375
83,5957364672.364673,-53.54087829589844
84,5957393162.393163,-53.74315643310547
85,5957421652.421653,-53.93743133544922
86,5957450142.450143,-54.04914855957031
87,5957478632.478633,-53.41767120361328
88,5957507122.507122,-52.8306884765625
89,5957535612.535612,-52.76780700683594
90,5957564102.564102,-52.775177001953125
91,5957592592.592592,-52.948028564453125
92,5957621082.621082,-53.638702392578125
93,5957649572.649572,-53.77135467529297
94,5957678062.678062,-53.368492126464844
95,5957706552.7065525,-52.97483825683594
96,5957735042.735043,-52.828834533691406
97,5957763532.763533,-53.121246337890625
98,5957792022.792023,-53.29078674316406
99,5957820512.820513,-53.50776672363281
100,5957849002.849003,-53.249176025390625
101,5957877492.877493,-52.91582489013672
102,5957905982.905983,-52.88391876220703
103,5957934472.934473,-52.844642639160156
104,5957962962.962963,-52.747947692871094
105,5957991452.991453,-52.82701110839844
106,5958019943.019943,-53.61780548095703
107,5958048433.048433,-53.501808166503906
108,5958076923.076923,-52.838287353515625
109,5958105413.105413,-52.35997009277344
110,5958133903.1339035,-52.32902526855469
111,5958162393.162394,-52.58177947998047
112,5958190883.190884,-52.80839538574219
113,5958219373.219373,-53.31983184814453
114,5958247863.247863,-53.24958038330078
115,5958276353.276353,-52.7913818359375
116,5958304843.304843,-52.41070556640625
117,5958333333.333333,-52.2803955078125
118,5958361823.361823,-52.44749450683594
119,5958390313.390313,-52.63878631591797
120,5958418803.418803,-53.38462829589844
121,5958447293.447293,-53.286033630371094
122,5958475783.475783,-52.63774871826172
123,5958504273.504273,-52.23237609863281
124,5958532763.5327635,-52.109222412109375
125,5958561253.561254,-52.158721923828125
126,5958589743.589744,-52.21501922607422
127,5958618233.618234,-52.873756408691406
128,5958646723.646724,-52.64239501953125
129,5958675213.675214,-52.24974060058594
130,5958703703.703704,-51.63031768798828
131,5958732193.732194,-51.32023620605469
132,5958760683.760684,-51.36442565917969
133,5958789173.789174,-51.577415466308594
134,5958817663.817664,-52.26189422607422
