index,frequency_Hz,trace_corrected_dBm
0,6035000000.0,-54.48460388183594
1,6035028490.02849,-54.527427673339844
2,6035056980.05698,-54.67919158935547
3,6035085470.08547,-54.35713195800781
4,6035113960.11396,-53.64775085449219
5,6035142450.14245,-53.4964599609375
6,6035170940.17094,-53.64802551269531
7,6035199430.19943,-53.885040283203125
8,6035227920.227921,-54.408538818359375
9,6035256410.256411,-54.36541748046875
10,6035284900.284901,-53.941856384277344
11,6035313390.313391,-53.54176330566406
12,6035341880.341881,-53.758079528808594
13,6035370370.37037,-53.81669616699219
14,6035398860.39886,-53.76060485839844
15,6035427350.42735,-54.33745574951172
16,6035455840.45584,-54.58189392089844
17,6035484330.48433,-54.281097412109375
18,6035512820.51282,-53.84839630126953
19,6035541310.54131,-53.40607452392578
20,6035569800.5698,-53.57756042480469
21,6035598290.59829,-53.89295196533203
22,6035626780.6267805,-54.17347717285156
23,6035655270.655271,-54.300193786621094
24,6035683760.683761,-54.17768859863281
25,6035712250.712251,-53.878822326660156
26,6035740740.740741,-53.819358825683594
27,6035769230.769231,-54.13981628417969
28,6035797720.797721,-54.50383758544922
29,6035826210.826211,-54.631813049316406
30,6035854700.854701,-54.78636932373047
31,6035883190.883191,-54.46124267578125
32,6035911680.911681,-53.94776153564453
33,6035940170.940171,-53.787750244140625
34,6035968660.968661,-53.93391418457031
35,6035997150.997151,-54.189002990722656
36,6036025641.025641,-53.928367614746094
37,6036054131.0541315,-54.23229217529297
38,6036082621.082621,-54.06664276123047
39,6036111111.111111,-53.87220001220703
40,6036139601.139601,-53.88214874267578
41,6036168091.168091,-54.177268981933594
42,6036196581.196581,-54.34312438964844
43,6036225071.225071,-54.4715576171875
44,6036253561.253561,-54.68537902832031
45,6036282051.282051,-54.23905944824219
46,6036310541.310541,-53.559181213378906
47,6036339031.339031,-53.39886474609375
48,6036367521.367521,-53.53550720214844
49,6036396011.396011,-53.58179473876953
50,6036424501.424501,-54.82493591308594
51,6036452991.4529915,-54.72407531738281
52,6036481481.481482,-54.35398864746094
53,6036509971.509972,-53.87541961669922
54,6036538461.538462,-53.764747619628906
55,6036566951.566952,-53.883262634277344
56,6036595441.595442,-54.04376220703125
57,6036623931.623932,-55.00093078613281
58,6036652421.652422,-54.905982971191406
59,6036680911.680912,-54.27500915527344
60,6036709401.709402,-53.81890869140625
61,6036737891.737892,-53.56224060058594
62,6036766381.766382,-53.73918914794922
63,6036794871.794871,-53.82427978515625
64,6036823361.823361,-54.28040313720703
65,6036851851.851851,-54.30651092529297
66,6036880341.880342,-54.08104705810547
67,6036908831.908832,-53.55500793457031
68,6036937321.937322,-53.596885681152344
69,6036965811.965812,-53.689613342285156
70,6036994301.994302,-53.91680908203125
71,6037022792.022792,-54.437904357910156
72,6037051282.051282,-54.56939697265625
73,6037079772.079772,-54.24073791503906
74,6037108262.108262,-53.83137512207031
75,6037136752.136752,-53.564308166503906
76,6037165242.165242,-53.874061584472656
77,6037193732.193732,-54.19232940673828
78,6037222222.222222,-54.280921936035156
79,6037250712.250712,-54.6107177734375
80,6037279202.279202,-54.256248474121094
81,6037307692.307693,-54.027191162109375
82,6037336182.336183,-53.761138916015625
83,6037364672.364673,-53.57513427734375
84,6037393162.393163,-53.89741516113281
85,6037421652.421653,-54.565284729003906
86,6037450142.450143,-54.60401916503906
87,6037478632.478633,-54.342430114746094
88,6037507122.507122,-54.047943115234375
89,6037535612.535612,-54.04102325439453
90,6037564102.564102,-54.07008361816406
91,6037592592.592592,-54.206817626953125
92,6037621082.621082,-54.41094207763672
93,6037649572.649572,-54.27986145019531
94,6037678062.678062,-53.82171630859375
95,6037706552.7065525,-53.38166046142578
96,6037735042.735043,-53.754295349121094
97,6037763532.763533,-53.953086853027344
98,6037792022.792023,-53.92698669433594
99,6037820512.820513,-54.327423095703125
100,6037849002.849003,-54.37657928466797
101,6037877492.877493,-54.08000946044922
102,6037905982.905983,-53.474395751953125
103,6037934472.934473,-53.39457702636719
104,6037962962.962963,-53.685096740722656
105,6037991452.991453,-53.98345184326172
106,6038019943.019943,-54.46349334716797
107,6038048433.048433,-54.506141662597656
108,6038076923.076923,-53.999420166015625
109,6038105413.105413,-53.619850158691406
110,6038133903.1339035,-53.483154296875
111,6038162393.162394,-53.58246612548828
112,6038190883.190884,-53.56763458251953
113,6038219373.219373,-54.498077392578125
114,6038247863.247863,-54.901939392089844
115,6038276353.276353,-54.30165100097656
116,6038304843.304843,-53.850563049316406
117,6038333333.333333,-53.96344757080078
118,6038361823.361823,-54.02385711669922
119,6038390313.390313,-54.217628479003906
120,6038418803.418803,-55.17781066894531
121,6038447293.447293,-55.161865234375
122,6038475783.475783,-54.7816162109375
123,6038504273.504273,-53.98609161376953
124,6038532763.5327635,-53.73267364501953
125,6038561253.561254,-53.2918701171875
126,6038589743.589744,-53.336151123046875
127,6038618233.618234,-54.32969665527344
128,6038646723.646724,-54.474525451660156
129,6038675213.675214,-53.98430633544922
130,6038703703.703704,-53.34492492675781
131,6038732193.732194,-53.508689880371094
132,6038760683.760684,-53.96875762939453
133,6038789173.789174,-53.99340057373047
134,6038817663.817664,-54.74046325683594
135,6038846153.846154,-54.96031188964844
136,6038874643.874644,-54.52068328857422
137,6038903133.903134,-54.20648193359375
138,6038931623.931623,-54.071868896484375
139,6038960113.960114,-53.961265563964844
140,6038988603.988604,-53.960304260253906
