index,frequency_Hz,trace_corrected_dBm
0,6035000000.0,-52.897682189941406
1,6035028490.02849,-53.879180908203125
2,6035056980.05698,-53.99559020996094
3,6035085470.08547,-53.444908142089844
4,6035113960.11396,-52.76518249511719
5,6035142450.14245,-52.55012512207031
6,6035170940.17094,-52.99842834472656
7,6035199430.19943,-53.24420928955078
8,6035227920.227921,-53.50597381591797
9,6035256410.256411,-53.58434295654297
10,6035284900.284901,-53.34611511230469
11,6035313390.313391,-52.75331115722656
12,6035341880.341881,-52.56330108642578
13,6035370370.37037,-52.59205627441406
14,6035398860.39886,-52.90625762939453
15,6035427350.42735,-54.04656219482422
16,6035455840.45584,-53.728477478027344
17,6035484330.48433,-52.86431121826172
18,6035512820.51282,-52.474769592285156
19,6035541310.54131,-52.614952087402344
20,6035569800.5698,-52.70580291748047
21,6035598290.59829,-52.740875244140625
22,6035626780.6267805,-53.547462463378906
23,6035655270.655271,-53.58744812011719
24,6035683760.683761,-52.98688507080078
25,6035712250.712251,-52.448280334472656
26,6035740740.740741,-52.339988708496094
27,6035769230.769231,-52.65283966064453
28,6035797720.797721,-52.75360107421875
29,6035826210.826211,-53.006202697753906
30,6035854700.854701,-53.10682678222656
31,6035883190.883191,-52.445228576660156
32,6035911680.911681,-52.068016052246094
33,6035940170.940171,-52.12255096435547
34,6035968660.968661,-52.234535217285156
35,6035997150.997151,-52.311859130859375
36,6036025641.025641,-52.999107360839844
37,6036054131.0541315,-53.19630432128906
38,6036082621.082621,-52.555564880371094
39,6036111111.111111,-52.03004455566406
40,6036139601.139601,-52.011619567871094
41,6036168091.168091,-52.1455078125
42,6036196581.196581,-52.446128845214844
43,6036225071.225071,-52.75257110595703
44,6036253561.253561,-52.833641052246094
45,6036282051.282051,-52.13389587402344
46,6036310541.310541,-51.79487609863281
47,6036339031.339031,-51.90220642089844
48,6036367521.367521,-51.878814697265625
49,6036396011.396011,-51.70330810546875
50,6036424501.424501,-52.958648681640625
51,6036452991.4529915,-52.70128631591797
