index,frequency_Hz,trace_corrected_dBm
0,6115000000.0,-53.69752502441406
1,6115028490.02849,-54.25245666503906
2,6115056980.05698,-54.36854553222656
3,6115085470.08547,-54.065956115722656
4,6115113960.11396,-53.77995300292969
5,6115142450.14245,-53.464813232421875
6,6115170940.17094,-53.51100158691406
7,6115199430.19943,-53.57209777832031
8,6115227920.227921,-55.096168518066406
9,6115256410.256411,-55.05455780029297
10,6115284900.284901,-54.40287780761719
11,6115313390.313391,-53.83580017089844
12,6115341880.341881,-53.696815490722656
13,6115370370.37037,-53.758575439453125
14,6115398860.39886,-53.989662170410156
15,6115427350.42735,-54.2244873046875
16,6115455840.45584,-54.32347869873047
17,6115484330.48433,-54.181373596191406
18,6115512820.51282,-53.657142639160156
19,6115541310.54131,-53.511573791503906
20,6115569800.5698,-53.48229217529297
21,6115598290.59829,-53.721046447753906
22,6115626780.6267805,-54.600563049316406
23,6115655270.655271,-54.829627990722656
24,6115683760.683761,-54.336891174316406
25,6115712250.712251,-54.04401397705078
26,6115740740.740741,-53.93767547607422
27,6115769230.769231,-53.77055358886719
28,6115797720.797721,-53.936378479003906
29,6115826210.826211,-54.882476806640625
30,6115854700.854701,-54.91624450683594
31,6115883190.883191,-54.517784118652344
32,6115911680.911681,-54.26301574707031
33,6115940170.940171,-54.18201446533203
34,6115968660.968661,-54.30219268798828
35,6115997150.997151,-54.22222900390625
36,6116025641.025641,-54.604164123535156
37,6116054131.0541315,-54.584442138671875
38,6116082621.082621,-54.30999755859375
39,6116111111.111111,-53.96080017089844
40,6116139601.139601,-53.960906982421875
41,6116168091.168091,-54.05415344238281
42,6116196581.196581,-54.051666259765625
43,6116225071.225071,-54.854759216308594
44,6116253561.253561,-54.95585632324219
45,6116282051.282051,-54.30274200439453
46,6116310541.310541,-53.705528259277344
47,6116339031.339031,-53.9215087890625
48,6116367521.367521,-54.17530059814453
49,6116396011.396011,-54.247894287109375
50,6116424501.424501,-54.665283203125
51,6116452991.4529915,-54.491172790527344
52,6116481481.481482,-54.11315155029297
53,6116509971.509972,-54.037498474121094
54,6116538461.538462,-54.427276611328125
55,6116566951.566952,-54.30473327636719
56,6116595441.595442,-54.258094787597656
