gain,phase,side,dataset,amp_dB,err_amp_dB,ln_fwhm,dln_fwhm
-3.1,hermitian,left,exp,-32.58578738411484,0.4008008484143488,3.6023615191444773,0.018319940211127376
-3.1,hermitian,right,exp,-30.934368748490343,0.32339567902051414,3.705709912213921,0.0149965809569605
8.4,hermitian,left,exp,-14.322946724708816,0.0633554418117761,2.348325020800547,0.018635713067220182
8.4,hermitian,right,exp,-14.33578012201343,0.06426772103269052,2.3410416447850793,0.01897901637598704
1.4,hermitian,left,exp,-28.86879087727128,0.08864045300829915,3.7373591580482572,0.008870186048321667
1.4,hermitian,right,exp,-28.022403017893094,0.08069042020718342,3.850412215834872,0.008895659619893132
2.9,hermitian,left,exp,-27.384908237258223,0.060327294608644166,3.7384430348406767,0.00793620877185069
2.9,hermitian,right,exp,-26.817584401295807,0.061320915115427255,3.85351603731991,0.008332621374490617
3.9,hermitian,left,exp,-26.171951493190964,0.0632609608235093,3.7604916461302262,0.009231269403351451
3.9,hermitian,right,exp,-25.75203577316791,0.06296885108340078,3.7885007621060645,0.00910477509633701
6.4,hermitian,left,exp,-22.755920621717195,0.194047625815994,3.5943072449509907,0.022513113917057025
6.4,hermitian,right,exp,-22.280741293111763,0.2735635384198467,3.7461616925351344,0.02674546527930056
-0.6,hermitian,left,exp,-30.51289300752301,0.17013998900349137,3.695483868923798,0.011663199870621916
-0.6,hermitian,right,exp,-29.451015617292224,0.14710753540701305,3.795236878871801,0.010995586223728959
4.4,hermitian,left,exp,-25.663290176442484,0.0726672545350624,3.733016419839294,0.010538159701794492
4.4,hermitian,right,exp,-25.149944712046736,0.0761267349400292,3.794861720232018,0.010630049424795666
0.4,hermitian,left,exp,-29.872494324675042,0.1326788612694152,3.7133200851792707,0.010831350170632116
0.4,hermitian,right,exp,-28.66145027355918,0.11329444561860669,3.8352200212264536,0.010374424335427223
-1.1,hermitian,left,exp,-30.907608596957274,0.2327493712034432,3.683004423094737,0.01493610153971937
-1.1,hermitian,right,exp,-29.563072349385866,0.1949511459661366,3.7692123337157155,0.01328820841328996
7.4,hermitian,left,exp,-18.69426454403219,0.09844396734962046,2.906380915829581,0.032349038404422166
