Frequency,Power_dB
5975000000.0,-37.79290155129924
5975110110.11011,-37.76257525762222
5975220220.220221,-37.732209569246166
5975330330.33033,-37.701811554950794
5975440440.44044,-37.67138190580954
5975550550.55055,-37.64091502281512
5975660660.660661,-37.610415430725354
5975770770.770771,-37.57988411159556
5975880880.880881,-37.54931647857701
5975990990.990991,-37.51871764066303
5976101101.101101,-37.488084758818246
5976211211.211211,-37.45741726650135
5976321321.3213215,-37.42671452062034
5976431431.431432,-37.39598154553971
5976541541.541541,-37.36521462493377
5976651651.651651,-37.33441745733279
5976761761.761762,-37.30359087347799
5976871871.871872,-37.2727249193631
5976981981.981982,-37.24182738621042
5977092092.0920925,-37.210897760801686
5977202202.202202,-37.179935038840384
5977312312.312312,-37.14894279671185
5977422422.422422,-37.11791765891044
5977532532.532533,-37.08686598170897
5977642642.642643,-37.05577428797787
5977752752.752752,-37.0246510062954
5977862862.862863,-36.993494999728426
5977972972.972973,-36.962307592558076
5978083083.083083,-36.93108809352323
5978193193.193193,-36.899827352469885
5978303303.303304,-36.868541821214194
5978413413.413413,-36.83722638431662
5978523523.523523,-36.80589022517739
5978633633.633634,-36.77451838208063
5978743743.743744,-36.74311079151464
5978853853.853854,-36.71167182582123
5978963963.9639635,-36.68020221302571
5979074074.074074,-36.6487019514162
5979184184.184184,-36.617198136088945
5979294294.294294,-36.58560876409345
5979404404.404405,-36.554019549657
5979514514.514515,-36.52239055863642
5979624624.624624,-36.49075081269065
5979734734.734735,-36.45899736625577
5979844844.844845,-36.42735032705012
5979954954.954955,-36.39560111015041
5980065065.065065,-36.36381965199217
5980175175.175175,-36.33201732632028
5980285285.285285,-36.30019876620429
5980395395.395395,-36.26834431410521
5980505505.505506,-36.23646699394328
5980615615.615616,-36.20454260643979
5980725725.725726,-36.17260301979542
5980835835.835835,-36.14062002068252
5980945945.945946,-36.10861056145518
5981056056.056056,-36.0766094610256
5981166166.166166,-36.04452918977016
5981276276.276277,-36.012441189769746
5981386386.386386,-35.98026265821757
5981496496.496496,-35.94818450517113
5981606606.6066065,-35.91602630527804
5981716716.716717,-35.883832824044646
5981826826.826827,-35.851618245604996
5981936936.936937,-35.819368830104665
5982047047.047047,-35.78709741265743
5982157157.157157,-35.754795577457344
5982267267.267267,-35.722483891333695
5982377377.3773775,-35.69013524974096
5982487487.487488,-35.65776460801281
5982597597.597597,-35.625374625789036
5982707707.707707,-35.59295112798094
5982817817.817818,-35.56050053433995
5982927927.927928,-35.52803948477239
5983038038.038038,-35.49552495235132
5983148148.148149,-35.463013993961624
5983258258.258258,-35.4304614268288
5983368368.368368,-35.39790586830475
5983478478.478478,-35.365303008762424
5983588588.588589,-35.332690553639836
5983698698.698699,-35.300046440542275
5983808808.808809,-35.26738597078506
5983918918.918919,-35.23471064521975
5984029029.029029,-35.202009730453526
5984139139.139139,-35.1692992974682
5984249249.249249,-35.13655262080108
5984359359.35936,-35.10378599617353
5984469469.469469,-35.070999656092795
5984579579.579579,-35.038197546572576
5984689689.68969,-35.005373235182006
5984799799.7998,-34.972529458690346
5984909909.90991,-34.93965652827957
5985020020.0200205,-34.90677792380937
5985130130.13013,-34.87387329383674
5985240240.24024,-34.8409517052698
5985350350.35035,-34.80802148225956
5985460460.460461,-34.77506180096471
5985570570.570571,-34.742090040433226
5985680680.68068,-34.7090922807668
5985790790.790791,-34.67609815814217
5985900900.900901,-34.64307183373117
5986011011.011011,-34.610030269382435
5986121121.121121,-34.576979884502805
5986231231.231232,-34.54390865254308
5986341341.341341,-34.51083640184103
5986451451.451451,-34.477732640587206
5986561561.561562,-34.44462874003766
5986671671.671672,-34.411501936477976
5986781781.781782,-34.37836592879577
5986891891.8918915,-34.34522352613905
5987002002.002002,-34.312056194188855
5987112112.112112,-34.278886672943656
5987222222.222222,-34.2457000145361
5987332332.332333,-34.21250351225106
5987442442.442443,-34.17928791226777
5987552552.552552,-34.146087534441236
5987662662.6626625,-34.112846080977576
5987772772.772773,-34.07962508296055
5987882882.882883,-34.04637407614162
5987992992.992993,-34.013119052918185
5988103103.103103,-33.97986449148031
5988213213.213213,-33.946607734280065
5988323323.323323,-33.9133405266326
5988433433.433434,-33.88004613224618
5988543543.543544,-33.84676880719735
5988653653.653654,-33.81348671933321
5988763763.763763,-33.780192156263446
5988873873.873874,-33.746901162333
5988983983.983984,-33.713598454037204
5989094094.094094,-33.680295617191085
5989204204.204205,-33.64698205460725
5989314314.314314,-33.61367104164846
5989424424.424424,-33.58036796863477
5989534534.534534,-33.54705332793724
5989644644.644645,-33.51374973379549
5989754754.754755,-33.4804324823516
