Frequency,Power_dB
5975000000.0,-32.978889402400576
5975110110.11011,-32.94260301286983
5975220220.220221,-32.90626084710708
5975330330.33033,-32.86986261129522
5975440440.44044,-32.83340728688964
5975550550.55055,-32.79689602206672
5975660660.660661,-32.760327590579685
5975770770.770771,-32.72370535255842
5975880880.880881,-32.68702586374053
5975990990.990991,-32.65028996447414
5976101101.101101,-32.613498686846214
5976211211.211211,-32.57665186494514
5976321321.3213215,-32.539748405839866
5976431431.431432,-32.50278940986515
5976541541.541541,-32.465775793182125
5976651651.651651,-32.42870641787376
5976761761.761762,-32.39158088840377
5976871871.871872,-32.35440060103891
5976981981.981982,-32.31716594139022
5977092092.0920925,-32.27987580183637
5977202202.202202,-32.242530270581675
5977312312.312312,-32.205130458179745
5977422422.422422,-32.16767676211427
5977532532.532533,-32.1301680547458
5977642642.642643,-32.09260460439786
5977752752.752752,-32.054987048437376
5977862862.862863,-32.017317082532315
5977972972.972973,-31.979592634047798
5978083083.083083,-31.94181383958187
5978193193.193193,-31.903982100116615
5978303303.303304,-31.86609783192455
5978413413.413413,-31.82816002166716
5978523523.523523,-31.79016885538134
5978633633.633634,-31.75212599638342
5978743743.743744,-31.714030975033722
5978853853.853854,-31.67588297433207
5978963963.9639635,-31.637683534408765
5979074074.074074,-31.59943257588617
5979184184.184184,-31.561130398994777
5979294294.294294,-31.522776420565243
5979404404.404405,-31.484372273905578
5979514514.514515,-31.445917402444593
5979624624.624624,-31.40741210832676
5979734734.734735,-31.36885697166872
5979844844.844845,-31.330252160311296
5979954954.954955,-31.29159750165706
5980065065.065065,-31.252894564852127
5980175175.175175,-31.21414258040963
5980285285.285285,-31.175342126928605
5980395395.395395,-31.13649421908149
5980505505.505506,-31.097597824077397
5980615615.615616,-31.0586547491896
5980725725.725726,-31.01966431384666
5980835835.835835,-30.980628028203448
5980945945.945946,-30.94154483301609
5981056056.056056,-30.90241629267333
5981166166.166166,-30.863242888445548
5981276276.276277,-30.824023807530793
5981386386.386386,-30.784760657658424
5981496496.496496,-30.745453894373384
5981606606.6066065,-30.70610341506903
5981716716.716717,-30.666709771474174
5981826826.826827,-30.62727357664044
5981936936.936937,-30.58779556986085
5982047047.047047,-30.548276435323572
5982157157.157157,-30.508715887244833
5982267267.267267,-30.469114724783367
5982377377.3773775,-30.42947420936187
5982487487.487488,-30.389794334568535
5982597597.597597,-30.350075285914713
5982707707.707707,-30.310318278519325
5982817817.817818,-30.27052341463778
5982927927.927928,-30.230692254075848
