Frequency,Power_dB
5975000000.0,-45.43398673653989
5975110110.11011,-45.40346965910773
5975220220.220221,-45.37291074036547
5975330330.33033,-45.34230808218361
5975440440.44044,-45.311661656733364
5975550550.55055,-45.28096988763143
5975660660.660661,-45.250230886720615
5975770770.770771,-45.21945069431172
5975880880.880881,-45.18862509211539
5975990990.990991,-45.15775304262219
5976101101.101101,-45.12683837146946
5976211211.211211,-45.095879868924754
5976321321.3213215,-45.064875420910525
5976431431.431432,-45.03382386721839
5976541541.541541,-45.00272898269381
5976651651.651651,-44.971588797420935
5976761761.761762,-44.94040139925444
5976871871.871872,-44.90916837845282
5976981981.981982,-44.877893313730965
5977092092.0920925,-44.846570401128346
5977202202.202202,-44.81520224085189
5977312312.312312,-44.78378986066514
5977422422.422422,-44.75232902079563
5977532532.532533,-44.72082267087207
5977642642.642643,-44.68926993545223
5977752752.752752,-44.65767305677193
5977862862.862863,-44.62602935272892
5977972972.972973,-44.59433921801916
5978083083.083083,-44.56260217411727
5978193193.193193,-44.53082813869061
5978303303.303304,-44.498992737650596
5978413413.413413,-44.46710821680381
5978523523.523523,-44.43518414196201
5978633633.633634,-44.403214121677706
5978743743.743744,-44.37119627866933
5978853853.853854,-44.33913350092185
5978963963.9639635,-44.30702635233777
5979074074.074074,-44.27486255007591
5979184184.184184,-44.24265456269805
5979294294.294294,-44.21040374986107
5979404404.404405,-44.17810057239916
5979514514.514515,-44.14575402667457
5979624624.624624,-44.113354834695656
5979734734.734735,-44.08090609091515
5979844844.844845,-44.04841859391013
5979954954.954955,-44.015876870881726
5980065065.065065,-43.98329210713811
5980175175.175175,-43.95064867367995
5980285285.285285,-43.917972705618695
5980395395.395395,-43.8852342705336
5980505505.505506,-43.852453062686905
5980615615.615616,-43.819627764184744
5980725725.725726,-43.78674680582405
5980835835.835835,-43.75381536570228
5980945945.945946,-43.72084130377378
5981056056.056056,-43.687793033735886
5981166166.166166,-43.65475732985625
5981276276.276277,-43.62162005899755
5981386386.386386,-43.588316502134376
5981496496.496496,-43.5554957889827
5981606606.6066065,-43.52194637434441
5981716716.716717,-43.48866260173027
5981826826.826827,-43.45528241469472
5981936936.936937,-43.421860490704134
5982047047.047047,-43.38838709749494
5982157157.157157,-43.35485960886133
5982267267.267267,-43.32129698891018
5982377377.3773775,-43.28768355494972
5982487487.487488,-43.254017263771885
5982597597.597597,-43.22030121899668
5982707707.707707,-43.18653498916288
5982817817.817818,-43.15270845912653
5982927927.927928,-43.118833951093805
5983038038.038038,-43.08492145116497
5983148148.148149,-43.05094869977442
5983258258.258258,-43.017005185954034
5983368368.368368,-42.98279513587141
5983478478.478478,-42.94875042553342
5983588588.588589,-42.91457919522544
5983698698.698699,-42.88036247891176
5983808808.808809,-42.846072517575124
5983918918.918919,-42.811759085875835
5984029029.029029,-42.777376032950855
5984139139.139139,-42.74294969538066
5984249249.249249,-42.70848488717999
5984359359.35936,-42.67394860494247
5984469469.469469,-42.639317596610994
5984579579.579579,-42.60474205482936
5984689689.68969,-42.570061082724976
5984799799.7998,-42.53532771440379
5984909909.90991,-42.500537285349
5985020020.0200205,-42.46569811924289
5985130130.13013,-42.430812147728204
5985240240.24024,-42.39587335379498
5985350350.35035,-42.36087972526093
5985460460.460461,-42.32583615446646
5985570570.570571,-42.29073856387585
5985680680.68068,-42.25558555735455
5985790790.790791,-42.220381768733475
5985900900.900901,-42.185133501333965
5986011011.011011,-42.14982504784831
5986121121.121121,-42.11446238042993
5986231231.231232,-42.07905654603783
5986341341.341341,-42.04360392189744
5986451451.451451,-42.008079739041136
5986561561.561562,-41.972507381073584
5986671671.671672,-41.936887873363105
5986781781.781782,-41.90121030158164
5986891891.8918915,-41.86548759364261
5987002002.002002,-41.82970091602364
5987112112.112112,-41.793870845026035
5987222222.222222,-41.75798693979158
5987332332.332333,-41.72204499838023
5987442442.442443,-41.6860539141703
5987552552.552552,-41.65000855042757
5987662662.6626625,-41.61395298162964
5987772772.772773,-41.577758598383156
5987882882.882883,-41.541547641535374
5987992992.992993,-41.50528876047862
5988103103.103103,-41.468977957576556
5988213213.213213,-41.43261465128276
5988323323.323323,-41.39614655290198
5988433433.433434,-41.359717286482564
5988543543.543544,-41.32320305010488
5988653653.653654,-41.28661624100701
5988763763.763763,-41.249952252986276
5988873873.873874,-41.21329137822329
5988983983.983984,-41.1765511067467
5989094094.094094,-41.13976104362111
5989204204.204205,-41.102907973554565
5989314314.314314,-41.066005341999855
5989424424.424424,-41.02904406926997
5989534534.534534,-40.992039041652845
5989644644.644645,-40.95497532873583
5989754754.754755,-40.917863317727466
5989864864.864865,-40.88066799232463
5989974974.974975,-40.84340392571937
5990085085.085085,-40.806169047692805
5990195195.195195,-40.76883298532779
5990305305.3053055,-40.73144231284208
5990415415.415416,-40.693997464255915
5990525525.525525,-40.656498765759494
5990635635.635635,-40.618946032509
5990745745.745746,-40.581338712798555
5990855855.855856,-40.54367736176006
5990965965.965966,-40.50596137146033
5991076076.0760765,-40.46818958245272
5991186186.186186,-40.43036739578686
5991296296.296296,-40.39249088990442
5991406406.406406,-40.354555884224
5991516516.516517,-40.31656626323684
5991626626.626627,-40.278524935192266
5991736736.736736,-40.240429323998825
5991846846.846847,-40.20227550529229
5991956956.956957,-40.16406419547707
5992067067.067067,-40.125820646239106
5992177177.177177,-40.0874980241131
5992287287.287288,-40.04912560717655
5992397397.397397,-40.01070945472074
5992507507.507507,-39.97222873265957
5992617617.617618,-39.93370380882793
5992727727.727728,-39.89511551112278
5992837837.837838,-39.856472647097036
5992947947.9479475,-39.81777926497989
5993058058.058058,-39.779033854952274
5993168168.168168,-39.740231888868905
5993278278.278278,-39.7013754277981
5993388388.388389,-39.662465148146495
5993498498.498499,-39.6235009649824
5993608608.608608,-39.58448264059459
5993718718.718719,-39.54541129543914
5993828828.828829,-39.506234761653815
5993938938.938939,-39.46703024853859
5994049049.049049,-39.42778376558469
5994159159.159159,-39.38863231501945
5994269269.269269,-39.34922620555484
5994379379.379379,-39.309835520296815
5994489489.48949,-39.270367776616496
5994599599.5996,-39.230925396574904
5994709709.70971,-39.191312790223435
5994819819.819819,-39.151712770108915
5994929929.92993,-39.11204026585145
5995040040.04004,-39.0723182549396
5995150150.15015,-39.03254260221239
5995260260.260261,-38.992725917730255
5995370370.37037,-38.95285391825038
5995480480.48048,-38.91294847114334
5995590590.5905905,-38.8728748179078
5995700700.700701,-38.83289436546872
5995810810.810811,-38.792798436090465
5995920920.920921,-38.75256690881355
5996031031.031031,-38.71245089856734
5996141141.141141,-38.672207386217366
5996251251.251251,-38.631912486619996
5996361361.3613615,-38.591539003616134
5996471471.471472,-38.551093342301954
5996581581.581581,-38.51069228136345
5996691691.691691,-38.470155478631625
5996801801.801802,-38.42962728045062
5996911911.911912,-38.38892471394716
5997022022.022022,-38.34834938836356
5997132132.132133,-38.307630617326865
5997242242.242242,-38.26686105733663
5997352352.352352,-38.22606034162692
5997462462.462462,-38.18517620946518
5997572572.572573,-38.14424892629107
5997682682.682683,-38.10328401328027
5997792792.792792,-38.062262288974125
5997902902.902903,-38.02120340129164
5998013013.013013,-37.98005461640196
5998123123.123123,-37.938912039246546
5998233233.233233,-37.897686045384404
5998343343.343344,-37.85640555187484
5998453453.453453,-37.81503395197463
5998563563.563563,-37.77374288556497
5998673673.673674,-37.73231723309729
5998783783.783784,-37.690814157077284
5998893893.893894,-37.649327872369
5999004004.0040045,-37.60788598559844
5999114114.114114,-37.56619396229652
5999224224.224224,-37.5245140432625
5999334334.334334,-37.482829130601544
5999444444.444445,-37.441326917954655
5999554554.554555,-37.39925825820097
5999664664.664664,-37.357389183173396
5999774774.774775,-37.31550401092176
5999884884.884885,-37.273568088871386
5999994994.994995,-37.2315696538286
6000105105.105105,-37.18953164945842
6000215215.215216,-37.14745771359935
6000325325.325325,-37.105336302926986
6000435435.435435,-37.06317068805505
6000545545.545546,-37.020963100217145
6000655655.655656,-36.978705144880195
6000765765.765766,-36.93642741205794
6000875875.875875,-36.894065296667065
6000985985.985986,-36.851681293088674
6001096096.096096,-36.80924355856553
6001206206.206206,-36.766764012824936
6001316316.316317,-36.7242712094087
6001426426.426427,-36.68172769057867
6001536536.536536,-36.639123892599955
6001646646.6466465,-36.59649121453961
6001756756.756757,-36.553812821502476
6001866866.866867,-36.51110065496228
6001976976.976977,-36.46834290277826
6002087087.087087,-36.42554308369618
6002197197.197197,-36.382714499295446
6002307307.307307,-36.33982365214092
6002417417.417418,-36.296937338952034
6002527527.527528,-36.253990083061055
6002637637.637638,-36.211005968915316
6002747747.747747,-36.16798899117944
6002857857.857858,-36.12493469607085
6002967967.967968,-36.08184430726415
6003078078.078078,-36.038720487640816
6003188188.188189,-35.99556213915679
6003298298.298298,-35.9523685122206
6003408408.408408,-35.909149561771045
6003518518.518518,-35.86588624825566
6003628628.628629,-35.82259516332897
6003738738.738739,-35.77927451987729
6003848848.848849,-35.73592249874673
6003958958.958959,-35.69253996614897
6004069069.069069,-35.649118550593755
6004179179.179179,-35.605701280338565
6004289289.289289,-35.5622321067905
6004399399.3994,-35.518734298639004
6004509509.509509,-35.47520953968285
6004619619.619619,-35.431651024563195
6004729729.72973,-35.388075436986796
6004839839.83984,-35.34447602882591
6004949949.94995,-35.300852268446064
6005060060.0600605,-35.25720534154148
6005170170.17017,-35.21353583639009
6005280280.28028,-35.16984441110415
6005390390.39039,-35.12613219399901
6005500500.500501,-35.08239946510629
6005610610.610611,-35.038647956159764
6005720720.72072,-34.99487929733958
6005830830.830831,-34.9510869781265
6005940940.940941,-34.907285433051925
6006051051.051051,-34.86346347796946
6006161161.161161,-34.81962907844044
6006271271.271272,-34.77577824958243
6006381381.381381,-34.7319054285536
6006491491.491491,-34.688040019097684
6006601601.601602,-34.644158943328605
