Frequency,Power_dB
5975000000.0,-41.7035697680423
5975110110.11011,-41.67199837465523
5975220220.220221,-41.6403749265161
5975330330.33033,-41.608700951646014
5975440440.44044,-41.576977209017784
5975550550.55055,-41.54520243757028
5975660660.660661,-41.51337650806299
5975770770.770771,-41.48149918307064
5975880880.880881,-41.44957198146912
5975990990.990991,-41.41759248584533
5976101101.101101,-41.38556094320637
5976211211.211211,-41.353479640871456
5976321321.3213215,-41.321345150872816
5976431431.431432,-41.2891583806647
5976541541.541541,-41.25692140859516
5976651651.651651,-41.224630931485976
5976761761.761762,-41.192287768000966
5976871871.871872,-41.15989339174875
5976981981.981982,-41.127445572173684
5977092092.0920925,-41.09494543155846
5977202202.202202,-41.06239198254555
5977312312.312312,-41.02978479309776
5977422422.422422,-40.997126371044644
5977532532.532533,-40.96441389853044
5977642642.642643,-40.931645912313286
5977752752.752752,-40.89882642371525
5977862862.862863,-40.86595290349295
5977972972.972973,-40.83302470727514
5978083083.083083,-40.800043761389986
5978193193.193193,-40.76700669233847
5978303303.303304,-40.733916259252936
5978413413.413413,-40.70077150110872
5978523523.523523,-40.66756957673876
5978633633.633634,-40.634317550537574
5978743743.743744,-40.60100610084571
5978853853.853854,-40.56764113665464
5978963963.9639635,-40.53422153106801
5979074074.074074,-40.50074437501958
5979184184.184184,-40.467211897637
5979294294.294294,-40.43362629430108
5979404404.404405,-40.39998252915329
5979514514.514515,-40.36627991372396
5979624624.624624,-40.33252795092193
5979734734.734735,-40.29871040511823
5979844844.844845,-40.26485129239563
5979954954.954955,-40.23092677037437
5980065065.065065,-40.19694280376622
5980175175.175175,-40.162903495505276
5980285285.285285,-40.128826517540276
5980395395.395395,-40.09465169868615
5980505505.505506,-40.06044731404822
5980615615.615616,-40.02619744924779
5980725725.725726,-39.99191439906386
5980835835.835835,-39.95741304531755
5980945945.945946,-39.92315997700423
5981056056.056056,-39.88889950204066
5981166166.166166,-39.85408358965674
5981276276.276277,-39.81837251437578
5981386386.386386,-39.78375847690687
5981496496.496496,-39.7496063706849
5981606606.6066065,-39.715018313624995
5981716716.716717,-39.680095256576266
5981826826.826827,-39.64531230700092
5981936936.936937,-39.61037499795685
5982047047.047047,-39.57531656704475
5982157157.157157,-39.540229448987745
5982267267.267267,-39.50506553155358
5982377377.3773775,-39.469860783233386
5982487487.487488,-39.434596050553296
5982597597.597597,-39.399247961164136
5982707707.707707,-39.36384620591343
5982817817.817818,-39.328399068274805
5982927927.927928,-39.292868319639226
5983038038.038038,-39.257284961354756
5983148148.148149,-39.221642646804725
5983258258.258258,-39.18593441279923
5983368368.368368,-39.1501688970875
5983478478.478478,-39.114339179085974
5983588588.588589,-39.078451803758355
5983698698.698699,-39.04249131107365
5983808808.808809,-39.00646558864781
5983918918.918919,-38.97039100966906
5984029029.029029,-38.9342417381481
5984139139.139139,-38.898024328180284
5984249249.249249,-38.861758283092655
5984359359.35936,-38.82542374728858
5984469469.469469,-38.78902626135125
5984579579.579579,-38.7525632139499
5984689689.68969,-38.71603614872839
5984799799.7998,-38.67944512331894
5984909909.90991,-38.64279410188023
5985020020.0200205,-38.606080792126846
5985130130.13013,-38.569282418249884
5985240240.24024,-38.532434022933
5985350350.35035,-38.4955138837236
5985460460.460461,-38.45853053757055
5985570570.570571,-38.421481234850376
5985680680.68068,-38.38436822391395
5985790790.790791,-38.34718867763429
5985900900.900901,-38.30993507762878
5986011011.011011,-38.27257919770675
5986121121.121121,-38.23524213144725
5986231231.231232,-38.19779731686988
5986341341.341341,-38.160300812228655
5986451451.451451,-38.12270291311883
5986561561.561562,-38.085045801480206
5986671671.671672,-38.04733438251938
5986781781.781782,-38.009551850800165
5986891891.8918915,-37.971753626556875
5987002002.002002,-37.93387564905669
5987112112.112112,-37.89577964440451
5987222222.222222,-37.857718970222734
5987332332.332333,-37.819592029097365
5987442442.442443,-37.78139169277148
5987552552.552552,-37.74312539668517
