Frequency,Power_dB
5975000000.0,-37.59421458029476
5975110110.11011,-37.56371085369092
5975220220.220221,-37.533168776623924
5975330330.33033,-37.50259128014578
5975440440.44044,-37.47198081779101
5975550550.55055,-37.44133562945339
5975660660.660661,-37.41065605631451
5975770770.770771,-37.3799389945779
5975880880.880881,-37.349192174249424
5975990990.990991,-37.31841083653856
5976101101.101101,-37.28759373262042
5976211211.211211,-37.25675037364559
5976321321.3213215,-37.22586796881683
5976431431.431432,-37.194956340321596
5976541541.541541,-37.16400858771178
5976651651.651651,-37.13302641796123
5976761761.761762,-37.102011609196026
5976871871.871872,-37.070961956790015
5976981981.981982,-37.03987976563367
5977092092.0920925,-37.008764317473776
5977202202.202202,-36.97761019039547
5977312312.312312,-36.946438139242815
5977422422.422422,-36.91521504464916
5977532532.532533,-36.88396546392468
5977642642.642643,-36.85268533219194
5977752752.752752,-36.82137057395285
5977862862.862863,-36.79002624554683
5977972972.972973,-36.75864616341448
5978083083.083083,-36.72723621384682
5978193193.193193,-36.695795428758615
5978303303.303304,-36.66432588604529
5978413413.413413,-36.63282332923592
5978523523.523523,-36.60128480411281
5978633633.633634,-36.56971417113283
5978743743.743744,-36.538112118306884
5978853853.853854,-36.50647902464752
5978963963.9639635,-36.4748138953824
5979074074.074074,-36.44311794820602
5979184184.184184,-36.411381629704564
5979294294.294294,-36.37962997090074
5979404404.404405,-36.347843463975465
5979514514.514515,-36.316023293661914
5979624624.624624,-36.28417319202188
5979734734.734735,-36.25229257034451
5979844844.844845,-36.22038149145608
5979954954.954955,-36.18844004346349
5980065065.065065,-36.156469432597774
5980175175.175175,-36.12446493136818
5980285285.285285,-36.092451001276956
5980395395.395395,-36.06037046942926
5980505505.505506,-36.028223708178956
5980615615.615616,-35.996160565396266
5980725725.725726,-35.96400653773733
5980835835.835835,-35.931840253147726
5980945945.945946,-35.89963528632825
5981056056.056056,-35.867406635663585
5981166166.166166,-35.83514126927143
5981276276.276277,-35.80284244206338
5981386386.386386,-35.77052681514502
5981496496.496496,-35.73817761002198
5981606606.6066065,-35.70590214253518
5981716716.716717,-35.673342084727366
5981826826.826827,-35.64089139096497
5981936936.936937,-35.60851340814723
5982047047.047047,-35.57618809475562
5982157157.157157,-35.54343753747612
5982267267.267267,-35.511066028317714
5982377377.3773775,-35.47847334816092
5982487487.487488,-35.44587687546779
5982597597.597597,-35.41326577177887
5982707707.707707,-35.38062908450026
5982817817.817818,-35.34797508872383
5982927927.927928,-35.31528595149351
5983038038.038038,-35.28257543303248
5983148148.148149,-35.249838761078436
5983258258.258258,-35.21709032879909
5983368368.368368,-35.18432060555918
5983478478.478478,-35.151526128586454
5983588588.588589,-35.11869682839931
5983698698.698699,-35.085847920087346
5983808808.808809,-35.0529855556683
5983918918.918919,-35.02008557092826
5984029029.029029,-34.98716816555026
5984139139.139139,-34.954238072847204
5984249249.249249,-34.92127216181805
5984359359.35936,-34.88830214359869
5984469469.469469,-34.85528149731506
5984579579.579579,-34.82227375793242
5984689689.68969,-34.78923649475317
5984799799.7998,-34.75617558379089
5984909909.90991,-34.72310223393394
5985020020.0200205,-34.6899790359781
5985130130.13013,-34.656873290660855
5985240240.24024,-34.6237510958739
5985350350.35035,-34.59058392827333
5985460460.460461,-34.55741728984779
5985570570.570571,-34.52422317765485
5985680680.68068,-34.4910199259684
5985790790.790791,-34.45780619530136
5985900900.900901,-34.42456737017906
5986011011.011011,-34.39130798604013
5986121121.121121,-34.3580353162278
5986231231.231232,-34.324753637680416
5986341341.341341,-34.29145805346907
5986451451.451451,-34.25814807451188
5986561561.561562,-34.2248047308337
5986671671.671672,-34.19147859799364
5986781781.781782,-34.15812342890122
5986891891.8918915,-34.12477920390627
5987002002.002002,-34.09138399868142
5987112112.112112,-34.057985902563374
5987222222.222222,-34.02458064465928
5987332332.332333,-33.991183763237004
5987442442.442443,-33.95775618799075
5987552552.552552,-33.924336081437794
5987662662.6626625,-33.89089289829836
