Frequency,Power_dB
5975000000.0,-33.37109664302637
5975110110.11011,-33.335462427308244
5975220220.220221,-33.299774777283716
5975330330.33033,-33.26403339784995
5975440440.44044,-33.22823851623713
5975550550.55055,-33.192390315094286
5975660660.660661,-33.15648912532581
5975770770.770771,-33.120534768039754
5975880880.880881,-33.08452706677738
5975990990.990991,-33.04846615955414
5976101101.101101,-33.01235233107806
5976211211.211211,-32.97618572005233
5976321321.3213215,-32.939966548959696
5976431431.431432,-32.90369461666698
5976541541.541541,-32.867369828119564
5976651651.651651,-32.830992553027905
5976761761.761762,-32.794563088815
5976871871.871872,-32.75808155331635
5976981981.981982,-32.72154774815092
5977092092.0920925,-32.684961814974585
5977202202.202202,-32.64832345082194
5977312312.312312,-32.61163370234386
5977422422.422422,-32.57489262681928
5977532532.532533,-32.5380999312818
5977642642.642643,-32.50125554380331
5977752752.752752,-32.46435984497705
5977862862.862863,-32.42741357604579
5977972972.972973,-32.39041679929325
5978083083.083083,-32.35336877003613
5978193193.193193,-32.31626981394876
5978303303.303304,-32.27912163178385
5978413413.413413,-32.24192258177397
5978523523.523523,-32.20467370287864
5978633633.633634,-32.16737540601648
5978743743.743744,-32.13002737123715
5978853853.853854,-32.09262969102586
5978963963.9639635,-32.05518385502767
5979074074.074074,-32.01768802834232
5979184184.184184,-31.980144613436153
5979294294.294294,-31.942551919007805
5979404404.404405,-31.904912021024437
5979514514.514515,-31.86722364990908
5979624624.624624,-31.8294879848973
5979734734.734735,-31.791705434455288
5979844844.844845,-31.75387538219926
5979954954.954955,-31.715999362444116
5980065065.065065,-31.678075495190456
5980175175.175175,-31.640106004028745
5980285285.285285,-31.602091417332836
5980395395.395395,-31.564030906711494
5980505505.505506,-31.525925359719757
5980615615.615616,-31.48777480440208
5980725725.725726,-31.44957992955664
5980835835.835835,-31.411340815217088
5980945945.945946,-31.373058155328224
5981056056.056056,-31.33473274886442
5981166166.166166,-31.29636402872299
5981276276.276277,-31.257952429477683
5981386386.386386,-31.21949891289863
5981496496.496496,-31.181004027891376
5981606606.6066065,-31.142467487094706
5981716716.716717,-31.103890519210893
5981826826.826827,-31.06527297154581
5981936936.936937,-31.02661509144209
5982047047.047047,-30.987918363922347
5982157157.157157,-30.949182132783562
5982267267.267267,-30.910408265326154
5982377377.3773775,-30.87159548712296
5982487487.487488,-30.832746448209846
5982597597.597597,-30.7938591968272
5982707707.707707,-30.754936202161474
5982817817.817818,-30.71597744281037
5982927927.927928,-30.676983739976087
5983038038.038038,-30.637913092145688
5983148148.148149,-30.5988484320876
5983258258.258258,-30.559750353709944
5983368368.368368,-30.52061913567649
5983478478.478478,-30.48155533864726
5983588588.588589,-30.442364280516458
5983698698.698699,-30.403142785663988
5983808808.808809,-30.363890384259413
5983918918.918919,-30.3246085913596
5984029029.029029,-30.285298033933515
5984139139.139139,-30.245838295547586
5984249249.249249,-30.206468170710927
5984359359.35936,-30.167200518933093
5984469469.469469,-30.12778200861188
5984579579.579579,-30.08820248609006
5984689689.68969,-30.048730662538112
5984799799.7998,-30.009235296283947
5984909909.90991,-29.96971757670223
5985020020.0200205,-29.930327966046057
5985130130.13013,-29.890616529044394
5985240240.24024,-29.85111426518248
5985350350.35035,-29.81143535562967
5985460460.460461,-29.771898938625768
5985570570.570571,-29.73226474523733
5985680680.68068,-29.692614180099326
5985790790.790791,-29.652948268276887
5985900900.900901,-29.613176575544202
5986011011.011011,-29.573480493783237
5986121121.121121,-29.533865592696458
5986231231.231232,-29.49414727346243
5986341341.341341,-29.454418605343598
5986451451.451451,-29.41468038076973
5986561561.561562,-29.374876832737904
5986671671.671672,-29.33517985578672
5986781781.781782,-29.29542031062772
5986891891.8918915,-29.255654546955164
5987002002.002002,-29.21588657560619
5987112112.112112,-29.176114072170378
5987222222.222222,-29.136342430009904
5987332332.332333,-29.09649123593455
5987442442.442443,-29.05679774381396
5987552552.552552,-29.01694478310847
5987662662.6626625,-28.977175058516657
5987772772.772773,-28.937498629389808
5987882882.882883,-28.897837718830033
5987992992.992993,-28.858093019467177
5988103103.103103,-28.818356850689455
5988213213.213213,-28.77863132066365
5988323323.323323,-28.738711805022376
5988433433.433434,-28.699005980325147
5988543543.543544,-28.659315742191154
5988653653.653654,-28.619641524090653
5988763763.763763,-28.580199309436132
5988873873.873874,-28.540458263281757
5988983983.983984,-28.500827459907214
5989094094.094094,-28.46128097331163
5989204204.204205,-28.42172812990428
5989314314.314314,-28.3822573144911
5989424424.424424,-28.34274212472951
5989534534.534534,-28.303005757996203
5989644644.644645,-28.26354543676392
5989754754.754755,-28.224118500541955
5989864864.864865,-28.1849842960547
5989974974.974975,-28.145367319205754
5990085085.085085,-28.106046569705683
5990195195.195195,-28.06676574630076
5990305305.3053055,-28.027641076412372
5990415415.415416,-27.988475804464514
5990525525.525525,-27.949323479343
5990635635.635635,-27.910220689962692
5990745745.745746,-27.871150024299425
5990855855.855856,-27.832132470326997
5990965965.965966,-27.793202509648054
5991076076.0760765,-27.754290213108426
5991186186.186186,-27.715447087638154
5991296296.296296,-27.67666223173471
5991406406.406406,-27.637937819606364
