Frequency,Power_dB
5975000000.0,-45.90072195484814
5975110110.11011,-45.870339108889766
5975220220.220221,-45.8399097313748
5975330330.33033,-45.809437191628405
5975440440.44044,-45.77892348734899
5975550550.55055,-45.74836225931605
5975660660.660661,-45.717758161132
5975770770.770771,-45.687109355730655
5975880880.880881,-45.65641918904937
5975990990.990991,-45.62568612850697
5976101101.101101,-45.59490602904188
5976211211.211211,-45.564083185126776
5976321321.3213215,-45.53321601810539
5976431431.431432,-45.50230375075455
5976541541.541541,-45.47134755977042
5976651651.651651,-45.44035029166001
5976761761.761762,-45.40930200932331
5976871871.871872,-45.378209282440295
5976981981.981982,-45.34707734851166
5977092092.0920925,-45.31589949527594
5977202202.202202,-45.28467512191794
5977312312.312312,-45.253406258528045
5977422422.422422,-45.22209214424112
5977532532.532533,-45.190732437090475
5977642642.642643,-45.159327898125966
5977752752.752752,-45.127878453824664
5977862862.862863,-45.096383637740374
5977972972.972973,-45.06484245549005
5978083083.083083,-45.03325717992769
5978193193.193193,-45.001637573942105
5978303303.303304,-44.969948353582794
5978413413.413413,-44.93822437291496
5978523523.523523,-44.90645488018424
5978633633.633634,-44.87464122970994
5978743743.743744,-44.84277906344944
5978853853.853854,-44.81087312014448
5978963963.9639635,-44.77892579315423
5979074074.074074,-44.74691743697542
5979184184.184184,-44.71487304162845
5979294294.294294,-44.68278053092108
5979404404.404405,-44.65063993013331
5979514514.514515,-44.618454008908955
5979624624.624624,-44.58622523435136
5979734734.734735,-44.553940519143936
5979844844.844845,-44.521621601230265
5979954954.954955,-44.48924013712836
5980065065.065065,-44.45682034241136
5980175175.175175,-44.42435355927236
5980285285.285285,-44.391847018439535
5980395395.395395,-44.35928040683693
5980505505.505506,-44.326670191090045
5980615615.615616,-44.294015810454766
5980725725.725726,-44.26131324846078
5980835835.835835,-44.22855662174803
5980945945.945946,-44.19576119712032
5981056056.056056,-44.162917771879265
5981166166.166166,-44.130007299298285
5981276276.276277,-44.09708065428734
5981386386.386386,-44.06405085927673
5981496496.496496,-44.03129991643398
5981606606.6066065,-43.997972299086584
5981716716.716717,-43.96482585669435
5981826826.826827,-43.931653365302296
5981936936.936937,-43.89840825301357
5982047047.047047,-43.86513131457377
5982157157.157157,-43.83178632777842
5982267267.267267,-43.79842522977462
5982377377.3773775,-43.76499140874057
5982487487.487488,-43.73152242857914
5982597597.597597,-43.69800499101996
5982707707.707707,-43.66442662073233
5982817817.817818,-43.630809247793024
5982927927.927928,-43.59713645733548
5983038038.038038,-43.56341636577855
5983148148.148149,-43.529642706439446
5983258258.258258,-43.49590650040173
5983368368.368368,-43.461992186715946
5983478478.478478,-43.428039943576366
5983588588.588589,-43.394084436333515
5983698698.698699,-43.36006240207125
5983808808.808809,-43.32599445590495
5983918918.918919,-43.291887231508156
5984029029.029029,-43.25771677822655
5984139139.139139,-43.223497796808076
5984249249.249249,-43.189280768753235
5984359359.35936,-43.15493199027637
5984469469.469469,-43.12051944955512
5984579579.579579,-43.08615179718673
5984689689.68969,-43.051691359504275
5984799799.7998,-43.01717432658049
5984909909.90991,-42.98261062556652
5985020020.0200205,-42.94799323904709
5985130130.13013,-42.91332780363669
5985240240.24024,-42.87861235551209
5985350350.35035,-42.843848539646615
5985460460.460461,-42.80904043494742
5985570570.570571,-42.7741660444802
5985680680.68068,-42.73925064920307
5985790790.790791,-42.70427769411485
5985900900.900901,-42.66926257729709
5986011011.011011,-42.63419645347989
5986121121.121121,-42.59907674610777
5986231231.231232,-42.56389631094942
5986341341.341341,-42.52868203589313
5986451451.451451,-42.493410119172
5986561561.561562,-42.458077792556836
5986671671.671672,-42.42271034627174
5986781781.781782,-42.387282695564494
5986891891.8918915,-42.35180170730803
5987002002.002002,-42.31627484751533
5987112112.112112,-42.28069340950566
5987222222.222222,-42.24505967401208
5987332332.332333,-42.20938031714387
5987442442.442443,-42.173645072718685
5987552552.552552,-42.137936655893625
5987662662.6626625,-42.10202350993322
5987772772.772773,-42.066132912768296
5987882882.882883,-42.03018765628194
5987992992.992993,-41.99419695444601
5988103103.103103,-41.95815957163012
5988213213.213213,-41.92211145789888
5988323323.323323,-41.88591313820355
5988433433.433434,-41.84971226584274
5988543543.543544,-41.813465430995166
5988653653.653654,-41.777161079665206
5988763763.763763,-41.74080994344811
5988873873.873874,-41.70440153028855
5988983983.983984,-41.66810119918348
5989094094.094094,-41.631439666550165
5989204204.204205,-41.5948761515195
5989314314.314314,-41.558264872380164
5989424424.424424,-41.521599862506505
5989534534.534534,-41.484813382280024
5989644644.644645,-41.44811857039721
5989754754.754755,-41.411289592541166
5989864864.864865,-41.37447503852526
5989974974.974975,-41.33741589376187
5990085085.085085,-41.300517946472056
5990195195.195195,-41.263487382645806
5990305305.3053055,-41.226405470644835
5990415415.415416,-41.18927146307945
5990525525.525525,-41.15208634064008
5990635635.635635,-41.11484887780064
5990745745.745746,-41.07755948865919
5990855855.855856,-41.04021815272034
5990965965.965966,-41.0028280094412
5991076076.0760765,-40.96538414586958
5991186186.186186,-40.92787829856938
5991296296.296296,-40.890304613758005
5991406406.406406,-40.852733849086704
5991516516.516517,-40.81507997339142
5991626626.626627,-40.77736913588569
5991736736.736736,-40.739618476464045
5991846846.846847,-40.70180044061077
5991956956.956957,-40.663937520606495
5992067067.067067,-40.6260288305503
5992177177.177177,-40.58808482172131
5992287287.287288,-40.55004631585666
5992397397.397397,-40.51197647545371
5992507507.507507,-40.473853951121455
5992617617.617618,-40.43568292088965
5992727727.727728,-40.39746366282
5992837837.837838,-40.359185646125425
5992947947.9479475,-40.32086153322753
5993058058.058058,-40.282483514254466
5993168168.168168,-40.24405418506055
5993278278.278278,-40.20557354640724
5993388388.388389,-40.167041090768976
5993498498.498499,-40.12845813404104
5993608608.608608,-40.08982414732324
5993718718.718719,-40.05111783986379
5993828828.828829,-40.01234244137348
5993938938.938939,-39.97358467413575
5994049049.049049,-39.93475643586632
5994159159.159159,-39.8958436092184
5994269269.269269,-39.85693588009656
5994379379.379379,-39.81794543727638
5994489489.48949,-39.77876944273015
5994599599.5996,-39.73978729108309
5994709709.70971,-39.700668259352526
5994819819.819819,-39.661459670161804
5994929929.92993,-39.6222000948911
5995040040.04004,-39.58293842614823
5995150150.15015,-39.54357528494502
5995260260.260261,-39.50417330223611
5995370370.37037,-39.464738343699764
5995480480.48048,-39.425229406546535
5995590590.5905905,-39.385680505901334
5995700700.700701,-39.34609022364151
5995810810.810811,-39.30644968326315
5995920920.920921,-39.26663115135746
5996031031.031031,-39.22700501476632
5996141141.141141,-39.18721118056243
5996251251.251251,-39.14737152246849
5996361361.3613615,-39.10742618086343
5996471471.471472,-39.06752083717576
5996581581.581581,-39.02754049394059
5996691691.691691,-38.98752232975828
5996801801.801802,-38.94748408883724
5996911911.911912,-38.90729302813885
5997022022.022022,-38.867128417727585
5997132132.132133,-38.82690239453068
5997242242.242242,-38.78671016634635
5997352352.352352,-38.74633087207222
5997462462.462462,-38.7059374105489
5997572572.572573,-38.66550856019251
5997682682.682683,-38.62505438001159
5997792792.792792,-38.58446473458288
5997902902.902903,-38.54401027611759
5998013013.013013,-38.50338545365122
5998123123.123123,-38.462780318585814
5998233233.233233,-38.42206064696518
5998343343.343344,-38.38130949737943
5998453453.453453,-38.34059778181533
5998563563.563563,-38.2997114433084
5998673673.673674,-38.25884886644246
5998783783.783784,-38.21790108560609
5998893893.893894,-38.17695572917583
5999004004.0040045,-38.13605797166885
5999114114.114114,-38.094860009386636
5999224224.224224,-38.053804285390086
5999334334.334334,-38.0127110918676
5999444444.444445,-37.97121756171504
5999554554.554555,-37.93059233195699
5999664664.664664,-37.88902035574202
5999774774.774775,-37.8477179230843
5999884884.884885,-37.80636709485346
5999994994.994995,-37.76497107017845
6000105105.105105,-37.723553912978446
6000215215.215216,-37.68207811235443
6000325325.325325,-37.64057408025474
6000435435.435435,-37.59902720111462
6000545545.545546,-37.55744323966785
6000655655.655656,-37.515811773271736
6000765765.765766,-37.47412996095976
6000875875.875875,-37.43244584711739
6000985985.985986,-37.39070423040175
6001096096.096096,-37.34892626570837
6001206206.206206,-37.307099640772705
6001316316.316317,-37.265258047008686
6001426426.426427,-37.22336966870759
6001536536.536536,-37.181445485740056
6001646646.6466465,-37.13948765037384
6001756756.756757,-37.097491756447994
6001866866.866867,-37.05546419073792
6001976976.976977,-37.01339873067525
6002087087.087087,-36.97129872150349
6002197197.197197,-36.929164084970566
6002307307.307307,-36.88700656501038
6002417417.417418,-36.84481776417189
6002527527.527528,-36.80259098674688
6002637637.637638,-36.76033482590546
6002747747.747747,-36.718048359524616
6002857857.857858,-36.67573255963262
6002967967.967968,-36.633388887954936
6003078078.078078,-36.591011909849
6003188188.188189,-36.5486091665574
6003298298.298298,-36.50617878648431
6003408408.408408,-36.46372200278768
6003518518.518518,-36.42123879259435
6003628628.628629,-36.37872869788029
6003738738.738739,-36.33619458179095
6003848848.848849,-36.293635485338996
6003958958.958959,-36.251053540154615
6004069069.069069,-36.20845415654185
6004179179.179179,-36.16581417699973
6004289289.289289,-36.12317687257445
6004399399.3994,-36.08050517395442
6004509509.509509,-36.03781102600456
6004619619.619619,-35.995100765584084
6004729729.72973,-35.95237212082216
6004839839.83984,-35.909625469869994
6004949949.94995,-35.86686208414319
6005060060.0600605,-35.8240819254418
6005170170.17017,-35.781285906392625
6005280280.28028,-35.73847537624658
6005390390.39039,-35.695649708807736
6005500500.500501,-35.65280279886072
6005610610.610611,-35.60996559571504
6005720720.72072,-35.56710642788444
6005830830.830831,-35.524232637761514
6005940940.940941,-35.481350135315566
6006051051.051051,-35.43846068412323
6006161161.161161,-35.39556619666938
6006271271.271272,-35.352661470518555
6006381381.381381,-35.309740476172095
6006491491.491491,-35.26683541634809
6006601601.601602,-35.22392420763103
6006711711.711712,-35.18100324519976
6006821821.821822,-35.13808188556689
6006931931.9319315,-35.0951617916443
6007042042.042042,-35.05224247700663
6007152152.152152,-35.00932119012231
6007262262.262262,-34.966397777351276
6007372372.372373,-34.92349532634907
6007482482.482483,-34.88058856002368
6007592592.592592,-34.837689879616875
6007702702.7027025,-34.794795519377615
6007812812.812813,-34.75191089088773
6007922922.922923,-34.70903818490187
6008033033.033033,-34.66617582095681
6008143143.143143,-34.623316950458246
6008253253.253253,-34.580481603900566
6008363363.363363,-34.53766514462599
6008473473.473474,-34.49486357598049
6008583583.583584,-34.451996785539606
6008693693.693694,-34.409306112689336
6008803803.803803,-34.3665688912221
6008913913.913914,-34.32382086742217
6009024024.024024,-34.28113508248312
6009134134.134134,-34.238467741894965
6009244244.244245,-34.19581840824961
6009354354.354354,-34.15319509560699
6009464464.464464,-34.110615205303944
6009574574.574574,-34.0680478021106
6009684684.684685,-34.02552362129843
6009794794.794795,-33.983036020302535
6009904904.904905,-33.940580770473915
6010015015.015015,-33.898160564167306
6010125125.125125,-33.85578609146188
6010235235.235235,-33.813450824652506
6010345345.3453455,-33.771160328698365
6010455455.455456,-33.72891276923164
6010565565.565565,-33.686715602144915
6010675675.675675,-33.64456218845782
6010785785.785786,-33.60246559865503
6010895895.895896,-33.560381845677234
6011006006.006006,-33.51842423350088
6011116116.116117,-33.476487509501055
6011226226.226226,-33.43460947489038
6011336336.336336,-33.392699683065146
6011446446.446446,-33.35103868551251
6011556556.556557,-33.30934396250044
6011666666.666667,-33.26770423865436
6011776776.776776,-33.22616880714715
6011886886.886887,-33.18468579331114
6011996996.996997,-33.14327409562863
6012107107.107107,-33.10193951356251
6012217217.217217,-33.06068429686245
6012327327.327328,-33.01950915269832
6012437437.437437,-32.97841334537948
6012547547.547547,-32.937403926104345
6012657657.657658,-32.8964571335557
6012767767.767768,-32.85564859756455
6012877877.877878,-32.81491292088984
6012987987.9879875,-32.77426296119587
6013098098.098098,-32.73378319622616
6013208208.208208,-32.69327309516923
6013318318.318318,-32.65292649556298
6013428428.428429,-32.6126844635973
6013538538.538539,-32.57255362936821
6013648648.648648,-32.53253736738255
6013758758.758759,-32.4926211778969
6013868868.868869,-32.45283302378947
6013978978.978979,-32.413158336576856
6014089089.089089,-32.37360926017722
