Frequency,Power_dB
5975000000.0,-43.56483565798368
5975110110.11011,-43.533785698450686
5975220220.220221,-43.50268572569958
5975330330.33033,-43.4715430458307
5975440440.44044,-43.44034244725054
5975550550.55055,-43.40911037430752
5975660660.660661,-43.37782133865021
5975770770.770771,-43.34648788535834
5975880880.880881,-43.31510113268047
5975990990.990991,-43.28366672676425
5976101101.101101,-43.25218566593216
5976211211.211211,-43.220657936054224
5976321321.3213215,-43.189080577698945
5976431431.431432,-43.15745672736112
5976541541.541541,-43.125783322402285
5976651651.651651,-43.09405351315972
5976761761.761762,-43.06228120382001
5976871871.871872,-43.03047205746047
5976981981.981982,-42.99859323411715
5977092092.0920925,-42.96667145867944
5977202202.202202,-42.93470688497612
5977312312.312312,-42.90268934356487
5977422422.422422,-42.87062363524501
5977532532.532533,-42.83851108665604
5977642642.642643,-42.80634808606881
5977752752.752752,-42.77412737552157
5977862862.862863,-42.74186147115198
5977972972.972973,-42.70954774446366
5978083083.083083,-42.67718275185223
5978193193.193193,-42.644761972010215
5978303303.303304,-42.612286737515475
5978413413.413413,-42.57977181318218
5978523523.523523,-42.54720994045498
5978633633.633634,-42.514591316439805
5978743743.743744,-42.481938988819394
5978853853.853854,-42.44919270413489
5978963963.9639635,-42.41641977379376
5979074074.074074,-42.38359926661377
5979184184.184184,-42.35072899528113
5979294294.294294,-42.31780166570795
5979404404.404405,-42.28482123860958
5979514514.514515,-42.25178323365925
5979624624.624624,-42.2187071435454
5979734734.734735,-42.18557374521487
5979844844.844845,-42.152380736677344
5979954954.954955,-42.11914764759311
5980065065.065065,-42.085853559168186
5980175175.175175,-42.05250856665397
5980285285.285285,-42.01910845535434
5980395395.395395,-41.985665424289905
5980505505.505506,-41.95216094278754
5980615615.615616,-41.91860548404941
5980725725.725726,-41.88500231639648
5980835835.835835,-41.85133219873627
5980945945.945946,-41.81760051959404
5981056056.056056,-41.78385346571595
5981166166.166166,-41.75002764429314
5981276276.276277,-41.716151868048854
5981386386.386386,-41.68224789403273
5981496496.496496,-41.64743498338704
5981606606.6066065,-41.61420307994304
5981716716.716717,-41.58010897620851
5981826826.826827,-41.54596529550098
5981936936.936937,-41.51176985973268
5982047047.047047,-41.47750877963715
