gain,phase,side,dataset,amp_dB,err_amp_dB,ln_fwhm,dln_fwhm
-3.1,hermitian,left,exp,-32.31561646429985,0.41557632308932213,3.608785099063307,0.018488070633663308
-3.1,hermitian,right,exp,-31.1011616845723,0.3567623109998621,3.6926302429961098,0.018086776300334447
8.4,hermitian,left,exp,-14.097996656485932,0.04825488610507378,2.395461889435974,0.014591492241692278
8.4,hermitian,right,exp,-14.544947406941526,0.05564081301437973,2.255956001535411,0.016531358833817518
1.4,hermitian,left,exp,-29.221986983004427,0.10126175850873054,3.7260065545989303,0.009252019246540328
1.4,hermitian,right,exp,-27.87817017899377,0.09997194402082599,3.8820392010601696,0.010871038590671234
2.9,hermitian,left,exp,-27.735183545356357,0.06537779876385841,3.727193626366428,0.008075836705082228
2.9,hermitian,right,exp,-26.692307218540073,0.086892295654458,3.8899657003648245,0.010271966332684018
3.9,hermitian,left,exp,-26.408836049263336,0.06600896530986589,3.752419861717888,0.009441680832013511
3.9,hermitian,right,exp,-25.661859014870096,0.09829880888399245,3.8166613867171204,0.011503452391431034
6.4,hermitian,left,exp,-23.851091769963745,0.2909585168066293,3.6123957046240407,0.023738174879282387
6.4,hermitian,right,exp,-21.98612651669078,0.7234678421280663,3.854083754539893,0.04572262351895083
-0.6,hermitian,left,exp,-30.688098981146954,0.1944353879996008,3.69023079189707,0.012455941246533509
-0.6,hermitian,right,exp,-29.357862174488965,0.16908321485205136,3.807386223080194,0.01340097011610807
4.4,hermitian,left,exp,-26.08197845941325,0.07624102066181138,3.7213250275776217,0.010585520514185764
4.4,hermitian,right,exp,-25.00093464497059,0.13030964705010462,3.84188614426078,0.013644055035611455
0.4,hermitian,left,exp,-30.254616296612188,0.15592879661467762,3.7016850016482037,0.011557719964012888
0.4,hermitian,right,exp,-28.49317723321622,0.13426786977983696,3.8642867572892423,0.012687763579723618
-1.1,hermitian,left,exp,-31.03562692515034,0.26296455179099354,3.6793020561058642,0.015903316636970685
-1.1,hermitian,right,exp,-29.49345973045858,0.2210866078351934,3.7774044813062866,0.016093830709398182
7.4,hermitian,left,exp,-18.10082373127733,0.07176448228709376,2.8558859729109085,0.0253197233386654
7.4,hermitian,right,exp,-19.325058543934873,0.09144964887979512,2.6706995851040607,0.03395165325993011
-4.6,hermitian,left,exp,-33.72874354971347,0.5637996286502869,3.5909896716651803,0.018056498445004288
-4.6,hermitian,right,exp,-32.014689810828486,0.4577273685916836,3.6706725180362456,0.01537256637346622
4.9,hermitian,left,exp,-25.533060676673177,0.09330918262864074,3.7196478995713655,0.01203972775591005
4.9,hermitian,right,exp,-24.46742574998836,0.1721279150540056,3.8298209436339197,0.016222558815280883
5.4,hermitian,left,exp,-25.026748653162056,0.12891639115281706,3.694829971431217,0.014564721250872516
5.4,hermitian,right,exp,-23.75063448319584,0.26999493828621723,3.84139952890618,0.021717606150382474
0.9,hermitian,left,exp,-29.77238459192553,0.12411412875458439,3.7132698238800934,0.010185974644373612
0.9,hermitian,right,exp,-28.191625080283835,0.11331201292507487,3.8744330444454347,0.011560985121940896
5.9,hermitian,left,exp,-24.86486881810829,0.1966037167713992,3.655151487576016,0.017816471614003376
5.9,hermitian,right,exp,-22.836717616363202,0.4740937375280012,3.8823187006479434,0.031122211545764736
7.9,hermitian,left,exp,-16.218842281428095,0.05637501569460568,2.6164031468961024,0.018749533658727665
7.9,hermitian,right,exp,-17.210976463134692,0.0698230517183589,2.44641833010171,0.02357820422997856
-0.1,hermitian,left,exp,-30.52964508162401,0.2059019858509501,3.6922921411626453,0.01413484388328669
-0.1,hermitian,right,exp,-28.87397449134541,0.17518823296181907,3.8437426572566737,0.015328047663859893
-1.6,hermitian,left,exp,-31.82872486165475,0.24568809534459035,3.6503860004705895,0.013230993285513375
-1.6,hermitian,right,exp,-29.664031074183193,0.18942054797683028,3.7775006097164003,0.012423371176491628
-4.1,hermitian,left,exp,-34.13994100427122,0.5223014810805964,3.584563165625447,0.018338507865139103
-4.1,hermitian,right,exp,-31.189702766105892,0.36597290024701934,3.698596428516216,0.013539156601617674
-3.6,hermitian,left,exp,-33.143533923763115,0.38689914720252006,3.5962767026485425,0.015642664450962702
-3.6,hermitian,right,exp,-31.06146932327787,0.2995342944273993,3.694043104266248,0.013425257997602767
-2.1,hermitian,left,exp,-32.54903436728217,0.28142151711071506,3.6246147043282533,0.01411977009371941
-2.1,hermitian,right,exp,-29.709111616560385,0.19899965900030026,3.7677390010863574,0.011997502608157249
2.4,hermitian,left,exp,-28.283861082615978,0.07307667869480383,3.714820469558888,0.008263608181821869
2.4,hermitian,right,exp,-27.025482479162058,0.08645673848415569,3.897134306329672,0.01028882795580567
-2.6,hermitian,left,exp,-32.46617984585132,0.2696002113443541,3.6213672219692845,0.012747107417835093
-2.6,hermitian,right,exp,-30.419663755722944,0.20975867005682147,3.7224790792699007,0.01142001289585813
6.9,hermitian,left,exp,-20.452740569694928,0.18324381967468995,3.4001284862689536,0.0341789075038101
6.9,hermitian,right,exp,-21.146509412634337,0.2634330222323449,3.296465329647152,0.04612289742637739
3.4,hermitian,left,exp,-27.220241556648972,0.05907552438884878,3.719897166290156,0.007959380672123043
3.4,hermitian,right,exp,-26.11435214700404,0.08706845794742435,3.880172035968615,0.010131651566189039
