gain,phase,side,dataset,amp_dB,err_amp_dB,ln_fwhm,dln_fwhm
-3.1,hermitian,left,exp,-32.58577133256462,0.4007998223973388,3.602362021125149,0.018319898510933907
-3.1,hermitian,right,exp,-30.93438007963342,0.3233959367673265,3.7057093539073445,0.01499659633119727
8.4,hermitian,left,exp,-14.322944177598298,0.06335546445980889,2.348322987751562,0.018635714185716124
8.4,hermitian,right,exp,-14.33577833035554,0.06426770879898491,2.341041890303963,0.018979016700092256
1.4,hermitian,left,exp,-28.868793765099163,0.08864048851426531,3.737358928395049,0.00887018757077944
1.4,hermitian,right,exp,-28.02240075621154,0.08069040275574935,3.8504124427956485,0.008895658996502007
2.9,hermitian,left,exp,-27.38491395439262,0.06032732809287111,3.7384424037856285,0.00793620994553769
2.9,hermitian,right,exp,-26.817579925918103,0.06132091251182459,3.853516692208078,0.008332621745459803
3.9,hermitian,left,exp,-26.17194981882506,0.06326096041411589,3.760491873838084,0.009231269463763214
3.9,hermitian,right,exp,-25.752037138981137,0.06296884339190356,3.7885005104321055,0.009104774749786024
6.4,hermitian,left,exp,-22.755913197506796,0.19404787951001268,3.5943085971878745,0.022513126636397787
6.4,hermitian,right,exp,-22.28074654272943,0.27356290442792996,3.746160175027089,0.02674544286489005
-0.6,hermitian,left,exp,-30.512906491767286,0.1701403186190582,3.695483158494564,0.011663215088704352
-0.6,hermitian,right,exp,-29.451005022591,0.14710736327048934,3.7952375630769635,0.010995578179092615
4.4,hermitian,left,exp,-25.66329644533065,0.0726672217880413,3.7330154272590663,0.010538158241033905
4.4,hermitian,right,exp,-25.149939391379476,0.0761267890006998,3.794862711006047,0.010630051494843223
0.4,hermitian,left,exp,-29.872492399314538,0.13267882417219923,3.7133202017317295,0.01083134845553457
0.4,hermitian,right,exp,-28.661451697263452,0.11329446264203824,3.835219905584406,0.010374425083326888
-1.1,hermitian,left,exp,-30.90758294086429,0.23274858976964907,3.6830056740297237,0.014936063523050385
-1.1,hermitian,right,exp,-29.563092200702364,0.19495162981769099,3.769211175360437,0.013288230289255252
7.4,hermitian,left,exp,-18.694261748017254,0.09844389480313964,2.9063803230820855,0.03234903519868492
7.4,hermitian,right,exp,-19.0661455242594,0.10825131083989703,2.927247243476251,0.03550416245072983
-4.6,hermitian,left,exp,-34.60589691986824,0.6113687088115611,3.574122640348976,0.02011828642313476
-4.6,hermitian,right,exp,-31.48816100944849,0.4196594450697866,3.6977302249764357,0.012394047208024402
4.9,hermitian,left,exp,-25.03423510251022,0.08715267375624336,3.7302866612045453,0.012035938604081104
4.9,hermitian,right,exp,-24.644546899929786,0.09281112607467179,3.7739592002951365,0.01223747322834734
5.4,hermitian,left,exp,-24.318530073107013,0.11299228791533977,3.7025475076888896,0.014610889762351465
5.4,hermitian,right,exp,-23.98967127660665,0.1293349545586686,3.7661393855586485,0.015436290735279478
0.9,hermitian,left,exp,-29.42793537036419,0.1072393391503752,3.724036849902875,0.009648371041250712
0.9,hermitian,right,exp,-28.336474351554966,0.09368337139624927,3.846102964415416,0.009438304741415871
5.9,hermitian,left,exp,-23.656528022739288,0.1474519087468309,3.6530689039501656,0.017800578433105025
5.9,hermitian,right,exp,-23.19852213842848,0.19028182227147994,3.7696499640775523,0.019981050252950484
7.9,hermitian,left,exp,-16.573839477774285,0.07587207019094677,2.578076696224077,0.024734722168200683
7.9,hermitian,right,exp,-16.914025785340463,0.08038079085742922,2.583812202510451,0.026646340536891928
-0.1,hermitian,left,exp,-30.208676788767676,0.175398295577466,3.7019863276896077,0.013134526072559655
-0.1,hermitian,right,exp,-29.026491039797957,0.1496053004412552,3.8205741204106993,0.01250454884618988
-1.6,hermitian,left,exp,-31.651507912204963,0.21544487041897753,3.6553306005065442,0.012331145751115649
-1.6,hermitian,right,exp,-29.757237553894463,0.16820324167953515,3.767941516947165,0.010294921335724183
