gain,phase,side,dataset,amp_dB,err_amp_dB,log10_fwhm,dlog10_fwhm
-3.1,hermitian,left,exp,-32.31561646429985,0.41557632308932213,1.5672754548978742,0.00802926705723753
-3.1,hermitian,right,exp,-31.1011616845723,0.3567623109998621,1.6036889382422745,0.007854987142653763
8.4,hermitian,left,exp,-14.097996656485932,0.04825488610507378,1.0403358801915812,0.006337004563301067
8.4,hermitian,right,exp,-14.544947406941526,0.05564081301437973,0.9797492428833531,0.007179477919889524
1.4,hermitian,left,exp,-29.221986983004427,0.10126175850873054,1.6181840861976629,0.0040181009052351465
1.4,hermitian,right,exp,-27.87817017899377,0.09997194402082599,1.68594820355254,0.004721232072485821
2.9,hermitian,left,exp,-27.735183545356357,0.06537779876385841,1.6186996249159102,0.0035072913177689505
2.9,hermitian,right,exp,-26.692307218540073,0.086892295654458,1.6893906384613617,0.004461058296580652
3.9,hermitian,left,exp,-26.408836049263336,0.06600896530986589,1.629655239728242,0.0041004698852351714
3.9,hermitian,right,exp,-25.661859014870096,0.09829880888399245,1.6575549795444584,0.004995885896435265
6.4,hermitian,left,exp,-23.851091769963745,0.2909585168066293,1.5688435209692302,0.010309358360526731
6.4,hermitian,right,exp,-21.98612651669078,0.7234678421280663,1.6738073073896425,0.01985708309242019
-0.6,hermitian,left,exp,-30.688098981146954,0.1944353879996008,1.6026468698703646,0.005409546550280616
-0.6,hermitian,right,exp,-29.357862174488965,0.16908321485205136,1.6535268271581918,0.005819967373576115
4.4,hermitian,left,exp,-26.08197845941325,0.07624102066181138,1.6161509248454278,0.004597233147384551
4.4,hermitian,right,exp,-25.00093464497059,0.13030964705010462,1.6685099525530172,0.005925537812750332
0.4,hermitian,left,exp,-30.254616296612188,0.15592879661467762,1.6076213699598447,0.0050194540037538475
0.4,hermitian,right,exp,-28.49317723321622,0.13426786977983696,1.6782384151825287,0.0055102257103670175
-1.1,hermitian,left,exp,-31.03562692515034,0.26296455179099354,1.5979005802220656,0.006906722659396549
-1.1,hermitian,right,exp,-29.49345973045858,0.2210866078351934,1.6405059221479354,0.006989461869776729
7.4,hermitian,left,exp,-18.10082373127733,0.07176448228709376,1.2402955189801075,0.010996216129299364
7.4,hermitian,right,exp,-19.325058543934873,0.09144964887979512,1.1598700926319978,0.0147450156622802
-4.6,hermitian,left,exp,-33.72874354971347,0.5637996286502869,1.559546998975758,0.007841837637160011
-4.6,hermitian,right,exp,-32.014689810828486,0.4577273685916836,1.5941528194570562,0.0066762207486878635
4.9,hermitian,left,exp,-25.533060676673177,0.09330918262864074,1.615422557406865,0.005228787328009157
4.9,hermitian,right,exp,-24.46742574998836,0.1721279150540056,1.6632701024977161,0.0070453677758274425
5.4,hermitian,left,exp,-25.026748653162056,0.12891639115281706,1.6046442681633273,0.006325378069712962
5.4,hermitian,right,exp,-23.75063448319584,0.26999493828621723,1.668298618189705,0.009431836511259234
0.9,hermitian,left,exp,-29.77238459192553,0.12411412875458439,1.6126525943289844,0.004423712580857899
0.9,hermitian,right,exp,-28.191625080283835,0.11331201292507487,1.6826448917062689,0.005020872043824524
5.9,hermitian,left,exp,-24.86486881810829,0.1966037167713992,1.587412121574726,0.0077375953089475905
5.9,hermitian,right,exp,-22.836717616363202,0.4740937375280012,1.6860695886812045,0.0135162047389513
7.9,hermitian,left,exp,-16.218842281428095,0.05637501569460568,1.1362894491312805,0.008142819006244714
7.9,hermitian,right,exp,-17.210976463134692,0.0698230517183589,1.0624659811901407,0.0102398839902676
-0.1,hermitian,left,exp,-30.52964508162401,0.2059019858509501,1.6035421024816796,0.006138684701075342
-0.1,hermitian,right,exp,-28.87397449134541,0.17518823296181907,1.6693162259027157,0.006656886518764383
-1.6,hermitian,left,exp,-31.82872486165475,0.24568809534459035,1.5853424968212582,0.0057461473739974355
-1.6,hermitian,right,exp,-29.664031074183193,0.18942054797683028,1.640547670186002,0.005395401548586224
-4.1,hermitian,left,exp,-34.13994100427122,0.5223014810805964,1.5567560028647838,0.007964312772169297
-4.1,hermitian,right,exp,-31.189702766105892,0.36597290024701934,1.6062800196916676,0.00587998100170654
