Gain [dB],Phase [rads.],Amplitude [dBm],Frequency [GHz]
4.0,0.017789567803776943,-42.7849235534668,5.965
4.0,0.1605746800300799,-43.40384292602539,5.965
4.0,0.30233989859762367,-43.00569152832031,5.965
4.0,0.4451250108239269,-43.02610397338867,5.965
4.0,0.5879101230502298,-42.7104606628418,5.965
4.0,0.7296753416177736,-43.14833450317383,5.965
4.0,0.8724604538440768,-43.183624267578125,5.965
4.0,1.0142256724116203,-42.946624755859375,5.965
4.0,1.1570107846379236,-43.01139831542969,5.965
4.0,1.2997958968642267,-43.17514419555664,5.965
4.0,1.4415611154317702,-42.63201522827149,5.965
4.0,1.5843462276580733,-42.74945068359375,5.965
4.0,1.7271313398843766,-42.995113372802734,5.965
4.0,1.86889655845192,-43.12042999267578,5.965
4.0,2.011681670678223,-43.019561767578125,5.965
4.0,2.153446889245767,-42.66051483154297,5.965
4.0,2.2962320014720703,-42.9066276550293,5.965
4.0,2.4390171136983736,-43.49588394165039,5.965
4.0,2.5807823322659167,-42.94501876831055,5.965
4.0,2.72356744449222,-42.901851654052734,5.965
4.0,2.8663525567185233,-43.32948303222656,5.965
4.0,3.008117775286067,-43.37980270385742,5.965
4.0,3.1509028875123697,-43.082122802734375,5.965
4.0,3.2926681060799137,-42.87489318847656,5.965
4.0,3.4354532183062165,-42.86383819580078,5.965
4.0,3.5782383305325194,-43.41188430786133,5.965
4.0,3.720003549100063,-43.00243377685547,5.965
4.0,3.862788661326366,-43.22712707519531,5.965
4.0,4.005573773552669,-43.48404312133789,5.965
4.0,4.147338992120214,-43.10540008544922,5.965
4.0,4.290124104346516,-43.06144332885742,5.965
4.0,4.431889322914061,-42.85359954833984,5.965
4.0,4.574674435140364,-42.82537460327149,5.965
4.0,4.717459547366666,-43.01840972900391,5.965
4.0,4.8592247659342105,-42.71807861328125,5.965
4.0,5.0020098781605125,-42.85832214355469,5.965
4.0,5.144794990386816,-42.99592590332031,5.965
4.0,5.28656020895436,-42.59331893920898,5.965
4.0,5.286749202571742,-42.95466995239258,5.965
4.0,5.429534314798045,-42.97161102294922,5.965
4.0,5.57129953336559,-42.938594818115234,5.965
4.0,5.714084645591892,-42.8843879699707,5.965
4.0,5.856869757818195,-42.79112243652344,5.965
4.0,5.9986349763857385,-42.90583038330078,5.965
4.0,6.141420088612042,-43.11457824707031,5.965
4.0,6.283185307179586,-42.878055572509766,5.965
4.0978,0.017789567803776943,-43.087100982666016,5.965
4.0978,0.1605746800300799,-42.56084442138672,5.965
4.0978,0.30233989859762367,-43.32772445678711,5.965
4.0978,0.4451250108239269,-43.31808471679688,5.965
4.0978,0.5879101230502298,-42.977272033691406,5.965
4.0978,0.7296753416177736,-42.76348114013672,5.965
4.0978,0.8724604538440768,-43.7387580871582,5.965
4.0978,1.0142256724116203,-42.99755096435547,5.965
4.0978,1.1570107846379236,-43.031837463378906,5.965
4.0978,1.2997958968642267,-43.18277359008789,5.965
4.0978,1.4415611154317702,-42.8843879699707,5.965
4.0978,1.5843462276580733,-43.1627311706543,5.965
4.0978,1.7271313398843766,-42.76329803466797,5.965
4.0978,1.86889655845192,-43.581539154052734,5.965
4.0978,2.011681670678223,-42.89549255371094,5.965
4.0978,2.153446889245767,-42.92338180541992,5.965
4.0978,2.2962320014720703,-43.06144332885742,5.965
4.0978,2.4390171136983736,-42.5985107421875,5.965
4.0978,2.5807823322659167,-42.71883392333984,5.965
4.0978,2.72356744449222,-43.141395568847656,5.965
4.0978,2.8663525567185233,-43.1070671081543,5.965
4.0978,3.008117775286067,-42.40271759033203,5.965
4.0978,3.1509028875123697,-43.57410430908203,5.965
4.0978,3.2926681060799137,-43.3505973815918,5.965
4.0978,3.4354532183062165,-43.25982666015625,5.965
4.0978,3.5782383305325194,-43.323341369628906,5.965
4.0978,3.720003549100063,-43.57503509521485,5.965
4.0978,3.862788661326366,-42.54176712036133,5.965
4.0978,4.005573773552669,-43.39225006103516,5.965
4.0978,4.147338992120214,-42.81990814208984,5.965
4.0978,4.290124104346516,-42.90821838378906,5.965
4.0978,4.431889322914061,-42.946624755859375,5.965
4.0978,4.574674435140364,-43.12461471557617,5.965
4.0978,4.717459547366666,-43.11541366577149,5.965
4.0978,4.8592247659342105,-42.51621627807617,5.965
4.0978,5.0020098781605125,-42.798439025878906,5.965
4.0978,5.144794990386816,-42.9853744506836,5.965
4.0978,5.28656020895436,-43.07715225219727,5.965
4.0978,5.286749202571742,-42.75175857543945,5.965
4.0978,5.429534314798045,-43.43880462646485,5.965
4.0978,5.57129953336559,-42.537376403808594,5.965
4.0978,5.714084645591892,-42.75790786743164,5.965
4.0978,5.856869757818195,-43.21086883544922,5.965
4.0978,5.9986349763857385,-42.87173080444336,5.965
4.0978,6.141420088612042,-43.13887405395508,5.965
4.0978,6.283185307179586,-43.07052993774414,5.965
4.1956,0.017789567803776943,-43.141395568847656,5.965
4.1956,0.1605746800300799,-42.96757125854492,5.965
4.1956,0.30233989859762367,-43.23227310180664,5.965
4.1956,0.4451250108239269,-43.29277420043945,5.965
4.1956,0.5879101230502298,-42.696022033691406,5.965
4.1956,0.7296753416177736,-42.77409744262695,5.965
4.1956,0.8724604538440768,-43.3417854309082,5.965
4.1956,1.0142256724116203,-43.10873794555664,5.965
4.1956,1.1570107846379236,-43.1070671081543,5.965
4.1956,1.2997958968642267,-42.81055068969727,5.965
4.1956,1.4415611154317702,-43.07632446289063,5.965
4.1956,1.5843462276580733,-42.27210998535156,5.965
4.1956,1.7271313398843766,-42.96514892578125,5.965
4.1956,1.86889655845192,-42.96353530883789,5.965
4.1956,2.011681670678223,-43.05797576904297,5.965
4.1956,2.153446889245767,-42.995113372802734,5.965
4.1956,2.2962320014720703,-42.70969772338867,5.965
4.1956,2.4390171136983736,-42.869361877441406,5.965
4.1956,2.5807823322659167,-43.37359237670898,5.965
4.1956,2.72356744449222,-42.99186325073242,5.965
4.1956,2.8663525567185233,-42.481422424316406,5.965
4.1956,3.008117775286067,-42.62156295776367,5.965
4.1956,3.1509028875123697,-43.26933670043945,5.965
4.1956,3.2926681060799137,-42.4807014465332,5.965
4.1956,3.4354532183062165,-43.39581298828125,5.965
4.1956,3.5782383305325194,-43.48040771484375,5.965
4.1956,3.720003549100063,-43.29190444946289,5.965
4.1956,3.862788661326366,-43.1070671081543,5.965
4.1956,4.005573773552669,-42.717315673828125,5.965
4.1956,4.147338992120214,-43.28060531616211,5.965
4.1956,4.290124104346516,-43.484954833984375,5.965
4.1956,4.431889322914061,-42.98245620727539,5.965
4.1956,4.574674435140364,-43.00243377685547,5.965
4.1956,4.717459547366666,-42.84627914428711,5.965
4.1956,4.8592247659342105,-42.946624755859375,5.965
4.1956,5.0020098781605125,-42.55937194824219,5.965
4.1956,5.144794990386816,-43.13719177246094,5.965
4.1956,5.28656020895436,-43.27800369262695,5.965
4.1956,5.286749202571742,-42.91938781738281,5.965
4.1956,5.429534314798045,-42.79112243652344,5.965
4.1956,5.57129953336559,-43.28147506713867,5.965
4.1956,5.714084645591892,-43.39937973022461,5.965
4.1956,5.856869757818195,-43.30499267578125,5.965
4.1956,5.9986349763857385,-42.68238830566406,5.965
4.1956,6.141420088612042,-42.9659538269043,5.965
4.1956,6.283185307179586,-42.77486801147461,5.965
4.2933,0.017789567803776943,-43.39848709106445,5.965
4.2933,0.1605746800300799,-43.74358367919922,5.965
4.2933,0.30233989859762367,-43.14307403564453,5.965
4.2933,0.4451250108239269,-42.800437927246094,5.965
4.2933,0.5879101230502298,-42.764068603515625,5.965
4.2933,0.7296753416177736,-42.75406265258789,5.965
4.2933,0.8724604538440768,-42.93218231201172,5.965
4.2933,1.0142256724116203,-42.66051483154297,5.965
4.2933,1.1570107846379236,-43.03020095825195,5.965
4.2933,1.2997958968642267,-43.17599105834961,5.965
4.2933,1.4415611154317702,-42.86699295043945,5.965
4.2933,1.5843462276580733,-42.70817947387695,5.965
4.2933,1.7271313398843766,-43.40607833862305,5.965
4.2933,1.86889655845192,-43.14475631713867,5.965
4.2933,2.011681670678223,-42.800437927246094,5.965
4.2933,2.153446889245767,-43.019561767578125,5.965
4.2933,2.2962320014720703,-42.85438919067383,5.965
4.2933,2.4390171136983736,-43.28147506713867,5.965
4.2933,2.5807823322659167,-43.56853485107422,5.965
4.2933,2.72356744449222,-42.98942947387695,5.965
