Gain [dB],Phase [rads.],Amplitude [dBm],Frequency [Hz]
4.0,0.0,5.4864923799442183e-14,0.0
4.0,0.07953399123012135,5.5384460478130404e-14,0.0
4.0,0.1590679824602427,8.117634732867911e-14,0.0
4.0,0.23860197369036407,2.9273196596385393e-13,0.0
4.0,0.3181359649204854,2.9922002641784374e-13,0.0
4.0,0.39766995615060674,2.9304278458750456e-13,0.0
4.0,0.47720394738072813,3.0828921739291857e-13,0.0
4.0,0.5567379386108494,2.3454745357316303e-12,0.0
4.0,0.6362719298409708,8.728079681164894e-14,0.0
4.0,0.7158059210710922,4.240652628289421e-14,0.0
4.0,0.7953399123012135,2.7304930087841414e-13,0.0
4.0,0.8748739035313349,1.073413889657269e-12,0.0
4.0,0.9544078947614563,1.5308244154022379e-13,0.0
4.0,1.0339418859915777,8.873614133179205e-14,0.0
4.0,1.1134758772216988,6.098339266336696e-13,0.0
4.0,1.1930098684518202,8.882878950657344e-14,0.0
4.0,1.2725438596819416,1.1595602737131383e-13,0.0
4.0,1.352077850912063,1.217510830967093e-13,0.0
4.0,1.4316118421421844,8.989844098329319e-14,0.0
4.0,1.5111458333723056,3.6767900573587033e-13,0.0
4.0,1.590679824602427,8.315847782172639e-14,0.0
4.0,1.6702138158325484,5.4559997628196694e-14,0.0
4.0,1.7497478070626697,3.686415532204412e-14,0.0
4.0,1.8292817982927911,2.868660896728904e-13,0.0
4.0,1.9088157895229125,1.7798999153946415e-13,0.0
4.0,1.9883497807530337,2.31529760388454e-13,0.0
4.0,2.0678837719831553,3.6681196082504e-14,0.0
4.0,2.1474177632132765,1.935703464799397e-14,0.0
4.0,2.2269517544433977,1.0273999846416192e-15,0.0
4.0,2.3064857456735193,3.10394085541768e-15,0.0
4.0,2.3860197369036404,1.0213674579034769e-13,0.0
4.0,2.465553728133762,2.7031284291658325e-14,0.0
4.0,2.5450877193638832,9.577704857131548e-16,0.0
4.0,2.6246217105940044,4.76084801905855e-14,0.0
4.0,2.704155701824126,3.433711111691634e-14,0.0
4.0,2.783689693054247,2.4396438092253745e-14,0.0
4.0,2.863223684284369,2.6232845409577498e-14,0.0
4.0,2.94275767551449,2.1242739964934125e-13,0.0
4.0,3.022291666744611,1.342597027927955e-13,0.0
4.0,3.1018256579747328,5.430203683230627e-14,0.0
4.0,3.181359649204854,6.586128510676148e-14,0.0
4.0,3.2608936404349755,1.3208633748441241e-13,0.0
4.0,3.3404276316650967,3.3610066369991115e-14,0.0
4.0,3.419961622895218,1.8238146901579008e-14,0.0
4.0,3.4994956141253395,7.522125413015297e-14,0.0
4.0,3.5790296053554607,1.3343520611549628e-14,0.0
4.0,3.6585635965855823,6.962058291188626e-14,0.0
4.0,3.7380975878157034,1.920462228361681e-14,0.0
4.0,3.817631579045825,6.551797819567295e-14,0.0
4.0,3.8971655702759462,4.2385879892931606e-13,0.0
4.0,3.9766995615060674,2.396843389847383e-13,0.0
4.0,4.056233552736189,9.640192100586674e-14,0.0
4.0,4.135767543966311,7.703233775032716e-16,0.0
4.0,4.215301535196431,1.1811213433716439e-14,0.0
4.0,4.294835526426553,3.6986148117152477e-13,0.0
4.0,4.374369517656675,3.111160473779574e-14,0.0
4.0,4.453903508886795,1.0816602435775922e-12,0.0
4.0,4.533437500116917,2.0539140349271576e-13,0.0
4.0,4.6129714913470385,6.982361005837999e-14,0.0
4.0,4.692505482577159,2.3347686057648694e-13,0.0
4.0,4.772039473807281,1.4440656439368234e-13,0.0
4.0,4.8515734650374025,6.522099344378667e-14,0.0
4.0,4.931107456267524,8.967493804596976e-14,0.0
4.0,5.010641447497645,3.1029599120308283e-13,0.0
4.0,5.0901754387277665,1.1311573004415247e-12,0.0
4.0,5.169709429957888,7.445939468695225e-13,0.0
4.0,5.249243421188009,2.5948031100959946e-13,0.0
4.0,5.32877741241813,2.219576286707175e-13,0.0
4.0,5.408311403648252,1.2552086249736417e-13,0.0
4.0,5.487845394878374,7.482025512723357e-14,0.0
4.0,5.567379386108494,5.757386904127195e-13,0.0
4.0,5.646913377338616,1.412984806830296e-13,0.0
4.0,5.726447368568738,7.011353715747287e-13,0.0
4.0,5.805981359798858,3.909901886598296e-14,0.0
4.0,5.88551535102898,1.4276853853161996e-13,0.0
4.0,5.9650493422591016,2.9673843722140357e-13,0.0
4.0,6.044583333489222,3.487123986498313e-13,0.0
4.0,6.124117324719344,5.609670148013692e-13,0.0
4.0,6.2036513159494655,4.028651255208944e-14,0.0
4.0,6.283185307179586,1.3314180021440143e-14,0.0
4.055696202531646,0.0,1.4591415819796017e-13,0.0
4.055696202531646,0.07953399123012135,1.9813622502015358e-13,0.0
4.055696202531646,0.1590679824602427,3.74925192892394e-14,0.0
4.055696202531646,0.23860197369036407,2.331875605711058e-12,0.0
4.055696202531646,0.3181359649204854,4.989382247372564e-14,0.0
4.055696202531646,0.39766995615060674,1.37728378735239e-12,0.0
4.055696202531646,0.47720394738072813,5.124595354068338e-14,0.0
4.055696202531646,0.5567379386108494,6.890533366350736e-13,0.0
4.055696202531646,0.6362719298409708,5.273259410923982e-13,0.0
4.055696202531646,0.7158059210710922,1.6728623819042528e-12,0.0
4.055696202531646,0.7953399123012135,2.476233694452843e-13,0.0
4.055696202531646,0.8748739035313349,5.706670535759298e-14,0.0
4.055696202531646,0.9544078947614563,1.5979407946973544e-13,0.0
4.055696202531646,1.0339418859915777,2.3428690894634893e-13,0.0
4.055696202531646,1.1134758772216988,8.947727904703829e-14,0.0
4.055696202531646,1.1930098684518202,2.687974617833067e-13,0.0
4.055696202531646,1.2725438596819416,1.2922867668775237e-13,0.0
4.055696202531646,1.352077850912063,6.348619989881306e-14,0.0
4.055696202531646,1.4316118421421844,2.8710408857156406e-13,0.0
4.055696202531646,1.5111458333723056,3.1744611103333966e-13,0.0
4.055696202531646,1.590679824602427,4.087266017951921e-13,0.0
4.055696202531646,1.6702138158325484,5.3638199174171484e-14,0.0
4.055696202531646,1.7497478070626697,6.419487537491005e-14,0.0
4.055696202531646,1.8292817982927911,4.964963052805312e-13,0.0
4.055696202531646,1.9088157895229125,2.1993676734872745e-12,0.0
4.055696202531646,1.9883497807530337,6.877145969933663e-13,0.0
4.055696202531646,2.0678837719831553,6.249171592740812e-14,0.0
4.055696202531646,2.1474177632132765,2.0579462479141153e-14,0.0
4.055696202531646,2.2269517544433977,1.4770026189809675e-15,0.0
4.055696202531646,2.3064857456735193,1.312793963985015e-13,0.0
4.055696202531646,2.3860197369036404,1.1384090880827064e-14,0.0
4.055696202531646,2.465553728133762,7.68652035349773e-15,0.0
4.055696202531646,2.5450877193638832,1.7497748428768968e-14,0.0
4.055696202531646,2.6246217105940044,2.317528023316601e-15,0.0
4.055696202531646,2.704155701824126,2.5797953675079878e-14,0.0
4.055696202531646,2.783689693054247,1.3780809389950333e-13,0.0
4.055696202531646,2.863223684284369,2.0874002337920463e-13,0.0
4.055696202531646,2.94275767551449,1.6160986650096658e-13,0.0
4.055696202531646,3.022291666744611,3.214809408784852e-14,0.0
4.055696202531646,3.1018256579747328,5.2591403274161085e-14,0.0
4.055696202531646,3.181359649204854,4.935618828167496e-14,0.0
4.055696202531646,3.2608936404349755,2.716094839823472e-14,0.0
4.055696202531646,3.3404276316650967,2.762507926980303e-14,0.0
4.055696202531646,3.419961622895218,2.9584446571242725e-14,0.0
4.055696202531646,3.4994956141253395,8.667636132113962e-15,0.0
4.055696202531646,3.5790296053554607,2.4158388578744665e-14,0.0
4.055696202531646,3.6585635965855823,2.0527989280413288e-13,0.0
4.055696202531646,3.7380975878157034,8.6311881133157e-13,0.0
4.055696202531646,3.817631579045825,2.906252336132402e-13,0.0
4.055696202531646,3.8971655702759462,3.984530384810144e-14,0.0
4.055696202531646,3.9766995615060674,3.4414127076485724e-15,0.0
4.055696202531646,4.056233552736189,1.5444797162009246e-13,0.0
4.055696202531646,4.135767543966311,1.3626581925653934e-13,0.0
4.055696202531646,4.215301535196431,9.495988702417926e-13,0.0
4.055696202531646,4.294835526426553,3.920670362032421e-13,0.0
4.055696202531646,4.374369517656675,4.683553065874012e-15,0.0
4.055696202531646,4.453903508886795,4.966517278063406e-14,0.0
4.055696202531646,4.533437500116917,5.6308119692279415e-14,0.0
4.055696202531646,4.6129714913470385,2.3015945285326743e-14,0.0
4.055696202531646,4.692505482577159,1.2750321530933545e-13,0.0
4.055696202531646,4.772039473807281,1.5950915642475417e-12,0.0
4.055696202531646,4.8515734650374025,4.2473941981147663e-13,0.0
4.055696202531646,4.931107456267524,6.61262437329493e-13,0.0
4.055696202531646,5.010641447497645,9.271586946966121e-14,0.0
4.055696202531646,5.0901754387277665,1.9160441487386256e-13,0.0
4.055696202531646,5.169709429957888,3.5071508104005984e-13,0.0
4.055696202531646,5.249243421188009,2.6452006462658806e-13,0.0
4.055696202531646,5.32877741241813,6.647765553883958e-13,0.0
4.055696202531646,5.408311403648252,9.592611704243808e-14,0.0
4.055696202531646,5.487845394878374,1.1386761085885408e-13,0.0
4.055696202531646,5.567379386108494,3.6356004403112784e-14,0.0
4.055696202531646,5.646913377338616,3.3439903868415375e-14,0.0
4.055696202531646,5.726447368568738,7.981725528131606e-14,0.0
4.055696202531646,5.805981359798858,2.0376085593118812e-14,0.0
4.055696202531646,5.88551535102898,4.397054757140202e-14,0.0
4.055696202531646,5.9650493422591016,4.278589281898672e-14,0.0
4.055696202531646,6.044583333489222,1.0406165465334046e-14,0.0
4.055696202531646,6.124117324719344,1.386141005312256e-13,0.0
4.055696202531646,6.2036513159494655,9.627905880686433e-14,0.0
4.055696202531646,6.283185307179586,1.4591415691606834e-13,0.0
4.111392405063291,0.0,4.181674948636383e-14,0.0
4.111392405063291,0.07953399123012135,1.5020703594661537e-13,0.0
4.111392405063291,0.1590679824602427,2.7326870342195833e-14,0.0
4.111392405063291,0.23860197369036407,1.4446184693887333e-13,0.0
4.111392405063291,0.3181359649204854,9.264219104650043e-13,0.0
4.111392405063291,0.39766995615060674,5.1899698385873826e-14,0.0
4.111392405063291,0.47720394738072813,1.1637580516840462e-12,0.0
4.111392405063291,0.5567379386108494,1.879927810857181e-14,0.0
4.111392405063291,0.6362719298409708,1.698716032459901e-13,0.0
4.111392405063291,0.7158059210710922,8.060143054514172e-14,0.0
4.111392405063291,0.7953399123012135,5.079512314288439e-14,0.0
4.111392405063291,0.8748739035313349,3.9735981473518073e-13,0.0
4.111392405063291,0.9544078947614563,7.055796376060359e-13,0.0
4.111392405063291,1.0339418859915777,2.1809858806022609e-13,0.0
4.111392405063291,1.1134758772216988,7.754008377280035e-13,0.0
4.111392405063291,1.1930098684518202,9.4412365623981e-13,0.0
4.111392405063291,1.2725438596819416,8.256395406822289e-14,0.0
4.111392405063291,1.352077850912063,2.9010175745568264e-13,0.0
4.111392405063291,1.4316118421421844,7.358331702788078e-14,0.0
4.111392405063291,1.5111458333723056,5.367171238613034e-13,0.0
4.111392405063291,1.590679824602427,1.2240418176426497e-12,0.0
4.111392405063291,1.6702138158325484,1.5366952541873473e-13,0.0
4.111392405063291,1.7497478070626697,1.4772228171009236e-13,0.0
4.111392405063291,1.8292817982927911,1.3192796173196768e-13,0.0
4.111392405063291,1.9088157895229125,1.5214540288063403e-12,0.0
4.111392405063291,1.9883497807530337,1.211795002269074e-13,0.0
4.111392405063291,2.0678837719831553,6.139510743609554e-14,0.0
4.111392405063291,2.1474177632132765,8.257905303868775e-14,0.0
4.111392405063291,2.2269517544433977,1.843327565040118e-14,0.0
4.111392405063291,2.3064857456735193,2.652259385934737e-13,0.0
4.111392405063291,2.3860197369036404,3.533219335513747e-14,0.0
4.111392405063291,2.465553728133762,8.773546277131213e-14,0.0
4.111392405063291,2.5450877193638832,5.761234201706786e-15,0.0
4.111392405063291,2.6246217105940044,4.0932701004117893e-14,0.0
