drive_frequency_GHz,power_at_peak_dBm
6.019,-22.442578034902198
6.019008004,-22.44986662189358
6.019016008,-22.43347928963905
6.019024012,-22.387573669004908
6.019032016,-22.446160417669503
6.01904002,-22.389335558018004
6.019048024,-22.391481996998586
6.019056028,-22.364269591977504
6.019064032,-22.409346830049536
6.019072036,-22.344270930219885
6.01908004,-22.352324107761568
6.019088044,-22.36699175781632
6.019096048,-22.337734652739872
6.019104052,-22.32157615533437
6.019112056,-22.31483152033334
6.01912006,-22.349238315287234
6.019128064,-22.270988169594183
6.019136068,-22.305670251408344
6.019144072,-22.287488339031466
6.019152076,-22.29323241474299
6.01916008,-22.23589879752703
6.019168084,-22.27532718900588
6.019176088,-22.26334352354519
6.019184092,-22.217747488648328
6.019192096,-22.23691683033536
6.0192001,-22.225987920770272
6.019208104,-22.22803060288434
6.019216108,-22.1617016542516
6.019224112,-22.20728345074926
6.019232116,-22.17587591982297
6.01924012,-22.16258405757291
6.019248124,-22.15095018903677
6.019256128,-22.192207005201823
6.019264132,-22.130067290403904
6.019272136,-22.147063535087987
6.01928014,-22.15147219049417
6.019288144,-22.14898686351816
6.019296148,-22.1030236651597
6.019304152,-22.14386214096519
6.019312156,-22.133047359001857
6.01932016,-22.07183613936212
6.019328164,-22.100608894595663
6.019336168,-22.07834090960148
6.019344172,-22.087848541286807
6.019352176,-22.02162036017226
6.01936018,-22.07864661850998
6.019368184,-22.04252182325941
6.019376188,-22.01887762301424
6.019384192,-22.018367509802992
6.019392196,-22.02510535393065
6.0194002,-22.008486340727764
6.019408204,-21.96149815530136
6.019416208,-22.01966730605122
6.019424212,-21.964658102232317
6.019432216,-21.96651459527116
6.01944022,-21.93845305434882
6.019448224,-21.98190376934896
6.019456228,-21.911893270311257
6.019464232,-21.92977026804977
6.019472236,-21.931642011703214
6.01948024,-21.91250063858821
6.019488244,-21.883970714740943
6.019496248,-21.88925790067067
6.019504252,-21.911587298434803
6.019512256,-21.84057063144097
6.01952026,-21.872931075042807
6.019528264,-21.850949330593423
6.019536268,-21.859984137557365
6.019544272,-21.79589233327252
6.019552276,-21.857016128420945
6.01956028,-21.81441842716408
6.019568284,-21.79834090806776
6.019576288,-21.788755662166587
6.019584292,-21.80907380122296
6.019592296,-21.775781107908905
6.0196003,-21.744140162201923
6.019608304,-21.790337718971845
6.019616308,-21.741596921284028
6.019624312,-21.73980617419014
6.019632316,-21.716173131145556
6.01964032,-21.76115027506548
6.019648324,-21.68112799811901
6.019656328,-21.70785314516257
6.019664332,-21.697192178893022
6.019672336,-21.69494307236626
6.01968034,-21.646492512249445
6.019688344,-21.676001608099504
6.019696348,-21.671997852289408
6.019704352,-21.62267247898539
6.019712356,-21.64095714863832
6.01972036,-21.63216729565874
6.019728364,-21.63091566302771
6.019736368,-21.56865208029572
6.019744372,-21.632136704890872
6.019752376,-21.57710318247204
6.01976038,-21.57563823230821
6.019768384,-21.55001909114153
6.019776388,-21.5846054365294
6.019784392,-21.53206701411217
6.019792396,-21.52603324701889
6.0198004,-21.54747714998496
