drive_frequency_GHz,power_at_peak_dBm
6.018912,-20.87469291687012
6.018932,-20.972230911254883
6.018952,-20.732139587402344
6.018972,-20.65861701965332
6.018992,-20.88385391235352
6.019012,-20.61519241333008
6.019032,-20.721641540527344
6.019052,-20.587297439575195
6.019072,-20.54779624938965
6.019092,-20.80312156677246
6.019112,-20.627954483032227
6.019132,-20.71358108520508
6.019152,-20.7168197631836
6.019172,-20.462526321411133
6.019192,-20.614988327026367
6.019212,-20.38497543334961
6.019232,-20.57805633544922
6.019252,-20.56984138488769
6.019272,-20.375741958618164
6.019292,-20.52631187438965
6.019312,-20.357833862304688
6.019332,-20.49745750427246
6.019352,-20.528682708740234
6.019372,-20.314308166503903
6.019392,-20.436119079589844
6.019412,-20.28450584411621
6.019432,-20.48767852783203
6.019452,-20.371450424194336
6.019472,-20.165422439575195
6.019492,-20.32746124267578
6.019512,-20.217437744140625
6.019532,-20.313371658325195
6.019552,-20.266441345214844
6.019572,-20.25223922729492
6.019592,-20.343204498291016
6.019612,-19.99561309814453
6.019632,-20.21919250488281
6.019652,-20.21331787109375
6.019672,-20.08055305480957
6.019692,-20.19321060180664
6.019712,-19.99689674377441
6.019732,-20.09148979187012
6.019752,-20.123390197753903
6.019772,-20.07076835632324
6.019792,-20.07233047485352
6.019812,-19.867431640625
6.019832,-20.039953231811523
6.019852,-20.02147102355957
6.019872,-19.870445251464844
6.019892,-19.956228256225582
6.019912,-19.811738967895508
6.019932,-19.88283348083496
6.019952,-19.81305313110352
6.019972,-19.722171783447266
6.019992,-19.811294555664062
6.020012,-19.81991004943848
6.020032,-19.97585868835449
6.020052,-19.78464698791504
6.020072,-19.70806121826172
6.020092,-19.79620933532715
6.020112,-19.638856887817383
6.020132,-19.763214111328125
6.020152,-19.69208717346192
6.020172,-19.592653274536133
6.020192,-19.65633201599121
6.020212,-19.52994537353516
6.020232,-19.591577529907227
6.020252,-19.58827781677246
6.020272,-19.62203598022461
6.020292,-19.569618225097656
6.020312,-19.5347900390625
6.020332,-19.65231704711914
6.020352,-19.530986785888672
6.020372,-19.376436233520508
6.020392,-19.4891300201416
6.020412,-19.419357299804688
6.020432,-19.43446159362793
6.020452,-19.36628150939941
6.020472,-19.35741806030273
6.020492,-19.50943374633789
6.020512,-19.423480987548828
6.020532,-19.523956298828125
6.020552,-19.329444885253903
6.020572,-19.204608917236328
6.020592,-19.283674240112305
6.020612,-19.25758171081543
6.020632,-19.400354385375977
6.020652,-19.25470352172852
6.020672,-19.06895446777344
6.020692,-19.28080368041992
6.020712,-19.23493003845215
6.020732,-19.23199844360352
6.020752,-19.076152801513672
6.020772,-19.03671646118164
6.020792,-19.083415985107425
6.020812,-19.04209899902344
6.020832,-19.068750381469727
6.020852,-18.99528884887696
6.020872,-18.99506378173828
6.020892,-19.22227668762207
6.020912,-18.967777252197266
6.020932,-18.974267959594727
6.020952,-18.92994880676269
6.020972,-18.914533615112305
6.020992,-19.04179954528809
6.021012,-18.73233795166016
6.021032,-18.88448143005371
6.021052,-18.82586097717285
6.021072,-18.84282112121582
6.021092,-19.021717071533203
6.021112,-18.75883674621582
6.021132,-18.780153274536133
6.021152,-18.766725540161133
6.021172,-18.776100158691406
6.021192,-18.689836502075195
6.021212,-18.592374801635746
6.021232,-18.84262657165528
6.021252,-18.763647079467773
6.021272,-18.69864273071289
6.021292,-18.705116271972656
6.021312,-18.503952026367188
6.021332,-18.650297164916992
6.021352,-18.656774520874023
6.021372,-18.450672149658203
6.021392,-18.50077438354492
6.021412,-18.40809631347656
6.021432,-18.618871688842773
6.021452,-18.546730041503903
6.021472,-18.470138549804688
6.021492,-18.577661514282227
6.021512,-18.32408332824707
6.021532,-18.39102935791016
6.021552,-18.389711380004883
6.021572,-18.41136741638184
6.021592,-18.50665855407715
6.021612,-18.1155948638916
6.021632,-18.29938316345215
6.021652,-18.271249771118164
6.021672,-18.24979591369629
6.021692,-18.265525817871094
6.021712,-18.06839370727539
6.021732,-18.215547561645508
6.021752,-18.187015533447266
6.021772,-18.124420166015625
6.021792,-18.182323455810547
6.021812,-17.872631072998047
6.021832,-18.020526885986328
6.021852,-17.958948135375977
6.021872,-18.03434181213379
6.021892,-18.087047576904297
6.021912,-17.862773895263672
6.021932,-17.926366806030273
6.021952,-17.8824462890625
6.021972,-17.857776641845703
6.021992,-17.938072204589844
6.022012,-17.714170455932617
6.022032,-17.80301284790039
6.022052,-17.72930335998535
6.022072,-17.708127975463867
6.022092,-17.931028366088867
6.022112,-17.804758071899414
6.022132,-17.803918838500977
6.022152,-17.629024505615234
6.022172,-17.626346588134766
6.022192,-17.733694076538086
6.022212,-17.43354606628418
6.022232,-17.61073875427246
6.022252,-17.539527893066406
6.022272,-17.493471145629883
6.022292,-17.655134201049805
6.022312,-17.56251335144043
6.022332,-17.48733139038086
6.022352,-17.37852668762207
6.022372,-17.356117248535156
6.022392,-17.436922073364258
6.022412,-17.15613555908203
6.022432,-17.31280517578125
6.022452,-17.245866775512695
6.022472,-17.231321334838867
6.022492,-17.354265213012695
6.022512,-17.10184669494629
6.022532,-17.172508239746094
6.022552,-17.119993209838867
6.022572,-17.046588897705078
6.022592,-17.155643463134766
6.022612,-16.797874450683594
6.022632,-16.965742111206055
6.022652,-16.94468116760254
6.022672,-16.9449462890625
6.022692,-17.021800994873047
6.022712,-16.799650192260742
6.022732,-16.81998062133789
6.022752,-17.112268447875977
6.022772,-16.74904441833496
6.022792,-16.712825775146484
6.022812,-16.57967758178711
6.022832,-16.668169021606445
6.022852,-16.742284774780273
6.022872,-16.353002548217773
6.022892,-16.528169631958008
6.022912,-16.434370040893555
6.022932,-16.419370651245117
6.022952,-16.62801170349121
6.022972,-16.190149307250977
6.022992,-16.229656219482422
6.023012,-16.106678009033203
6.023032,-16.143287658691406
6.023052,-16.28771209716797
6.023072,-15.974401473999023
6.023092,-16.127107620239258
6.023112,-16.030996322631836
6.023132,-16.070158004760742
6.023152,-16.2150821685791
6.023172,-15.840559005737305
6.023192,-15.888452529907228
6.023212,-15.682926177978516
6.023232,-15.765615463256836
6.023252,-15.947486877441406
6.023272,-15.574348449707031
6.023292,-15.680233001708984
6.023312,-15.435144424438477
6.023332,-15.52931785583496
6.023352,-15.778892517089844
6.023372,-15.33686065673828
6.023392,-15.25761604309082
6.023412,-15.09286880493164
6.023432,-15.195562362670898
6.023452,-15.366584777832031
6.023472,-14.947383880615234
6.023492,-15.04254150390625
6.023512,-14.903926849365234
6.023532,-14.876611709594728
6.023552,-15.17653465270996
6.023572,-14.680883407592772
6.023592,-14.612319946289062
6.023612,-14.468944549560549
6.023632,-14.484272003173828
6.023652,-14.660528182983398
6.023672,-14.22153663635254
6.023692,-14.29509735107422
6.023712,-14.164968490600586
6.023732,-14.148576736450195
6.023752,-14.381690979003906
6.023772,-13.922330856323242
6.023792,-13.802536010742188
6.023812,-13.607982635498049
6.023832,-13.739830017089844
6.023852,-13.837921142578123
6.023872,-13.44923973083496
6.023892,-13.404869079589844
6.023912,-13.198196411132812
6.023932,-13.232418060302734
6.023952,-13.46392822265625
6.023972,-12.958349227905272
6.023992,-12.879676818847656
6.024012,-12.724163055419922
6.024032,-12.772640228271484
6.024052,-12.806814193725586
6.024072,-12.318744659423828
6.024092,-12.408700942993164
6.024112,-12.242347717285156
6.024132,-12.154747009277344
6.024152,-12.251350402832031
6.024172,-11.783305168151855
6.024192,-11.738351821899414
6.024212,-11.35778522491455
6.024232,-11.457114219665527
6.024252,-11.543474197387695
6.024272,-11.091886520385742
6.024292,-11.122310638427734
6.024312,-10.954634666442873
6.024332,-10.897027969360352
6.024352,-10.717833518981934
6.024372,-10.241183280944824
6.024392,-10.209439277648926
6.024412,-9.92471408843994
6.024432,-9.609329223632812
6.024452,-9.856590270996094
6.024472,-9.37295150756836
6.024492,-9.393169403076172
6.024512,-9.124072074890137
6.024532,-9.014259338378906
6.024552,-8.963643074035645
6.024572,-8.235600471496582
6.024592,-8.220317840576172
6.024612,-8.118243217468262
6.024632,-8.089488983154297
6.024652,-7.9789581298828125
6.024672,-7.576563835144043
6.024692,-7.624195098876953
6.024712,-7.401606559753418
6.024732,-7.35401725769043
6.024752,-7.528228759765625
6.024772,-7.061710357666016
6.024792,-7.063054084777832
6.024812,-6.607458114624023
6.024832,-6.716605186462402
6.024852,-6.831596374511719
6.024872,-6.342268943786621
6.024892,-5.913500785827637
6.024912,-5.775588035583496
6.024932,-5.790127754211426
6.024952,-5.847934722900391
6.024972,-4.153043746948242
6.024992,-2.774564743041992
6.025012,-2.5256175994873047
6.025032,-2.6536569595336914
6.025052,-2.916163444519043
6.025072,-2.692885398864746
6.025092,-2.836003303527832
6.025112,-2.630698204040528
6.025132,-2.6612234115600586
6.025152,-3.0432891845703125
6.025172,-2.649433135986328
6.025192,-2.5793704986572266
6.025212,-2.604898452758789
6.025232,-2.7540082931518555
6.025252,-2.978024482727051
6.025272,-2.55153751373291
6.025292,-2.609198570251465
6.025312,-2.573890686035156
6.025332,-2.673704147338867
6.025352,-2.987788200378418
6.025372,-2.6683568954467773
6.025392,-2.6945037841796875
6.025412,-2.5722713470458984
6.025432,-2.734147071838379
6.025452,-2.922576904296875
6.025472,-2.512337684631348
6.025492,-2.6226606369018555
6.025512,-2.54714298248291
6.025532,-2.635862350463867
6.025552,-2.9353647232055664
6.025572,-2.6340389251708984
6.025592,-2.7069759368896484
6.025612,-2.396763801574707
6.025632,-2.6156606674194336
6.025652,-2.832268714904785
6.025672,-2.459161758422852
6.025692,-2.624783515930176
6.025712,-2.572208404541016
6.025732,-2.566259384155273
6.025752,-2.9880971908569336
6.025772,-2.455717086791992
6.025792,-2.574312210083008
6.025812,-2.428997039794922
6.025832,-2.549304962158203
6.025852,-2.78977108001709
6.025872,-2.4440736770629883
6.025892,-2.715930938720703
6.025912,-3.022939682006836
6.025932,-2.608555793762207
6.025952,-2.879490852355957
6.025972,-2.4619293212890625
6.025992,-2.605131149291992
6.026012,-3.4541616439819336
6.026032,-2.652605056762696
